tau,s_tmp,cash,delta,pv,r,q,PL,cash,asset,debt,PL,,,
578,146.435,-0.0170826,0.0033055,0.478913,0.0145663,0.0268425,-0.011954,-0.0170816,0.484040893,-0.478913,-1.1954%,,,
579,147.074,-0.0170442,0.00330548,0.481055,0.0145619,0.0268437,-0.0119494,-0.0170436,0.486150166,-0.481055,-1.1948%,,,
580,144.464,-0.0158654,0.00329756,0.47247,0.0145575,0.026845,-0.0119571,-0.0158650,0.476378708,-0.47247,-1.1956%,,,
581,145.666,-0.0163788,0.00330132,0.476468,0.0145532,0.0268463,-0.0119565,-0.0163780,0.480890079,-0.476468,-1.1956%,,,
582,146.726,-0.0169446,0.00330541,0.480001,0.0145488,0.0268476,-0.0119555,-0.0169432,0.484989588,-0.480001,-1.1955%,,,
583,145.059,-0.0163162,0.00330132,0.474529,0.0145444,0.0268489,-0.0119586,-0.0163153,0.478886178,-0.474529,-1.1958%,,,
584,143.046,-0.0152779,0.0032943,0.467923,0.01454,0.0268502,-0.0119642,-0.0152770,0.471236438,-0.467923,-1.1964%,,,
585,143.241,-0.0152497,0.00329434,0.468598,0.0145356,0.0268515,-0.0119623,-0.0152486,0.471884556,-0.468598,-1.1962%,,,
586,145.547,-0.0162318,0.00330133,0.476235,0.0145312,0.0268527,-0.0119681,-0.0162313,0.480498678,-0.476235,-1.1968%,,,
587,144.954,-0.0161978,0.00330133,0.47431,0.0145268,0.026854,-0.0119667,-0.0161968,0.478540989,-0.47431,-1.1966%,,,
588,142.596,-0.0151854,0.00329447,0.466568,0.0145225,0.0268553,-0.0119747,-0.0151846,0.469778244,-0.466568,-1.1974%,,,
589,143.565,-0.0156231,0.00329776,0.469793,0.0145181,0.0268566,-0.0119737,-0.0156227,0.473442914,-0.469793,-1.1973%,,,
590,144.324,-0.0155924,0.00329778,0.472328,0.0145137,0.0268579,-0.0119706,-0.0155912,0.475948801,-0.472328,-1.1970%,,,
591,142.529,-0.0151055,0.00329461,0.466443,0.0145093,0.0268592,-0.0119715,-0.0151054,0.469577469,-0.466443,-1.1971%,,,
592,143.513,-0.0155352,0.00329784,0.469718,0.0145049,0.0268605,-0.0119705,-0.0155348,0.473282912,-0.469718,-1.1970%,,,
593,143.54,-0.015505,0.00329787,0.469839,0.0145005,0.0268618,-0.0119683,-0.0155048,0.47337626,-0.469839,-1.1968%,,,
594,141.118,-0.014631,0.00329191,0.461892,0.0144962,0.026863,-0.0119754,-0.0146301,0.464547755,-0.461892,-1.1974%,,,
595,140.37,-0.0142519,0.00328945,0.459463,0.0144918,0.0268643,-0.0119749,-0.0142514,0.461740097,-0.459463,-1.1974%,,,
596,141.163,-0.0145848,0.00329204,0.462104,0.0144874,0.0268656,-0.0119742,-0.0145834,0.464714243,-0.462104,-1.1973%,,,
597,138.809,-0.0139051,0.00328739,0.454392,0.014483,0.0268669,-0.0119782,-0.0139049,0.456319319,-0.454392,-1.1978%,,,
598,140.623,-0.014546,0.00329218,0.460391,0.0144786,0.0268682,-0.0119808,-0.0145450,0.462956228,-0.460391,-1.1980%,,,
599,139.83,-0.0141781,0.00328979,0.457814,0.0144742,0.0268695,-0.0119805,-0.0141775,0.460011336,-0.457814,-1.1980%,,,
600,137.959,-0.0138559,0.00328769,0.451693,0.0144699,0.0268708,-0.0119818,-0.0138549,0.453566425,-0.451693,-1.1981%,,,
601,139.23,-0.0141369,0.00328972,0.455872,0.0144655,0.00117624,-0.0119813,-0.0141366,0.458027716,-0.455872,-1.1981%,,,
602,135.604,-0.0133343,0.0032838,0.443955,0.0144611,0.00109216,-0.0119921,-0.0133331,0.445296415,-0.443955,-1.1992%,,,
603,134.815,-0.0133187,0.00328369,0.441364,0.0144567,0.00100808,-0.0119915,-0.0133175,0.442690667,-0.441364,-1.1991%,,,
604,133.741,-0.013107,0.00328211,0.437838,0.0144523,0.000923993,-0.0119919,-0.0131056,0.438952674,-0.437838,-1.1991%,,,
605,133.272,-0.0130936,0.00328202,0.436299,0.0144479,0.000839912,-0.0119917,-0.0130932,0.437401369,-0.436299,-1.1991%,,,
606,135.912,-0.0132759,0.00328336,0.444966,0.0144436,0.00075583,-0.0119932,-0.0132749,0.446248024,-0.444966,-1.1993%,,,
607,137.748,-0.0137358,0.0032867,0.450996,0.0144392,0.000671748,-0.0119954,-0.0137347,0.452736352,-0.450996,-1.1994%,,,
608,136.476,-0.0134687,0.00328475,0.446817,0.0144348,0.000587666,-0.0119963,-0.0134683,0.448289541,-0.446817,-1.1996%,,,
609,135.776,-0.0132357,0.00328303,0.444517,0.0144304,0.000503584,-0.0119962,-0.0132347,0.445756681,-0.444517,-1.1995%,,,
610,134.776,-0.0132209,0.00328292,0.441234,0.014426,0.000419503,-0.0119956,-0.0132199,0.442458826,-0.441234,-1.1995%,,,
611,135.856,-0.013206,0.00328281,0.444779,0.0144216,0.000335421,-0.0119951,-0.0132051,0.445989435,-0.444779,-1.1995%,,,
612,135.982,-0.0134016,0.00328425,0.445192,0.0144173,0.000251339,-0.0119945,-0.0134011,0.446598884,-0.445192,-1.1994%,,,
613,135.468,-0.0131774,0.00328259,0.443503,0.0144129,0.000167257,-0.0119943,-0.0131766,0.444685902,-0.443503,-1.1994%,,,
614,136.381,-0.0133699,0.003284,0.446499,0.0144085,8.32E-05,-0.0119943,-0.0133693,0.447875204,-0.446499,-1.1993%,,,
615,137.973,-0.0135885,0.00328558,0.451727,0.0144041,-9.07E-07,-0.0119941,-0.0135878,0.453321329,-0.451727,-1.1993%,,,
616,137.29,-0.013338,0.00328375,0.449482,0.0143997,-8.50E-05,-0.011994,-0.0133372,0.450826038,-0.449482,-1.1993%,,,
617,140.076,-0.0138209,0.00328719,0.458635,0.0143953,-0.00016907,-0.0119991,-0.0138198,0.460456426,-0.458635,-1.1998%,,,
618,139.719,-0.0137999,0.00328704,0.457459,0.014391,-0.000253152,-0.0119977,-0.0137997,0.459261942,-0.457459,-1.1997%,,,
619,140.751,-0.0140735,0.00328897,0.46085,0.0143866,-0.000337234,-0.0119975,-0.0140723,0.462925816,-0.46085,-1.1997%,,,
620,140.582,-0.0140502,0.0032888,0.460292,0.0143822,-0.000421316,-0.0119965,-0.0140495,0.462346082,-0.460292,-1.1995%,,,
621,140.393,-0.0137381,0.00328657,0.459669,0.0143778,-0.000505398,-0.0119955,-0.0137376,0.461411422,-0.459669,-1.1995%,,,
622,140.642,-0.0140044,0.00328845,0.460485,0.0143734,-0.000589479,-0.0119946,-0.0140033,0.462494185,-0.460485,-1.1994%,,,
623,140.639,-0.0139814,0.00328828,0.460472,0.014369,-0.000673561,-0.0119934,-0.0139808,0.462460411,-0.460472,-1.1992%,,,
624,140.797,-0.0139585,0.00328811,0.460989,0.0143647,-0.000757643,-0.0119921,-0.0139584,0.462956024,-0.460989,-1.1991%,,,
625,143.846,-0.014617,0.00329267,0.471016,0.0143603,-0.000841725,-0.0119957,-0.0146160,0.473637409,-0.471016,-1.1995%,,,
626,142.937,-0.0142334,0.00328998,0.468021,0.0143559,-0.000925807,-0.0119954,-0.0142332,0.470259871,-0.468021,-1.1994%,,,
627,145.63,-0.0149672,0.003295,0.476884,0.0143515,-0.00100989,-0.0120004,-0.0149662,0.47985085,-0.476884,-1.1999%,,,
628,146.708,-0.0153817,0.00329781,0.480434,0.0143471,-0.00109397,-0.0119997,-0.0153805,0.483815109,-0.480434,-1.1999%,,,
629,146.073,-0.014905,0.00329453,0.478336,0.0143427,-0.00117805,-0.0119987,-0.0149035,0.481241881,-0.478336,-1.1998%,,,
630,147.222,-0.0153143,0.0032973,0.482119,0.0143384,-0.00126213,-0.0119983,-0.0153136,0.485435101,-0.482119,-1.1997%,,,
631,147.104,-0.0152793,0.00329707,0.481728,0.014334,0.00107018,-0.011996,-0.0152789,0.485012185,-0.481728,-1.1995%,,,
632,146.922,-0.0152446,0.00329684,0.481127,0.0143296,0.000993745,-0.0119941,-0.0152444,0.484378326,-0.481127,-1.1993%,,,
633,146.624,-0.0152101,0.00329661,0.480144,0.0143252,0.00091731,-0.0119925,-0.0152101,0.483362145,-0.480144,-1.1992%,,,
634,145.447,-0.0147535,0.00329347,0.476265,0.0143208,0.000840875,-0.011993,-0.0147529,0.479025331,-0.476265,-1.1993%,,,
635,142.463,-0.0140281,0.00328838,0.466445,0.0143164,0.00076444,-0.0120005,-0.0140273,0.46847248,-0.466445,-1.2000%,,,
636,143.386,-0.0140041,0.00328822,0.46948,0.0143121,0.000688005,-0.0119996,-0.0140041,0.471484713,-0.46948,-1.1999%,,,
637,143.774,-0.0143054,0.00329031,0.470755,0.0143077,0.00061157,-0.0119986,-0.0143043,0.47306103,-0.470755,-1.1998%,,,
638,140.087,-0.0134397,0.00328413,0.458634,0.0143033,0.000535135,-0.0120097,-0.0134384,0.460063919,-0.458634,-1.2009%,,,
639,141.577,-0.0136703,0.00328576,0.463529,0.0142989,0.0004587,-0.0120107,-0.0136692,0.465188044,-0.463529,-1.2010%,,,
640,141.814,-0.0136517,0.00328563,0.464307,0.0142945,0.000382265,-0.01201,-0.0136508,0.465948333,-0.464307,-1.2009%,,,
641,142.68,-0.01391,0.00328744,0.467152,0.0142901,0.00030583,-0.0120098,-0.0139092,0.469051939,-0.467152,-1.2009%,,,
642,144.353,-0.0142022,0.00328946,0.472652,0.0142858,0.000229395,-0.0120107,-0.0142010,0.474843419,-0.472652,-1.2010%,,,
643,143.544,-0.0141788,0.0032893,0.46999,0.0142814,0.00015296,-0.01201,-0.0141784,0.472159279,-0.46999,-1.2009%,,,
644,142.762,-0.0138509,0.003287,0.467417,0.014277,7.65E-05,-0.0120099,-0.0138505,0.469258694,-0.467417,-1.2009%,,,
645,141.673,-0.0135647,0.00328497,0.463837,0.0142726,8.98E-08,-0.0120099,-0.0135634,0.465391555,-0.463837,-1.2009%,,,
646,144.881,-0.0141201,0.0032888,0.474382,0.0142682,-7.63E-05,-0.0120174,-0.0141190,0.476484633,-0.474382,-1.2016%,,,
647,146.124,-0.0144392,0.00329098,0.478471,0.0142638,-0.00015278,-0.0120185,-0.0144383,0.480891162,-0.478471,-1.2018%,,,
648,147.088,-0.0147966,0.00329341,0.481642,0.0142595,-0.000229215,-0.012018,-0.0147966,0.48442109,-0.481642,-1.2017%,,,
649,147.306,-0.0147676,0.0032932,0.482357,0.0142551,-0.00030565,-0.0120165,-0.0147666,0.485108119,-0.482357,-1.2015%,,,
650,149.294,-0.015167,0.00329587,0.488906,0.0142507,-0.000382085,-0.0120192,-0.0151663,0.492053616,-0.488906,-1.2019%,,,
651,152.47,-0.0167537,0.00330627,0.499385,0.0142463,-0.00045852,-0.0120324,-0.0167532,0.504106987,-0.499385,-1.2031%,,,
652,154.035,-0.0173706,0.00331026,0.504556,0.0142419,-0.000534955,-0.0120299,-0.0173692,0.509895899,-0.504556,-1.2029%,,,
653,152.768,-0.0166706,0.00330567,0.500361,0.0142375,-0.00061139,-0.0120311,-0.0166695,0.505000595,-0.500361,-1.2030%,,,
654,150.127,-0.0155328,0.00329808,0.491638,0.0142332,-0.000687825,-0.0120396,-0.0155317,0.495130856,-0.491638,-1.2039%,,,
655,150.855,-0.0160152,0.00330127,0.494036,0.0142288,-0.00076426,-0.0120385,-0.0160145,0.498013086,-0.494036,-1.2037%,,,
656,152.148,-0.0159759,0.003301,0.4983,0.0142244,-0.000840695,-0.0120355,-0.0159752,0.502240548,-0.4983,-1.2035%,,,
657,151.331,-0.0159369,0.00330073,0.495598,0.01422,-0.00091713,-0.0120325,-0.0159363,0.499502772,-0.495598,-1.2031%,,,
658,151.798,-0.015898,0.00330046,0.497135,0.0142156,-0.000993565,-0.0120299,-0.0158973,0.501003227,-0.497135,-1.2029%,,,
659,151.151,-0.0158595,0.00330019,0.494996,0.0142112,-0.00107,-0.012028,-0.0158585,0.498827019,-0.494996,-1.2028%,,,
660,150.341,-0.0153237,0.00329661,0.49232,0.0142068,-0.00114644,-0.0120273,-0.0153225,0.495615644,-0.49232,-1.2027%,,,
661,149.161,-0.0148542,0.00329378,0.488475,0.0142025,0.0348326,-0.0120265,-0.0148540,0.491303519,-0.488475,-1.2026%,,,
662,147.453,-0.0144418,0.00329129,0.482895,0.0141981,0.0348651,-0.0120258,-0.0144411,0.485310584,-0.482895,-1.2025%,,,
663,147.275,-0.0144185,0.00329144,0.482353,0.0141937,0.0348976,-0.0120241,-0.0144174,0.484746826,-0.482353,-1.2024%,,,
664,146.317,-0.0140589,0.0032893,0.479245,0.0141893,0.0349301,-0.0120236,-0.0140587,0.481280508,-0.479245,-1.2023%,,,
665,145.432,-0.0140385,0.00328947,0.476377,0.0141849,0.0349626,-0.0120219,-0.0140382,0.478394201,-0.476377,-1.2021%,,,
666,140.467,-0.0132684,0.0032843,0.460105,0.0141805,0.0349951,-0.0120384,-0.0132682,0.461335768,-0.460105,-1.2037%,,,
667,141.755,-0.0132547,0.00328451,0.464379,0.0141762,0.0350276,-0.0120377,-0.0132538,0.465595715,-0.464379,-1.2037%,,,
668,143.168,-0.0134608,0.00328626,0.469066,0.0141718,0.0350601,-0.0120387,-0.0134597,0.470487272,-0.469066,-1.2038%,,,
669,144.297,-0.0136951,0.0032882,0.472821,0.0141674,0.0350926,-0.012039,-0.0136945,0.474477395,-0.472821,-1.2038%,,,
670,146.237,-0.0139624,0.00329034,0.479248,0.014163,0.0351251,-0.0120408,-0.0139617,0.481169451,-0.479248,-1.2040%,,,
671,144.093,-0.0136642,0.00328858,0.472239,0.0141586,0.0351576,-0.012041,-0.0136630,0.473861358,-0.472239,-1.2041%,,,
672,143.551,-0.013647,0.00328878,0.470501,0.0141542,0.0351901,-0.0120407,-0.0136467,0.472107658,-0.470501,-1.2040%,,,
673,142.288,-0.0133914,0.00328729,0.466393,0.0141499,0.0352225,-0.0120418,-0.0133901,0.46774192,-0.466393,-1.2041%,,,
674,139.313,-0.0129961,0.00328477,0.456662,0.0141455,0.035255,-0.0120468,-0.0129953,0.457611163,-0.456662,-1.2046%,,,
675,139.008,-0.012985,0.003285,0.455704,0.0141411,0.0352875,-0.0120466,-0.0129836,0.45664128,-0.455704,-1.2046%,,,
676,140.53,-0.0131497,0.00328649,0.460747,0.0141367,0.03532,-0.0120463,-0.0131489,0.46185044,-0.460747,-1.2045%,,,
677,139.566,-0.012964,0.00328548,0.457623,0.0141323,0.0353525,-0.0120467,-0.0129640,0.458541302,-0.457623,-1.2046%,,,
678,138.296,-0.0128056,0.00328464,0.453495,0.0141279,0.035385,-0.0120472,-0.0128043,0.454252573,-0.453495,-1.2047%,,,
679,138.355,-0.0127963,0.00328489,0.453732,0.0141236,0.0354175,-0.012047,-0.0127952,0.454480956,-0.453732,-1.2046%,,,
680,137.33,-0.0126628,0.00328424,0.450409,0.0141192,0.03545,-0.0120472,-0.0126627,0.451024679,-0.450409,-1.2047%,,,
681,138.594,-0.0127791,0.00328539,0.454604,0.0141148,0.0354825,-0.0120479,-0.0127783,0.455335342,-0.454604,-1.2047%,,,
682,137.016,-0.0126485,0.00328475,0.449463,0.0141104,0.035515,-0.0120482,-0.0126473,0.450063306,-0.449463,-1.2047%,,,
683,135.945,-0.0125383,0.00328426,0.445989,0.014106,0.0355475,-0.0120483,-0.0125377,0.446478726,-0.445989,-1.2048%,,,
684,135.759,-0.0125318,0.00328453,0.445421,0.0141016,0.03558,-0.0120482,-0.0125313,0.445904508,-0.445421,-1.2048%,,,
685,138.838,-0.0127472,0.0032864,0.455581,0.0140973,0.0356125,-0.0120514,-0.0127470,0.456277203,-0.455581,-1.2051%,,,
686,137.019,-0.0126219,0.0032858,0.449647,0.0140929,0.035645,-0.0120516,-0.0126213,0.45021703,-0.449647,-1.2051%,,,
687,137.972,-0.0127306,0.0032869,0.452822,0.0140885,0.0356775,-0.0120518,-0.0127292,0.453500167,-0.452822,-1.2051%,,,
688,137.649,-0.0127219,0.00328716,0.451804,0.0140841,0.03571,-0.0120518,-0.0127212,0.452474287,-0.451804,-1.2051%,,,
689,137.909,-0.0127133,0.00328742,0.452702,0.0140797,0.0357425,-0.0120516,-0.0127132,0.453364805,-0.452702,-1.2050%,,,
690,136.61,-0.0125925,0.00328654,0.448434,0.0140753,0.00102348,-0.0120522,-0.0125922,0.448974229,-0.448434,-1.2052%,,,
691,134.723,-0.0124917,0.00328579,0.442234,0.014071,0.000955243,-0.0120533,-0.0124905,0.442671486,-0.442234,-1.2053%,,,
692,137.218,-0.0125783,0.00328643,0.450433,0.0140666,0.000887008,-0.0120541,-0.0125777,0.450957352,-0.450433,-1.2053%,,,
693,136.189,-0.0125704,0.00328638,0.447052,0.0140622,0.000818774,-0.0120541,-0.0125703,0.447568806,-0.447052,-1.2054%,,,
694,135.38,-0.0124729,0.00328566,0.444394,0.0140578,0.000750539,-0.0120544,-0.0124724,0.444812651,-0.444394,-1.2054%,,,
695,135.977,-0.0124663,0.00328561,0.446356,0.0140534,0.000682304,-0.0120546,-0.0124653,0.446767391,-0.446356,-1.2054%,,,
696,133.837,-0.0123865,0.00328502,0.439325,0.014049,0.000614069,-0.012055,-0.0123861,0.439657222,-0.439325,-1.2054%,,,
697,133.129,-0.0123812,0.00328498,0.437,0.0140447,0.000545834,-0.0120553,-0.0123806,0.437326102,-0.437,-1.2054%,,,
698,134.956,-0.0124481,0.00328548,0.443002,0.0140403,0.0004776,-0.0120555,-0.0124479,0.443395239,-0.443002,-1.2055%,,,
699,135.435,-0.0124418,0.00328543,0.444576,0.0140359,0.000409365,-0.0120555,-0.0124411,0.444962212,-0.444576,-1.2055%,,,
700,134.348,-0.0123659,0.00328486,0.441005,0.0140315,0.00034113,-0.0120559,-0.0123646,0.441314371,-0.441005,-1.2055%,,,
701,134.471,-0.0123608,0.00328483,0.441409,0.0140271,0.000272895,-0.012056,-0.0123607,0.441714375,-0.441409,-1.2055%,,,
702,135.081,-0.0124241,0.00328529,0.443413,0.0140227,0.00020466,-0.0120563,-0.0124231,0.443780258,-0.443413,-1.2056%,,,
703,133.856,-0.0123515,0.00328475,0.439388,0.0140184,0.000136425,-0.0120568,-0.0123511,0.439683496,-0.439388,-1.2056%,,,
704,131.283,-0.0122469,0.00328395,0.430938,0.014014,6.82E-05,-0.0120579,-0.0122465,0.431126808,-0.430938,-1.2058%,,,
705,128.84,-0.0122071,0.00328364,0.422915,0.0140096,-4.42E-08,-0.0120586,-0.0122070,0.423064178,-0.422915,-1.2058%,,,
706,130.52,-0.0122412,0.00328389,0.428431,0.0140052,-6.83E-05,-0.012059,-0.0122402,0.428613323,-0.428431,-1.2058%,,,
707,129.394,-0.0122025,0.00328359,0.424734,0.0140008,-0.000136514,-0.0120595,-0.0122020,0.424876844,-0.424734,-1.2059%,,,
708,127.339,-0.0121716,0.00328334,0.417986,0.0139964,-0.000204749,-0.0120601,-0.0121709,0.418097232,-0.417986,-1.2060%,,,
709,128.381,-0.0121697,0.00328332,0.421407,0.0139921,-0.000272983,-0.0120605,-0.0121691,0.421515905,-0.421407,-1.2060%,,,
710,128.473,-0.0121678,0.0032833,0.421708,0.0139877,-0.000341218,-0.0120608,-0.0121674,0.421815401,-0.421708,-1.2060%,,,
711,128.083,-0.012166,0.00328328,0.420427,0.0139833,-0.000409453,-0.0120611,-0.0121658,0.420532352,-0.420427,-1.2060%,,,
712,130.412,-0.0122246,0.00328372,0.428074,0.0139789,-0.000477688,-0.0120619,-0.0122242,0.428236493,-0.428074,-1.2062%,,,
713,129.468,-0.0121895,0.00328344,0.424973,0.0139745,-0.000545923,-0.0120624,-0.0121890,0.42510041,-0.424973,-1.2062%,,,
714,130.059,-0.0122192,0.00328366,0.426913,0.0139701,-0.000614157,-0.0120627,-0.0122188,0.427069536,-0.426913,-1.2062%,,,
715,129.173,-0.0121854,0.00328339,0.424003,0.0139658,-0.000682392,-0.0120632,-0.0121852,0.424125336,-0.424003,-1.2063%,,,
716,128.705,-0.0121833,0.00328336,0.422465,0.0139614,-0.000750627,-0.0120636,-0.0121827,0.422584849,-0.422465,-1.2063%,,,
717,131.331,-0.0122117,0.00328356,0.431086,0.013957,-0.000818862,-0.0120642,-0.0122104,0.431233218,-0.431086,-1.2063%,,,
718,131.845,-0.0122456,0.00328381,0.432773,0.0139526,-0.000887097,-0.0120645,-0.0122449,0.432953929,-0.432773,-1.2064%,,,
719,130.103,-0.012207,0.0032835,0.427052,0.0139482,-0.000955332,-0.0120653,-0.0122061,0.427193201,-0.427052,-1.2065%,,,
720,129.8,-0.0121759,0.00328327,0.426058,0.0139438,0.000942079,-0.0120657,-0.0121756,0.426168446,-0.426058,-1.2065%,,,
721,127.728,-0.0121513,0.00328308,0.419256,0.0139395,0.000879304,-0.0120661,-0.0121508,0.419341242,-0.419256,-1.2066%,,,
722,126.793,-0.0121318,0.00328293,0.416187,0.0139351,0.00081653,-0.0120666,-0.0121313,0.416252543,-0.416187,-1.2066%,,,
723,127.022,-0.0121307,0.00328292,0.41694,0.0139307,0.000753755,-0.012067,-0.0121297,0.417003064,-0.41694,-1.2067%,,,
724,128.065,-0.0121472,0.00328305,0.420365,0.0139263,0.00069098,-0.0120675,-0.0121460,0.420443798,-0.420365,-1.2067%,,,
725,128.808,-0.0121671,0.00328321,0.422805,0.0139219,0.000628206,-0.0120679,-0.0121663,0.422903714,-0.422805,-1.2068%,,,
726,129.54,-0.0121654,0.0032832,0.425208,0.0139175,0.000565431,-0.0120682,-0.0121648,0.425305728,-0.425208,-1.2067%,,,
727,129.664,-0.0121637,0.00328319,0.425616,0.0139132,0.000502656,-0.0120686,-0.0121634,0.425711548,-0.425616,-1.2068%,,,
728,130.585,-0.0121869,0.00328337,0.42864,0.0139088,0.000439881,-0.012069,-0.0121869,0.428758871,-0.42864,-1.2068%,,,
729,129.306,-0.0121606,0.00328316,0.424441,0.0139044,0.000377107,-0.0120695,-0.0121597,0.424532287,-0.424441,-1.2068%,,,
730,128.968,-0.012159,0.00328315,0.423332,0.0143,0.000314332,-0.0120699,-0.0121586,0.423421289,-0.423332,-1.2069%,,,
731,130.877,-0.012181,0.00328331,0.4296,0.0142967,0.000251557,-0.0120703,-0.0121797,0.429709763,-0.4296,-1.2070%,,,
732,131.46,-0.012179,0.0032833,0.431514,0.0142934,0.000188783,-0.0120707,-0.0121786,0.431622618,-0.431514,-1.2070%,,,
733,130.908,-0.012177,0.00328328,0.429702,0.0142901,0.000126008,-0.012071,-0.0121763,0.429807618,-0.429702,-1.2071%,,,
734,133.345,-0.0122367,0.00328372,0.437703,0.0142868,6.32E-05,-0.0120718,-0.0122354,0.437867643,-0.437703,-1.2071%,,,
735,133.475,-0.0122336,0.0032837,0.43813,0.0142836,4.59E-07,-0.0120721,-0.0122332,0.438291858,-0.43813,-1.2071%,,,
736,133.37,-0.0122306,0.00328367,0.437785,0.0142803,-6.23E-05,-0.0120724,-0.0122298,0.437943068,-0.437785,-1.2072%,,,
737,133.154,-0.0122277,0.00328364,0.437075,0.014277,-0.000125091,-0.0120728,-0.0122264,0.437229801,-0.437075,-1.2072%,,,
738,135.019,-0.0122633,0.0032839,0.443199,0.0142737,-0.000187866,-0.0120731,-0.0122622,0.443388894,-0.443199,-1.2072%,,,
739,132.889,-0.0121917,0.00328336,0.436205,0.0142704,-0.00025064,-0.012074,-0.0121912,0.436322427,-0.436205,-1.2074%,,,
740,133.224,-0.0122198,0.00328356,0.437304,0.0142671,-0.000313415,-0.0120744,-0.0122187,0.437448997,-0.437304,-1.2074%,,,
741,134.765,-0.0122535,0.00328381,0.442363,0.0142638,-0.00037619,-0.0120747,-0.0122533,0.442542655,-0.442363,-1.2074%,,,
742,135.354,-0.01225,0.00328377,0.444297,0.0142605,-0.000438964,-0.0120749,-0.0122489,0.444471405,-0.444297,-1.2075%,,,
743,135.881,-0.0122467,0.00328374,0.446026,0.0142573,-0.000501739,-0.0120753,-0.0122460,0.446197875,-0.446026,-1.2074%,,,
744,136.734,-0.0122857,0.00328402,0.448827,0.014254,-0.000564514,-0.0120756,-0.0122854,0.449037191,-0.448827,-1.2075%,,,
745,138.152,-0.0123322,0.00328434,0.453483,0.0142507,-0.000627288,-0.0120761,-0.0123309,0.45373814,-0.453483,-1.2076%,,,
746,139.257,-0.0123874,0.00328473,0.457111,0.0142474,-0.000690063,-0.0120764,-0.0123865,0.457421646,-0.457111,-1.2076%,,,
747,139.9,-0.0123815,0.00328468,0.459222,0.0142441,-0.000752838,-0.0120765,-0.0123810,0.459526732,-0.459222,-1.2076%,,,
748,140.19,-0.0123757,0.00328463,0.460173,0.0142408,-0.000815612,-0.0120767,-0.0123755,0.46047228,-0.460173,-1.2076%,,,
749,141.908,-0.0124393,0.00328506,0.465815,0.0142375,-0.000878387,-0.0120775,-0.0124381,0.466176294,-0.465815,-1.2077%,,,
750,142.478,-0.0125147,0.00328583,0.467722,0.0142342,0.027159,-0.0120777,-0.0125135,0.468158487,-0.467722,-1.2077%,,,
751,142.52,-0.0125072,0.00328602,0.467894,0.014231,0.0271711,-0.0120777,-0.0125062,0.46832357,-0.467894,-1.2077%,,,
752,142.145,-0.0124999,0.00328621,0.466697,0.0142277,0.0271833,-0.0120778,-0.0124989,0.46711832,-0.466697,-1.2078%,,,
753,142.292,-0.0124926,0.0032864,0.467214,0.0142244,0.0271954,-0.0120779,-0.0124916,0.467628429,-0.467214,-1.2077%,,,
754,143.313,-0.0124854,0.00328659,0.470604,0.0142211,0.0272076,-0.0120779,-0.0124842,0.471011073,-0.470604,-1.2077%,,,
755,144.824,-0.0125696,0.00328742,0.475606,0.0142178,0.0272197,-0.0120788,-0.0125694,0.476097314,-0.475606,-1.2078%,,,
756,143.588,-0.0125612,0.0032876,0.471577,0.0142145,0.0272319,-0.0120787,-0.0125605,0.472059909,-0.471577,-1.2078%,,,
757,140.52,-0.0123944,0.00328666,0.461528,0.0142112,0.0272441,-0.0120814,-0.0123944,0.461841463,-0.461528,-1.2081%,,,
758,139.397,-0.0123295,0.00328643,0.457871,0.0142079,0.0272562,-0.012082,-0.0123286,0.458118483,-0.457871,-1.2081%,,,
759,141.842,-0.0123843,0.00328706,0.465942,0.0142047,0.0272684,-0.0120828,-0.0123836,0.466243165,-0.465942,-1.2082%,,,
760,139.721,-0.0123212,0.00328685,0.459004,0.0142014,0.0272805,-0.0120832,-0.0123204,0.459241969,-0.459004,-1.2082%,,,
761,139.567,-0.0123168,0.00328706,0.458532,0.0141981,0.0272927,-0.0120834,-0.0123159,0.458765103,-0.458532,-1.2083%,,,
762,138.458,-0.0122666,0.00328694,0.454921,0.0141948,0.0273049,-0.0120838,-0.0122657,0.455103139,-0.454921,-1.2084%,,,
763,136.279,-0.0122266,0.00328689,0.447792,0.0141915,0.027317,-0.0120845,-0.0122259,0.447934082,-0.447792,-1.2084%,,,
764,136.527,-0.0122239,0.00328711,0.448641,0.0141882,0.0273292,-0.0120848,-0.0122228,0.448779267,-0.448641,-1.2085%,,,
765,135.466,-0.0121925,0.00328712,0.445186,0.0141849,0.0273413,-0.0120853,-0.0121913,0.445292998,-0.445186,-1.2084%,,,
766,136.929,-0.0122189,0.00328756,0.450029,0.0141816,0.0273535,-0.0120858,-0.0122182,0.450162303,-0.450029,-1.2085%,,,
767,138.217,-0.0122508,0.00328803,0.454298,0.0141784,0.0273657,-0.0120862,-0.0122496,0.454461643,-0.454298,-1.2086%,,,
768,137.195,-0.012214,0.00328801,0.450971,0.0141751,0.0273778,-0.0120866,-0.0122135,0.451098532,-0.450971,-1.2086%,,,
769,135.037,-0.012185,0.00328804,0.443909,0.0141718,0.02739,-0.0120871,-0.0121847,0.444007057,-0.443909,-1.2087%,,,
770,137.313,-0.0122096,0.00328846,0.451426,0.0141685,0.0274021,-0.0120878,-0.0122090,0.451548308,-0.451426,-1.2087%,,,
771,136.92,-0.0122072,0.00328869,0.450168,0.0141652,0.0274143,-0.012088,-0.0122071,0.450287435,-0.450168,-1.2088%,,,
