tau,s_tmp,cash,delta,pv,r,q,PL,cash,asset,debt,PL,,,
462,167.225,-0.0407203,0.00340897,0.540819,0.0146622,0.000254617,-0.0114748,-0.0407196,0.570065008,-0.540819,-1.1474%,,,
463,166.188,-0.0386058,0.00339624,0.53728,0.0146556,0.000170148,-0.0114718,-0.0386054,0.564414333,-0.53728,-1.1471%,,,
464,165.627,-0.0365759,0.00338397,0.535364,0.014649,8.57E-05,-0.0114629,-0.0365746,0.560476799,-0.535364,-1.1462%,,,
465,168.842,-0.0426467,0.00341992,0.546287,0.0146425,1.21E-06,-0.0115073,-0.0426460,0.577426133,-0.546287,-1.1507%,,,
466,167.156,-0.0384164,0.0033946,0.540526,0.0146359,-8.33E-05,-0.0115148,-0.0384154,0.567427758,-0.540526,-1.1514%,,,
467,166.297,-0.0383268,0.00339405,0.537593,0.0146293,-0.000167726,-0.0114988,-0.0383257,0.564420333,-0.537593,-1.1498%,,,
468,167.719,-0.0402715,0.00340564,0.542411,0.0146227,-0.000252194,-0.0114922,-0.0402715,0.571190535,-0.542411,-1.1492%,,,
469,168.868,-0.0423024,0.00341765,0.546312,0.0146162,-0.000336663,-0.0114828,-0.0423018,0.57713172,-0.546312,-1.1482%,,,
470,173.746,-0.0492089,0.00345739,0.563045,0.0146096,-0.000421131,-0.0115466,-0.0492088,0.600707683,-0.563045,-1.1546%,,,
471,174.974,-0.0516032,0.00347105,0.567277,0.014603,-0.0005056,-0.0115364,-0.0516018,0.607343503,-0.567277,-1.1535%,,,
472,178.55,-0.0567939,0.00350011,0.579717,0.0145964,-0.000590068,-0.0115662,-0.0567935,0.624944641,-0.579717,-1.1566%,,,
473,176.098,-0.0514719,0.00346987,0.57114,0.0145899,-0.000674537,-0.0115752,-0.0514717,0.611037167,-0.57114,-1.1575%,,,
474,175.028,-0.0513707,0.00346927,0.567404,0.0145833,-0.000759005,-0.0115553,-0.0513700,0.60721939,-0.567404,-1.1555%,,,
475,173.595,-0.0487952,0.00345441,0.562427,0.0145767,-0.000843474,-0.0115534,-0.0487938,0.599668304,-0.562427,-1.1553%,,,
476,174.092,-0.0486936,0.00345381,0.564124,0.0145701,-0.000927942,-0.0115365,-0.0486929,0.601280691,-0.564124,-1.1536%,,,
477,173.529,-0.048592,0.0034532,0.56216,0.0145636,-0.00101241,-0.0115212,-0.0485906,0.599230343,-0.56216,-1.1520%,,,
478,173.744,-0.0484899,0.00345259,0.562881,0.014557,-0.00109688,-0.0115033,-0.0484884,0.599866797,-0.562881,-1.1503%,,,
479,169.089,-0.041596,0.0034118,0.546898,0.0145504,-0.00118135,-0.0115955,-0.0415950,0.57689785,-0.546898,-1.1595%,,,
480,170.368,-0.0437025,0.00342414,0.551247,0.0145438,-0.00126582,-0.0115849,-0.0437011,0.583363884,-0.551247,-1.1584%,,,
481,170.832,-0.0437371,0.00342611,0.553119,0.0145373,0.188875,-0.0115669,-0.0437366,0.585289224,-0.553119,-1.1566%,,,
482,167.471,-0.0394932,0.00340254,0.541937,0.0145307,0.18958,-0.0116041,-0.0394929,0.569826776,-0.541937,-1.1603%,,,
483,169.65,-0.0416524,0.00341703,0.549648,0.0145241,0.190285,-0.0116017,-0.0416517,0.57969914,-0.549648,-1.1601%,,,
484,168.859,-0.0416835,0.00341899,0.547234,0.0145175,0.190989,-0.0115895,-0.0416823,0.577327232,-0.547234,-1.1589%,,,
485,168.481,-0.0395865,0.00340833,0.54623,0.014511,0.191694,-0.0115775,-0.0395854,0.574238847,-0.54623,-1.1577%,,,
