tau,s_tmp,cash,delta,pv,r,q,PL
0,297.22,0.523988,0.0015341,0.979952,,,5.55112e-17
1,294.98,0.474411,0.00170225,0.976561,0.0179022,0,-1.95327e-05
2,295.856,0.501198,0.00161179,0.978202,0.0179066,0,-0.000145633
3,294.573,0.476371,0.00169616,0.976292,0.0179111,0,-0.000279526
4,295.735,0.50317,0.00160562,0.978411,0.0179155,0,-0.000403553
5,291.233,0.424306,0.00187649,0.970787,0.0179199,0,1.61258e-05
6,294.476,0.480201,0.00168675,0.976742,0.0179244,0,0.000167334
7,293.163,0.454385,0.00177489,0.974697,0.0179288,0,2.14518e-05
8,297.255,0.533346,0.00150934,0.981562,0.0179332,0,0.0004417
9,292.396,0.457625,0.00176839,0.973758,0.0179377,0,0.000937895
10,292.806,0.458617,0.00176508,0.974707,0.0179421,0,0.000736166
11,291.625,0.431767,0.00185723,0.972785,0.0179465,0,0.00059646
12,295.366,0.513763,0.00157969,0.979408,0.017951,0,0.000942648
13,293.48,0.462371,0.00175489,0.976487,0.0179554,0,0.000909757
14,294.869,0.490346,0.0016601,0.979007,0.0179598,0,0.000850453
15,292.753,0.464672,0.00174788,0.975664,0.0179643,0,0.000704603
16,293.219,0.465743,0.0017443,0.976665,0.0179687,0,0.000540281
17,294.589,0.493698,0.00164949,0.979164,0.0179731,0,0.000454345
18,297.611,0.545333,0.00147607,0.984016,0.0179776,0,0.000611798
19,300.339,0.592674,0.00131853,0.987979,0.017982,0,0.000702373
20,295.303,0.523817,0.00155181,0.980911,0.0179864,0,0.00115859
21,294.32,0.499402,0.00163485,0.979548,0.0179909,0,0.00102215
22,291.554,0.44625,0.00181724,0.975012,0.0179953,0,0.00106122
23,288.394,0.408804,0.00194716,0.969291,0.0179997,0,0.00106138
24,293.325,0.477161,0.00171418,0.978506,0.0180042,0,0.00146828
25,292.608,0.478322,0.0017103,0.977506,0.0180086,0,0.00126308
26,290.276,0.429865,0.00187731,0.973531,0.018013,0,0.00127277
