tau,s_tmp,cash,delta,pv,r,q,PL,
207,271.641,1.03212,6.91E-05,1.05307,0.0161315,-0.00411601,-0.219%,
208,270.062,1.02518,9.50E-05,1.05304,0.0161205,-0.00445902,-0.221%,
209,269.196,1.0179,0.000122175,1.05305,0.0161096,-0.00480203,-0.226%,
210,270.763,1.02595,9.26E-05,1.05331,0.0160986,0.0272483,-0.229%,
211,265.343,1.0029,0.000179654,1.05266,0.0160877,0.0272138,-0.209%,
212,267.303,1.01146,0.000147814,1.05311,0.0160767,0.0271793,-0.215%,
213,266.993,1.01184,0.000146579,1.05317,0.0160658,0.0271448,-0.220%,
214,272.815,1.04274,3.35E-05,1.05386,0.0160548,0.0271103,-0.198%,
215,268.25,1.02112,0.000114253,1.05357,0.0160438,0.0270758,-0.181%,
216,267.841,1.0135,0.000142857,1.05363,0.0160329,0.0270413,-0.186%,
217,266.845,1.01388,0.000141611,1.05359,0.0160219,0.0270068,-0.192%,
218,266.731,1.00592,0.000171623,1.05368,0.016011,0.0269723,-0.198%,
219,265.461,1.00628,0.000170471,1.05358,0.016,0.0269378,-0.205%,
220,266.751,1.00663,0.000169319,1.05391,0.015989,0.0269033,-0.211%,
221,263.934,0.998373,0.000200795,1.05351,0.0159781,0.0268688,-0.214%,
222,263.776,0.989797,0.000233488,1.05359,0.0159671,0.0268343,-0.220%,
223,262.024,0.980972,0.000267347,1.05329,0.0159562,0.0267998,-0.227%,
224,263.949,0.999423,0.000197627,1.05385,0.0159452,0.0267653,-0.227%,
225,262.084,0.981685,0.000265488,1.05354,0.0159342,0.0267308,-0.227%,
226,265.408,1.00904,0.000162602,1.05436,0.0159233,0.0266963,-0.217%,
227,265.019,1.00062,0.000194548,1.05441,0.0159123,0.0266618,-0.223%,
228,267.935,1.01835,0.000128544,1.05496,0.0159014,0.0266273,-0.217%,
229,269.988,1.03525,6.61E-05,1.05526,0.0158904,0.0265928,-0.216%,
230,264.642,1.00192,0.000192239,1.05467,0.0158795,0.0265583,-0.187%,
231,263.977,1.00215,0.000191546,1.05464,0.0158685,0.0265238,-0.193%,
232,262.888,0.993391,0.000225057,1.05452,0.0158575,0.0264893,-0.196%,
233,262.064,0.984408,0.000259516,1.05443,0.0158466,0.0264548,-0.201%,
234,265.508,1.01197,0.000155889,1.05525,0.0158356,0.0264203,-0.189%,
235,263.945,1.00333,0.000188795,1.05507,0.0158247,0.0263858,-0.191%,
236,265.584,1.01253,0.000154319,1.05548,0.0158137,0.0263513,-0.196%,
237,264.309,1.00383,0.000187433,1.05536,0.0158027,0.0263168,-0.199%,
238,265.319,1.01308,0.000152755,1.05565,0.0157918,0.0262823,-0.205%,
239,265.255,1.00429,0.000186074,1.05575,0.0157808,0.0262478,-0.211%,
240,261.576,0.985897,0.00025654,1.05508,0.0157699,0.00337272,-0.208%,
241,261.785,0.985966,0.00025644,1.05524,0.0157589,0.00314789,-0.214%,
242,262.689,0.995477,0.000220397,1.05556,0.0157479,0.00292305,-0.219%,
243,265.925,1.01414,0.000150389,1.05629,0.015737,0.00269821,-0.216%,
244,267.334,1.02331,0.000116257,1.05658,0.015726,0.00247337,-0.220%,
245,268.103,1.02348,0.000115785,1.05677,0.0157151,0.00224854,-0.225%,
246,265.477,1.01462,0.000149301,1.05653,0.0157041,0.0020237,-0.227%,
247,266.095,1.01476,0.00014896,1.05674,0.0156932,0.00179886,-0.234%,
248,268.474,1.03301,8.11E-05,1.05712,0.0156822,0.00157402,-0.233%,
249,267.102,1.02428,0.000113999,1.05708,0.0156712,0.00134919,-0.236%,
250,267.729,1.02443,0.000113579,1.05726,0.0156603,0.00112435,-0.242%,
251,270.373,1.04251,4.69E-05,1.05758,0.0156493,0.000899511,-0.239%,
252,272.59,1.05138,1.45E-05,1.05773,0.0156384,0.000674674,-0.240%,
253,269.573,1.03417,7.85E-05,1.05774,0.0156274,0.000449836,-0.240%,
254,269.017,1.03435,7.80E-05,1.05781,0.0156164,0.000224999,-0.247%,
255,270.223,1.04348,4.44E-05,1.05799,0.0156055,1.61E-07,-0.252%,
256,272.748,1.06098,-1.96E-05,1.05815,0.0155945,-0.000224676,-0.252%,
257,270.221,1.04405,4.32E-05,1.0582,0.0155836,-0.000449514,-0.248%,
258,266.786,1.0261,0.000110652,1.05801,0.0155726,-0.000674351,-0.239%,
259,263.687,0.997585,0.000218966,1.05761,0.0155616,-0.000899189,-0.228%,
260,262.016,0.987746,0.000256679,1.05734,0.0155507,-0.00112403,-0.234%,
261,264.702,1.00758,0.0001819,1.05802,0.0155397,-0.00134886,-0.229%,
262,262.263,0.987936,0.000256974,1.05762,0.0155288,-0.0015737,-0.229%,
263,261.83,0.987933,0.000257143,1.05762,0.0155178,-0.00179854,-0.236%,
264,265.512,1.01773,0.000145061,1.05848,0.0155068,-0.00202338,-0.223%,
265,264.79,1.00804,0.000181843,1.05847,0.0154959,-0.00224821,-0.228%,
266,267.874,1.02769,0.000108622,1.059,0.0154849,-0.00247305,-0.221%,
267,268.653,1.03735,7.29E-05,1.05918,0.015474,-0.00269789,-0.226%,
268,267.346,1.02792,0.000108279,1.05917,0.015463,-0.00292273,-0.230%,
269,264.82,1.00842,0.000182056,1.05892,0.0154521,-0.00314756,-0.228%,
270,262.017,0.98837,0.000258759,1.05843,0.0154411,-0.0033724,-0.227%,
271,258.889,0.970492,0.000327977,1.05765,0.0154301,0.00251823,-0.225%,
272,259.328,0.979044,0.000295159,1.0579,0.0154192,0.00233836,-0.231%,
273,258.881,0.970413,0.00032866,1.05787,0.0154082,0.00215849,-0.237%,
274,255.034,0.953197,0.000396331,1.05657,0.0156978,0.00197862,-0.230%,
275,254.86,0.94445,0.000430816,1.05661,0.015689,0.00179875,-0.236%,
276,254.283,0.944362,0.000431322,1.05648,0.0156803,0.00161888,-0.244%,
277,252.9,0.935607,0.000466102,1.05597,0.0156715,0.00143901,-0.249%,
278,250.192,0.918234,0.000535702,1.05475,0.0156627,0.00125914,-0.249%,
279,249.047,0.918127,0.000536293,1.05424,0.015654,0.00107927,-0.255%,
280,251.526,0.926729,0.000502253,1.05564,0.0156452,0.000899399,-0.258%,
281,250.267,0.917951,0.000537487,1.05511,0.0156364,0.000719528,-0.264%,
282,252.875,0.935333,0.000468904,1.0565,0.0156277,0.000539658,-0.260%,
283,247.65,0.90947,0.000573502,1.05387,0.0156189,0.000359787,-0.237%,
284,243.205,0.885937,0.000670423,1.05115,0.0156101,0.000179916,-0.216%,
285,251.185,0.927473,0.000505214,1.05601,0.0156014,4.58E-08,-0.164%,
286,250.539,0.927361,0.000505819,1.05578,0.0155926,-0.000179825,-0.169%,
287,249.854,0.918577,0.000541133,1.05553,0.0155838,-0.000359695,-0.175%,
288,249.303,0.918463,0.000541747,1.05533,0.0155751,-0.000539566,-0.181%,
289,248.069,0.909703,0.000577214,1.05474,0.0155663,-0.000719436,-0.185%,
290,248.218,0.909588,0.000577833,1.05494,0.0155575,-0.000899307,-0.192%,
291,250.345,0.918198,0.000543595,1.05621,0.0155488,-0.00107918,-0.193%,
292,248.919,0.909407,0.000579066,1.05554,0.01554,-0.00125905,-0.199%,
293,247.608,0.909293,0.000579681,1.05489,0.0155312,-0.00143892,-0.206%,
294,250.76,0.926617,0.000510745,1.05675,0.0155225,-0.00161879,-0.205%,
295,249.843,0.917833,0.00054606,1.05637,0.0155137,-0.00179866,-0.211%,
296,249.445,0.917718,0.000546675,1.05625,0.0155049,-0.00197853,-0.217%,
297,247.351,0.900333,0.000617114,1.05515,0.0154962,-0.0021584,-0.217%,
298,248.404,0.908912,0.000582725,1.05588,0.0154874,-0.00233827,-0.221%,
299,248.31,0.908799,0.000583331,1.05593,0.0154786,-0.00251814,-0.228%,
300,251.031,0.926118,0.00051449,1.05752,0.0154699,-0.00269801,-0.225%,
301,250.188,0.917477,0.000549231,1.05719,0.0154611,0.0332289,-0.231%,
302,248.15,0.908869,0.000584128,1.05617,0.0154523,0.0332882,-0.235%,
303,251.513,0.926367,0.000514764,1.05812,0.0154436,0.0333474,-0.229%,
304,250.9,0.926398,0.000514841,1.05793,0.0154348,0.0334067,-0.235%,
305,252.5,0.935129,0.000480467,1.05885,0.015426,0.0334659,-0.240%,
306,248.705,0.909334,0.000584386,1.05696,0.0154173,0.0335252,-0.229%,
307,244.919,0.892896,0.000651714,1.05475,0.0154085,0.0335844,-0.223%,
308,243.622,0.885739,0.000681303,1.054,0.0153997,0.0336437,-0.228%,
309,241.268,0.871363,0.000741107,1.05245,0.015391,0.0337029,-0.228%,
310,238.257,0.856969,0.000801743,1.05027,0.0153822,0.0337621,-0.228%,
311,237.431,0.856974,0.00080195,1.04973,0.0153734,0.0338214,-0.235%,
312,234.897,0.842604,0.000863354,1.04773,0.0153647,0.0338806,-0.233%,
