tau,s_tmp,cash,delta,pv,r,q,PL,
463,166.188,0.949202,0.000140285,0.978091,0.0146556,0.000170148,-0.558%,
464,165.627,0.950857,0.000130525,0.978044,0.014649,8.57E-05,-0.557%,
465,168.842,0.946066,0.000159126,0.978537,0.0146425,1.21E-06,-0.560%,
466,167.156,0.949483,0.000138911,0.978312,0.0146359,-8.33E-05,-0.561%,
467,166.297,0.949597,0.000138451,0.978218,0.0146293,-0.000167726,-0.560%,
468,167.719,0.948094,0.00014764,0.978447,0.0146227,-0.000252194,-0.559%,
469,168.868,0.946518,0.000157198,0.978647,0.0146162,-0.000336663,-0.558%,
470,173.746,0.941014,0.000189097,0.979503,0.0146096,-0.000421131,-0.563%,
471,174.974,0.939122,0.000200125,0.979764,0.014603,-0.0005056,-0.563%,
472,178.55,0.934941,0.000223749,0.980541,0.0145964,-0.000590068,-0.565%,
473,176.098,0.939321,0.000199088,0.980037,0.0145899,-0.000674537,-0.566%,
474,175.028,0.939449,0.000198568,0.979846,0.0145833,-0.000759005,-0.564%,
475,173.595,0.941576,0.000186532,0.979597,0.0145767,-0.000843474,-0.564%,
476,174.092,0.941704,0.000186015,0.979713,0.0145701,-0.000927942,-0.563%,
477,173.529,0.941831,0.000185497,0.979633,0.0145636,-0.00101241,-0.561%,
478,173.744,0.941959,0.000184977,0.979696,0.014557,-0.00109688,-0.560%,
479,169.089,0.94752,0.000152309,0.978947,0.0145504,-0.00118135,-0.567%,
480,170.368,0.945886,0.000162124,0.97917,0.0145438,-0.00126582,-0.566%,
481,170.832,0.945902,0.000162332,0.979283,0.0145373,0.188875,-0.565%,
482,167.471,0.94932,0.000142235,0.978819,0.0145307,0.18958,-0.568%,
483,169.65,0.94765,0.000152374,0.979177,0.0145241,0.190285,-0.568%,
484,168.859,0.947669,0.000152566,0.979098,0.0145175,0.190989,-0.567%,
485,168.481,0.949375,0.000142741,0.979082,0.014511,0.191694,-0.566%,
486,166.864,0.951003,0.000133289,0.978893,0.0145044,0.192399,-0.565%,
487,163.558,0.953977,0.000115404,0.978516,0.0144978,0.193104,-0.566%,
488,165.305,0.952546,0.000124351,0.978767,0.0144912,0.193809,-0.567%,
489,163.533,0.954019,0.000115642,0.978591,0.0144847,0.194514,-0.566%,
490,164.717,0.952587,0.00012463,0.978772,0.0144781,0.195219,-0.566%,
491,161.649,0.955417,0.000107423,0.978461,0.0144715,0.195923,-0.568%,
492,163.859,0.954057,0.000116012,0.978747,0.0144649,0.196628,-0.568%,
493,164.473,0.952616,0.000125062,0.97886,0.0144584,0.197333,-0.567%,
494,162.366,0.955476,0.000107751,0.978655,0.0144518,0.198038,-0.568%,
495,162.081,0.955505,0.000107864,0.978662,0.0144452,0.198743,-0.567%,
496,160.831,0.956841,9.99E-05,0.97857,0.0144386,0.199448,-0.567%,
497,160.441,0.956871,1.00E-04,0.978569,0.0144321,0.200152,-0.566%,
498,160.459,0.956902,0.000100053,0.978609,0.0144255,0.200857,-0.565%,
499,164.618,0.95268,0.000125983,0.979113,0.0144189,0.201562,-0.569%,
500,162.232,0.955573,0.000108455,0.978874,0.0144123,0.202267,-0.571%,
501,162.177,0.9556,0.000108578,0.978906,0.0144058,0.202972,-0.570%,
502,162.685,0.955627,0.000108704,0.979003,0.0143992,0.203677,-0.569%,
503,165.549,0.952706,0.000126638,0.97939,0.0143926,0.204382,-0.572%,
504,166.426,0.951131,0.000136397,0.979545,0.014386,0.205086,-0.571%,
505,166.246,0.951149,0.000136591,0.979561,0.0143795,0.205791,-0.570%,
506,164.993,0.952757,0.000127153,0.979435,0.0143729,0.206496,-0.570%,
507,168.692,0.947661,0.000157653,0.979993,0.0143663,0.207201,-0.574%,
508,169.274,0.947671,0.000157906,0.980122,0.0143597,0.207906,-0.572%,
509,168.153,0.949465,0.00014755,0.979991,0.0143532,0.208611,-0.572%,
510,171.899,0.943893,0.000180178,0.980625,0.0143466,0.00164239,-0.576%,
511,173.095,0.944028,0.000179618,0.980865,0.01434,0.00153283,-0.575%,
512,174.828,0.939917,0.000203345,0.981221,0.0143334,0.00142328,-0.575%,
513,173.128,0.944256,0.000178493,0.980918,0.0143268,0.00131372,-0.576%,
514,168.611,0.949951,0.000144942,0.98019,0.0143203,0.00120417,-0.580%,
515,169.627,0.948292,0.000154942,0.980369,0.0143137,0.00109461,-0.580%,
516,171.941,0.944571,0.000176797,0.980776,0.0143071,0.000985055,-0.581%,
517,169.203,0.948489,0.000153861,0.980354,0.0143005,0.000875499,-0.583%,
518,169.27,0.948618,0.000153319,0.98039,0.014294,0.000765944,-0.582%,
519,169.147,0.948747,0.000152776,0.980397,0.0142874,0.000656388,-0.581%,
520,170.058,0.948877,0.000152232,0.980563,0.0142808,0.000546832,-0.580%,
521,172.718,0.945164,0.000173945,0.981029,0.0142742,0.000437276,-0.582%,
522,173.378,0.943253,0.000185178,0.981171,0.0142677,0.000327721,-0.581%,
523,174.002,0.943392,0.00018459,0.981307,0.0142611,0.000218165,-0.580%,
524,177.951,0.93676,0.000222068,0.982126,0.0142545,0.000108609,-0.585%,
525,177.757,0.936906,0.000221448,0.982105,0.0142479,-9.46E-07,-0.583%,
526,174.321,0.943677,0.000182818,0.981435,0.0142414,-0.000110502,-0.589%,
527,173.735,0.943817,0.000182225,0.981349,0.0142348,-0.000220058,-0.587%,
528,175.267,0.941821,0.000193824,0.981657,0.0142282,-0.000329613,-0.587%,
529,175.09,0.941964,0.000193216,0.981646,0.0142216,-0.000439169,-0.585%,
530,176.929,0.939874,0.000205237,0.982031,0.0142151,-0.000548725,-0.584%,
531,175.907,0.942239,0.000191996,0.981848,0.0142085,-0.000658281,-0.584%,
532,175.615,0.942383,0.000191384,0.981812,0.0142019,-0.000767836,-0.582%,
533,172.461,0.946629,0.000166977,0.981265,0.0141953,-0.000877392,-0.584%,
534,174.376,0.944738,0.000178036,0.981624,0.0141888,-0.000986948,-0.584%,
535,172.194,0.946881,0.000165799,0.981268,0.0141822,-0.0010965,-0.584%,
536,171.635,0.948931,0.000154069,0.981202,0.0141756,-0.00120606,-0.583%,
537,169.362,0.950868,0.000142849,0.980882,0.014169,-0.00131561,-0.582%,
538,168.067,0.952704,0.000132145,0.98073,0.0141625,-0.00142517,-0.582%,
539,166.705,0.954439,0.000121957,0.980582,0.0141559,-0.00153473,-0.581%,
540,163.367,0.957472,0.000103618,0.980232,0.0141493,0.00146979,-0.583%,
541,158.696,0.961266,7.99E-05,0.97984,0.0141427,0.00137177,-0.589%,
542,160.13,0.960207,8.68E-05,0.979987,0.0141362,0.00127375,-0.588%,
543,158.578,0.961461,7.91E-05,0.979892,0.0141296,0.00117572,-0.588%,
544,159.147,0.961564,7.87E-05,0.979967,0.014123,0.0010777,-0.588%,
545,157.216,0.962728,7.15E-05,0.979854,0.0141164,0.000979679,-0.588%,
546,155.989,0.963809,6.48E-05,0.979802,0.0141099,0.000881657,-0.588%,
547,154.342,0.964809,5.86E-05,0.979733,0.0141033,0.000783635,-0.588%,
548,151.001,0.966487,4.78E-05,0.979596,0.0146978,0.000685613,-0.590%,
549,148.052,0.9679,3.85E-05,0.979509,0.0146934,0.000587591,-0.591%,
550,148.335,0.967978,3.82E-05,0.979555,0.014689,0.000489569,-0.591%,
551,148.944,0.968056,3.79E-05,0.979614,0.0146847,0.000391546,-0.591%,
552,150.032,0.967497,4.19E-05,0.979693,0.0146803,0.000293524,-0.590%,
553,148.475,0.968206,3.74E-05,0.979667,0.0146759,0.000195502,-0.591%,
554,148.001,0.968284,3.72E-05,0.979686,0.0146715,9.75E-05,-0.590%,
555,145.75,0.969439,2.95E-05,0.979648,0.0146671,-5.42E-07,-0.591%,
556,142.614,0.970387,2.31E-05,0.979603,0.0146627,-9.86E-05,-0.592%,
557,144.186,0.970032,2.59E-05,0.979678,0.0146584,-0.000196586,-0.592%,
558,146.792,0.969123,3.23E-05,0.979789,0.014654,-0.000294608,-0.592%,
559,145.228,0.9697,2.86E-05,0.979779,0.0146496,-0.000392631,-0.592%,
560,146.522,0.969266,3.18E-05,0.979853,0.0146452,-0.000490653,-0.592%,
561,144.788,0.970288,2.50E-05,0.97984,0.0146408,-0.000588675,-0.593%,
562,147.577,0.969396,3.14E-05,0.979958,0.0146364,-0.000686697,-0.593%,
563,145.875,0.969963,2.77E-05,0.979943,0.0146321,-0.000784719,-0.593%,
564,147.667,0.969537,3.09E-05,0.980033,0.0146277,-0.000882741,-0.594%,
565,147.349,0.969611,3.06E-05,0.980059,0.0146233,-0.000980763,-0.593%,
566,145.215,0.970167,2.71E-05,0.980034,0.0146189,-0.00107879,-0.593%,
567,144.037,0.970672,2.38E-05,0.980041,0.0146145,-0.00117681,-0.593%,
568,144.162,0.97074,2.36E-05,0.980081,0.0146101,-0.00127483,-0.593%,
569,143.396,0.971195,2.07E-05,0.9801,0.0146058,-0.00137285,-0.593%,
570,141.236,0.971602,1.81E-05,0.980094,0.0146014,0.0268322,-0.593%,
571,140.993,0.971661,1.80E-05,0.980127,0.014597,0.0268335,-0.593%,
572,143.866,0.97099,2.29E-05,0.980222,0.0145926,0.0268347,-0.593%,
573,142.48,0.971431,2.01E-05,0.98023,0.0145882,0.026836,-0.593%,
574,141.613,0.97183,1.76E-05,0.980251,0.0145838,0.0268373,-0.593%,
575,143.657,0.971172,2.24E-05,0.980329,0.0145795,0.0268386,-0.594%,
576,146.498,0.970351,2.83E-05,0.980434,0.0145751,0.0268399,-0.594%,
577,148.376,0.969909,3.15E-05,0.980524,0.0145707,0.0268412,-0.594%,
578,146.435,0.970482,2.79E-05,0.980505,0.0145663,0.0268425,-0.594%,
579,147.074,0.97055,2.77E-05,0.980559,0.0145619,0.0268437,-0.594%,
580,144.464,0.971472,2.16E-05,0.980531,0.0145575,0.026845,-0.594%,
581,145.666,0.971128,2.42E-05,0.980595,0.0145532,0.0268463,-0.594%,
582,146.726,0.970744,2.71E-05,0.980659,0.0145488,0.0268476,-0.594%,
583,145.059,0.971254,2.38E-05,0.980655,0.0145444,0.0268489,-0.594%,
584,143.046,0.972068,1.84E-05,0.98065,0.01454,0.0268502,-0.595%,
585,143.241,0.972129,1.83E-05,0.980691,0.0145356,0.0268515,-0.595%,
586,145.547,0.971435,2.33E-05,0.980776,0.0145312,0.0268527,-0.595%,
587,144.954,0.9715,2.31E-05,0.9808,0.0145268,0.026854,-0.595%,
588,142.596,0.972295,1.78E-05,0.980791,0.0145225,0.0268553,-0.595%,
589,143.565,0.972008,2.01E-05,0.980846,0.0145181,0.0268566,-0.595%,
590,144.324,0.97207,1.99E-05,0.980898,0.0145137,0.0268579,-0.595%,
591,142.529,0.972473,1.74E-05,0.980901,0.0145093,0.0268592,-0.595%,
592,143.513,0.972192,1.96E-05,0.980956,0.0145049,0.0268605,-0.595%,
593,143.54,0.972254,1.94E-05,0.980994,0.0145005,0.0268618,-0.595%,
594,141.118,0.972944,1.48E-05,0.980991,0.0144962,0.026863,-0.595%,
595,140.37,0.973265,1.28E-05,0.981018,0.0144918,0.0268643,-0.595%,
596,141.163,0.973057,1.46E-05,0.981066,0.0144874,0.0268656,-0.595%,
597,138.809,0.9736,1.09E-05,0.981074,0.014483,0.0268669,-0.596%,
598,140.623,0.973164,1.43E-05,0.981134,0.0144786,0.0268682,-0.596%,
599,139.83,0.973476,1.24E-05,0.981161,0.0144742,0.0268695,-0.596%,
600,137.959,0.973754,1.06E-05,0.981177,0.0144699,0.0268708,-0.596%,
601,139.23,0.973585,1.21E-05,0.981229,0.0144655,0.00117624,-0.596%,
602,135.604,0.974218,7.73E-06,0.981232,0.0144611,0.00109216,-0.597%,
603,134.815,0.974268,7.64E-06,0.981264,0.0144567,0.00100808,-0.597%,
604,133.741,0.974463,6.47E-06,0.981294,0.0144523,0.000923993,-0.597%,
605,133.272,0.974512,6.39E-06,0.981329,0.0144479,0.000839912,-0.596%,
606,135.912,0.974417,7.38E-06,0.981386,0.0144436,0.00075583,-0.597%,
607,137.748,0.974117,9.84E-06,0.981439,0.0144392,0.000671748,-0.597%,
608,136.476,0.974353,8.39E-06,0.981466,0.0144348,0.000587666,-0.597%,
609,135.776,0.974564,7.12E-06,0.981498,0.0144304,0.000503584,-0.597%,
610,134.776,0.974614,7.03E-06,0.981529,0.014426,0.000419503,-0.597%,
611,135.856,0.974664,6.95E-06,0.981575,0.0144216,0.000335421,-0.597%,
612,135.982,0.974559,8.01E-06,0.981614,0.0144173,0.000251339,-0.597%,
613,135.468,0.974763,6.78E-06,0.981648,0.0144129,0.000167257,-0.597%,
614,136.381,0.97466,7.82E-06,0.981692,0.0144085,8.32E-05,-0.597%,
615,137.973,0.974538,8.98E-06,0.981743,0.0144041,-9.07E-07,-0.597%,
616,137.29,0.974762,7.63E-06,0.981775,0.0143997,-8.50E-05,-0.597%,
617,140.076,0.974445,1.02E-05,0.981839,0.0143953,-0.00016907,-0.597%,
618,139.719,0.974499,1.01E-05,0.981872,0.014391,-0.000253152,-0.597%,
619,140.751,0.974336,1.15E-05,0.981921,0.0143866,-0.000337234,-0.597%,
620,140.582,0.974392,1.14E-05,0.981956,0.0143822,-0.000421316,-0.597%,
621,140.393,0.974662,9.72E-06,0.981992,0.0143778,-0.000505398,-0.597%,
622,140.642,0.974504,1.11E-05,0.982032,0.0143734,-0.000589479,-0.597%,
623,140.639,0.97456,1.10E-05,0.982069,0.014369,-0.000673561,-0.596%,
624,140.797,0.974616,1.09E-05,0.982108,0.0143647,-0.000757643,-0.596%,
625,143.846,0.974167,1.42E-05,0.982182,0.0143603,-0.000841725,-0.597%,
626,142.937,0.97449,1.23E-05,0.982207,0.0143559,-0.000925807,-0.597%,
627,145.63,0.973986,1.60E-05,0.982282,0.0143515,-0.00100989,-0.597%,
628,146.708,0.973717,1.81E-05,0.982337,0.0143471,-0.00109397,-0.597%,
629,146.073,0.97411,1.56E-05,0.982363,0.0143427,-0.00117805,-0.597%,
630,147.222,0.973845,1.77E-05,0.982419,0.0143384,-0.00126213,-0.597%,
631,147.104,0.97391,1.75E-05,0.982453,0.014334,0.00107018,-0.597%,
632,146.922,0.973975,1.73E-05,0.982486,0.0143296,0.000993745,-0.596%,
633,146.624,0.97404,1.72E-05,0.982518,0.0143252,0.00091731,-0.596%,
634,145.447,0.974417,1.48E-05,0.982536,0.0143208,0.000840875,-0.596%,
635,142.463,0.974992,1.11E-05,0.982536,0.0143164,0.00076444,-0.597%,
636,143.386,0.975049,1.09E-05,0.982584,0.0143121,0.000688005,-0.597%,
637,143.774,0.974865,1.25E-05,0.982625,0.0143077,0.00061157,-0.597%,
638,140.087,0.975542,7.91E-06,0.982625,0.0143033,0.000535135,-0.597%,
639,141.577,0.975411,9.11E-06,0.982676,0.0142989,0.0004587,-0.598%,
640,141.814,0.975464,9.01E-06,0.982716,0.0142945,0.000382265,-0.597%,
641,142.68,0.975312,1.03E-05,0.982761,0.0142901,0.00030583,-0.597%,
642,144.353,0.975136,1.18E-05,0.982817,0.0142858,0.000229395,-0.597%,
643,143.544,0.975192,1.17E-05,0.982845,0.0142814,0.00015296,-0.597%,
644,142.762,0.975472,1.00E-05,0.982874,0.014277,7.65E-05,-0.597%,
645,141.673,0.975721,8.51E-06,0.982901,0.0142726,8.98E-08,-0.597%,
646,144.881,0.975351,1.13E-05,0.982972,0.0142682,-7.63E-05,-0.598%,
647,146.124,0.975155,1.29E-05,0.983025,0.0142638,-0.00015278,-0.598%,
648,147.088,0.974929,1.47E-05,0.983075,0.0142595,-0.000229215,-0.598%,
649,147.306,0.974989,1.46E-05,0.983115,0.0142551,-0.00030565,-0.598%,
650,149.294,0.974732,1.66E-05,0.983184,0.0142507,-0.000382085,-0.598%,
651,152.47,0.973593,2.43E-05,0.983285,0.0142463,-0.00045852,-0.599%,
652,154.035,0.973173,2.73E-05,0.983359,0.0142419,-0.000534955,-0.599%,
653,152.768,0.973733,2.38E-05,0.983363,0.0142375,-0.00061139,-0.599%,
654,150.127,0.974616,1.82E-05,0.983344,0.0142332,-0.000687825,-0.599%,
655,150.855,0.974297,2.06E-05,0.983394,0.0142288,-0.00076426,-0.599%,
656,152.148,0.974365,2.04E-05,0.983457,0.0142244,-0.000840695,-0.599%,
657,151.331,0.974433,2.02E-05,0.983475,0.01422,-0.00091713,-0.599%,
658,151.798,0.974501,2.00E-05,0.983521,0.0142156,-0.000993565,-0.599%,
659,151.151,0.974568,1.98E-05,0.983544,0.0142112,-0.00107,-0.599%,
660,150.341,0.975004,1.71E-05,0.983566,0.0142068,-0.00114644,-0.598%,
661,149.161,0.97539,1.48E-05,0.983583,0.0142025,0.0348326,-0.598%,
662,147.453,0.975733,1.27E-05,0.983595,0.0141981,0.0348651,-0.598%,
663,147.275,0.975789,1.26E-05,0.98363,0.0141937,0.0348976,-0.598%,
664,146.317,0.976092,1.08E-05,0.983655,0.0141893,0.0349301,-0.598%,
665,145.432,0.976146,1.07E-05,0.983682,0.0141849,0.0349626,-0.598%,
666,140.467,0.976749,6.68E-06,0.983679,0.0141805,0.0349951,-0.599%,
667,141.755,0.976798,6.60E-06,0.983725,0.0141762,0.0350276,-0.599%,
668,143.168,0.976685,7.65E-06,0.983773,0.0141718,0.0350601,-0.599%,
669,144.297,0.976552,8.84E-06,0.98382,0.0141674,0.0350926,-0.599%,
670,146.237,0.976394,1.02E-05,0.983876,0.014163,0.0351251,-0.599%,
671,144.093,0.976652,8.65E-06,0.983893,0.0141586,0.0351576,-0.599%,
672,143.551,0.976703,8.56E-06,0.983925,0.0141542,0.0351901,-0.599%,
673,142.288,0.976928,7.25E-06,0.983953,0.0141499,0.0352225,-0.599%,
674,139.313,0.977255,5.17E-06,0.983973,0.0141455,0.035255,-0.600%,
675,139.008,0.977301,5.11E-06,0.984009,0.0141411,0.0352875,-0.600%,
676,140.53,0.97722,5.96E-06,0.984055,0.0141367,0.03532,-0.600%,
677,139.566,0.977393,4.99E-06,0.984087,0.0141323,0.0353525,-0.600%,
678,138.296,0.977547,4.16E-06,0.984119,0.0141279,0.035385,-0.600%,
679,138.355,0.977592,4.10E-06,0.984157,0.0141236,0.0354175,-0.600%,
680,137.33,0.977727,3.40E-06,0.984191,0.0141192,0.03545,-0.600%,
681,138.594,0.977681,4.00E-06,0.984233,0.0141148,0.0354825,-0.600%,
682,137.016,0.977813,3.31E-06,0.984265,0.0141104,0.035515,-0.600%,
683,135.945,0.977931,2.72E-06,0.984299,0.014106,0.0355475,-0.600%,
684,135.759,0.977974,2.69E-06,0.984336,0.0141016,0.03558,-0.600%,
685,138.838,0.977857,3.80E-06,0.984384,0.0140973,0.0356125,-0.600%,
686,137.019,0.977985,3.14E-06,0.984415,0.0140929,0.035645,-0.600%,
687,137.972,0.977945,3.70E-06,0.984456,0.0140885,0.0356775,-0.600%,
688,137.649,0.97799,3.66E-06,0.984493,0.0140841,0.03571,-0.600%,
689,137.909,0.978034,3.61E-06,0.984531,0.0140797,0.0357425,-0.600%,
690,136.61,0.978159,2.97E-06,0.984564,0.0140753,0.00102348,-0.600%,
691,134.723,0.97827,2.43E-06,0.984597,0.014071,0.000955243,-0.600%,
692,137.218,0.978246,2.88E-06,0.984642,0.0140666,0.000887008,-0.600%,
693,136.189,0.97829,2.83E-06,0.984676,0.0140622,0.000818774,-0.600%,
694,135.38,0.978398,2.31E-06,0.984712,0.0140578,0.000750539,-0.600%,
695,135.977,0.978441,2.27E-06,0.984751,0.0140534,0.000682304,-0.600%,
696,133.837,0.978536,1.84E-06,0.984784,0.014049,0.000614069,-0.600%,
697,133.129,0.978578,1.81E-06,0.98482,0.0140447,0.000545834,-0.600%,
698,134.956,0.978568,2.16E-06,0.984861,0.0140403,0.0004776,-0.600%,
699,135.435,0.97861,2.13E-06,0.9849,0.0140359,0.000409365,-0.600%,
700,134.348,0.978703,1.72E-06,0.984935,0.0140315,0.00034113,-0.600%,
701,134.471,0.978744,1.69E-06,0.984973,0.0140271,0.000272895,-0.600%,
702,135.081,0.978737,2.02E-06,0.985012,0.0140227,0.00020466,-0.600%,
703,133.856,0.978827,1.63E-06,0.985047,0.0140184,0.000136425,-0.600%,
704,131.283,0.978939,1.06E-06,0.985081,0.014014,6.82E-05,-0.600%,
705,128.84,0.979005,8.43E-07,0.985117,0.0140096,-4.42E-08,-0.600%,
706,130.52,0.979019,1.02E-06,0.985156,0.0140052,-6.83E-05,-0.600%,
707,129.394,0.979084,8.11E-07,0.985192,0.0140008,-0.000136514,-0.600%,
708,127.339,0.979144,6.37E-07,0.985229,0.0139964,-0.000204749,-0.600%,
709,128.381,0.979183,6.24E-07,0.985267,0.0139921,-0.000272983,-0.600%,
710,128.473,0.979222,6.11E-07,0.985305,0.0139877,-0.000341218,-0.600%,
711,128.083,0.979261,5.99E-07,0.985342,0.0139833,-0.000409453,-0.600%,
712,130.412,0.979258,9.12E-07,0.985381,0.0139789,-0.000477688,-0.600%,
713,129.468,0.979321,7.18E-07,0.985418,0.0139745,-0.000545923,-0.600%,
714,130.059,0.979338,8.76E-07,0.985456,0.0139701,-0.000614157,-0.600%,
715,129.173,0.979399,6.89E-07,0.985493,0.0139658,-0.000682392,-0.601%,
716,128.705,0.979438,6.75E-07,0.985531,0.0139614,-0.000750627,-0.601%,
717,131.331,0.979456,8.25E-07,0.98557,0.013957,-0.000818862,-0.601%,
718,131.845,0.97947,1.00E-06,0.985608,0.0139526,-0.000887097,-0.601%,
719,130.103,0.979535,7.92E-07,0.985644,0.0139482,-0.000955332,-0.601%,
720,129.8,0.979595,6.21E-07,0.985682,0.0139438,0.000942079,-0.601%,
721,127.728,0.97965,4.83E-07,0.985718,0.0139395,0.000879304,-0.601%,
722,126.793,0.979701,3.73E-07,0.985755,0.0139351,0.00081653,-0.601%,
723,127.022,0.97974,3.64E-07,0.985793,0.0139307,0.000753755,-0.601%,
724,128.065,0.979766,4.52E-07,0.985831,0.0139263,0.00069098,-0.601%,
725,128.808,0.97979,5.57E-07,0.985869,0.0139219,0.000628206,-0.601%,
726,129.54,0.979828,5.45E-07,0.985907,0.0139175,0.000565431,-0.601%,
727,129.664,0.979867,5.33E-07,0.985944,0.0139132,0.000502656,-0.601%,
728,130.585,0.979889,6.55E-07,0.985982,0.0139088,0.000439881,-0.601%,
729,129.306,0.979945,5.10E-07,0.986019,0.0139044,0.000377107,-0.601%,
730,128.968,0.979985,4.99E-07,0.986057,0.0143,0.000314332,-0.601%,
731,130.877,0.980008,6.14E-07,0.986097,0.0142967,0.000251557,-0.601%,
732,131.46,0.980048,6.00E-07,0.986136,0.0142934,0.000188783,-0.601%,
733,130.908,0.980088,5.87E-07,0.986174,0.0142901,0.000126008,-0.601%,
734,133.345,0.980085,8.97E-07,0.986214,0.0142868,6.32E-05,-0.601%,
735,133.475,0.980126,8.79E-07,0.986253,0.0142836,4.59E-07,-0.601%,
736,133.37,0.980167,8.60E-07,0.986291,0.0142803,-6.23E-05,-0.601%,
737,133.154,0.980208,8.42E-07,0.98633,0.014277,-0.000125091,-0.601%,
738,135.019,0.980221,1.02E-06,0.98637,0.0142737,-0.000187866,-0.601%,
739,132.889,0.98031,6.44E-07,0.986406,0.0142704,-0.00025064,-0.601%,
740,133.224,0.980329,7.89E-07,0.986445,0.0142671,-0.000313415,-0.601%,
741,134.765,0.980344,9.61E-07,0.986485,0.0142638,-0.00037619,-0.601%,
742,135.354,0.980385,9.41E-07,0.986524,0.0142605,-0.000438964,-0.601%,
743,135.881,0.980426,9.20E-07,0.986563,0.0142573,-0.000501739,-0.601%,
744,136.734,0.980438,1.12E-06,0.986602,0.014254,-0.000564514,-0.601%,
745,138.152,0.980444,1.35E-06,0.986642,0.0142507,-0.000627288,-0.601%,
746,139.257,0.980444,1.63E-06,0.986682,0.0142474,-0.000690063,-0.601%,
747,139.9,0.980486,1.59E-06,0.986721,0.0142441,-0.000752838,-0.601%,
748,140.19,0.980529,1.56E-06,0.98676,0.0142408,-0.000815612,-0.601%,
749,141.908,0.980523,1.88E-06,0.986801,0.0142375,-0.000878387,-0.601%,
750,142.478,0.980509,2.25E-06,0.986841,0.0142342,0.027159,-0.601%,
751,142.52,0.980552,2.21E-06,0.986879,0.014231,0.0271711,-0.601%,
752,142.145,0.980596,2.17E-06,0.986916,0.0142277,0.0271833,-0.601%,
753,142.292,0.98064,2.13E-06,0.986955,0.0142244,0.0271954,-0.601%,
754,143.313,0.980684,2.09E-06,0.986995,0.0142211,0.0272076,-0.601%,
755,144.824,0.980663,2.50E-06,0.987037,0.0142178,0.0272197,-0.601%,
756,143.588,0.980708,2.45E-06,0.987072,0.0142145,0.0272319,-0.601%,
757,140.52,0.980864,1.61E-06,0.987104,0.0142112,0.0272441,-0.601%,
758,139.397,0.980948,1.29E-06,0.987141,0.0142079,0.0272562,-0.601%,
759,141.842,0.980948,1.55E-06,0.987183,0.0142047,0.0272684,-0.601%,
760,139.721,0.981031,1.23E-06,0.987218,0.0142014,0.0272805,-0.601%,
761,139.567,0.981072,1.21E-06,0.987256,0.0141981,0.0272927,-0.601%,
762,138.458,0.981146,9.54E-07,0.987293,0.0141948,0.0273049,-0.602%,
763,136.279,0.981212,7.47E-07,0.987329,0.0141915,0.027317,-0.602%,
764,136.527,0.981253,7.31E-07,0.987368,0.0141882,0.0273292,-0.602%,
765,135.466,0.981313,5.68E-07,0.987406,0.0141849,0.0273413,-0.602%,
766,136.929,0.981333,6.99E-07,0.987445,0.0141816,0.0273535,-0.602%,
767,138.217,0.981349,8.57E-07,0.987484,0.0141784,0.0273657,-0.602%,
768,137.195,0.981413,6.68E-07,0.987521,0.0141751,0.0273778,-0.602%,
769,135.037,0.981472,5.17E-07,0.987558,0.0141718,0.02739,-0.602%,
770,137.313,0.981493,6.38E-07,0.987598,0.0141685,0.0274021,-0.602%,
771,136.92,0.981533,6.24E-07,0.987636,0.0141652,0.0274143,-0.602%,
772,136.077,0.981573,6.09E-07,0.987674,0.0141619,0.0274264,-0.602%,
773,133.848,0.981644,3.69E-07,0.987711,0.0141586,0.0274386,-0.602%,
774,136.314,0.981653,5.81E-07,0.98775,0.0141553,0.0274508,-0.602%,
775,138.143,0.981672,7.16E-07,0.98779,0.0141521,0.0274629,-0.602%,
776,136.253,0.981732,5.54E-07,0.987827,0.0141488,0.0274751,-0.602%,
777,137.618,0.981753,6.83E-07,0.987866,0.0141455,0.0274872,-0.602%,
778,136.307,0.981812,5.28E-07,0.987903,0.0141422,0.0274994,-0.602%,
779,138.452,0.981833,6.52E-07,0.987942,0.0141389,0.0275116,-0.602%,
780,137.801,0.981873,6.36E-07,0.98798,0.0141356,0.0275237,-0.602%,
781,140.254,0.981891,7.81E-07,0.98802,0.0141323,0.000786308,-0.602%,
782,141.551,0.981904,9.54E-07,0.988059,0.014129,0.000730054,-0.602%,
783,144.023,0.981872,1.44E-06,0.9881,0.0141258,0.000673799,-0.602%,
784,142.538,0.981954,1.13E-06,0.988137,0.0141225,0.000617544,-0.602%,
785,141.784,0.982027,8.86E-07,0.988174,0.0141192,0.00056129,-0.602%,
786,140.373,0.982093,6.87E-07,0.988211,0.0141159,0.000505035,-0.602%,
787,139.849,0.982133,6.70E-07,0.988248,0.0141126,0.000448781,-0.602%,
788,141.404,0.98215,8.21E-07,0.988288,0.0141093,0.000392526,-0.602%,
789,140.385,0.982214,6.35E-07,0.988325,0.014106,0.000336272,-0.602%,
790,139.898,0.982254,6.19E-07,0.988363,0.0141027,0.000280017,-0.602%,
791,141.829,0.982272,7.60E-07,0.988402,0.0140995,0.000223763,-0.602%,
792,141.624,0.982313,7.41E-07,0.98844,0.0140962,0.000167508,-0.602%,
793,140.942,0.982353,7.21E-07,0.988478,0.0140929,0.000111253,-0.602%,
794,141.11,0.982394,7.02E-07,0.988516,0.0140896,5.50E-05,-0.602%,
795,142.006,0.982409,8.61E-07,0.988554,0.0140863,-1.26E-06,-0.602%,
