PX, uold2
0,-8.84709e-17
1.4699,0.00476227
2.9398,0.00952455
4.4097,0.0142868
5.8796,0.0190491
7.3495,0.0238114
8.8194,0.0285736
10.2893,0.0333359
11.7592,0.0380982
13.2291,0.0428605
14.699,0.0476227
16.1689,0.052385
17.6388,0.0571473
19.1087,0.0619096
20.5786,0.0666718
22.0485,0.0714341
23.5184,0.0761964
24.9883,0.0809587
26.4582,0.0857209
27.9281,0.0904832
29.398,0.0952455
30.8679,0.100008
32.3378,0.10477
33.8077,0.109532
35.2776,0.114295
36.7475,0.119057
38.2174,0.123819
39.6873,0.128581
41.1572,0.133344
42.6271,0.138106
44.097,0.142868
45.5669,0.147631
47.0368,0.152393
48.5067,0.157155
49.9766,0.161917
51.4465,0.16668
52.9164,0.171442
54.3863,0.176204
55.8562,0.180966
57.3261,0.185729
58.796,0.190491
60.2659,0.195253
61.7358,0.200016
63.2057,0.204778
64.6756,0.209541
66.1455,0.214303
67.6154,0.219065
69.0853,0.223828
70.5552,0.228591
72.0251,0.233354
73.495,0.238117
74.9649,0.24288
76.4348,0.247643
77.9047,0.252407
79.3746,0.257171
80.8445,0.261936
82.3144,0.266701
83.7843,0.271466
85.2542,0.276233
86.7241,0.281
88.194,0.285768
89.6639,0.290538
91.1338,0.295309
92.6037,0.300081
94.0736,0.304856
95.5435,0.309632
97.0134,0.314411
98.4833,0.319192
99.9532,0.323977
101.423,0.328764
102.893,0.333555
104.363,0.338351
105.833,0.343151
107.303,0.347956
108.773,0.352766
110.242,0.357582
111.712,0.362405
113.182,0.367235
114.652,0.372072
116.122,0.376918
117.592,0.381772
119.062,0.386636
120.532,0.39151
122.002,0.396395
123.472,0.401291
124.941,0.4062
126.411,0.411121
127.881,0.416056
129.351,0.421006
130.821,0.42597
132.291,0.43095
133.761,0.435947
135.231,0.440961
136.701,0.445992
138.171,0.451042
139.64,0.456112
141.11,0.461201
142.58,0.466311
144.05,0.471443
145.52,0.476595
146.99,0.481771
148.46,0.486969
149.93,0.49219
151.4,0.497436
152.87,0.502705
154.339,0.508
155.809,0.51332
157.279,0.518665
158.749,0.524036
160.219,0.529433
161.689,0.534856
163.159,0.540306
164.629,0.545783
166.099,0.551287
167.569,0.556817
169.038,0.562375
170.508,0.567959
171.978,0.573571
173.448,0.579209
174.918,0.584874
176.388,0.590566
177.858,0.599631
179.328,0.608708
180.798,0.61779
182.268,0.626872
183.737,0.635948
185.207,0.645011
186.677,0.654056
188.147,0.663076
189.617,0.672066
191.087,0.68102
192.557,0.689935
194.027,0.698804
195.497,0.707624
196.967,0.716391
198.436,0.7251
199.906,0.733748
201.376,0.742321
202.846,0.750816
204.316,0.759227
205.786,0.767554
207.256,0.775791
208.726,0.783938
210.196,0.79199
211.666,0.799947
213.135,0.807805
214.605,0.815564
216.075,0.823203
217.545,0.830723
219.015,0.83812
220.485,0.845395
221.955,0.852547
223.425,0.859575
224.895,0.866478
226.365,0.873257
227.834,0.879912
229.304,0.886442
230.774,0.892826
232.244,0.899065
233.714,0.905159
235.184,0.91111
236.654,0.916919
238.124,0.922587
239.594,0.928116
241.064,0.933509
242.533,0.938766
244.003,0.94389
245.473,0.948858
246.943,0.953672
248.413,0.958336
249.883,0.962852
251.353,0.967224
252.823,0.971454
254.293,0.975546
255.763,0.979503
257.232,0.983329
258.702,0.987027
260.172,0.990576
261.642,0.993979
263.112,0.997242
264.582,1.00037
266.052,1.00336
267.522,1.00623
268.992,1.00897
270.462,1.0116
271.931,1.01411
273.401,1.01651
274.871,1.01878
276.341,1.02093
277.811,1.02297
279.281,1.0249
280.751,1.02671
282.221,1.02843
283.691,1.03005
285.161,1.03158
286.63,1.03303
288.1,1.03439
289.57,1.03565
291.04,1.03684
292.51,1.03794
293.98,1.03896
295.45,1.03991
296.92,1.0408
298.39,1.04162
299.86,1.04238
301.329,1.04309
302.799,1.04374
304.269,1.04434
305.739,1.04489
307.209,1.0454
308.679,1.04586
310.149,1.04628
311.619,1.04666
313.089,1.04701
314.559,1.04733
316.028,1.04762
317.498,1.04789
318.968,1.04813
320.438,1.04834
321.908,1.04854
323.378,1.04871
324.848,1.04887
326.318,1.04901
327.788,1.04914
329.258,1.04925
330.727,1.04935
332.197,1.04944
333.667,1.04952
335.137,1.0496
336.607,1.04966
338.077,1.04972
339.547,1.04977
341.017,1.04981
342.487,1.04985
343.957,1.04989
345.426,1.04992
346.896,1.04995
