tau,s_tmp,cash,delta,pv,r,q,PL
150,289.677,0.709304,0.00103541,1.01021,0.0164986,0.22529,-0.00097617
151,288.451,0.686631,0.00111414,1.00908,0.0164833,0.00672301,-0.00107562
152,290.443,0.710567,0.00103185,1.01135,0.0164679,0.00624279,-0.00108812
153,290.342,0.71108,0.00103021,1.01143,0.0164526,0.00576258,-0.00123836
154,291.649,0.737821,0.00093865,1.01287,0.0164373,0.00528237,-0.0012936
155,289.558,0.712204,0.00102725,1.01101,0.0164219,0.00480216,-0.00135658
156,290.716,0.739148,0.000934686,1.01235,0.0164066,0.00432195,-0.00147679
157,289.169,0.713138,0.00102476,1.01096,0.0163912,0.00384174,-0.00149863
158,288.802,0.689294,0.00110744,1.01076,0.0163759,0.00336153,-0.00163612
159,285.156,0.640155,0.00127988,1.00664,0.0163605,0.00288132,-0.00152015
160,285.767,0.640061,0.00128032,1.0076,0.0163452,0.00240111,-0.00166566
161,287.408,0.66506,0.00119344,1.00977,0.0163299,0.0019209,-0.00170042
162,291.693,0.743203,0.000925656,1.01438,0.0163145,0.00144069,-0.00117401
163,293.364,0.774458,0.000819232,1.01597,0.0162992,0.00096048,-0.00117529
164,289.491,0.715967,0.0010214,1.01263,0.0162838,0.00048027,-0.000975707
165,290.274,0.715863,0.00102187,1.01361,0.0162685,5.96318e-08,-0.00112745
166,288.565,0.690236,0.00111078,1.01202,0.0162532,-0.000480151,-0.0012548
167,289.633,0.715457,0.00102381,1.01336,0.0162378,-0.000960361,-0.00137096
168,291.699,0.744593,0.000924028,1.01554,0.0162225,-0.00144057,-0.00141126
169,292.406,0.777652,0.00081108,1.01635,0.0162071,-0.00192078,-0.00153756
170,292.104,0.777766,0.000810801,1.01629,0.0161918,-0.00240099,-0.00168754
171,293.554,0.811763,0.0006951,1.01766,0.0161764,-0.0028812,-0.00184961
172,295.566,0.846259,0.000578505,1.01923,0.0161611,-0.00336141,-0.0019809
173,294.877,0.812861,0.000691885,1.019,0.0161458,-0.00384162,-0.00211428
174,295.182,0.849198,0.000568899,1.0194,0.0161304,-0.00432183,-0.00227409
175,292.401,0.775922,0.000819622,1.01759,0.0161151,-0.00480204,-0.00201143
176,293.603,0.813326,0.000692331,1.01877,0.0160997,-0.00528225,-0.00217342
177,293.606,0.812527,0.000695162,1.019,0.0160844,-0.00576247,-0.0023705
178,293.532,0.81101,0.000700439,1.01918,0.016069,-0.00624268,-0.00256867
179,296.39,0.855484,0.000550496,1.02123,0.0160537,-0.00672289,-0.00258798
180,294.602,0.804534,0.000723578,1.02048,0.0160384,0.00514519,-0.00278401
181,290.896,0.717374,0.00102333,1.01746,0.016023,0.00480218,-0.00239783
182,291.626,0.711463,0.00104372,1.01841,0.0160077,0.00445917,-0.00257034
183,290.998,0.706186,0.00106198,1.01793,0.0163945,0.00411617,-0.00271467
184,288.592,0.666996,0.0011979,1.01535,0.0163836,0.00377316,-0.00265466
185,289.664,0.68535,0.00113465,1.01675,0.0163726,0.00343015,-0.00273149
186,286.114,0.650517,0.00125651,1.01259,0.0163616,0.00308714,-0.00256313
187,287.35,0.651287,0.00125394,1.01429,0.0163507,0.00274414,-0.00268556
188,287.797,0.670416,0.00118758,1.01499,0.0163397,0.00240113,-0.00278667
189,284.928,0.633914,0.00131581,1.01149,0.0163288,0.00205812,-0.00266867
190,279.979,0.550231,0.0016148,1.00445,0.0163178,0.00171511,-0.00210745
191,278.882,0.550933,0.00161238,1.00285,0.0163068,0.00137211,-0.00225349
192,275.891,0.504188,0.00178191,0.99786,0.0162959,0.0010291,-0.00206039
193,274.192,0.482725,0.00186027,0.994883,0.0162849,0.000686092,-0.00208701
194,271.712,0.442881,0.00200699,0.990217,0.016274,0.000343084,-0.00201242
195,270.119,0.422213,0.00208358,0.987117,0.016263,7.67822e-08,-0.0020899
196,272.268,0.444228,0.00200279,0.991695,0.0162521,-0.000342931,-0.00217166
197,269.529,0.401555,0.00216118,0.986239,0.0162411,-0.000685938,-0.00218291
198,274.269,0.487161,0.00184912,0.995917,0.0162301,-0.00102895,-0.0016013
199,274.406,0.487791,0.00184689,0.996352,0.0162192,-0.00137195,-0.00176291
200,272.984,0.468357,0.00191815,0.99382,0.0162082,-0.00171496,-0.00183729
201,271.455,0.448239,0.00199233,0.990973,0.0161973,-0.00205797,-0.00190533
202,269.507,0.405348,0.00215154,0.987124,0.0161863,-0.00240098,-0.00192131
203,270.648,0.428116,0.00206746,0.9897,0.0161753,-0.00274398,-0.0020288
204,268.774,0.406565,0.0021477,0.985933,0.0161644,-0.00308699,-0.00212208
205,268.919,0.407093,0.00214578,0.986436,0.0161534,-0.00343,-0.00230137
206,268.919,0.40762,0.00214387,0.986622,0.0161425,-0.003773,-0.0024748
207,271.641,0.452197,0.00197981,0.992434,0.0161315,-0.00411601,-0.00243955
208,270.062,0.431253,0.00205741,0.989395,0.0161205,-0.00445902,-0.00251391
209,269.196,0.409537,0.00213812,0.987762,0.0161096,-0.00480203,-0.00265104
210,270.763,0.432859,0.00205222,0.991253,0.0160986,0.0272483,-0.00272962
211,265.343,0.36542,0.0023066,0.979624,0.0160877,0.0272138,-0.00216419
212,267.303,0.390016,0.00221482,0.984357,0.0160767,0.0271793,-0.00231466
213,266.993,0.390881,0.0022118,0.983899,0.0160658,0.0271448,-0.00248157
214,272.815,0.480919,0.001882,0.996206,0.0160548,0.0271103,-0.00184929
215,268.25,0.417269,0.0021195,0.987144,0.0160438,0.0270758,-0.00132055
216,267.841,0.395041,0.00220271,0.986499,0.0160329,0.0270413,-0.00148226
217,266.845,0.395915,0.00219966,0.984534,0.0160219,0.0270068,-0.0016504
