PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기),,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,발행시 VEGA,6개월후VEGA,12개월후VEGA,18개월후VEGA,24개월후VEGA,30개월후VEGA,만기VEGA
8%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,23.7776,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
9%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,25.2637,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
9%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,26.7498,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
10%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,28.2359,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
10%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,29.722,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
11%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,31.2081,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955959,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
11%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,32.6942,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.95596,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
12%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,34.1803,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.95596,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
12%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,35.6664,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.95596,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
13%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,37.1525,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.95596,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
13%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,38.6386,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.95596,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
14%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,40.1247,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.95596,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
14%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,41.6108,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.95596,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
15%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,43.0969,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.95596,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
15%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,44.583,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.95596,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
16%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,46.0691,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955961,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
16%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,47.5552,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955961,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
17%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,49.0413,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955962,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
17%,95.60%,96.44%,97.19%,97.91%,98.61%,99.31%,100.00%,50.5274,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.955962,0.964376,0.971861,0.979089,0.986093,0.993078,1,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%
