tau,s_tmp,cash,delta,pv,r,q,PL
0,293.98,0.915119,0.000272959,0.995364,,,2.77556e-17
1,292.657,0.913173,0.000279723,0.995043,0.0132822,0,-6.66013e-06
2,290.783,0.911318,0.000286219,0.994555,0.0133058,0,-1.03704e-05
3,290.078,0.909552,0.00029242,0.994395,0.0133293,0,-1.80984e-05
4,288.914,0.909429,0.00029296,0.994096,0.0133528,0,-2.69417e-05
5,289.315,0.909306,0.000293502,0.994258,0.0133764,0,-3.75608e-05
6,286.27,0.906512,0.000303379,0.993386,0.0133999,0,-2.64948e-05
7,289.067,0.909086,0.000294587,0.99427,0.0134235,0,-2.82048e-05
8,285.764,0.905527,0.00030716,0.993314,0.013447,0,-1.20135e-05
9,284.755,0.90539,0.000307757,0.993045,0.0134706,0,-1.94104e-05
10,285.196,0.905253,0.000308356,0.993222,0.0134941,0,-2.73256e-05
11,281.561,0.903849,0.00031346,0.99213,0.0135176,0,-2.20299e-05
12,284.205,0.904309,0.000311961,0.992997,0.0135412,0,-2.65356e-05
13,287.281,0.905629,0.000307484,0.993988,0.0135647,0,-2.46791e-05
14,290.487,0.910023,0.000292472,0.994995,0.0135883,0,-1.27531e-05
15,290.561,0.909906,0.000292994,0.995062,0.0136118,0,-2.35005e-05
16,293.355,0.913584,0.00028057,0.995915,0.0136353,0,-2.43948e-05
17,294.02,0.913479,0.000281043,0.99615,0.0136589,0,-3.85781e-05
18,296.124,0.915431,0.000274567,0.996777,0.0136824,0,-3.98728e-05
19,294.555,0.91328,0.000281987,0.996392,0.013706,0,-5.15468e-05
20,298.886,0.919659,0.00026076,0.997605,0.0137295,0,-8.59591e-06
21,297.868,0.919573,0.000261166,0.997388,0.0137531,0,-2.23146e-05
22,297.248,0.917257,0.000269073,0.997272,0.0137766,0,-3.35572e-05
23,294.724,0.915015,0.000276799,0.996628,0.0138001,0,-3.40605e-05
24,296.43,0.917089,0.000269917,0.997147,0.0138237,0,-4.66356e-05
25,295.105,0.914832,0.000277683,0.99683,0.0138472,0,-5.2088e-05
26,293.009,0.910638,0.000292117,0.99628,0.0138708,0,-4.97541e-05
27,291.949,0.910531,0.000292601,0.996017,0.0138943,0,-6.12539e-05
28,292.575,0.910425,0.000293083,0.996249,0.0139179,0,-7.49928e-05
29,296.321,0.916705,0.000272005,0.99736,0.0139414,0,-5.32281e-05
30,297.232,0.916617,0.000272419,0.997657,0.0139649,0,-6.8271e-05
31,298.455,0.91882,0.000265159,0.998035,0.0139885,0,-7.76348e-05
32,297.602,0.916448,0.000273245,0.997855,0.014012,0,-8.89211e-05
33,299.699,0.921037,0.00025805,0.998461,0.0140356,0,-8.57982e-05
34,301.568,0.923397,0.000250343,0.998986,0.0140591,0,-9.3254e-05
35,302.527,0.926284,0.000240918,0.999273,0.0140826,0,-0.000105196
36,303.271,0.926218,0.000241253,0.999503,0.0141062,0,-0.00012009
37,303.974,0.92965,0.000230081,0.999721,0.0141297,0,-0.00013237
38,301.484,0.923141,0.00025179,0.99917,0.0141533,0,-0.000118277
39,300.288,0.920606,0.000260352,0.998916,0.0141768,0,-0.000129825
40,301.274,0.922996,0.000252536,0.999221,0.0142004,0,-0.00014156
41,300.582,0.920439,0.000261164,0.999094,0.0142239,0,-0.000154096
42,302.754,0.925885,0.000243296,0.999693,0.0142474,0,-0.000149788
43,305.083,0.933057,0.000219904,1.00029,0.014271,0,-0.000144077
44,307.118,0.936714,0.000208117,1.00079,0.0142945,0,-0.00015694
45,309.545,0.944035,0.000184584,1.00132,0.0143181,0,-0.000150579
46,307.552,0.936783,0.000208285,1.00098,0.0143416,0,-0.000140382
47,303.165,0.925686,0.00024501,1.00005,0.0143652,0,-8.77267e-05
48,303.211,0.92565,0.00024525,1.00011,0.0143887,0,-0.000102375
49,303.438,0.925614,0.00024549,1.00022,0.0144122,0,-0.000116026
50,299.457,0.919946,0.000264537,0.999258,0.0144358,0,-9.42449e-05
51,295.684,0.91272,0.000289101,0.998262,0.0144593,0,-5.94733e-05
52,292.135,0.90825,0.000304524,0.997255,0.0144829,0,-4.25022e-05
53,288.363,0.902416,0.000324883,0.996112,0.0145064,0,-1.2526e-05
54,288.79,0.902274,0.000325499,0.996296,0.0145299,0,-2.12275e-05
55,286.937,0.900662,0.000331243,0.995736,0.0145535,0,-2.86642e-05
56,285.672,0.899359,0.000335928,0.99536,0.014577,0,-3.54066e-05
57,288.069,0.901856,0.000327384,0.9962,0.0146006,0,-3.44439e-05
58,286.236,0.900229,0.000333194,0.995637,0.0146241,0,-3.56895e-05
59,286.873,0.900075,0.000333857,0.995895,0.0146477,0,-4.49868e-05
60,290.748,0.90526,0.000316151,0.997204,0.0146712,0,-2.43313e-05
61,291.015,0.905138,0.000316709,0.997342,0.0146947,0.0181544,-3.67779e-05
62,292.088,0.907159,0.00030993,0.997732,0.0147183,0.01874,-4.52897e-05
63,294.849,0.911739,0.000294538,0.998628,0.0147418,0.0193257,-4.47166e-05
64,294.558,0.909246,0.000303144,0.998597,0.0147654,0.0199113,-5.70828e-05
65,291.4,0.904668,0.000318998,0.997677,0.0147889,0.0204969,-5.26145e-05
66,291.765,0.904538,0.000319587,0.997846,0.0148125,0.0210825,-6.35531e-05
