tau,s_tmp,cash,delta,pv,r,q,PL
0,297.22,0.584152,0.00136087,0.988629,,,0
1,294.98,0.531753,0.0015386,0.985611,0.0179022,0,-1.13015e-06
2,295.856,0.560394,0.00144188,0.987097,0.0179066,0,-0.000113594
3,294.573,0.534112,0.0015312,0.985396,0.0179111,0,-0.000235255
4,295.735,0.562767,0.00143439,0.987312,0.0179155,0,-0.000345461
5,291.233,0.478286,0.00172457,0.980414,0.0179199,0,0.000122814
6,294.476,0.538605,0.00151981,0.985843,0.0179244,0,0.000309946
7,293.163,0.511036,0.00161394,0.984009,0.0179288,0,0.000175242
8,297.255,0.595208,0.00133086,0.990165,0.0179332,0,0.000647691
9,292.396,0.514756,0.00160611,0.983183,0.0179377,0,0.00119282
10,292.806,0.515947,0.00160213,0.984061,0.0179421,0,0.00099814
11,291.625,0.48703,0.00170137,0.982323,0.0179465,0,0.000869774
12,295.366,0.57515,0.00140311,0.988315,0.017951,0,0.001267
13,293.48,0.520357,0.00158991,0.985711,0.0179554,0,0.00125242
14,294.869,0.550504,0.00148776,0.987986,0.0179598,0,0.00121152
15,292.753,0.523078,0.00158153,0.985,0.0179643,0,0.00107663
16,293.219,0.524352,0.00157728,0.985917,0.0179687,0,0.00092237
17,294.589,0.554479,0.0014751,0.988173,0.0179731,0,0.000852848
18,297.611,0.60933,0.00129088,0.992469,0.0179776,0,0.00104211
19,300.339,0.658703,0.00112659,0.995906,0.017982,0,0.00115688
20,295.303,0.586915,0.0013698,0.989773,0.0179864,0,0.00164841
21,294.32,0.561064,0.00145773,0.98858,0.0179909,0,0.00152378
22,291.554,0.5039,0.0016539,0.984513,0.0179953,0,0.00158692
23,288.394,0.463847,0.00179286,0.97929,0.0179997,0,0.00160783
24,293.325,0.537545,0.00154169,0.987695,0.0180042,0,0.00206665
25,292.608,0.538904,0.00153714,0.986815,0.0180086,0,0.00186798
26,290.276,0.486704,0.00171706,0.983224,0.018013,0,0.00190071
27,288.736,0.47074,0.00177243,0.980786,0.0180175,0,0.0017182
28,286.501,0.454911,0.00182821,0.977133,0.0180219,0.0933255,0.00156327
