PX, vold1
0,4.23273e-16
1.4861,0.00474296
2.9722,0.00948592
4.4583,0.0142289
5.9444,0.0189718
7.4305,0.0237148
8.9166,0.0284578
10.4027,0.0332007
11.8888,0.0379437
13.3749,0.0426866
14.861,0.0474296
16.3471,0.0521725
17.8332,0.0569155
19.3193,0.0616585
20.8054,0.0664014
22.2915,0.0711444
23.7776,0.0758873
25.2637,0.0806303
26.7498,0.0853733
28.2359,0.0901162
29.722,0.0948592
31.2081,0.0996021
32.6942,0.104345
34.1803,0.109088
35.6664,0.113831
37.1525,0.118574
38.6386,0.123317
40.1247,0.12806
41.6108,0.132803
43.0969,0.137546
44.583,0.142289
46.0691,0.147032
47.5552,0.151775
49.0413,0.156518
50.5274,0.161261
52.0135,0.166004
53.4996,0.170747
54.9857,0.17549
56.4718,0.180233
57.9579,0.184976
59.444,0.18972
60.9301,0.194463
62.4162,0.199207
63.9023,0.203951
65.3884,0.208695
66.8745,0.213439
68.3606,0.218184
69.8467,0.222929
71.3328,0.227675
72.8189,0.232422
74.305,0.237169
75.7911,0.241917
77.2772,0.246667
78.7633,0.251417
80.2494,0.25617
81.7355,0.260923
83.2216,0.265679
84.7077,0.270437
86.1938,0.275197
87.6799,0.27996
89.166,0.284727
90.6521,0.289496
92.1382,0.29427
93.6243,0.299047
95.1104,0.303829
96.5965,0.308616
98.0826,0.313409
99.5687,0.318208
101.055,0.323013
102.541,0.327824
104.027,0.332644
105.513,0.337471
106.999,0.342307
108.485,0.347152
109.971,0.352007
111.457,0.356872
112.944,0.361748
114.43,0.366636
115.916,0.371535
117.402,0.376447
118.888,0.381372
120.374,0.386311
121.86,0.391265
123.346,0.396233
124.832,0.401217
126.318,0.406217
127.805,0.411234
129.291,0.416268
130.777,0.421319
132.263,0.426388
133.749,0.431476
135.235,0.436583
136.721,0.441709
138.207,0.446855
139.693,0.452022
141.179,0.457208
142.666,0.462415
144.152,0.467644
145.638,0.472893
147.124,0.478164
148.61,0.483456
150.096,0.48877
151.582,0.494106
153.068,0.499464
154.554,0.504843
156.04,0.510244
157.527,0.515667
159.013,0.521112
160.499,0.526578
161.985,0.532066
163.471,0.537574
164.957,0.543104
166.443,0.548654
167.929,0.554225
169.415,0.559816
170.901,0.565426
172.388,0.571056
173.874,0.576704
175.36,0.582371
176.846,0.588056
178.332,0.593758
179.818,0.599478
181.304,0.605213
182.79,0.610964
184.276,0.616731
185.762,0.622512
187.249,0.628307
188.735,0.634118
190.221,0.639943
