tau,s_tmp,cash,delta,pv,r_for,q,PL,delta,,
1074,96.2934,-0.0140863,0.0033608,0.323623,0.013846,-0.000406359,-1.41%,0.323622859,,
1075,96.1336,-0.0140869,0.0033608,0.323086,0.0138438,-0.00045176,-1.41%,0.323085803,,
1076,96.6145,-0.0140874,0.00336079,0.324701,0.0138416,-0.000497161,-1.41%,0.324701045,,
1077,95.6405,-0.0140879,0.00336079,0.321428,0.0138395,-0.000542562,-1.41%,0.321427636,,
1078,95.7379,-0.0140885,0.00336078,0.321754,0.0138373,-0.000587963,-1.41%,0.32175402,,
1079,96.5105,-0.014089,0.00336078,0.32435,0.0138351,-0.000633364,-1.41%,0.324350558,,
1080,96.2067,-0.0140895,0.003361,0.32335,0.0138329,0.0238378,-1.41%,0.323350719,,
1081,94.9221,-0.0140901,0.00336122,0.319054,0.0138307,0.0238378,-1.41%,0.319054061,,
1082,93.2411,-0.0140906,0.00336144,0.313424,0.0138285,0.0238378,-1.41%,0.313424363,,
1083,92.6682,-0.0140911,0.00336166,0.311519,0.0138263,0.0238378,-1.41%,0.311518981,,
1084,93.0548,-0.0140917,0.00336188,0.312839,0.0138241,0.0238378,-1.41%,0.312839071,,
1085,91.8476,-0.0140922,0.0033621,0.3088,0.0138219,0.0238378,-1.41%,0.308800816,,
1086,91.9521,-0.0140927,0.00336231,0.309172,0.0138197,0.0238378,-1.41%,0.309171465,,
1087,92.8937,-0.0140933,0.00336253,0.312358,0.0138175,0.0238378,-1.41%,0.312357853,,
1088,92.6628,-0.0140938,0.00336275,0.311602,0.0138153,0.0238378,-1.41%,0.311601831,,
1089,92.5169,-0.0140943,0.00336297,0.311132,0.0138132,0.0238378,-1.41%,0.311131559,,
1090,92.5845,-0.0140949,0.00336319,0.31138,0.013811,0.0238378,-1.41%,0.311379265,,
1091,92.1615,-0.0140954,0.00336341,0.309977,0.0138088,0.0238378,-1.41%,0.309976911,,
1092,91.5765,-0.0140959,0.00336363,0.30803,0.0138066,0.0238378,-1.41%,0.308029463,,
1093,90.4908,-0.0140965,0.00336385,0.304398,0.0138044,0.0238378,-1.41%,0.304397478,,
1094,91.3484,-0.014097,0.00336407,0.307303,0.0138022,0.0238378,-1.41%,0.307302412,,
1095,90.4312,-0.0140976,0.00336429,0.304237,0.015,0.0238378,-1.41%,0.304236782,,
1096,90.1276,-0.0140982,0.00336451,0.303235,0.015,0.0238378,-1.41%,0.303235211,,
1_6-th Autocalled i=985,90.1276,-0.0140982,0.00336451,0.303235,,,-1.41%,0.303235211,,
