tau,s_tmp,cash,delta,pv,r_for,q,PL,delta,,
148,242.925,0.00484114,0.00364696,0.899014,0.0165293,0.220435,-0.82%,0.885937758,,
149,241.165,-0.00991832,0.00371039,0.893307,0.016514,0.222862,-0.84%,0.894816204,,
150,239.534,-0.0248911,0.00377519,0.887969,0.0164986,0.22529,-0.86%,0.904286361,,
151,241.989,0.0081624,0.00363866,0.897268,0.0164833,0.00672301,-0.86%,0.880515695,,
152,239.315,-0.0248148,0.00377652,0.887548,0.0164679,0.00624279,-0.86%,0.903777884,,
153,236.56,-0.0582743,0.00391802,0.877161,0.0164526,0.00576258,-0.86%,0.926846811,,
154,230.999,-0.123246,0.00419933,0.854886,0.0164373,0.00528237,-0.81%,0.970041031,,
155,224.354,-0.175751,0.00443338,0.826468,0.0164219,0.00480216,-0.76%,0.994646537,,
156,225.39,-0.163303,0.00437817,0.831206,0.0164066,0.00432195,-0.77%,0.986795736,,
157,226.101,-0.163856,0.00438063,0.834503,0.0163912,0.00384174,-0.79%,0.990464824,,
158,233.133,-0.091111,0.00406861,0.864445,0.0163759,0.00336153,-0.70%,0.948527255,,
159,233.807,-0.0914888,0.00407024,0.867366,0.0163605,0.00288132,-0.72%,0.951650604,,
160,233.484,-0.091871,0.00407189,0.866247,0.0163452,0.00240111,-0.74%,0.950721165,,
161,230.242,-0.124426,0.00421328,0.852997,0.0163299,0.0019209,-0.73%,0.970074014,,
162,225.952,-0.16506,0.00439311,0.834711,0.0163145,0.00144069,-0.71%,0.992631991,,
163,229.273,-0.138435,0.00427696,0.849241,0.0162992,0.00096048,-0.71%,0.98059145,,
164,224.097,-0.178843,0.00445726,0.826816,0.0162838,0.00048027,-0.68%,0.998858594,,
165,223.393,-0.192598,0.00451879,0.82382,0.0162685,5.96318E-08,-0.69%,1.009466054,,
166,225.5,-0.166561,0.00440328,0.833376,0.0162532,-0.000480151,-0.70%,0.99293964,,
167,224.605,-0.180523,0.0044654,0.829571,0.0162378,-0.000960361,-0.71%,1.002951167,,
168,225.767,-0.167672,0.00440843,0.834888,0.0162225,-0.00144057,-0.73%,0.995278016,,
169,227.536,-0.154581,0.00435084,0.842799,0.0162071,-0.00192078,-0.74%,0.98997273,,
170,225.663,-0.168758,0.00441361,0.834751,0.0161918,-0.00240099,-0.75%,0.995988473,,
171,228.908,-0.141629,0.00429502,0.849065,0.0161764,-0.0028812,-0.75%,0.983164438,,
172,221.359,-0.208835,0.00459856,0.815646,0.0161611,-0.00336141,-0.65%,1.017932643,,
173,218.776,-0.235185,0.00471891,0.803759,0.0161458,-0.00384162,-0.66%,1.032384254,,
174,218.388,-0.235959,0.00472235,0.802072,0.0161304,-0.00432183,-0.67%,1.031304572,,
175,218.14,-0.236737,0.00472581,0.80103,0.0161151,-0.00480204,-0.69%,1.030888193,,
176,222.886,-0.197787,0.00455094,0.823225,0.0160997,-0.00528225,-0.67%,1.014340813,,
177,219.343,-0.224768,0.00467384,0.80697,0.0160844,-0.00576247,-0.66%,1.025174087,,
178,216.07,-0.262088,0.00484643,0.791508,0.016069,-0.00624268,-0.64%,1.04716813,,
179,218.654,-0.238794,0.00473976,0.803994,0.0160537,-0.00672289,-0.64%,1.036367483,,
180,216.235,-0.252189,0.00480173,0.792587,0.0160384,0.00514519,-0.65%,1.038302087,,
181,214.341,-0.274075,0.00490384,0.783535,0.016023,0.00480218,-0.65%,1.051093969,,
182,214.44,-0.274914,0.00490776,0.784167,0.0160077,0.00445917,-0.67%,1.052420054,,
183,218.07,-0.241258,0.00475342,0.801875,0.0163945,0.00411617,-0.66%,1.036578299,,
184,219.671,-0.228797,0.00469669,0.809632,0.0163836,0.00377316,-0.67%,1.031726589,,
185,218.12,-0.242677,0.00476033,0.802442,0.0163726,0.00343015,-0.68%,1.03832318,,
186,215.236,-0.267739,0.00487676,0.788662,0.0163616,0.00308714,-0.67%,1.049654315,,
187,211.475,-0.297666,0.00501825,0.770202,0.0163507,0.00274414,-0.66%,1.061234419,,
188,210.136,-0.30774,0.00506616,0.763601,0.0163397,0.00240113,-0.68%,1.064582598,,
189,207.564,-0.317462,0.00511296,0.750639,0.0163288,0.00205812,-0.68%,1.061266429,,
190,208.964,-0.309562,0.00507511,0.75791,0.0163178,0.00171511,-0.70%,1.060515286,,
191,207.588,-0.319354,0.00512224,0.75099,0.0163068,0.00137211,-0.70%,1.063315557,,
192,208.172,-0.320337,0.0051269,0.754109,0.0162959,0.0010291,-0.72%,1.067277027,,
193,211.845,-0.293182,0.00499867,0.77286,0.0162849,0.000686092,-0.71%,1.058943246,,
194,205.972,-0.33009,0.0051778,0.742974,0.016274,0.000343084,-0.66%,1.066481822,,
195,207.235,-0.331116,0.00518267,0.749627,0.016263,7.67822E-08,-0.67%,1.074030617,,
196,211.043,-0.304732,0.00505758,0.769215,0.0162521,-0.000342931,-0.66%,1.067366856,,
197,213.137,-0.295823,0.00501571,0.77987,0.0162411,-0.000685938,-0.67%,1.069033382,,
198,212.825,-0.296752,0.00502,0.778448,0.0162301,-0.00102895,-0.68%,1.0683815,,
199,210.006,-0.31699,0.00511629,0.764317,0.0162192,-0.00137195,-0.69%,1.074451598,,
200,204.464,-0.343955,0.00524807,0.735688,0.0162082,-0.00171496,-0.66%,1.073041384,,
201,201.991,-0.360338,0.00532908,0.722675,0.0161973,-0.00205797,-0.66%,1.076426198,,
202,198.07,-0.378198,0.00541913,0.70167,0.0161863,-0.00240098,-0.65%,1.073367079,,
203,196.932,-0.379377,0.00542499,0.695547,0.0161753,-0.00274398,-0.66%,1.068354131,,
204,196.342,-0.385088,0.00545395,0.692386,0.0161644,-0.00308699,-0.66%,1.070839451,,
205,199.225,-0.376646,0.00541144,0.708098,0.0161534,-0.00343,-0.67%,1.078094134,,
206,204.917,-0.349612,0.00527937,0.738642,0.0161425,-0.003773,-0.64%,1.081832662,,
207,208.151,-0.332926,0.00519908,0.755696,0.0161315,-0.00411601,-0.64%,1.082193701,,
208,208.39,-0.333976,0.00520398,0.757041,0.0161205,-0.00445902,-0.66%,1.084457392,,
209,208.314,-0.335028,0.00520889,0.756756,0.0161096,-0.00480203,-0.67%,1.085084711,,
210,210.235,-0.326331,0.00516784,0.7669,0.0160986,0.0272483,-0.68%,1.086460842,,
211,213.013,-0.306703,0.00507602,0.781298,0.0160877,0.0272138,-0.67%,1.081258248,,
212,213.647,-0.296788,0.00502992,0.784728,0.0160767,0.0271793,-0.69%,1.074627318,,
213,218.062,-0.25934,0.00485851,0.806887,0.0160658,0.0271448,-0.68%,1.059456408,,
214,213.571,-0.297574,0.00503784,0.784807,0.0160548,0.0271103,-0.64%,1.075936527,,
215,212.943,-0.309191,0.0050927,0.781856,0.0160438,0.0270758,-0.66%,1.084454816,,
216,211.758,-0.320585,0.00514682,0.776034,0.0160329,0.0270413,-0.67%,1.08988031,,
217,210.117,-0.331708,0.00520007,0.767802,0.0160219,0.0270068,-0.69%,1.092623108,,
218,209.799,-0.332608,0.00520468,0.766374,0.016011,0.0269723,-0.70%,1.091936659,,
219,210.5,-0.323136,0.00516,0.770225,0.016,0.0269378,-0.72%,1.08618,,
220,207.671,-0.344245,0.00526196,0.755654,0.015989,0.0269033,-0.71%,1.092756495,,
221,206.284,-0.354808,0.00531347,0.748516,0.0159781,0.0268688,-0.72%,1.096083845,,
222,206.319,-0.35578,0.0053185,0.748902,0.0159671,0.0268343,-0.74%,1.097307602,,
223,205.811,-0.366091,0.00536891,0.746389,0.0159562,0.0267998,-0.75%,1.104980736,,
224,203.374,-0.375979,0.00541785,0.73346,0.0159452,0.0267653,-0.76%,1.101849826,,
225,207.112,-0.358465,0.0053336,0.753738,0.0159342,0.0267308,-0.75%,1.104652563,,
226,208.288,-0.349531,0.00529103,0.760182,0.0159233,0.0266963,-0.77%,1.102058057,,
227,207.768,-0.350501,0.00529601,0.757643,0.0159123,0.0266618,-0.78%,1.100341406,,
228,216.481,-0.281192,0.00497616,0.802809,0.0159014,0.0266273,-0.68%,1.077244093,,
229,215.324,-0.295121,0.00504116,0.797198,0.0158904,0.0265928,-0.68%,1.085482736,,
230,217.627,-0.282219,0.00498218,0.808915,0.0158795,0.0265583,-0.69%,1.084256887,,
231,219.13,-0.267733,0.00491638,0.816514,0.0158685,0.0265238,-0.69%,1.077326349,,
232,219.973,-0.252881,0.00484916,0.82084,0.0158575,0.0264893,-0.70%,1.066684273,,
233,218.83,-0.268775,0.0049221,0.815472,0.0158466,0.0264548,-0.71%,1.077103143,,
234,216.215,-0.297877,0.005057,0.802682,0.0158356,0.0264203,-0.72%,1.093399255,,
235,218.498,-0.269588,0.00492784,0.814268,0.0158247,0.0263858,-0.71%,1.076723184,,
236,220.139,-0.254583,0.00485998,0.822497,0.0158137,0.0263513,-0.72%,1.069871137,,
237,222.179,-0.223015,0.00471819,0.832504,0.0158027,0.0263168,-0.72%,1.048282736,,
238,220.966,-0.239563,0.00479338,0.826919,0.0157918,0.0262823,-0.73%,1.059174005,,
239,219.106,-0.271476,0.00493933,0.818089,0.0157808,0.0262478,-0.73%,1.082236839,,
240,216.366,-0.28738,0.00501283,0.804599,0.0157699,0.00337272,-0.74%,1.084605976,,
241,209.604,-0.347554,0.00529989,0.769754,0.0157589,0.00314789,-0.64%,1.110878144,,
242,204.808,-0.378713,0.005452,0.744047,0.0157479,0.00292305,-0.61%,1.116613216,,
243,200.159,-0.405095,0.00558376,0.718411,0.015737,0.00269821,-0.59%,1.117639818,,
244,204.209,-0.389225,0.005506,0.740942,0.015726,0.00247337,-0.58%,1.124374754,,
245,205.223,-0.380732,0.00546457,0.746589,0.0157151,0.00224854,-0.59%,1.121455449,,
246,207.262,-0.371699,0.00542094,0.757745,0.0157041,0.0020237,-0.59%,1.123554866,,
247,208.868,-0.351362,0.00532352,0.766478,0.0156932,0.00179886,-0.59%,1.111912975,,
248,212.913,-0.329105,0.00521894,0.787935,0.0156822,0.00157402,-0.59%,1.111180172,,
249,207.978,-0.363316,0.00538338,0.761916,0.0156712,0.00134919,-0.56%,1.119624606,,
250,205.182,-0.38434,0.00548579,0.74681,0.0156603,0.00112435,-0.56%,1.125585364,,
251,208.801,-0.353814,0.00533953,0.766536,0.0156493,0.000899511,-0.54%,1.114899204,,
252,207.874,-0.365512,0.00539573,0.76165,0.0156384,0.000674674,-0.55%,1.121631978,,
253,208.311,-0.36639,0.00539988,0.764107,0.0156274,0.000449836,-0.56%,1.124854403,,
254,207.608,-0.367269,0.00540404,0.760401,0.0156164,0.000224999,-0.57%,1.121921936,,
255,209.028,-0.357191,0.00535575,0.768165,0.0156055,1.61057E-07,-0.59%,1.119501711,,
256,211.589,-0.346579,0.00530553,0.781917,0.0155945,-0.000224676,-0.59%,1.122591787,,
257,211.299,-0.347441,0.00530953,0.780499,0.0155836,-0.000449514,-0.60%,1.121898379,,
258,213.617,-0.323996,0.0051997,0.792797,0.0155726,-0.000674351,-0.61%,1.110744315,,
259,210.225,-0.360279,0.00537221,0.774989,0.0155616,-0.000899189,-0.59%,1.129372847,,
260,207.494,-0.372149,0.00542933,0.760345,0.0155507,-0.00112403,-0.59%,1.126553399,,
261,209.23,-0.361959,0.00538053,0.769857,0.0155397,-0.00134886,-0.60%,1.125768292,,
262,210.966,-0.351264,0.00532974,0.779272,0.0155288,-0.0015737,-0.61%,1.124393929,,
263,211.765,-0.35215,0.00533382,0.783625,0.0155178,-0.00179854,-0.63%,1.129516392,,
264,214.18,-0.32836,0.00522265,0.796447,0.0155068,-0.00202338,-0.62%,1.118587177,,
265,214.07,-0.329208,0.00522652,0.795994,0.0154959,-0.00224821,-0.64%,1.118841136,,
266,209.516,-0.365909,0.00540158,0.771904,0.0154849,-0.00247305,-0.61%,1.131717435,,
267,208.922,-0.366823,0.00540584,0.768772,0.015474,-0.00269789,-0.62%,1.129398904,,
268,209.961,-0.367744,0.00541011,0.774494,0.015463,-0.00292273,-0.63%,1.135912106,,
269,210.164,-0.368671,0.0054144,0.775687,0.0154521,-0.00314756,-0.64%,1.137911962,,
270,210.088,-0.369601,0.00541871,0.775375,0.0154411,-0.0033724,-0.66%,1.138405946,,
271,209.416,-0.370506,0.00542299,0.771863,0.0154301,0.00251823,-0.67%,1.135660874,,
272,211.658,-0.359537,0.00537113,0.784056,0.0154192,0.00233836,-0.67%,1.136842634,,
273,212.473,-0.348106,0.00531729,0.788536,0.0154082,0.00215849,-0.69%,1.129780558,,
274,211.102,-0.36125,0.00537951,0.781324,0.0156978,0.00197862,-0.70%,1.13562532,,
275,212.748,-0.349753,0.00532542,0.790247,0.015689,0.00179875,-0.70%,1.132972454,,
276,212.43,-0.35063,0.0053295,0.788685,0.0156803,0.00161888,-0.72%,1.132145685,,
277,214.323,-0.338619,0.00527341,0.798833,0.0156715,0.00143901,-0.72%,1.130213051,,
278,211.282,-0.364625,0.00539645,0.782775,0.0156627,0.00125914,-0.72%,1.140172749,,
279,213.947,-0.340009,0.00528133,0.797121,0.015654,0.00107927,-0.72%,1.12992471,,
280,218.361,-0.295437,0.00507716,0.820165,0.0156452,0.000899399,-0.69%,1.108653735,,
281,220.499,-0.279022,0.00500267,0.831055,0.0156364,0.000719528,-0.70%,1.103083732,,
282,226,-0.207363,0.00468554,0.857781,0.0156277,0.000539658,-0.62%,1.05893204,,
283,223.42,-0.244095,0.00484992,0.845681,0.0156189,0.000359787,-0.62%,1.083569126,,
284,222.258,-0.244756,0.00485285,0.8402,0.0156101,0.000179916,-0.64%,1.078584735,,
285,221.993,-0.263269,0.0049362,0.839063,0.0156014,4.58268E-08,-0.65%,1.095801847,,
286,217.758,-0.298525,0.00509804,0.817947,0.0155926,-0.000179825,-0.63%,1.110138994,,
287,217.412,-0.31625,0.00517951,0.816316,0.0155838,-0.000359695,-0.65%,1.126087628,,
288,218.623,-0.299986,0.00510505,0.822675,0.0155751,-0.000539566,-0.66%,1.116081346,,
289,224.564,-0.22831,0.0047858,0.852166,0.0155663,-0.000719436,-0.58%,1.074718391,,
290,222.806,-0.247195,0.00487051,0.843844,0.0155575,-0.000899307,-0.59%,1.085178851,,
291,224.605,-0.22943,0.00479135,0.852689,0.0155488,-0.00107918,-0.60%,1.076161167,,
292,222.484,-0.248372,0.00487643,0.842583,0.01554,-0.00125905,-0.60%,1.084927652,,
293,228.668,-0.173152,0.00454741,0.872006,0.0155312,-0.00143892,-0.53%,1.03984715,,
294,227.692,-0.192698,0.0046332,0.867697,0.0155225,-0.00161879,-0.55%,1.054942574,,
295,227.55,-0.193264,0.00463563,0.867217,0.0155137,-0.00179866,-0.56%,1.054837607,,
296,225.31,-0.212695,0.00472181,0.856875,0.0155049,-0.00197853,-0.57%,1.063871011,,
297,225.035,-0.232125,0.00480809,0.855726,0.0154962,-0.0021584,-0.59%,1.081988533,,
298,224.311,-0.232771,0.00481089,0.852435,0.0154874,-0.00233827,-0.61%,1.079135547,,
299,228.688,-0.175625,0.00456093,0.873144,0.0154786,-0.00251814,-0.57%,1.04302996,,
300,233.388,-0.112398,0.00428996,0.894163,0.0154699,-0.00269801,-0.53%,1.001225184,,
301,231.107,-0.135071,0.00438843,0.884485,0.0154611,0.0332289,-0.54%,1.014196892,,
302,230.049,-0.15626,0.00448091,0.880043,0.0154523,0.0332882,-0.55%,1.030828865,,
303,228.095,-0.195312,0.0046525,0.871417,0.0154436,0.0333474,-0.55%,1.061211988,,
304,228.396,-0.176057,0.00456859,0.873085,0.0154348,0.0334067,-0.57%,1.043447682,,
305,227.263,-0.195751,0.00465563,0.868129,0.015426,0.0334659,-0.58%,1.058052441,,
306,228.597,-0.176373,0.00457125,0.874572,0.0154173,0.0335252,-0.60%,1.044974036,,
307,227.062,-0.196148,0.00465873,0.867742,0.0154085,0.0335844,-0.61%,1.057820551,,
308,225.819,-0.215903,0.00474661,0.862171,0.0153997,0.0336437,-0.62%,1.071874724,,
309,224.833,-0.235628,0.00483474,0.857722,0.015391,0.0337029,-0.63%,1.087009098,,
310,225.985,-0.216421,0.00475015,0.863517,0.0153822,0.0337621,-0.65%,1.073462648,,
311,223.111,-0.255393,0.00492522,0.849908,0.0153734,0.0338214,-0.64%,1.098870759,,
312,219.136,-0.311888,0.00518344,0.830179,0.0153647,0.0338806,-0.62%,1.135878308,,
313,217.938,-0.31245,0.00518644,0.824239,0.0153559,0.0339399,-0.64%,1.130322361,,
314,218.033,-0.313012,0.00518944,0.824997,0.0153471,0.0339991,-0.65%,1.131469172,,
315,219.137,-0.313578,0.00519245,0.830985,0.0153384,0.0340584,-0.67%,1.137857916,,
316,219.188,-0.314143,0.00519545,0.831516,0.0153296,0.0341176,-0.69%,1.138780295,,
317,221.888,-0.276528,0.00502635,0.845497,0.0153208,0.0341769,-0.67%,1.115286749,,
318,223.486,-0.257441,0.00494137,0.85369,0.0153121,0.0342361,-0.68%,1.104327016,,
319,224.902,-0.237983,0.00485527,0.860866,0.0153033,0.0342954,-0.69%,1.091959934,,
320,224.404,-0.238374,0.00485742,0.858749,0.0152945,0.0343546,-0.71%,1.090024478,,
321,224.817,-0.238766,0.00485958,0.86102,0.0152858,0.0344139,-0.73%,1.092516197,,
322,227.782,-0.198201,0.00468191,0.87538,0.015277,0.0344731,-0.71%,1.066454824,,
323,224.707,-0.239003,0.00486389,0.861058,0.0152682,0.0345324,-0.71%,1.09295013,,
324,223.533,-0.259445,0.00495576,0.8556,0.0152595,0.0345916,-0.73%,1.1077759,,
325,224.095,-0.23973,0.0048682,0.858646,0.0152507,0.0346509,-0.74%,1.090939279,,
326,223.873,-0.240119,0.00487036,0.85784,0.0152419,0.0347101,-0.76%,1.090342104,,
327,223.441,-0.260714,0.00496295,0.856,0.0152332,0.0347694,-0.78%,1.108926511,,
328,223.155,-0.261155,0.00496535,0.854875,0.0152244,0.0348286,-0.80%,1.108042679,,
329,219.248,-0.300959,0.00514733,0.835339,0.0152156,0.0348879,-0.78%,1.128541808,,
330,219.107,-0.320892,0.00523873,0.83488,0.0152068,0.0349471,-0.79%,1.147842414,,
331,216.492,-0.340658,0.00533,0.821243,0.0151981,0.00195837,-0.80%,1.15390236,,
332,215.354,-0.358724,0.00541385,0.815272,0.0151893,0.00181854,-0.81%,1.165894253,,
333,215.493,-0.359636,0.00541804,0.816191,0.0151805,0.0016787,-0.83%,1.167549694,,
334,215.836,-0.360554,0.00542225,0.818193,0.0151718,0.00153887,-0.84%,1.170316751,,
335,215.801,-0.361475,0.00542647,0.81816,0.015163,0.00139903,-0.86%,1.171037652,,
336,211.711,-0.407395,0.00564332,0.795761,0.0151542,0.00125919,-0.84%,1.194752921,,
337,214.074,-0.378372,0.00550768,0.809054,0.0151455,0.00111936,-0.84%,1.179051088,,
338,208.656,-0.436344,0.00578545,0.778658,0.0151367,0.00097952,-0.78%,1.207168855,,
339,214.095,-0.37879,0.00551656,0.809468,0.0151279,0.000839683,-0.72%,1.181067913,,
340,211.306,-0.409589,0.00566225,0.794039,0.0151192,0.000699847,-0.72%,1.196467399,,
341,210.546,-0.410611,0.00566703,0.789865,0.0151104,0.000560011,-0.73%,1.193170498,,
342,213.645,-0.381351,0.00553,0.807419,0.0151016,0.000420174,-0.73%,1.18145685,,
343,216.181,-0.366413,0.00546083,0.821486,0.0150929,0.000280338,-0.74%,1.18052769,,
344,215.609,-0.36737,0.0054652,0.81854,0.0150841,0.000140501,-0.76%,1.178346307,,
345,216.156,-0.368334,0.00546959,0.821668,0.0150753,6.65126E-07,-0.77%,1.182284696,,
346,218.414,-0.331545,0.00530108,0.833971,0.0150666,-0.000139171,-0.77%,1.157830087,,
347,218.542,-0.332439,0.00530511,0.834816,0.0150578,-0.000279008,-0.79%,1.15938935,,
348,221.413,-0.292232,0.00512345,0.84996,0.015049,-0.000418844,-0.78%,1.134398435,,
349,221.657,-0.293046,0.00512706,0.851383,0.0150403,-0.00055868,-0.80%,1.136448738,,
350,217.177,-0.354212,0.00540863,0.828012,0.0150315,-0.000698517,-0.76%,1.174630038,,
351,216.734,-0.355162,0.00541293,0.825773,0.0150227,-0.000838353,-0.78%,1.173165971,,
352,217.286,-0.356117,0.00541725,0.828921,0.015014,-0.000978189,-0.79%,1.177092584,,
353,220.566,-0.316195,0.00523617,0.846464,0.0150052,-0.00111803,-0.77%,1.154921072,,
354,221.722,-0.296065,0.0051453,0.852618,0.0149964,-0.00125786,-0.79%,1.140826207,,
355,226.245,-0.231339,0.00485914,0.875333,0.0149877,-0.0013977,-0.73%,1.099356129,,
356,225.82,-0.232028,0.00486213,0.873476,0.0149789,-0.00153753,-0.75%,1.097966197,,
357,229.197,-0.187754,0.00466889,0.889732,0.0149701,-0.00167737,-0.74%,1.070095581,,
358,230.859,-0.165632,0.00457301,0.897565,0.0149614,-0.00181721,-0.75%,1.055720516,,
359,231.545,-0.141835,0.00447019,0.900879,0.0149526,-0.00195704,-0.77%,1.035050144,,
360,225.986,-0.233106,0.00487406,0.875076,0.0149438,0.00177441,-0.67%,1.101469323,,
361,226.192,-0.233771,0.00487698,0.876277,0.0149351,0.00165608,-0.69%,1.10313386,,
362,227.661,-0.211846,0.00478065,0.883555,0.0149263,0.00153775,-0.70%,1.08836756,,
363,227.774,-0.212463,0.00478334,0.884302,0.0149175,0.00141942,-0.72%,1.089520485,,
364,224.287,-0.257746,0.00498522,0.867519,0.0149088,0.00130109,-0.71%,1.118120038,,
365,224.572,-0.258476,0.00498844,0.869141,0.0153,0.00118276,-0.74%,1.120263948,,
366,221.068,-0.302979,0.00518971,0.851478,0.0152934,0.00106443,-0.72%,1.14727881,,
367,221.689,-0.30382,0.00519346,0.854897,0.0152868,0.000946104,-0.74%,1.151332954,,
368,222.883,-0.282567,0.00509806,0.861236,0.0152803,0.000827775,-0.75%,1.136270907,,
369,217.759,-0.347604,0.00539668,0.834395,0.0152737,0.000709446,-0.68%,1.17517564,,
370,214.775,-0.387934,0.0055844,0.818044,0.0152671,0.000591117,-0.66%,1.19938951,,
371,211.219,-0.437637,0.00581965,0.797877,0.0152605,0.000472787,-0.63%,1.229220653,,
372,208.391,-0.468514,0.00596773,0.78138,0.015254,0.000354458,-0.63%,1.243621222,,
373,201.865,-0.520363,0.00622449,0.741694,0.0152474,0.000236129,-0.56%,1.256506674,,
374,201.168,-0.531999,0.00628223,0.737424,0.0152408,0.0001178,-0.56%,1.263783645,,
375,200.017,-0.533316,0.0062887,0.730266,0.0152342,-5.29523E-07,-0.57%,1.257846908,,
376,200.979,-0.534649,0.00629522,0.736407,0.0152277,-0.000118859,-0.58%,1.26520702,,
377,199.776,-0.544978,0.00634681,0.7289,0.0152211,-0.000237188,-0.59%,1.267940315,,
378,201.64,-0.526817,0.00625662,0.740732,0.0152145,-0.000355517,-0.60%,1.261584857,,
379,202.249,-0.528162,0.00626315,0.744643,0.0152079,-0.000473846,-0.61%,1.266715824,,
380,203.472,-0.517583,0.00621104,0.752367,0.0152014,-0.000592176,-0.62%,1.263772731,,
381,202.139,-0.530801,0.00627632,0.744137,0.0151948,-0.000710505,-0.62%,1.268689048,,
382,205.728,-0.507188,0.00616142,0.766502,0.0151882,-0.000828834,-0.61%,1.267576614,,
383,205.5,-0.508515,0.00616776,0.765213,0.0151816,-0.000947163,-0.63%,1.26747468,,
384,203.312,-0.522616,0.00623699,0.751759,0.0151751,-0.00106549,-0.63%,1.268054911,,
385,203.464,-0.523972,0.00624353,0.752808,0.0151685,-0.00118382,-0.64%,1.270333588,,
386,200.744,-0.547864,0.00636241,0.735742,0.0151619,-0.00130215,-0.64%,1.277215633,,
387,200.928,-0.549271,0.00636928,0.736989,0.0151553,-0.00142048,-0.65%,1.279766692,,
388,199.355,-0.559868,0.00642229,0.727018,0.0151488,-0.00153881,-0.66%,1.280315623,,
389,200.17,-0.552042,0.00638305,0.732312,0.0151422,-0.00165714,-0.67%,1.277695119,,
390,203.918,-0.53021,0.00627635,0.75624,0.0151356,0.0267992,-0.66%,1.279860739,,
391,204.858,-0.518328,0.0062187,0.762318,0.015129,0.0268274,-0.67%,1.273950445,,
392,204.57,-0.51954,0.00622498,0.760726,0.0151225,0.0268556,-0.68%,1.273444159,,
393,203.529,-0.533889,0.00629583,0.754405,0.0151159,0.0268839,-0.69%,1.281383984,,
394,204.906,-0.52188,0.00623758,0.763246,0.0151093,0.0269121,-0.70%,1.278117567,,
395,203.026,-0.536285,0.00630888,0.751617,0.0151027,0.0269403,-0.70%,1.280866671,,
396,202.623,-0.549996,0.00637691,0.749257,0.0150962,0.0269685,-0.71%,1.292108635,,
397,199.141,-0.571646,0.00648598,0.727079,0.0150896,0.0269967,-0.71%,1.291624543,,
398,202.285,-0.552245,0.00639044,0.7475,0.015083,0.0270249,-0.71%,1.292690155,,
399,201.263,-0.564611,0.00645224,0.74114,0.0150764,0.0270531,-0.72%,1.298597179,,
400,199.287,-0.575521,0.00650735,0.728549,0.0150699,0.0270813,-0.72%,1.296830259,,
401,198.508,-0.576864,0.00651448,0.723635,0.0150633,0.0271095,-0.73%,1.293176396,,
402,196.847,-0.5949,0.00660647,0.712901,0.0150567,0.0271377,-0.73%,1.3004638,,
403,196.072,-0.596287,0.0066139,0.707948,0.0150501,0.0271659,-0.74%,1.296800601,,
404,197.18,-0.589663,0.00658068,0.715417,0.0150436,0.0271941,-0.75%,1.297578482,,
405,196.022,-0.599013,0.00662874,0.70792,0.015037,0.0272223,-0.76%,1.299378872,,
406,195.051,-0.607522,0.00667273,0.701613,0.0150304,0.0272506,-0.76%,1.301522659,,
407,194.108,-0.60891,0.00668026,0.695457,0.0150238,0.0272788,-0.77%,1.296691908,,
408,191.536,-0.621757,0.0067477,0.6783,0.0150173,0.027307,-0.76%,1.292427467,,
409,193.594,-0.617814,0.00672771,0.692284,0.0150107,0.0273352,-0.77%,1.30244429,,
410,189.936,-0.628865,0.00678626,0.66769,0.0150041,0.0273634,-0.76%,1.288955079,,
411,188.442,-0.633694,0.00681226,0.657634,0.0149975,0.0273916,-0.76%,1.283715899,,
412,189.603,-0.631663,0.00680192,0.665645,0.014991,0.0274198,-0.76%,1.289664438,,
413,190.585,-0.633052,0.00680959,0.672443,0.0149844,0.027448,-0.77%,1.29780571,,
414,190.848,-0.634419,0.00681712,0.67435,0.0149778,0.0274762,-0.77%,1.301033718,,
415,188.262,-0.639348,0.00684368,0.656803,0.0149712,0.0275044,-0.77%,1.288404884,,
416,188.223,-0.640669,0.00685108,0.656632,0.0149647,0.0275326,-0.78%,1.289530831,,
417,186.233,-0.646453,0.00688251,0.643058,0.0149581,0.0275608,-0.78%,1.281750485,,
418,181.973,-0.647678,0.00688962,0.613776,0.0149515,0.027589,-0.77%,1.25372482,,
419,179.654,-0.64828,0.00689334,0.597835,0.0149449,0.0276172,-0.77%,1.238416104,,
420,184.409,-0.65096,0.00690776,0.630637,0.0149384,0.00144764,-0.77%,1.273853114,,
421,181.314,-0.651657,0.00691148,0.609225,0.0149318,0.0013511,-0.77%,1.253148085,,
422,179.852,-0.651376,0.00690979,0.599086,0.0149252,0.00125455,-0.77%,1.242739551,60.51%,
423,176.273,-0.106369,0.00381783,0.580666,0.0149186,0.00115801,-1.41%,0.672980348,59.31%,-0.39%
424,174.031,-0.0979649,0.00376952,0.572118,0.0149121,0.00106147,-1.41%,0.656013335,,
425,169.879,-0.0859095,0.00369855,0.556554,0.0149055,0.000964922,-1.42%,0.628305975,,
426,166.725,-0.07819,0.00365223,0.544903,0.0148989,0.000868378,-1.42%,0.608918047,,
427,168.886,-0.0856945,0.00369666,0.5528,0.0148923,0.000771835,-1.42%,0.624314121,,
428,170.938,-0.0895075,0.00371895,0.560352,0.0148858,0.000675291,-1.41%,0.635709875,,
429,169.728,-0.0854003,0.00369473,0.555822,0.0148792,0.000578747,-1.41%,0.627099133,,
430,169.987,-0.0852376,0.00369376,0.556736,0.0148726,0.000482204,-1.41%,0.627891181,,
