PX, vold, vold-volup,바닐라옵션 베가,바닐라옵션 vega(%),조기상환형 vega(%),헤지후 Net vega
151.582,115.471,115.586,0.115,0.10%,0.046%,0.15%
153.068,114.058,114.18,0.122,0.11%,0.046%,0.15%
154.554,112.648,112.777,0.129,0.12%,0.045%,0.16%
156.04,111.24,111.376,0.136,0.12%,0.044%,0.17%
157.527,109.834,109.978,0.144,0.13%,0.043%,0.17%
159.013,108.431,108.583,0.152,0.14%,0.042%,0.18%
160.499,107.031,107.19,0.159,0.14%,0.041%,0.18%
161.985,105.633,105.8,0.167,0.15%,0.039%,0.19%
163.471,104.238,104.414,0.176,0.16%,0.038%,0.19%
164.957,102.846,103.03,0.184,0.16%,0.036%,0.20%
166.443,101.456,101.65,0.194,0.17%,0.034%,0.21%
167.929,100.07,100.273,0.203,0.18%,0.033%,0.21%
169.415,98.6867,98.8986,0.2119,0.19%,0.031%,0.22%
170.901,97.3065,97.5281,0.2216,0.20%,0.029%,0.23%
172.388,95.9295,96.161,0.2315,0.21%,0.027%,0.23%
173.874,94.5559,94.7975,0.2416,0.22%,0.024%,0.24%
175.36,93.1856,93.4375,0.2519,0.22%,0.022%,0.25%
176.846,91.8188,92.0813,0.2625,0.23%,0.019%,0.25%
178.332,90.4556,90.7288,0.2732,0.24%,0.017%,0.26%
179.818,89.0959,89.3802,0.2843,0.25%,-0.011%,0.24%
181.304,87.74,88.0355,0.2955,0.26%,-0.039%,0.22%
182.79,86.3878,86.6948,0.307,0.27%,-0.067%,0.21%
184.276,85.0394,85.3581,0.3187,0.28%,-0.095%,0.19%
185.762,83.695,84.0256,0.3306,0.29%,-0.123%,0.17%
187.249,82.3546,82.6973,0.3427,0.31%,-0.151%,0.15%
188.735,81.0189,81.3739,0.355,0.32%,-0.179%,0.14%
190.221,79.6881,80.0555,0.3674,0.33%,-0.207%,0.12%
191.707,78.3621,78.7422,0.3801,0.34%,-0.235%,0.10%
193.193,77.0411,77.4341,0.393,0.35%,-0.262%,0.09%
194.679,75.7251,76.1313,0.4062,0.36%,-0.290%,0.07%
196.165,74.4143,74.8338,0.4195,0.37%,-0.317%,0.06%
197.651,73.1088,73.5416,0.4328,0.39%,-0.345%,0.04%
199.137,71.8085,72.255,0.4465,0.40%,-0.372%,0.03%
200.623,70.5136,70.9739,0.4603,0.41%,-0.399%,0.01%
202.11,69.2241,69.6984,0.4743,0.42%,-0.425%,0.00%
203.596,67.9413,68.4296,0.4883,0.44%,-0.452%,-0.02%
205.082,66.665,67.1676,0.5026,0.45%,-0.478%,-0.03%
206.568,65.3956,65.9125,0.5169,0.46%,-0.504%,-0.04%
208.054,64.1329,64.6643,0.5314,0.47%,-0.529%,-0.06%
209.54,62.8772,63.4231,0.5459,0.49%,-0.554%,-0.07%
211.026,61.6285,62.189,0.5605,0.50%,-0.579%,-0.08%
212.512,60.3868,60.9621,0.5753,0.51%,-0.603%,-0.09%
213.998,59.1523,59.7423,0.59,0.53%,-0.627%,-0.10%
215.484,57.925,58.5299,0.6049,0.54%,-0.651%,-0.11%
216.971,56.705,57.3248,0.6198,0.55%,-0.674%,-0.12%
218.457,55.4938,56.1284,0.6346,0.57%,-0.696%,-0.13%
219.943,54.2915,54.941,0.6495,0.58%,-0.718%,-0.14%
221.429,53.0981,53.7624,0.6643,0.59%,-0.739%,-0.15%
222.915,51.9138,52.5928,0.679,0.61%,-0.760%,-0.15%
