PX, vold
524.593,0.00219532
526.079,0.00208596
527.566,0.00198181
529.052,0.00188262
530.538,0.00178814
532.024,0.00169814
533.51,0.0016124
534.996,0.00153069
536.482,0.00145282
537.968,0.00137859
539.454,0.00130782
540.94,0.00124032
542.427,0.00117593
543.913,0.00111449
545.399,0.00105584
546.885,0.000999832
548.371,0.00094633
549.857,0.000895195
551.343,0.000846299
552.829,0.000799518
554.315,0.000754733
555.801,0.000711832
557.288,0.000670705
558.774,0.000631249
560.26,0.000593362
561.746,0.00055695
563.232,0.000521919
564.718,0.000488181
566.204,0.000455651
567.69,0.000424246
569.176,0.000393887
570.662,0.000364497
572.149,0.000336003
573.635,0.000308333
575.121,0.000281417
576.607,0.000255189
578.093,0.000229583
579.579,0.000204537
581.065,0.000179988
582.551,0.000155877
584.037,0.000132144
585.523,0.000108734
587.01,8.5589e-05
588.496,6.26551e-05
589.982,3.98782e-05
591.468,1.72051e-05
592.954,-5.41641e-06
594.44,-2.80379e-05
