numMC,PL,callday
0,-0.02%,185
1,0.02%,185
2,0.77%,366
3,0.20%,185
4,-0.04%,185
5,-0.28%,185
6,-1.16%,366
7,0.14%,185
8,-0.10%,185
9,0.01%,185
10,-0.17%,185
11,0.14%,185
12,-0.45%,185
13,-0.03%,185
14,-0.98%,1097
15,0.76%,1097
16,0.66%,366
17,-0.45%,185
18,-0.33%,366
19,0.93%,1097
20,-0.08%,185
21,0.44%,185
22,0.29%,185
23,-0.03%,1097
24,0.10%,185
25,-0.68%,1097
26,-1.44%,1097
27,-0.14%,185
28,-0.22%,185
29,-1.19%,1097
30,-0.11%,185
31,0.76%,366
32,0.54%,366
33,-0.86%,366
34,0.45%,185
35,-0.45%,550
36,0.70%,366
37,-0.29%,366
38,-0.69%,550
39,-0.29%,185
40,0.27%,550
41,0.26%,916
42,-0.15%,185
43,0.21%,366
44,1.49%,1097
45,0.65%,1097
46,0.44%,185
47,0.68%,366
48,0.14%,185
49,-0.36%,366
50,0.32%,185
51,0.67%,732
52,-1.23%,1097
53,-1.03%,366
54,1.42%,185
55,-0.74%,1097
56,3.04%,1097
57,-0.05%,185
58,0.06%,185
59,-0.10%,185
60,0.16%,366
61,0.04%,916
62,-0.40%,185
63,0.08%,550
64,-0.06%,916
65,-0.15%,185
66,0.10%,185
67,-0.11%,1097
68,0.16%,916
69,0.64%,1097
70,-0.20%,185
71,-1.18%,366
72,-0.17%,185
73,0.14%,185
74,-0.46%,185
75,-0.68%,185
76,0.58%,185
77,0.24%,185
78,0.21%,185
79,0.22%,185
80,2.50%,1097
81,-1.47%,185
82,-0.36%,185
83,0.04%,1097
84,0.20%,185
85,-0.25%,185
86,-0.14%,185
87,0.16%,185
88,-0.19%,185
89,0.20%,185
90,-0.07%,185
91,0.28%,185
92,0.16%,185
93,-0.08%,185
94,-0.05%,185
95,0.06%,185
96,0.47%,185
97,-0.28%,185
98,-0.40%,185
99,-0.05%,185
100,0.03%,732
101,-0.66%,916
102,-0.27%,185
103,-0.41%,185
104,-0.02%,185
105,0.09%,185
106,0.09%,185
107,1.75%,916
108,0.07%,185
109,-0.20%,185
110,-0.32%,1097
111,-0.68%,916
112,-0.75%,1097
113,0.00%,185
114,0.18%,185
115,-0.02%,185
116,0.36%,185
117,-0.05%,185
118,-1.29%,1097
119,-0.36%,366
120,-0.25%,185
121,-0.33%,185
122,0.23%,366
123,0.00%,185
124,-3.54%,1097
125,-0.14%,550
126,1.75%,916
127,-0.29%,1097
128,0.97%,1097
129,1.69%,1097
130,0.01%,550
131,-0.05%,185
132,-0.03%,185
133,-0.07%,185
134,-0.03%,185
135,-0.05%,185
136,0.91%,185
137,-0.46%,366
138,-0.23%,550
139,0.80%,185
140,0.22%,185
141,0.11%,550
142,-0.36%,185
143,0.25%,185
144,0.41%,185
145,-0.02%,185
146,-0.21%,185
147,0.00%,185
148,0.18%,185
149,-0.02%,185
150,0.10%,185
151,-0.01%,185
152,0.33%,185
153,0.00%,185
154,0.15%,185
155,0.03%,185
156,0.35%,366
157,-0.50%,185
158,0.25%,185
159,-1.85%,550
160,2.03%,1097
161,-0.11%,185
162,0.07%,185
163,0.52%,732
164,-0.14%,185
165,0.35%,366
166,-0.44%,185
167,0.05%,550
168,0.10%,550
169,-0.36%,185
170,4.65%,1097
171,0.74%,185
172,-0.28%,185
173,-0.07%,185
174,0.06%,185
175,-0.03%,185
176,0.94%,185
177,0.09%,185
178,-0.85%,185
179,-0.08%,185
180,0.05%,185
181,0.00%,1097
182,-0.06%,185
183,-0.30%,185
184,0.79%,1097
185,-0.24%,185
186,-0.37%,185
187,-0.09%,185
188,0.15%,185
189,0.40%,185
190,-0.99%,550
191,-0.24%,1097
192,0.12%,1097
193,0.94%,366
194,-0.66%,550
195,1.55%,1097
196,-0.32%,185
197,-32.25%,1097
198,0.68%,185
199,0.22%,185
200,-0.23%,185
201,-0.06%,185
202,-0.24%,185
203,-1.19%,185
204,0.45%,732
205,0.05%,185
206,0.07%,185
207,0.07%,185
208,-0.30%,185
209,-0.03%,185
210,-0.12%,185
211,-0.30%,185
212,-1.64%,1097
213,0.03%,185
214,-0.01%,185
215,8.06%,1097
216,-0.78%,366
217,0.18%,185
218,-0.50%,185
219,-0.50%,185
220,-0.28%,366
221,0.05%,185
222,0.13%,550
223,-1.35%,185
224,0.07%,185
225,-0.04%,185
226,-0.14%,185
227,0.50%,1097
228,-1.19%,550
229,0.08%,185
230,0.04%,732
231,-0.26%,185
232,-0.12%,185
233,-0.33%,366
234,0.04%,185
235,-0.03%,366
236,0.02%,185
237,0.32%,185
238,-0.17%,185
239,-0.09%,185
240,0.10%,185
241,-0.12%,1097
242,0.39%,1097
243,0.17%,366
244,-0.19%,185
245,-0.70%,1097
246,0.11%,185
247,-0.02%,185
248,0.31%,185
249,-0.57%,916
250,0.01%,185
251,-0.03%,185
252,-1.04%,185
253,-0.05%,185
254,0.59%,185
255,0.40%,732
256,-0.55%,185
257,0.04%,185
258,0.06%,185
259,0.38%,185
260,-0.19%,185
261,-0.68%,1097
262,-0.12%,185
263,-0.03%,916
264,0.05%,185
265,0.12%,185
266,-0.60%,366
267,0.17%,1097
268,-0.10%,185
269,-0.13%,185
270,-0.29%,185
271,0.12%,366
272,0.02%,1097
273,0.02%,185
274,-1.84%,550
275,-0.22%,185
276,1.56%,366
277,-0.23%,185
278,-0.26%,185
279,-1.09%,185
280,0.02%,366
281,0.16%,185
282,0.06%,185
283,0.17%,185
284,-0.13%,185
285,-0.70%,185
286,-0.01%,185
287,0.06%,185
288,-0.12%,185
289,-0.10%,185
290,0.09%,185
291,-0.61%,1097
292,-0.17%,185
293,-0.17%,185
294,-0.11%,185
295,0.03%,185
296,-0.01%,185
297,-0.15%,185
298,0.19%,185
299,0.02%,366
300,0.13%,185
301,1.00%,185
302,1.07%,1097
303,0.64%,185
304,0.04%,185
305,0.08%,185
306,0.06%,366
307,-2.09%,1097
308,0.31%,185
309,0.41%,1097
310,0.49%,185
311,0.54%,185
312,0.17%,185
313,0.55%,185
314,0.01%,185
315,-0.11%,185
316,0.13%,185
317,1.35%,1097
318,0.58%,185
319,-0.25%,185
320,0.56%,916
321,-0.49%,550
322,-0.87%,732
323,0.40%,185
324,-0.71%,185
325,0.94%,550
326,0.00%,185
327,-0.30%,185
328,-0.23%,185
329,-0.13%,185
330,0.13%,185
331,-0.07%,185
332,0.15%,185
333,-0.04%,916
334,-0.01%,366
335,-0.40%,185
336,-0.11%,185
337,-0.25%,185
338,0.16%,185
339,0.31%,732
340,-0.37%,185
341,-0.51%,185
342,-0.39%,185
343,-0.11%,185
344,1.11%,366
345,0.12%,185
346,-0.09%,185
347,0.35%,185
348,-0.16%,185
349,0.57%,185
350,0.41%,185
351,-0.03%,185
352,-0.37%,1097
353,-0.06%,185
354,0.04%,185
355,0.40%,550
356,-0.15%,185
357,-0.06%,185
358,0.10%,185
359,-0.06%,185
360,-0.09%,185
361,-0.13%,185
362,-0.37%,185
363,-0.31%,185
364,-11.48%,1097
365,-0.23%,185
366,0.03%,185
367,-1.33%,185
368,0.54%,185
369,0.32%,185
370,-0.08%,185
371,0.12%,1097
372,-0.22%,550
373,-0.72%,366
374,0.12%,185
375,0.21%,185
376,-0.02%,185
377,-0.21%,1097
378,-0.19%,185
379,-0.58%,1097
380,-0.26%,550
381,-0.74%,185
382,-0.79%,1097
383,-0.09%,185
384,-0.08%,185
385,-0.03%,185
386,-0.09%,185
387,1.95%,916
388,0.07%,185
389,0.31%,366
390,-0.08%,185
391,0.06%,185
392,-0.46%,185
393,-0.09%,185
394,-0.31%,185
395,-0.26%,185
396,0.00%,185
397,-0.02%,185
398,0.26%,185
399,0.27%,550
400,-2.61%,1097
401,0.15%,732
402,0.08%,185
403,0.01%,185
404,1.04%,185
405,0.04%,185
406,-0.51%,185
407,-0.06%,185
408,-0.39%,185
409,0.18%,185
410,0.09%,185
411,-0.20%,185
412,-0.18%,185
413,0.11%,185
414,-0.01%,185
415,0.09%,185
416,0.70%,366
417,-0.63%,1097
418,-0.36%,185
419,0.10%,185
420,-0.70%,185
421,1.65%,1097
422,-0.02%,185
423,0.62%,732
424,-0.71%,1097
425,-0.42%,185
426,0.19%,185
427,-0.31%,550
428,0.34%,185
429,-0.13%,185
430,-0.11%,185
431,-1.07%,550
432,-0.19%,185
433,-0.08%,185
434,-0.10%,185
435,-0.30%,185
436,0.42%,185
437,0.05%,366
438,0.33%,366
439,0.00%,185
440,-0.24%,185
441,-0.94%,1097
442,-0.05%,185
443,-0.29%,185
444,-0.41%,550
445,-0.19%,185
446,0.27%,185
447,0.56%,366
448,0.16%,185
449,-0.02%,185
450,0.04%,185
451,-0.35%,1097
452,-0.31%,185
453,0.02%,1097
454,-0.51%,366
455,0.23%,185
456,-0.01%,185
457,-0.20%,185
458,-1.63%,1097
459,-0.33%,366
460,0.41%,550
461,-0.14%,185
462,-0.52%,366
463,-0.31%,185
464,-0.84%,1097
465,-0.11%,185
466,0.04%,1097
467,0.44%,550
468,-0.56%,185
469,0.38%,185
470,-0.11%,185
471,0.12%,550
472,0.32%,185
473,0.45%,185
474,0.08%,550
475,-0.12%,185
476,-0.24%,185
477,-0.85%,1097
478,0.25%,185
479,-0.03%,185
480,0.13%,185
481,0.24%,185
482,-1.23%,732
483,-0.70%,1097
484,-0.06%,185
485,-0.11%,185
486,-0.03%,185
487,-0.21%,185
488,-0.37%,916
489,-0.19%,185
490,0.23%,185
491,0.08%,185
492,0.18%,185
493,-0.34%,185
494,0.07%,185
495,0.11%,185
496,-0.30%,185
497,-0.65%,185
498,0.14%,185
499,-0.26%,185
500,-0.67%,185
501,-0.01%,1097
502,0.81%,185
503,-0.16%,185
504,-0.85%,550
505,-2.17%,1097
506,-0.60%,185
507,1.56%,366
508,0.07%,185
509,-0.19%,185
510,0.12%,185
511,-0.36%,366
512,-0.03%,185
513,-0.62%,185
514,-0.20%,185
515,-0.09%,185
516,-0.14%,185
517,0.11%,185
518,-0.32%,185
519,-0.10%,185
520,2.59%,1097
521,0.97%,1097
522,0.69%,550
523,0.08%,185
524,0.02%,185
525,0.21%,185
526,0.08%,185
527,0.09%,1097
528,1.68%,1097
529,0.05%,185
530,-0.72%,366
531,-0.50%,550
532,-0.07%,916
533,-3.07%,1097
534,0.32%,185
535,-0.11%,732
536,-0.03%,185
537,-0.03%,185
538,-0.79%,366
539,-0.10%,185
540,0.05%,185
541,-0.20%,185
542,-0.81%,366
543,0.17%,185
544,0.01%,185
545,-4.73%,1097
546,0.51%,366
547,0.01%,185
548,1.10%,1097
549,-0.09%,185
550,0.13%,185
551,-0.27%,185
552,0.26%,185
553,-0.07%,185
554,-0.84%,185
555,-0.11%,185
556,-1.16%,1097
557,-1.01%,550
558,0.42%,550
559,2.33%,1097
560,0.75%,1097
561,0.22%,916
562,-0.11%,185
563,-0.35%,916
564,-0.26%,1097
565,0.07%,185
566,-2.35%,1097
567,-0.01%,366
568,-0.25%,1097
569,-0.18%,185
570,-0.09%,185
571,-1.58%,550
572,0.18%,185
573,-0.14%,550
574,0.22%,185
575,-0.09%,185
576,0.23%,185
577,0.40%,185
578,-0.51%,1097
579,-0.98%,185
580,-0.35%,185
581,-0.33%,550
582,-1.18%,185
583,-0.64%,550
584,0.00%,185
585,-0.12%,185
586,-1.81%,1097
587,0.09%,185
588,-0.16%,185
589,-1.38%,1097
590,-0.30%,185
591,0.11%,185
592,-0.13%,185
593,0.23%,185
594,-1.56%,185
595,0.05%,366
596,-0.45%,1097
597,-0.05%,185
598,0.12%,185
599,-0.12%,185
600,0.03%,185
601,-0.24%,185
602,0.41%,366
603,0.13%,185
604,-0.84%,916
605,0.10%,366
606,-0.22%,185
607,0.06%,185
608,0.01%,185
609,-0.39%,185
610,0.88%,366
611,-0.24%,366
612,-0.12%,185
613,0.04%,185
614,0.22%,185
615,0.07%,185
616,-0.12%,185
617,1.25%,916
618,0.19%,185
619,-0.14%,185
620,2.04%,916
621,-0.37%,732
622,-0.62%,185
