PX, vold5
512.705,1.13012
514.191,1.13012
515.677,1.13012
517.163,1.13012
518.649,1.13012
520.135,1.13012
521.621,1.13012
523.107,1.13012
524.593,1.13012
526.079,1.13012
527.566,1.13012
529.052,1.13012
530.538,1.13012
532.024,1.13012
533.51,1.13012
534.996,1.13012
536.482,1.13012
537.968,1.13012
539.454,1.13012
540.94,1.13012
542.427,1.13012
543.913,1.13012
545.399,1.13012
546.885,1.13012
548.371,1.13012
549.857,1.13012
551.343,1.13012
552.829,1.13012
554.315,1.13012
555.801,1.13012
557.288,1.13012
558.774,1.13012
560.26,1.13012
561.746,1.13012
563.232,1.13012
564.718,1.13012
566.204,1.13012
567.69,1.13012
569.176,1.13012
570.662,1.13012
572.149,1.13012
573.635,1.13012
575.121,1.13012
576.607,1.13012
578.093,1.13012
579.579,1.13012
581.065,1.13012
582.551,1.13012
584.037,1.13012
585.523,1.13012
587.01,1.13012
588.496,1.13012
589.982,1.13012
591.468,1.13012
592.954,1.13012
594.44,1.13012
