tau,s_tmp,cash,delta,pv,r,q,PL
0,297.22,0.9731,0.000142,1.01531,,,5.55112e-17
1,294.98,0.962196,0.000179127,1.01504,0.0179022,0,-4.90291e-06
2,295.856,0.968363,0.000158442,1.01527,0.0179066,0,-3.29126e-05
3,294.573,0.962895,0.000177168,1.01515,0.0179111,0,-6.3299e-05
4,295.735,0.969107,0.00015632,1.01543,0.0179155,0,-9.10319e-05
5,291.233,0.951111,0.000218276,1.01468,0.0179199,0,3.88819e-06
6,294.476,0.964162,0.000174116,1.0154,0.0179244,0,3.95099e-05
7,293.163,0.958308,0.000194247,1.01525,0.0179288,0,5.67068e-06
8,297.255,0.976573,0.000132959,1.01599,0.0179332,0,0.000103807
9,292.396,0.959282,0.000192259,1.01528,0.0179377,0,0.000216057
10,292.806,0.959627,0.00019124,1.01545,0.0179421,0,0.000168737
11,291.625,0.953371,0.000212856,1.01531,0.0179465,0,0.000135604
12,295.366,0.972801,0.00014723,1.01607,0.017951,0,0.000218326
13,293.48,0.96086,0.000188081,1.01585,0.0179554,0,0.000210109
14,294.869,0.96763,0.000165282,1.01617,0.0179598,0,0.000196532
15,292.753,0.961646,0.000185887,1.0159,0.0179643,0,0.000161573
16,293.219,0.962023,0.000184762,1.01608,0.0179687,0,0.000122294
17,294.589,0.968867,0.000161692,1.0164,0.0179731,0,0.000102124
18,297.611,0.981224,0.000120332,1.0169,0.0179776,0,0.000140494
19,300.339,0.992198,8.39539e-05,1.01725,0.017982,0,0.000162607
20,295.303,0.976543,0.000137131,1.01677,0.0179864,0,0.000264588
21,294.32,0.970841,0.000156668,1.01672,0.0179909,0,0.000231483
22,291.554,0.957905,0.000201201,1.01633,0.0179953,0,0.00024044
23,288.394,0.948631,0.000233521,1.01574,0.0179997,0,0.000240209
24,293.325,0.965814,0.000175102,1.01683,0.0180042,0,0.000342633
25,292.608,0.966235,0.000173825,1.01681,0.0180086,0,0.00029164
26,290.276,0.954153,0.000215612,1.01645,0.018013,0,0.000293681
27,288.736,0.95038,0.000228842,1.01621,0.0180175,0,0.000245736
