tau,s_tmp,cash,delta,pv,r,q,PL,cash,asset,debt,PL
818,139.368,-0.00134268,0.00329044,0.458528,0.0140107,0.000367938,-0.1289%,-0.0013427,0.458582042,-0.458528,-0.1289%
819,138.254,-0.00132853,0.00329034,0.454862,0.0140074,0.00031571,-0.1289%,-0.0013285,0.454902666,-0.454862,-0.1288%
820,135.892,-0.00131067,0.00329021,0.447091,0.0140041,0.000263482,-0.1289%,-0.0013106,0.447113217,-0.447091,-0.1288%
821,135.67,-0.00130991,0.0032902,0.446361,0.0140008,0.000211254,-0.1289%,-0.0013091,0.446381434,-0.446361,-0.1289%
822,137.539,-0.00132499,0.00329031,0.452511,0.0139975,0.000159026,-0.1289%,-0.0013249,0.452545947,-0.452511,-0.1290%
823,135.863,-0.00130873,0.00329019,0.446996,0.0139942,0.000106799,-0.1289%,-0.0013086,0.447015084,-0.446996,-0.1290%
824,137.961,-0.00132296,0.0032903,0.453899,0.013991,5.46E-05,-0.1289%,-0.0013239,0.453933078,-0.453899,-0.1290%
825,137.196,-0.00131379,0.00329023,0.451382,0.0139877,2.34E-06,-0.1289%,-0.0013134,0.451406395,-0.451382,-0.1289%
826,138.512,-0.00132089,0.00329028,0.455712,0.0139844,-4.99E-05,-0.1289%,-0.0013208,0.455743263,-0.455712,-0.1290%
827,137.499,-0.00131986,0.00329027,0.452379,0.0139811,-0.000102113,-0.1289%,-0.0013197,0.452408835,-0.452379,-0.1290%
828,137.539,-0.00131885,0.00329026,0.45251,0.0139778,-0.00015434,-0.1289%,-0.0013187,0.45253907,-0.45251,-0.1290%
829,135.696,-0.00130534,0.00329016,0.446446,0.0139745,-0.000206568,-0.1290%,-0.0013056,0.446461551,-0.446446,-0.1290%
830,136.414,-0.00131012,0.00329019,0.448808,0.0139712,-0.000258796,-0.1290%,-0.0013098,0.448827979,-0.448808,-0.1290%
831,138.189,-0.00131617,0.00329023,0.454648,0.0139679,-0.000311024,-0.1290%,-0.0013161,0.454673593,-0.454648,-0.1290%
832,137.029,-0.00130878,0.00329018,0.450831,0.0139647,-0.000363252,-0.1290%,-0.0013098,0.450850075,-0.450831,-0.1291%
833,136.724,-0.00130812,0.00329017,0.449826,0.0139614,-0.000415479,-0.1290%,-0.0013080,0.449845203,-0.449826,-0.1289%
834,137.001,-0.00130748,0.00329016,0.450737,0.0139581,-0.000467707,-0.1290%,-0.0013074,0.45075521,-0.450737,-0.1289%
835,138.121,-0.00131279,0.00329019,0.454422,0.0139548,-0.000519935,-0.1290%,-0.0013123,0.454444333,-0.454422,-0.1290%
836,138.436,-0.00131199,0.00329018,0.455457,0.0139515,-0.000572163,-0.1290%,-0.0013122,0.455479358,-0.455457,-0.1290%
837,137.702,-0.00131122,0.00329017,0.453041,0.0139482,-0.000624391,-0.1290%,-0.0013114,0.453062989,-0.453041,-0.1289%
838,136.792,-0.00130514,0.00329012,0.450047,0.0139449,-0.000676618,-0.1290%,-0.0013053,0.450062095,-0.450047,-0.1290%
839,134.913,-0.00130072,0.00329008,0.443864,0.0139416,-0.000728846,-0.1290%,-0.0013007,0.443874563,-0.443864,-0.1290%
840,134.437,-0.00129751,0.00329005,0.442297,0.0139384,-0.000781074,-0.1290%,-0.0012977,0.442304452,-0.442297,-0.1290%
841,134.242,-0.0012973,0.00329183,0.441894,0.0139351,0.197821,-0.1290%,-0.0012971,0.441901843,-0.441894,-0.1289%
842,135.951,-0.00129982,0.00329364,0.447763,0.0139318,0.198241,-0.1290%,-0.0013003,0.447773652,-0.447763,-0.1290%
843,135.141,-0.00129956,0.00329543,0.445338,0.0139285,0.198661,-0.1290%,-0.0012994,0.445347706,-0.445338,-0.1290%
844,133.591,-0.00129672,0.0032972,0.44047,0.0139252,0.19908,-0.1290%,-0.0012959,0.440476245,-0.44047,-0.1290%
845,131.169,-0.00129331,0.00329898,0.43272,0.0139219,0.1995,-0.1290%,-0.0012938,0.432723908,-0.43272,-0.1290%
846,131.487,-0.00129319,0.00330079,0.434007,0.0139186,0.199919,-0.1290%,-0.0012937,0.434010975,-0.434007,-0.1290%
847,128.326,-0.00129146,0.00330258,0.423806,0.0139153,0.200339,-0.1290%,-0.0012904,0.423806881,-0.423806,-0.1290%
848,128.231,-0.0012914,0.0033044,0.423725,0.0139121,0.200759,-0.1290%,-0.0012919,0.423726516,-0.423725,-0.1290%
849,128.433,-0.00129133,0.00330622,0.424626,0.0139088,0.201178,-0.1290%,-0.0012912,0.424627753,-0.424626,-0.1289%
850,128.135,-0.00129127,0.00330805,0.423875,0.0139055,0.201598,-0.1290%,-0.0012918,0.423876987,-0.423875,-0.1290%
851,126.082,-0.00129078,0.00330987,0.417314,0.0139022,0.202018,-0.1290%,-0.0012899,0.417315029,-0.417314,-0.1289%
852,124.003,-0.00129023,0.0033117,0.410661,0.0138989,0.202437,-0.1290%,-0.0012901,0.410660735,-0.410661,-0.1290%
853,126.349,-0.00129069,0.00331355,0.418663,0.0138956,0.202857,-0.1290%,-0.0012914,0.418663729,-0.418663,-0.1291%
854,126.165,-0.00129065,0.00331539,0.418286,0.0138923,0.203277,-0.1290%,-0.0012900,0.418286179,-0.418286,-0.1290%
855,125.267,-0.00129033,0.00331724,0.41554,0.013889,0.203696,-0.1290%,-0.0012906,0.415540703,-0.41554,-0.1290%
856,123.794,-0.00129011,0.0033191,0.410884,0.0138858,0.204116,-0.1290%,-0.0012909,0.410884665,-0.410884,-0.1290%
857,123.434,-0.00129008,0.00332096,0.409918,0.0138825,0.204535,-0.1290%,-0.0012901,0.409919377,-0.409918,-0.1289%
858,124.851,-0.00129023,0.00332282,0.414857,0.0138792,0.204955,-0.1290%,-0.0012895,0.4148574,-0.414857,-0.1289%
859,123.622,-0.00129003,0.00332469,0.411004,0.0138759,0.205375,-0.1290%,-0.0012903,0.411004827,-0.411004,-0.1289%
860,122.815,-0.00129,0.00332656,0.408552,0.0138726,0.205794,-0.1290%,-0.0012895,0.408551466,-0.408552,-0.1290%
861,123.21,-0.00128997,0.00332844,0.410097,0.0138693,0.206214,-0.1290%,-0.0012901,0.410097092,-0.410097,-0.1290%
862,124.601,-0.00129009,0.00333033,0.414962,0.013866,0.206634,-0.1290%,-0.0012907,0.414962448,-0.414962,-0.1290%
863,125.373,-0.00129006,0.00333222,0.41777,0.0138627,0.207053,-0.1290%,-0.0012902,0.417770418,-0.41777,-0.1290%
864,126.151,-0.00129022,0.00333411,0.420601,0.0138595,0.207473,-0.1290%,-0.0012895,0.420601311,-0.420601,-0.1289%
865,124.759,-0.00128999,0.00333601,0.416197,0.0138562,0.207893,-0.1290%,-0.0012903,0.416197272,-0.416197,-0.1290%
866,123.286,-0.00128982,0.00333791,0.411518,0.0138529,0.208312,-0.1290%,-0.0012895,0.411517572,-0.411518,-0.1290%
867,125.588,-0.00129011,0.00333982,0.419441,0.0138496,0.208732,-0.1290%,-0.0012899,0.419441314,-0.419441,-0.1290%
868,124.605,-0.00128989,0.00334174,0.416397,0.0138463,0.209151,-0.1290%,-0.0012909,0.416397513,-0.416397,-0.1290%
869,124.538,-0.00128986,0.00334366,0.416412,0.013843,0.209571,-0.1290%,-0.0012900,0.416412729,-0.416412,-0.1289%
870,124.486,-0.00128988,0.00334366,0.416239,0.0138397,0.000913407,-0.1290%,-0.0012889,0.416238859,-0.416239,-0.1289%
871,122.941,-0.00128981,0.00334367,0.411074,0.0138364,0.000852405,-0.1290%,-0.0012902,0.411074133,-0.411074,-0.1290%
872,121.801,-0.00128978,0.00334368,0.407263,0.0138332,0.000791404,-0.1290%,-0.0012902,0.407263568,-0.407263,-0.1290%
873,119.739,-0.00128978,0.00334368,0.400369,0.0138299,0.000730403,-0.1290%,-0.0012890,0.4003689,-0.400369,-0.1289%
874,120.045,-0.00128982,0.00334369,0.401393,0.0138266,0.000669401,-0.1290%,-0.0012903,0.401393266,-0.401393,-0.1290%
875,121.19,-0.0012899,0.0033437,0.405222,0.0138233,0.0006084,-0.1290%,-0.0012904,0.405223003,-0.405222,-0.1289%
876,122.812,-0.00129,0.0033437,0.410646,0.01382,0.000547399,-0.1290%,-0.0012893,0.410646484,-0.410646,-0.1289%
877,122.867,-0.00129004,0.0033437,0.410831,0.0138167,0.000486398,-0.1290%,-0.0012895,0.410830388,-0.410831,-0.1290%
878,120.316,-0.00129,0.00334371,0.402302,0.0138134,0.000425396,-0.1290%,-0.0012908,0.402301812,-0.402302,-0.1291%
879,119.802,-0.00129005,0.00334371,0.400583,0.0138101,0.000364395,-0.1290%,-0.0012896,0.400583145,-0.400583,-0.1290%
880,120.083,-0.00129009,0.00334371,0.401523,0.0138068,0.000303394,-0.1290%,-0.0012898,0.401522728,-0.401523,-0.1290%
881,119.061,-0.00129012,0.00334372,0.398106,0.0138036,0.000242392,-0.1290%,-0.0012911,0.398106647,-0.398106,-0.1290%
882,119.684,-0.00129019,0.00334372,0.40019,0.0138003,0.000181391,-0.1290%,-0.0012900,0.400189784,-0.40019,-0.1290%
883,118.564,-0.00129022,0.00334372,0.396445,0.013797,0.00012039,-0.1290%,-0.0012901,0.396444818,-0.396445,-0.1290%
884,120.612,-0.00129028,0.00334372,0.403293,0.0137937,5.94E-05,-0.1290%,-0.0012902,0.403292757,-0.403293,-0.1290%
885,122.933,-0.00129037,0.00334372,0.411053,0.0137904,-1.61E-06,-0.1290%,-0.0012903,0.411053531,-0.411053,-0.1290%
886,123.201,-0.00129042,0.00334372,0.411949,0.0137871,-6.26E-05,-0.1290%,-0.0012905,0.411949648,-0.411949,-0.1290%
887,122.937,-0.00129046,0.00334372,0.411067,0.0137838,-0.000123616,-0.1290%,-0.0012906,0.411066906,-0.411067,-0.1291%
888,121.061,-0.00129046,0.00334372,0.404794,0.0137805,-0.000184617,-0.1290%,-0.0012907,0.404794087,-0.404794,-0.1291%
889,122.706,-0.00129055,0.00334371,0.410294,0.0137773,-0.000245618,-0.1290%,-0.0012896,0.410293279,-0.410294,-0.1290%
890,122.921,-0.00129059,0.00334371,0.411012,0.013774,-0.00030662,-0.1291%,-0.0012909,0.411012177,-0.411012,-0.1291%
891,121.493,-0.00129062,0.00334371,0.406237,0.0137707,-0.000367621,-0.1291%,-0.0012910,0.406237359,-0.406237,-0.1291%
892,122.694,-0.00129068,0.0033437,0.410252,0.0137674,-0.000428622,-0.1291%,-0.0012899,0.410251928,-0.410252,-0.1290%
893,125.188,-0.00129075,0.0033437,0.418591,0.0137641,-0.000489624,-0.1291%,-0.0012913,0.418591116,-0.418591,-0.1291%
894,124.178,-0.0012908,0.00334369,0.415213,0.0137608,-0.000550625,-0.1291%,-0.0012902,0.415212737,-0.415213,-0.1290%
895,124.47,-0.00129084,0.00334369,0.416189,0.0137575,-0.000611626,-0.1291%,-0.0012915,0.416189094,-0.416189,-0.1291%
896,125.172,-0.00129088,0.00334368,0.418535,0.0137542,-0.000672628,-0.1291%,-0.0012904,0.418535113,-0.418535,-0.1290%
897,123.348,-0.00129091,0.00334368,0.412436,0.013751,-0.000733629,-0.1291%,-0.0012918,0.412436241,-0.412436,-0.1292%
898,122.304,-0.00129094,0.00334367,0.408944,0.0137477,-0.00079463,-0.1291%,-0.0012906,0.408944216,-0.408944,-0.1290%
899,123.647,-0.001291,0.00334366,0.413434,0.0137444,-0.000855632,-0.1291%,-0.0012907,0.413433528,-0.413434,-0.1291%
900,122.403,-0.00129104,0.00334367,0.409275,0.0137411,0.000856532,-0.1291%,-0.0012913,0.409275239,-0.409275,-0.1291%
901,121.356,-0.00129108,0.00334368,0.405775,0.0137378,0.000799471,-0.1291%,-0.0012914,0.40577563,-0.405775,-0.1291%
902,121.771,-0.00129113,0.00334368,0.407164,0.0137345,0.00074241,-0.1291%,-0.0012903,0.407163257,-0.407164,-0.1291%
903,123.359,-0.00129119,0.00334369,0.412474,0.0137312,0.000685349,-0.1291%,-0.0012916,0.412474255,-0.412474,-0.1291%
904,125.155,-0.00129125,0.00334369,0.41848,0.0137279,0.000628288,-0.1291%,-0.0012905,0.418479522,-0.41848,-0.1291%
905,124.485,-0.00129129,0.0033437,0.41624,0.0137247,0.000571227,-0.1291%,-0.0012919,0.416240495,-0.41624,-0.1291%
906,123.058,-0.00129133,0.0033437,0.41147,0.0137214,0.000514166,-0.1291%,-0.0012908,0.411469035,-0.41147,-0.1292%
907,124.548,-0.00129138,0.00334371,0.416452,0.0137181,0.000457105,-0.1291%,-0.0012921,0.416452393,-0.416452,-0.1292%
908,125.438,-0.00129143,0.00334371,0.419429,0.0137148,0.000400044,-0.1291%,-0.0012910,0.419428295,-0.419429,-0.1292%
