tau,s_tmp,cash,delta,pv,r,q,PL,cash,asset,debt,PL
930,120.22,-0.00129251,0.00334366,0.401975,0.0141616,-0.000855297,-0.1293%,-0.0012922,0.401974805,-0.401975,-0.1292%
931,117.296,-0.00129256,0.00334391,0.392227,0.0141595,0.0268213,-0.1293%,-0.0012931,0.392227267,-0.392227,-0.1293%
932,117.307,-0.00129261,0.00334415,0.392292,0.0141573,0.0268237,-0.1293%,-0.0012919,0.392292204,-0.392292,-0.1292%
933,119.271,-0.00129265,0.0033444,0.39889,0.0141551,0.0268262,-0.1293%,-0.0012932,0.398889932,-0.39889,-0.1293%
934,119.488,-0.0012927,0.00334464,0.399645,0.0141529,0.0268286,-0.1293%,-0.0012920,0.399644344,-0.399645,-0.1293%
935,119.407,-0.00129275,0.00334489,0.399403,0.0141507,0.0268311,-0.1293%,-0.0012932,0.39940328,-0.399403,-0.1293%
936,118.943,-0.0012928,0.00334514,0.39788,0.0141485,0.0268335,-0.1293%,-0.0012933,0.397880987,-0.39788,-0.1292%
937,118.15,-0.00129285,0.00334538,0.395257,0.0141463,0.026836,-0.1293%,-0.0012921,0.395256647,-0.395257,-0.1292%
938,120.057,-0.0012929,0.00334563,0.401666,0.0141441,0.0268384,-0.1293%,-0.0012934,0.401666301,-0.401666,-0.1293%
939,120.696,-0.00129295,0.00334587,0.403834,0.0141419,0.0268409,-0.1293%,-0.0012922,0.403833126,-0.403834,-0.1293%
940,121.887,-0.001293,0.00334612,0.407848,0.0141397,0.0268434,-0.1293%,-0.0012935,0.407848528,-0.407848,-0.1293%
941,120.444,-0.00129305,0.00334637,0.40305,0.0141375,0.0268458,-0.1293%,-0.0012935,0.403050188,-0.40305,-0.1293%
942,120.345,-0.0012931,0.00334661,0.402748,0.0141353,0.0268483,-0.1293%,-0.0012924,0.40274778,-0.402748,-0.1293%
943,121.515,-0.00129315,0.00334686,0.406693,0.0141332,0.0268507,-0.1293%,-0.0012936,0.406693693,-0.406693,-0.1293%
944,120.98,-0.00129319,0.0033471,0.404933,0.014131,0.0268532,-0.1293%,-0.0012924,0.404932158,-0.404933,-0.1293%
945,120.527,-0.00129324,0.00334735,0.403446,0.0141288,0.0268556,-0.1293%,-0.0012937,0.403446053,-0.403446,-0.1294%
946,120.436,-0.00129329,0.0033476,0.403171,0.0141266,0.0268581,-0.1293%,-0.0012937,0.403171554,-0.403171,-0.1293%
947,121.991,-0.00129334,0.00334784,0.408407,0.0141244,0.0268605,-0.1293%,-0.0012926,0.408406349,-0.408407,-0.1293%
948,120.634,-0.00129339,0.00334809,0.403893,0.0141222,0.026863,-0.1293%,-0.0012938,0.403893489,-0.403893,-0.1293%
949,122.209,-0.00129344,0.00334834,0.409197,0.01412,0.0268654,-0.1293%,-0.0012939,0.409197283,-0.409197,-0.1294%
950,121.099,-0.00129349,0.00334858,0.40551,0.0141178,0.0268679,-0.1293%,-0.0012927,0.405509689,-0.40551,-0.1293%
951,121.941,-0.00129354,0.00334883,0.40836,0.0141156,0.0268703,-0.1294%,-0.0012940,0.408359679,-0.40836,-0.1294%
952,122.834,-0.00129359,0.00334908,0.41138,0.0141134,0.0268728,-0.1294%,-0.0012940,0.411380893,-0.41138,-0.1293%
953,121.234,-0.00129363,0.00334932,0.406052,0.0141112,0.0268753,-0.1294%,-0.0012928,0.406051461,-0.406052,-0.1293%
954,122.409,-0.00129368,0.00334957,0.410017,0.014109,0.0268777,-0.1294%,-0.0012941,0.410017514,-0.410017,-0.1294%
955,123.444,-0.00129373,0.00334982,0.413515,0.0141068,0.0268802,-0.1294%,-0.0012941,0.41351518,-0.413515,-0.1294%
956,123.258,-0.00129378,0.00335006,0.412922,0.0141047,0.0268826,-0.1294%,-0.0012930,0.412921695,-0.412922,-0.1293%
957,123.014,-0.00129383,0.00335031,0.412135,0.0141025,0.0268851,-0.1294%,-0.0012942,0.412135034,-0.412135,-0.1294%
958,124.445,-0.00129388,0.00335056,0.41696,0.0141003,0.0268875,-0.1294%,-0.0012943,0.416960439,-0.41696,-0.1294%
959,123.347,-0.00129393,0.0033508,0.413311,0.0140981,0.02689,-0.1294%,-0.0012931,0.413311128,-0.413311,-0.1293%
960,124.958,-0.00129398,0.00335105,0.41874,0.0140959,0.0268924,-0.1294%,-0.0012944,0.418740506,-0.41874,-0.1294%
961,127.744,-0.00129403,0.00335106,0.428077,0.0140937,0.000724734,-0.1294%,-0.0012945,0.428077809,-0.428077,-0.1294%
962,127.859,-0.00129408,0.00335106,0.428463,0.0140915,0.000672779,-0.1294%,-0.0012933,0.428463181,-0.428463,-0.1293%
963,127.875,-0.00129413,0.00335107,0.428518,0.0140893,0.000620825,-0.1294%,-0.0012947,0.428518076,-0.428518,-0.1295%
964,127.905,-0.00129418,0.00335107,0.428619,0.0140871,0.00056887,-0.1294%,-0.0012935,0.428618608,-0.428619,-0.1294%
965,129.01,-0.00129423,0.00335108,0.432323,0.0140849,0.000516916,-0.1294%,-0.0012949,0.432322831,-0.432323,-0.1295%
966,130.021,-0.00129428,0.00335108,0.435711,0.0140827,0.000464961,-0.1294%,-0.0012937,0.435710773,-0.435711,-0.1294%
967,131.566,-0.00129433,0.00335109,0.440889,0.0140805,0.000413007,-0.1294%,-0.0012951,0.440889507,-0.440889,-0.1295%
968,131.305,-0.00129438,0.00335109,0.440015,0.0140784,0.000361053,-0.1294%,-0.0012939,0.440014872,-0.440015,-0.1294%
969,130.608,-0.00129443,0.00335109,0.437679,0.0140762,0.000309098,-0.1294%,-0.0012941,0.437679163,-0.437679,-0.1294%
970,131.809,-0.00129448,0.00335109,0.441704,0.014074,0.000257144,-0.1294%,-0.0012942,0.441703822,-0.441704,-0.1294%
971,133.17,-0.00129453,0.0033511,0.446265,0.0140718,0.000205189,-0.1295%,-0.0012956,0.446265987,-0.446265,-0.1295%
972,134.034,-0.00129458,0.0033511,0.449161,0.0140696,0.000153235,-0.1295%,-0.0012944,0.449161337,-0.449161,-0.1294%
973,133.834,-0.00129463,0.0033511,0.448491,0.0140674,0.00010128,-0.1295%,-0.0012945,0.448491117,-0.448491,-0.1294%
974,132.166,-0.00129468,0.0033511,0.442901,0.0140652,4.93E-05,-0.1295%,-0.0012946,0.442901483,-0.442901,-0.1294%
975,131.168,-0.00129473,0.0033511,0.439557,0.014063,-2.63E-06,-0.1295%,-0.0012947,0.439557085,-0.439557,-0.1295%
976,128.928,-0.00129478,0.0033511,0.43205,0.0140608,-5.46E-05,-0.1295%,-0.0012948,0.432050621,-0.43205,-0.1294%
977,129.159,-0.00129482,0.0033511,0.432824,0.0140586,-0.000106538,-0.1295%,-0.0012950,0.432824725,-0.432824,-0.1294%
978,128.654,-0.00129487,0.0033511,0.431132,0.0140564,-0.000158492,-0.1295%,-0.0012951,0.431132419,-0.431132,-0.1295%
979,129.293,-0.00129492,0.00335109,0.433273,0.0140542,-0.000210446,-0.1295%,-0.0012939,0.433272479,-0.433273,-0.1294%
980,129.461,-0.00129497,0.00335109,0.433836,0.0140521,-0.000262401,-0.1295%,-0.0012953,0.433835462,-0.433836,-0.1296%
981,128.647,-0.00129502,0.00335109,0.431108,0.0140499,-0.000314355,-0.1295%,-0.0012954,0.431107675,-0.431108,-0.1296%
982,130.963,-0.00129507,0.00335109,0.438868,0.0140477,-0.00036631,-0.1295%,-0.0012955,0.4388688,-0.438868,-0.1295%
983,131.629,-0.00129512,0.00335108,0.4411,0.0140455,-0.000418264,-0.1295%,-0.0012943,0.441099309,-0.4411,-0.1295%
984,133.641,-0.00129517,0.00335108,0.447841,0.0140433,-0.000470219,-0.1295%,-0.0012957,0.447841682,-0.447841,-0.1295%
985,131.17,-0.00129522,0.00335107,0.43956,0.0140411,-0.000522173,-0.1295%,-0.0012945,0.439559852,-0.43956,-0.1295%
986,131.362,-0.00129527,0.00335107,0.440203,0.0140389,-0.000574128,-0.1295%,-0.0012960,0.440203257,-0.440203,-0.1296%
987,132.186,-0.00129532,0.00335106,0.442963,0.0140367,-0.000626082,-0.1295%,-0.0012948,0.442963217,-0.442963,-0.1295%
988,129.559,-0.00129537,0.00335106,0.434159,0.0140345,-0.000678037,-0.1295%,-0.0012962,0.434159983,-0.434159,-0.1295%
989,128.824,-0.00129542,0.00335105,0.431695,0.0140323,-0.000729991,-0.1295%,-0.0012950,0.431695665,-0.431695,-0.1294%
990,129.365,-0.00129547,0.00335104,0.433507,0.0140301,-0.000781946,-0.1295%,-0.0012951,0.43350729,-0.433507,-0.1295%
991,131.456,-0.00129552,0.00335105,0.440515,0.0140279,0.000687199,-0.1296%,-0.0012960,0.440515629,-0.440515,-0.1295%
992,131.5,-0.00129557,0.00335105,0.440664,0.0140258,0.000638311,-0.1296%,-0.0012948,0.440663075,-0.440664,-0.1296%
993,132.028,-0.00129562,0.00335106,0.442434,0.0140236,0.000589424,-0.1296%,-0.0012962,0.44243375,-0.442434,-0.1296%
994,131.554,-0.00129567,0.00335106,0.440846,0.0140214,0.000540536,-0.1296%,-0.0012950,0.440845347,-0.440846,-0.1296%
995,132.116,-0.00129572,0.00335107,0.44273,0.0140192,0.000491648,-0.1296%,-0.0012964,0.442729964,-0.44273,-0.1296%
996,133.299,-0.00129577,0.00335107,0.446695,0.014017,0.00044276,-0.1296%,-0.0012952,0.44669428,-0.446695,-0.1296%
997,133.118,-0.00129582,0.00335108,0.446089,0.0140148,0.000393873,-0.1296%,-0.0012967,0.446089067,-0.446089,-0.1297%
998,131.49,-0.00129587,0.00335108,0.440633,0.0140126,0.000344985,-0.1296%,-0.0012955,0.440633509,-0.440633,-0.1295%
999,129.63,-0.00129592,0.00335108,0.434401,0.0140104,0.000296097,-0.1296%,-0.0012956,0.4344005,-0.434401,-0.1296%
1000,129.814,-0.00129597,0.00335108,0.435018,0.0140082,0.000247209,-0.1296%,-0.0012957,0.435017099,-0.435018,-0.1297%
1001,129.175,-0.00129602,0.00335109,0.432877,0.014006,0.000198322,-0.1296%,-0.0012971,0.432877051,-0.432877,-0.1297%
1002,129.818,-0.00129607,0.00335109,0.435031,0.0140038,0.000149434,-0.1296%,-0.0012959,0.435031802,-0.435031,-0.1295%
1003,129.902,-0.00129612,0.00335109,0.435313,0.0140016,0.000100546,-0.1296%,-0.0012960,0.435313293,-0.435313,-0.1296%
1004,131.366,-0.00129617,0.00335109,0.440219,0.0139995,5.17E-05,-0.1296%,-0.0012961,0.440219289,-0.440219,-0.1296%
1005,130.339,-0.00129622,0.00335109,0.436778,0.0139973,2.77E-06,-0.1296%,-0.0012962,0.43677772,-0.436778,-0.1296%
1006,130.423,-0.00129627,0.00335109,0.437059,0.0139951,-4.61E-05,-0.1296%,-0.0012963,0.437059211,-0.437059,-0.1296%
1007,129.079,-0.00129632,0.00335109,0.432555,0.0139929,-9.50E-05,-0.1296%,-0.0012964,0.432555346,-0.432555,-0.1296%
1008,128.84,-0.00129637,0.00335109,0.431754,0.0139907,-0.000143892,-0.1296%,-0.0012965,0.431754436,-0.431754,-0.1296%
1009,129.764,-0.00129642,0.00335108,0.43485,0.0139885,-0.00019278,-0.1296%,-0.0012954,0.434849545,-0.43485,-0.1296%
1010,130.92,-0.00129647,0.00335108,0.438724,0.0139863,-0.000241668,-0.1296%,-0.0012968,0.438723394,-0.438724,-0.1297%
1011,132.911,-0.00129652,0.00335108,0.445395,0.0139841,-0.000290556,-0.1297%,-0.0012969,0.445395394,-0.445395,-0.1296%
1012,132.409,-0.00129657,0.00335108,0.443713,0.0139819,-0.000339443,-0.1297%,-0.0012970,0.443713152,-0.443713,-0.1297%
1013,133.676,-0.00129662,0.00335107,0.447958,0.0139797,-0.000388331,-0.1297%,-0.0012958,0.447957633,-0.447958,-0.1296%
1014,132.855,-0.00129667,0.00335107,0.445206,0.0139775,-0.000437219,-0.1297%,-0.0012972,0.445206405,-0.445206,-0.1297%
1015,133.84,-0.00129672,0.00335106,0.448506,0.0139753,-0.000486106,-0.1297%,-0.0012960,0.44850587,-0.448506,-0.1296%
1016,132.068,-0.00129677,0.00335106,0.442568,0.0139732,-0.000534994,-0.1297%,-0.0012974,0.442567792,-0.442568,-0.1298%
1017,132.797,-0.00129681,0.00335105,0.44501,0.013971,-0.000583882,-0.1297%,-0.0012962,0.445009387,-0.44501,-0.1297%
1018,132.765,-0.00129686,0.00335105,0.444902,0.0139688,-0.00063277,-0.1297%,-0.0012976,0.444902153,-0.444902,-0.1297%
1019,130.764,-0.00129691,0.00335104,0.438196,0.0139666,-0.000681657,-0.1297%,-0.0012964,0.438195395,-0.438196,-0.1297%
1020,130.981,-0.00129696,0.00335136,0.438965,0.0139644,0.0349668,-0.1297%,-0.0012968,0.438964484,-0.438965,-0.1297%
1021,129.04,-0.00129701,0.00335168,0.432501,0.0139622,0.0349879,-0.1297%,-0.0012968,0.432500787,-0.432501,-0.1297%
1022,128.619,-0.00129706,0.00335201,0.431132,0.01396,0.035009,-0.1297%,-0.0012982,0.431132174,-0.431132,-0.1298%
1023,130.668,-0.0012971,0.00335233,0.438042,0.0139578,0.0350302,-0.1297%,-0.0012969,0.438042256,-0.438042,-0.1297%
1024,129.502,-0.00129715,0.00335265,0.434175,0.0139556,0.0350513,-0.1297%,-0.0012969,0.43417488,-0.434175,-0.1297%
1025,129.097,-0.0012972,0.00335297,0.432859,0.0139534,0.0350724,-0.1297%,-0.0012969,0.432858368,-0.432859,-0.1298%
1026,128.298,-0.00129725,0.00335329,0.430221,0.0139512,0.0350935,-0.1297%,-0.0012969,0.4302204,-0.430221,-0.1298%
1027,127.379,-0.0012973,0.00335362,0.42718,0.013949,0.0351146,-0.1297%,-0.0012982,0.427180762,-0.42718,-0.1297%
1028,127.418,-0.00129734,0.00335394,0.427352,0.0139468,0.0351357,-0.1297%,-0.0012970,0.427352327,-0.427352,-0.1297%
1029,127.712,-0.00129739,0.00335426,0.42838,0.0139447,0.0351568,-0.1297%,-0.0012970,0.428379253,-0.42838,-0.1298%
1030,127.341,-0.00129744,0.00335459,0.427176,0.0139425,0.0351779,-0.1297%,-0.0012983,0.427176845,-0.427176,-0.1297%
1031,128.17,-0.00129749,0.00335491,0.429999,0.0139403,0.035199,-0.1297%,-0.0012970,0.429998815,-0.429999,-0.1297%
1032,128.504,-0.00129753,0.00335523,0.431161,0.0139381,0.0352201,-0.1298%,-0.0012971,0.431160476,-0.431161,-0.1298%
1033,127.161,-0.00129758,0.00335556,0.426696,0.0139359,0.0352412,-0.1298%,-0.0012983,0.426696365,-0.426696,-0.1298%
1034,126.327,-0.00129763,0.00335588,0.423938,0.0139337,0.0352623,-0.1298%,-0.0012971,0.423938253,-0.423938,-0.1297%
1035,127.474,-0.00129768,0.00335621,0.427829,0.0139315,0.0352834,-0.1298%,-0.0012984,0.427829514,-0.427829,-0.1298%
1036,125.497,-0.00129772,0.00335653,0.421234,0.0139293,0.0353045,-0.1298%,-0.0012971,0.421234445,-0.421234,-0.1297%
1037,125.804,-0.00129777,0.00335686,0.422306,0.0139271,0.0353257,-0.1298%,-0.0012984,0.422306415,-0.422306,-0.1298%
1038,126.292,-0.00129782,0.00335718,0.423985,0.0139249,0.0353468,-0.1298%,-0.0012972,0.423984977,-0.423985,-0.1297%
1039,126.05,-0.00129787,0.00335751,0.423214,0.0139227,0.0353679,-0.1298%,-0.0012985,0.423214136,-0.423214,-0.1298%
1040,124.457,-0.00129791,0.00335783,0.417906,0.0139205,0.035389,-0.1298%,-0.0012972,0.417905448,-0.417906,-0.1298%
1041,127.717,-0.00129796,0.00335816,0.428894,0.0139184,0.0354101,-0.1298%,-0.0012985,0.428894121,-0.428894,-0.1298%
1042,127.763,-0.00129801,0.00335848,0.42909,0.0139162,0.0354312,-0.1298%,-0.0012972,0.42908948,-0.42909,-0.1298%
1043,129.037,-0.00129806,0.00335881,0.433411,0.013914,0.0354523,-0.1298%,-0.0012985,0.433410766,-0.433411,-0.1299%
1044,128.554,-0.0012981,0.00335914,0.43183,0.0139118,0.0354734,-0.1298%,-0.0012986,0.431830884,-0.43183,-0.1298%
1045,128.023,-0.00129815,0.00335946,0.430088,0.0139096,0.0354945,-0.1298%,-0.0012973,0.430088148,-0.430088,-0.1297%
1046,127.448,-0.0012982,0.00335979,0.428198,0.0139074,0.0355156,-0.1298%,-0.0012986,0.428198516,-0.428198,-0.1298%
1047,127.628,-0.00129825,0.00336012,0.428845,0.0139052,0.0355367,-0.1298%,-0.0012986,0.428845395,-0.428845,-0.1298%
1048,126.301,-0.00129829,0.00336044,0.424427,0.013903,0.0355578,-0.1298%,-0.0012974,0.424426932,-0.424427,-0.1297%
1049,125.126,-0.00129834,0.00336077,0.42052,0.0139008,0.0355789,-0.1298%,-0.0012986,0.420519707,-0.42052,-0.1299%
1050,124.962,-0.00129839,0.00336078,0.419969,0.0138986,0.000683264,-0.1298%,-0.0012989,0.41996979,-0.419969,-0.1298%
1051,126.072,-0.00129844,0.00336078,0.423701,0.0138964,0.000637863,-0.1298%,-0.0012977,0.423700256,-0.423701,-0.1298%
1052,124.616,-0.00129849,0.00336079,0.418808,0.0138942,0.000592462,-0.1298%,-0.0012991,0.418808207,-0.418808,-0.1299%
1053,123.826,-0.00129854,0.00336079,0.416154,0.0138921,0.000547061,-0.1299%,-0.0012979,0.416153183,-0.416154,-0.1299%
1054,123.371,-0.00129859,0.0033608,0.414625,0.0138899,0.00050166,-0.1299%,-0.0012993,0.414625257,-0.414625,-0.1299%
1055,122.342,-0.00129864,0.0033608,0.411167,0.0138877,0.000456259,-0.1299%,-0.0012981,0.411166994,-0.411167,-0.1298%
1056,122.119,-0.00129869,0.00336081,0.410418,0.0138855,0.000410858,-0.1299%,-0.0012994,0.410418756,-0.410418,-0.1299%
1057,123.341,-0.00129874,0.00336081,0.414526,0.0138833,0.000365457,-0.1299%,-0.0012983,0.414525666,-0.414526,-0.1299%
1058,123.9,-0.00129878,0.00336081,0.416405,0.0138811,0.000320056,-0.1299%,-0.0012984,0.416404359,-0.416405,-0.1299%
1059,125.478,-0.00129883,0.00336082,0.421708,0.0138789,0.000274655,-0.1299%,-0.0012998,0.421708972,-0.421708,-0.1299%
1060,125.725,-0.00129888,0.00336082,0.422539,0.0138767,0.000229254,-0.1299%,-0.0012986,0.422539095,-0.422539,-0.1299%
1061,124.445,-0.00129893,0.00336082,0.418237,0.0138745,0.000183853,-0.1299%,-0.0012987,0.418237245,-0.418237,-0.1298%
1062,125.478,-0.00129898,0.00336082,0.421709,0.0138723,0.000138452,-0.1299%,-0.0012988,0.421708972,-0.421709,-0.1299%
1063,126.312,-0.00129903,0.00336082,0.424512,0.0138701,9.31E-05,-0.1299%,-0.0012989,0.424511896,-0.424512,-0.1299%
1064,125.373,-0.00129908,0.00336082,0.421356,0.0138679,4.77E-05,-0.1299%,-0.0012990,0.421356086,-0.421356,-0.1299%
1065,126.643,-0.00129913,0.00336082,0.425625,0.0138658,2.25E-06,-0.1299%,-0.0012991,0.425624327,-0.425625,-0.1300%
1066,125.74,-0.00129918,0.00336082,0.42259,0.0138636,-4.32E-05,-0.1299%,-0.0012992,0.422589507,-0.42259,-0.1300%
1067,127.595,-0.00129923,0.00336082,0.428824,0.0138614,-8.86E-05,-0.1299%,-0.0012993,0.428823828,-0.428824,-0.1300%
1068,128.542,-0.00129928,0.00336082,0.432006,0.0138592,-0.000133953,-0.1299%,-0.0012994,0.432006524,-0.432006,-0.1299%
1069,127.596,-0.00129933,0.00336082,0.428827,0.013857,-0.000179354,-0.1299%,-0.0012995,0.428827189,-0.428827,-0.1299%
1070,128.539,-0.00129938,0.00336082,0.431996,0.0138548,-0.000224755,-0.1299%,-0.0012996,0.431996442,-0.431996,-0.1299%
1071,128.462,-0.00129943,0.00336081,0.431737,0.0138526,-0.000270156,-0.1299%,-0.0012985,0.431736374,-0.431737,-0.1299%
1072,128.293,-0.00129948,0.00336081,0.431168,0.0138504,-0.000315557,-0.1299%,-0.0012999,0.431168397,-0.431168,-0.1299%
1073,127.977,-0.00129953,0.00336081,0.430106,0.0138482,-0.000360958,-0.1300%,-0.0013000,0.430106381,-0.430106,-0.1300%
1074,127.335,-0.00129957,0.0033608,0.427948,0.013846,-0.000406359,-0.1300%,-0.0012988,0.427947468,-0.427948,-0.1299%
1075,127.89,-0.00129962,0.0033608,0.429813,0.0138438,-0.00045176,-0.1300%,-0.0013002,0.429812712,-0.429813,-0.1300%
1076,129.489,-0.00129967,0.00336079,0.435186,0.0138416,-0.000497161,-0.1300%,-0.0012990,0.435185336,-0.435186,-0.1300%
1077,127.961,-0.00129972,0.00336079,0.43005,0.0138395,-0.000542562,-0.1300%,-0.0013004,0.430050049,-0.43005,-0.1300%
1078,127.458,-0.00129977,0.00336078,0.428359,0.0138373,-0.000587963,-0.1300%,-0.0012992,0.428358297,-0.428359,-0.1300%
1079,127.998,-0.00129982,0.00336078,0.430173,0.0138351,-0.000633364,-0.1300%,-0.0013006,0.430173118,-0.430173,-0.1300%
1080,127.716,-0.00129987,0.003361,0.429253,0.0138329,0.0238378,-0.1300%,-0.0012999,0.429253476,-0.429253,-0.1299%
1081,129.126,-0.00129992,0.00336122,0.43402,0.0138307,0.0238378,-0.1300%,-0.0013000,0.434020894,-0.43402,-0.1299%
1082,128.31,-0.00129997,0.00336144,0.431306,0.0138285,0.0238378,-0.1300%,-0.0013000,0.431306366,-0.431306,-0.1300%
1083,129.657,-0.00130001,0.00336166,0.435862,0.0138263,0.0238378,-0.1300%,-0.0013001,0.435862751,-0.435862,-0.1299%
1084,129.765,-0.00130006,0.00336188,0.436254,0.0138241,0.0238378,-0.1300%,-0.0013001,0.436254358,-0.436254,-0.1300%
1085,128.05,-0.00130011,0.0033621,0.430516,0.0138219,0.0238378,-0.1300%,-0.0013002,0.430516905,-0.430516,-0.1299%
1086,130.184,-0.00130016,0.00336231,0.43772,0.0138197,0.0238378,-0.1300%,-0.0012989,0.437718965,-0.43772,-0.1300%
1087,129.219,-0.00130021,0.00336253,0.434503,0.0138175,0.0238378,-0.1300%,-0.0013003,0.434502764,-0.434503,-0.1300%
1088,128.657,-0.00130026,0.00336275,0.432642,0.0138153,0.0238378,-0.1300%,-0.0013003,0.432641327,-0.432642,-0.1301%
1089,125.551,-0.0013003,0.00336297,0.422225,0.0138132,0.0238378,-0.1300%,-0.0013004,0.422224246,-0.422225,-0.1301%
1090,126.628,-0.00130035,0.00336319,0.425874,0.013811,0.0238378,-0.1300%,-0.0013004,0.425874023,-0.425874,-0.1300%
1091,126.995,-0.0013004,0.00336341,0.427137,0.0138088,0.0238378,-0.1300%,-0.0013004,0.427136253,-0.427137,-0.1301%
1092,127.181,-0.00130045,0.00336363,0.42779,0.0138066,0.0238378,-0.1300%,-0.0013005,0.427789827,-0.42779,-0.1301%
1093,128.983,-0.0013005,0.00336385,0.43388,0.0138044,0.0238378,-0.1301%,-0.0013005,0.433879465,-0.43388,-0.1301%
1094,127.48,-0.00130055,0.00336407,0.428852,0.0138022,0.0238378,-0.1301%,-0.0013006,0.428851644,-0.428852,-0.1301%
1095,126.274,-0.0013006,0.00336429,0.424823,0.015,0.0238378,-0.1301%,-0.0013006,0.424822355,-0.424823,-0.1301%
1096,125.63,-0.00130065,0.00336451,0.422684,0.015,0.0238378,-0.1301%,-0.0013007,0.422683391,-0.422684,-0.1301%
0_6-th Autocalled,125.63,-0.00130065,0.00336451,0.422684,-0.00130065,,,-0.0013006,0.422683391,-0.422684,-0.1301%
