PX, vold, vold-volup,바닐라옵션 베가,,바닐라옵션 vega(%),조기상환형 vega(%),노셔널,787.633
163.471,132.75,132.815,0.065,,0.06%,0.038%,,
164.957,131.312,131.381,0.069,,0.06%,0.036%,,
166.443,129.875,129.948,0.073,,0.07%,0.034%,,
167.929,128.439,128.516,0.077,,0.07%,0.033%,,
169.415,127.004,127.086,0.082,,0.07%,0.031%,,
170.901,125.57,125.656,0.086,,0.08%,0.029%,,
172.388,124.136,124.228,0.092,,0.08%,0.027%,,
173.874,122.704,122.801,0.097,,0.09%,0.024%,,
175.36,121.273,121.375,0.102,,0.09%,0.022%,,
176.846,119.843,119.951,0.108,,0.10%,0.019%,,
178.332,118.415,118.528,0.113,,0.10%,0.017%,,
179.818,116.987,117.106,0.119,,0.11%,-0.011%,,
181.304,115.561,115.686,0.125,,0.11%,-0.039%,,
182.79,114.136,114.268,0.132,,0.12%,-0.067%,,
184.276,112.712,112.851,0.139,,0.12%,-0.095%,,
185.762,111.29,111.435,0.145,,0.13%,-0.123%,,
187.249,109.869,110.022,0.153,,0.14%,-0.151%,,
188.735,108.45,108.61,0.16,,0.14%,-0.179%,,
190.221,107.033,107.2,0.167,,0.15%,-0.207%,,
191.707,105.618,105.792,0.174,,0.16%,-0.235%,,
193.193,104.204,104.387,0.183,,0.16%,-0.262%,,
194.679,102.792,102.983,0.191,,0.17%,-0.290%,,
196.165,101.383,101.582,0.199,,0.18%,-0.317%,,
197.651,99.975,100.183,0.208,,0.19%,-0.345%,,
199.137,98.5695,98.7869,0.2174,,0.19%,-0.372%,,
200.623,97.1661,97.3928,0.2267,,0.20%,-0.399%,,
202.11,95.7649,96.0012,0.2363,,0.21%,-0.425%,,
203.596,94.3664,94.6125,0.2461,,0.22%,-0.452%,,
205.082,92.9706,93.2269,0.2563,,0.23%,-0.478%,,
206.568,91.5777,91.8444,0.2667,,0.24%,-0.504%,,
208.054,90.1877,90.4651,0.2774,,0.25%,-0.529%,,
209.54,88.8007,89.0891,0.2884,,0.26%,-0.554%,,
211.026,87.4167,87.7164,0.2997,,0.27%,-0.579%,,
212.512,86.0358,86.3471,0.3113,,0.28%,-0.603%,,
213.998,84.6581,84.9812,0.3231,,0.29%,-0.627%,,
215.484,83.2837,83.6189,0.3352,,0.30%,-0.651%,,
216.971,81.9127,82.2603,0.3476,,0.31%,-0.674%,,
218.457,80.5457,80.906,0.3603,,0.32%,-0.696%,,
219.943,79.1829,79.5562,0.3733,,0.33%,-0.718%,,
221.429,77.8243,78.2109,0.3866,,0.34%,-0.739%,,
222.915,76.4701,76.8703,0.4002,,0.36%,-0.760%,,
224.401,75.1203,75.5343,0.414,,0.37%,-0.780%,,
225.887,73.7751,74.2032,0.4281,,0.38%,-0.800%,,
227.373,72.4344,72.8769,0.4425,,0.39%,-0.819%,,
228.859,71.0985,71.5555,0.457,,0.41%,-0.837%,,
230.345,69.7673,70.2392,0.4719,,0.42%,-0.855%,,
231.832,68.4409,68.928,0.4871,,0.43%,-0.872%,,
233.318,67.1205,67.6228,0.5023,,0.45%,-0.888%,,
234.804,65.806,66.3239,0.5179,,0.46%,-0.903%,,
236.29,64.4975,65.0312,0.5337,,0.48%,-0.918%,,
237.776,63.1952,63.7448,0.5496,,0.49%,-0.931%,,
239.262,61.8991,62.4649,0.5658,,0.50%,-0.944%,,
240.748,60.6093,61.1914,0.5821,,0.52%,-0.956%,,
242.234,59.3258,59.9245,0.5987,,0.53%,-0.967%,,
243.72,58.0488,58.6642,0.6154,,0.55%,-0.977%,,
245.206,56.7784,57.4105,0.6321,,0.56%,-0.987%,,
246.693,55.5145,56.1636,0.6491,,0.58%,-0.996%,,
248.179,54.2573,54.9235,0.6662,,0.59%,-1.003%,,
249.665,53.007,53.6902,0.6832,,0.61%,-1.010%,,
251.151,51.7634,52.4639,0.7005,,0.62%,-1.017%,,
252.637,50.5268,51.2445,0.7177,,0.64%,-1.022%,,
254.123,49.297,50.0321,0.7351,,0.66%,-1.027%,,
255.609,48.0742,48.8267,0.7525,,0.67%,-1.030%,,
257.095,46.8585,47.6283,0.7698,,0.69%,-1.033%,,
258.581,45.6497,46.4369,0.7872,,0.70%,-1.036%,,
260.067,44.448,45.2527,0.8047,,0.72%,-1.037%,,
261.554,43.2534,44.0755,0.8221,,0.73%,-1.038%,,
263.04,42.0679,42.9074,0.8395,,0.75%,-1.038%,,
264.526,40.8917,41.7485,0.8568,,0.76%,-1.036%,,
266.012,39.7246,40.5986,0.874,,0.78%,-1.035%,,
267.498,38.5667,39.4579,0.8912,,0.79%,-1.032%,,
268.984,37.4179,38.3262,0.9083,,0.81%,-1.028%,,
270.47,36.2783,37.2036,0.9253,,0.82%,-1.023%,,
271.956,35.1478,36.0899,0.9421,,0.84%,-1.018%,,
273.442,34.0263,34.9853,0.959,,0.86%,-1.012%,,
274.928,32.9139,33.8896,0.9757,,0.87%,-1.005%,,
276.415,31.8104,32.8027,0.9923,,0.88%,-0.998%,,
277.901,30.7243,31.7326,1.0083,,0.90%,-0.989%,,
279.387,29.6553,30.679,1.0237,,0.91%,-0.979%,,
280.873,28.6033,29.6419,1.0386,,0.93%,-0.968%,,
282.359,27.5681,28.6211,1.053,,0.94%,-0.955%,,
283.845,26.5495,27.6163,1.0668,,0.95%,-0.942%,,
285.331,25.5474,26.6274,1.08,,0.96%,-0.927%,,
286.817,24.5614,25.6542,1.0928,,0.97%,-0.911%,,
288.303,23.5914,24.6965,1.1051,,0.99%,-0.895%,,
289.789,22.6372,23.7541,1.1169,,1.00%,-0.878%,,
291.276,21.6985,22.8268,1.1283,,1.01%,-0.860%,,
292.762,20.7887,21.9267,1.138,,1.01%,-0.841%,,
294.248,19.907,21.0534,1.1464,,1.02%,-0.821%,,
295.734,19.0532,20.2063,1.1531,,1.03%,-0.799%,,
296.477,18.6365,19.7924,1.1559,,1.03%,-0.777%,,
297.963,17.8232,18.984,1.1608,,1.03%,-0.754%,,
300.192,16.6531,17.8185,1.1654,,1.04%,-0.731%,,
301.678,15.9052,17.0722,1.167,,1.04%,-0.706%,,
303.164,15.1827,16.35,1.1673,,1.04%,-0.682%,,
304.65,14.485,15.6517,1.1667,,1.04%,-0.658%,,
306.137,13.8119,14.9767,1.1648,,1.04%,-0.633%,,
307.623,13.1677,14.3292,1.1615,,1.04%,-0.609%,,
309.109,12.5519,13.7088,1.1569,,1.03%,-0.584%,,
310.595,11.9641,13.1149,1.1508,,1.03%,-0.560%,,
312.081,11.4037,12.5471,1.1434,,1.02%,-0.536%,,
313.567,10.8704,12.0051,1.1347,,1.01%,-0.513%,,
315.053,10.3635,11.4883,1.1248,,1.00%,-0.490%,,
316.539,9.88275,10.9964,1.11365,,0.99%,-0.468%,,
318.025,9.42757,10.5289,1.10133,,0.98%,-0.447%,,
319.512,8.9975,10.0855,1.088,,0.97%,-0.426%,,
320.998,8.58534,9.65938,1.07404,,0.96%,-0.406%,,
322.484,8.19077,9.25025,1.05948,,0.94%,-0.386%,,
323.97,7.81347,8.85784,1.04437,,0.93%,-0.367%,,
325.456,7.45312,8.48185,1.02873,,0.92%,-0.349%,,
326.942,7.10938,8.12197,1.01259,,0.90%,-0.331%,,
328.428,6.7819,7.77789,0.99599,,0.89%,-0.315%,,
329.914,6.47033,7.44929,0.97896,,0.87%,-0.298%,,
331.4,6.1743,7.13584,0.96154,,0.86%,-0.282%,,
332.886,5.89344,6.83722,0.94378,,0.84%,-0.268%,,
334.373,5.62738,6.55308,0.9257,,0.83%,-0.254%,,
335.859,5.37269,6.28019,0.9075,,0.81%,-0.241%,,
337.345,5.12908,6.01828,0.8892,,0.79%,-0.228%,,
338.831,4.89627,5.76709,0.87082,,0.78%,-0.216%,,
340.317,4.67395,5.52636,0.85241,,0.76%,-0.204%,,
341.803,4.46184,5.29581,0.83397,,0.74%,-0.192%,,
343.289,4.25962,5.07517,0.81555,,0.73%,-0.182%,,
344.775,4.06702,4.86418,0.79716,,0.71%,-0.172%,,
346.261,3.88373,4.66258,0.77885,,0.69%,-0.163%,,
347.747,3.70947,4.47008,0.76061,,0.68%,-0.153%,,
349.234,3.54395,4.28644,0.74249,,0.66%,-0.145%,,
350.72,3.38606,4.11063,0.72457,,0.65%,-0.136%,,
352.206,3.23557,3.94243,0.70686,,0.63%,-0.128%,,
353.692,3.09223,3.7816,0.68937,,0.61%,-0.122%,,
355.178,2.95579,3.62792,0.67213,,0.60%,-0.114%,,
356.664,2.82603,3.48116,0.65513,,0.58%,-0.108%,,
358.15,2.70272,3.34112,0.6384,,0.57%,-0.102%,,
359.636,2.58563,3.20758,0.62195,,0.55%,-0.096%,,
361.122,2.47454,3.08034,0.6058,,0.54%,-0.090%,,
362.608,2.36925,2.95919,0.58994,,0.53%,-0.086%,,
364.095,2.26955,2.84393,0.57438,,0.51%,-0.081%,,
365.581,2.17419,2.73333,0.55914,,0.50%,-0.076%,,
367.067,2.08302,2.62725,0.54423,,0.49%,-0.072%,,
368.553,1.99591,2.52554,0.52963,,0.47%,-0.068%,,
370.039,1.91269,2.42805,0.51536,,0.46%,-0.064%,,
371.525,1.83324,2.33465,0.50141,,0.45%,-0.061%,,
373.011,1.75742,2.24521,0.48779,,0.43%,-0.058%,,
374.497,1.68511,2.15959,0.47448,,0.42%,-0.055%,,
375.983,1.61617,2.07767,0.4615,,0.41%,-0.051%,,
377.469,1.55048,1.99932,0.44884,,0.40%,-0.049%,,
378.956,1.48794,1.92444,0.4365,,0.39%,-0.046%,,
380.442,1.42785,1.85229,0.42444,,0.38%,-0.043%,,
381.928,1.37014,1.78279,0.41265,,0.37%,-0.041%,,
383.414,1.31472,1.71585,0.40113,,0.36%,-0.038%,,
384.9,1.2615,1.65139,0.38989,,0.35%,-0.036%,,
386.386,1.21041,1.58932,0.37891,,0.34%,-0.035%,,
387.872,1.16138,1.52957,0.36819,,0.33%,-0.033%,,
389.358,1.11432,1.47205,0.35773,,0.32%,-0.030%,,
390.844,1.06917,1.4167,0.34753,,0.31%,-0.030%,,
392.33,1.02586,1.36345,0.33759,,0.30%,-0.028%,,
393.817,0.984327,1.31221,0.327883,,0.29%,-0.026%,,
395.303,0.944471,1.2629,0.318429,,0.28%,-0.025%,,
396.789,0.906236,1.21545,0.309214,,0.28%,-0.023%,,
398.275,0.869564,1.16979,0.300226,,0.27%,-0.022%,,
399.761,0.834396,1.12588,0.291484,,0.26%,-0.020%,,
