PX, vold
534.996,0.0289918
536.482,0.0277257
537.968,0.0265061
539.454,0.025331
540.94,0.0241984
542.427,0.0231064
543.913,0.0220531
545.399,0.0210368
546.885,0.0200559
548.371,0.0191085
549.857,0.0181932
551.343,0.0173083
552.829,0.0164525
554.315,0.0156241
555.801,0.0148219
557.288,0.0140444
558.774,0.0132904
560.26,0.0125585
561.746,0.0118475
563.232,0.0111562
564.718,0.0104834
566.204,0.009828
567.69,0.00918885
569.176,0.00856487
570.662,0.00795502
572.149,0.00735826
573.635,0.00677359
575.121,0.00620004
576.607,0.00563664
578.093,0.00508245
579.579,0.00453658
581.065,0.0039981
582.551,0.00346616
584.037,0.00293988
585.523,0.00241842
587.01,0.00190094
588.496,0.00138662
589.982,0.00087466
591.468,0.000364262
592.954,-0.000145361
594.44,-0.000654984
