tau,s_tmp,cash,delta,pv,r,q,PL
0,297.22,0.984969,0.00010798,1.01706,,,-2.77556e-17
1,294.98,0.972126,0.000151682,1.01687,0.0179022,0,-1.01e-06
2,295.856,0.979475,0.000127006,1.01708,0.0179066,0,-2.87868e-05
3,294.573,0.973016,0.000149093,1.01699,0.0179111,0,-5.96273e-05
4,295.735,0.980416,0.000124233,1.01724,0.0179155,0,-8.70126e-05
5,291.233,0.958887,0.000198323,1.01661,0.0179199,0,3.11226e-05
6,294.476,0.974613,0.000145078,1.01725,0.0179244,0,8.03165e-05
7,293.163,0.96763,0.000169061,1.01715,0.0179288,0,4.5404e-05
8,297.255,0.989313,9.62788e-05,1.01776,0.0179332,0,0.000168385
9,292.396,0.968848,0.000166434,1.01721,0.0179377,0,0.000305584
10,292.806,0.969289,0.000165092,1.01737,0.0179421,0,0.000254604
11,291.625,0.961758,0.000191079,1.01726,0.0179465,0,0.000220571
12,295.366,0.985032,0.000112441,1.01792,0.017951,0,0.000326444
13,293.48,0.970846,0.000160943,1.01776,0.0179554,0,0.000321991
14,294.869,0.97897,0.000133557,1.01804,0.0179598,0,0.000311763
15,292.753,0.97184,0.000158075,1.01784,0.0179643,0,0.000275677
16,293.219,0.972318,0.000156609,1.018,0.0179687,0,0.000234591
17,294.589,0.980523,0.000128918,1.01828,0.0179731,0,0.00021655
18,297.611,0.995088,8.01397e-05,1.01867,0.0179776,0,0.000267623
19,300.339,1.00771,3.82847e-05,1.01891,0.017982,0,0.000298264
20,295.303,0.98968,9.95032e-05,1.01864,0.0179864,0,0.000419411
21,294.32,0.98297,0.000122465,1.01863,0.0179909,0,0.000385751
22,291.554,0.967479,0.000175764,1.01832,0.0179953,0,0.00040218
23,288.394,0.956417,0.000214286,1.01781,0.0179997,0,0.000407616
24,293.325,0.977045,0.000144122,1.01878,0.0180042,0,0.000536302
25,292.608,0.977572,0.000142486,1.01878,0.0180086,0,0.000481388
26,290.276,0.963082,0.000192572,1.01849,0.018013,0,0.000490019
27,288.736,0.958633,0.000208146,1.01829,0.0180175,0,0.000438294
28,286.501,0.954169,0.000223943,1.01794,0.0180219,0.0933255,0.000394077
29,285.794,0.949376,0.000240942,1.0179,0.0180263,0.0999914,0.000337181
30,285.977,0.950199,0.000238299,1.01807,0.0180307,0.106657,0.000276754
31,277.69,0.919274,0.000349905,1.01582,0.0180352,0.113323,0.000620826
32,277.644,0.919858,0.000348081,1.01595,0.0180396,0.119989,0.000546103
33,276.335,0.913354,0.000371904,1.01564,0.018044,0.126655,0.000485822
34,276.605,0.913936,0.000370099,1.0159,0.0180485,0.133321,0.000409905
35,278.535,0.921539,0.000342969,1.01669,0.0180529,0.00388886,0.000374528
36,279.104,0.929072,0.000316142,1.017,0.0180573,0.00277777,0.000304661
37,279.382,0.929459,0.000314924,1.01722,0.0180618,0.00166668,0.000223768
38,278.727,0.929858,0.000313659,1.01713,0.0180662,0.000555594,0.000153392
39,277.761,0.922896,0.00033889,1.01694,0.0180706,-0.000555494,8.90427e-05
40,272.855,0.905597,0.000402455,1.0152,0.0180751,-0.00166658,0.000209599
41,269.029,0.892716,0.0004505,1.01369,0.0180795,-0.00277767,0.000220307
42,271.56,0.901791,0.00041724,1.01493,0.0180839,-0.00388876,0.000168548
43,276.146,0.917202,0.000361596,1.01688,0.0180884,0.00198468,0.000174985
44,273.294,0.90717,0.000398469,1.01592,0.0180928,0.00119107,0.000152095
45,275.002,0.912699,0.00037853,1.01672,0.0180972,0.000397466,7.31196e-05
46,272.203,0.9027,0.000415426,1.01572,0.0181017,-0.000396141,6.5731e-05
47,272.97,0.907679,0.00039735,1.01613,0.0181061,-0.00118975,1.77127e-05
48,272.979,0.907632,0.000397687,1.01623,0.0181105,-0.00198335,-3.7483e-05
49,275.902,0.919006,0.000356623,1.01746,0.018115,-0.00277696,-5.73078e-05
50,277.259,0.926557,0.000329555,1.01804,0.0181194,0.0024998,-0.000108776
51,279.136,0.934102,0.00030269,1.01875,0.0181238,0.00194425,-0.000156594
52,276.921,0.919138,0.000356896,1.01813,0.0181283,0.00138871,-0.000156599
53,275.579,0.912717,0.000380362,1.01775,0.0181327,0.000833159,-0.000208799
