PX, uold5
0,-7.28584e-17
1.4699,0.00490403
2.9398,0.00980806
4.4097,0.0147121
5.8796,0.0196161
7.3495,0.0245201
8.8194,0.0294242
10.2893,0.0343282
11.7592,0.0392322
13.2291,0.0441363
14.699,0.0490403
16.1689,0.0539443
17.6388,0.0588483
19.1087,0.0637524
20.5786,0.0686564
22.0485,0.0735604
23.5184,0.0784645
24.9883,0.0833685
26.4582,0.0882725
27.9281,0.0931765
29.398,0.0980806
30.8679,0.102985
32.3378,0.107889
33.8077,0.112793
35.2776,0.117697
36.7475,0.122601
38.2174,0.127505
39.6873,0.132409
41.1572,0.137313
42.6271,0.142217
44.097,0.147121
45.5669,0.152025
47.0368,0.156929
48.5067,0.161833
49.9766,0.166737
51.4465,0.171641
52.9164,0.176545
54.3863,0.181449
55.8562,0.186353
57.3261,0.191257
58.796,0.196161
60.2659,0.201065
61.7358,0.205969
63.2057,0.210873
64.6756,0.215777
66.1455,0.220681
67.6154,0.225585
69.0853,0.230489
70.5552,0.235393
72.0251,0.240297
73.495,0.245201
74.9649,0.250105
76.4348,0.255009
77.9047,0.259914
79.3746,0.264818
80.8445,0.269722
82.3144,0.274626
83.7843,0.27953
85.2542,0.284434
86.7241,0.289338
88.194,0.294242
89.6639,0.299146
91.1338,0.30405
92.6037,0.308954
94.0736,0.313858
95.5435,0.318762
97.0134,0.323666
98.4833,0.32857
99.9532,0.333474
101.423,0.338378
102.893,0.343282
104.363,0.348186
105.833,0.35309
107.303,0.357994
108.773,0.362898
110.242,0.367802
111.712,0.372706
113.182,0.37761
114.652,0.382514
116.122,0.387418
117.592,0.392322
119.062,0.397226
120.532,0.40213
122.002,0.407034
123.472,0.411938
124.941,0.416842
126.411,0.421746
127.881,0.426651
129.351,0.431555
130.821,0.436459
132.291,0.441363
133.761,0.446267
135.231,0.451171
136.701,0.456075
138.171,0.460979
139.64,0.465884
141.11,0.470788
142.58,0.475693
144.05,0.480597
145.52,0.485502
146.99,0.490408
148.46,0.495313
149.93,0.500219
151.4,0.505126
152.87,0.510034
154.339,0.514942
155.809,0.519852
157.279,0.524764
158.749,0.529677
160.219,0.534592
161.689,0.539511
163.159,0.544432
164.629,0.549358
166.099,0.554288
167.569,0.559224
169.038,0.564166
170.508,0.569116
171.978,0.574075
173.448,0.579044
174.918,0.584025
176.388,0.589019
177.858,0.612354
179.328,0.635539
180.798,0.658499
182.268,0.681167
183.737,0.703478
185.207,0.725375
186.677,0.746777
188.147,0.767636
189.617,0.787908
191.087,0.807556
192.557,0.826548
194.027,0.84486
195.497,0.862471
196.967,0.879368
198.436,0.895542
199.906,0.910988
201.376,0.925651
202.846,0.939537
204.316,0.952655
205.786,0.96502
207.256,0.976648
208.726,0.987562
210.196,0.997784
211.666,1.00734
213.135,1.01625
214.605,1.02456
216.075,1.03224
217.545,1.03932
219.015,1.04584
220.485,1.05183
221.955,1.05733
223.425,1.06236
224.895,1.06696
226.365,1.07116
227.834,1.07499
229.304,1.07847
230.774,1.08162
232.244,1.08445
233.714,1.087
235.184,1.08929
236.654,1.09134
238.124,1.09318
239.594,1.09482
241.064,1.09629
242.533,1.0976
244.003,1.09877
245.473,1.0998
246.943,1.10071
248.413,1.10151
249.883,1.10222
251.353,1.10283
252.823,1.10338
254.293,1.10385
255.763,1.10427
257.232,1.10463
258.702,1.10495
260.172,1.10523
261.642,1.10547
263.112,1.10567
264.582,1.10585
266.052,1.106
267.522,1.10613
268.992,1.10625
270.462,1.10635
271.931,1.10643
273.401,1.1065
274.871,1.10656
276.341,1.10661
277.811,1.10666
279.281,1.1067
280.751,1.10673
282.221,1.10676
283.691,1.10678
285.161,1.1068
286.63,1.10681
288.1,1.10683
289.57,1.10684
291.04,1.10685
292.51,1.10686
293.98,1.10686
295.45,1.10687
296.92,1.10687
298.39,1.10688
299.86,1.10688
301.329,1.10688
302.799,1.10689
304.269,1.10689
305.739,1.10689
307.209,1.10689
308.679,1.10689
310.149,1.10689
311.619,1.10689
313.089,1.10689
314.559,1.10689
316.028,1.10689
317.498,1.10689
318.968,1.10689
320.438,1.10689
321.908,1.10689
323.378,1.10689
324.848,1.1069
326.318,1.1069
327.788,1.1069
329.258,1.1069
330.727,1.1069
332.197,1.1069
333.667,1.1069
335.137,1.1069
336.607,1.1069
338.077,1.1069
339.547,1.1069
341.017,1.1069
342.487,1.1069
343.957,1.1069
345.426,1.1069
346.896,1.1069
348.366,1.1069
349.836,1.1069
351.306,1.1069
352.776,1.1069
354.246,1.1069
355.716,1.1069
357.186,1.1069
358.656,1.1069
