PX, vold, uold, vold vol up, uold vol up,vega
154.554,0.494372,0.494372,0.49482,0.49482,0.045%
156.04,0.499406,0.499406,0.499845,0.499845,0.044%
157.527,0.504445,0.504445,0.504874,0.504874,0.043%
159.013,0.50949,0.50949,0.509908,0.509908,0.042%
160.499,0.514541,0.514541,0.514947,0.514947,0.041%
161.985,0.519598,0.519598,0.51999,0.51999,0.039%
163.471,0.524659,0.524659,0.525037,0.525037,0.038%
164.957,0.529726,0.529726,0.530088,0.530088,0.036%
166.443,0.534798,0.534798,0.535142,0.535142,0.034%
167.929,0.539874,0.539874,0.5402,0.5402,0.033%
169.415,0.544954,0.544954,0.545262,0.545262,0.031%
170.901,0.550039,0.550039,0.550326,0.550326,0.029%
172.388,0.555128,0.555128,0.555393,0.555393,0.027%
173.874,0.560221,0.560221,0.560463,0.560463,0.024%
175.36,0.565317,0.565317,0.565535,0.565535,0.022%
176.846,0.570417,0.570417,0.57061,0.57061,0.019%
178.332,0.57552,0.57552,0.575686,0.575686,0.017%
179.818,0.580625,0.58222,0.580764,0.582107,-0.011%
181.304,0.585734,0.58892,0.585844,0.588527,-0.039%
182.79,0.590844,0.595617,0.590924,0.594945,-0.067%
184.276,0.595957,0.60231,0.596006,0.601358,-0.095%
185.762,0.601072,0.608999,0.601089,0.607766,-0.123%
187.249,0.606189,0.615681,0.606172,0.614168,-0.151%
188.735,0.611307,0.622354,0.611255,0.620562,-0.179%
190.221,0.616426,0.629016,0.616339,0.626946,-0.207%
191.707,0.621547,0.635667,0.621422,0.633318,-0.235%
193.193,0.626669,0.642304,0.626505,0.639679,-0.262%
194.679,0.631791,0.648927,0.631587,0.646026,-0.290%
196.165,0.636913,0.655534,0.636668,0.652359,-0.317%
197.651,0.642035,0.662124,0.641748,0.658676,-0.345%
199.137,0.647157,0.668695,0.646827,0.664977,-0.372%
200.623,0.652278,0.675247,0.651903,0.67126,-0.399%
202.11,0.657399,0.681778,0.656978,0.677524,-0.425%
203.596,0.662518,0.688283,0.662049,0.683765,-0.452%
205.082,0.667634,0.69476,0.667118,0.689981,-0.478%
