tau,s_tmp,cash,delta,pv,r_for,q,PL
0,293.98,165.657,-0.522646,12.0093,,,0
1,295.097,165.61,-0.522466,11.383,0.0132822,0,0.0485968
2,294.637,165.561,-0.522282,11.5854,0.0133058,0,0.0922324
3,295.646,165.512,-0.522094,11.0336,0.0133293,0,0.123556
4,296.334,158.887,-0.499718,10.6476,0.0133528,0,0.156196
5,296.224,158.829,-0.4995,10.6692,0.0133764,0,0.195227
6,298.113,150.711,-0.472251,9.70383,0.0133999,0,0.22313
7,301.154,138.123,-0.430434,8.28773,0.0134235,0,0.208527
8,300.282,144.209,-0.450685,8.63865,0.013447,0,0.238277
9,300.686,137.957,-0.429875,8.4273,0.0134706,0,0.272801
10,305.067,114.668,-0.353515,6.62528,0.0134941,0,0.196575
11,308.513,99.3443,-0.303833,5.43502,0.0135176,0,0.172979
12,307.494,106.722,-0.327815,5.72532,0.0135412,0,0.195864
13,306.336,114.311,-0.352574,6.08039,0.0135647,0,0.224334
14,305.408,114.219,-0.35226,6.37217,0.0135883,0,0.264035
15,302.797,130.03,-0.404463,7.33083,0.0136118,0,0.229234
16,302.607,129.944,-0.404161,7.37735,0.0136353,0,0.264456
17,303.073,129.857,-0.403859,7.15753,0.0136589,0,0.30102
18,303.247,129.77,-0.403555,7.05674,0.0136824,0,0.336282
19,306.169,113.591,-0.350694,5.94616,0.013706,0,0.272605
20,307.195,105.785,-0.325271,5.56784,0.0137295,0,0.295328
21,310.088,90.8161,-0.276986,4.66541,0.0137531,0,0.260717
22,309.596,90.7212,-0.276668,4.7767,0.0137766,0,0.2892
23,308.752,97.9203,-0.299974,4.98889,0.0138001,0,0.313866
24,307.314,105.314,-0.324021,5.40419,0.0138237,0,0.333581
25,304.505,120.754,-0.374713,6.34591,0.0138472,0,0.306319
26,309.571,90.0206,-0.275421,4.66072,0.0138708,0,0.0976199
27,307.358,104.676,-0.323091,5.29606,0.0138943,0,0.0751091
28,306.644,104.585,-0.322781,5.50026,0.0139179,0,0.105649
29,305.395,112.161,-0.347577,5.8956,0.0139414,0,0.117502
30,306.167,112.07,-0.347263,5.59657,0.0139649,0,0.152555
31,305.323,111.977,-0.346947,5.85738,0.0139885,0,0.189084
32,302.018,134.933,-0.422941,7.09356,0.014012,0,0.104023
33,302.394,127.666,-0.398892,6.90498,0.0140356,0,0.138384
34,304.607,119.441,-0.371873,6.01807,0.0140591,0,0.147742
35,307.469,103.666,-0.320553,5.0103,0.0140826,0,0.0955415
36,309.692,88.7586,-0.272404,4.31887,0.0141062,0,0.0785019
37,306.802,103.32,-0.319853,5.16298,0.0141297,0,0.0251737
38,302.893,126.796,-0.397346,6.53759,0.0141533,0,-0.0950435
39,301.914,133.911,-0.420899,6.90384,0.0141768,0,-0.0676287
40,301.264,133.841,-0.420648,7.13891,0.0142004,0,-0.023631
41,301.915,133.776,-0.420416,6.83662,0.0142239,0,0.00963051
42,304.613,118.163,-0.369141,5.75635,0.0142474,0,-0.0389538
43,308.039,94.6831,-0.292904,4.58611,0.014271,0,-0.128653
44,313.084,73.7325,-0.225975,3.22275,0.0142945,0,-0.239517
45,313.072,73.6496,-0.225701,3.19784,0.0143181,0,-0.208801
46,313.672,73.4943,-0.225197,3.04092,0.0143416,0,-0.184475
47,315.623,61.424,-0.186945,2.61985,0.0143652,0,-0.200013
48,316.887,55.7611,-0.169067,2.36766,0.0143887,0,-0.181544
49,315.135,66.6123,-0.203493,2.67257,0.0144122,0,-0.188181
50,314.443,66.3639,-0.202695,2.78718,0.0144358,0,-0.159261
51,313.14,72.187,-0.221282,3.04046,0.0144593,0,-0.145824
52,313.107,71.9379,-0.220478,3.02445,0.0144829,0,-0.119554
53,314.953,65.5723,-0.200257,2.62168,0.0145064,0,-0.121022
54,313.306,71.3987,-0.218845,2.93671,0.0145299,0,-0.103513
55,315.788,59.2847,-0.180475,2.42047,0.0145535,0,-0.127753
56,310.644,84.0152,-0.260078,3.51211,0.014577,0,-0.28859
57,309.38,91.0497,-0.282805,3.81771,0.0146006,0,-0.262122
58,310.357,83.5004,-0.258468,3.53242,0.0146241,0,-0.249571
59,305.861,106.18,-0.332606,4.81506,0.0146477,0,-0.366792
60,307.701,97.8444,-0.305503,4.21308,0.0146712,0,-0.372321
61,308.442,89.8753,-0.279669,3.96887,0.0146947,0.0181544,-0.355419
62,309.022,89.5517,-0.278625,3.77703,0.0147183,0.01874,-0.326532
63,310.465,81.856,-0.25384,3.37023,0.0147418,0.0193257,-0.32278
64,308.671,88.8447,-0.276485,3.80745,0.0147654,0.0199113,-0.305586
65,309.534,81.1486,-0.251625,3.54826,0.0147889,0.0204969,-0.286254
66,309.841,80.7976,-0.250496,3.43693,0.0148125,0.0210825,-0.253223
67,307.99,87.7758,-0.273158,3.90571,0.014836,0.0216682,-0.259793
68,310.535,80.025,-0.248203,3.20372,0.0148595,0.0222538,-0.254426
69,312.135,72.6782,-0.224671,2.80777,0.0148831,0.0228394,-0.257201
