PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기),,발행시 volup,6개월후up,12개월후up,18개월후uip,24개월후up,30개월후up,만기up,발행시 VEGA,6개월후VEGA,12개월후VEGA,18개월후VEGA,24개월후VEGA,30개월후VEGA,만기VEGA
33%,30.85%,31.32%,31.46%,32.03%,32.19%,32.80%,33.00%,98.0826,31.37%,31.45%,31.48%,32.04%,32.19%,32.80%,33.00%,-0.02%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.308723,0.313268,0.314627,0.320321,0.321949,0.327961,0.33,-0.021%,-0.008%,-0.001%,0.000%,0.000%,0.000%,0.000%
34%,31.33%,31.80%,31.94%,32.52%,32.68%,33.29%,33.50%,99.5687,31.88%,31.95%,31.96%,32.52%,32.68%,33.29%,33.50%,-0.03%,-0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.313491,0.318045,0.3194,0.325175,0.326827,0.33293,0.335,-0.022%,-0.009%,-0.002%,0.000%,0.000%,0.000%,0.000%
34%,31.80%,32.27%,32.42%,33.00%,33.17%,33.79%,34.00%,101.055,32.40%,32.45%,32.45%,33.00%,33.17%,33.79%,34.00%,-0.03%,-0.02%,-0.01%,0.00%,0.00%,0.00%,0.00%,,0.318265,0.322825,0.324174,0.330029,0.331705,0.337899,0.34,-0.023%,-0.010%,-0.002%,0.000%,0.000%,0.000%,0.000%
35%,32.28%,32.75%,32.89%,33.49%,33.66%,34.29%,34.50%,102.541,32.93%,32.95%,32.93%,33.49%,33.66%,34.29%,34.50%,-0.03%,-0.02%,-0.01%,0.00%,0.00%,0.00%,0.00%,,0.323045,0.327609,0.32895,0.334883,0.336583,0.342868,0.345,-0.024%,-0.011%,-0.002%,0.000%,0.000%,0.000%,0.000%
35%,32.76%,33.23%,33.37%,33.97%,34.15%,34.78%,35.00%,104.027,33.45%,33.45%,33.42%,33.98%,34.15%,34.79%,35.00%,-0.03%,-0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.327832,0.332397,0.333727,0.339738,0.341461,0.347838,0.35,-0.026%,-0.012%,-0.003%,0.000%,0.000%,0.000%,0.000%
35%,33.24%,33.71%,33.85%,34.46%,34.63%,35.28%,35.50%,105.513,33.97%,33.96%,33.90%,34.47%,34.64%,35.28%,35.50%,-0.03%,-0.02%,-0.01%,0.00%,0.00%,0.00%,0.00%,,0.332626,0.33719,0.338505,0.344593,0.346339,0.352807,0.355,-0.027%,-0.013%,-0.003%,0.000%,0.000%,0.000%,0.000%
36%,33.71%,34.18%,34.32%,34.94%,35.12%,35.78%,36.00%,106.999,34.50%,34.47%,34.39%,34.95%,35.12%,35.78%,36.00%,-0.04%,-0.02%,-0.01%,0.00%,0.00%,0.00%,0.00%,,0.337426,0.341988,0.343286,0.349448,0.351217,0.357776,0.36,-0.028%,-0.015%,-0.004%,0.000%,0.000%,0.000%,0.000%
36%,34.19%,34.66%,34.80%,35.43%,35.61%,36.27%,36.50%,108.485,35.03%,34.98%,34.88%,35.44%,35.61%,36.28%,36.50%,-0.04%,-0.03%,-0.01%,0.00%,0.00%,0.00%,0.00%,,0.342234,0.346791,0.348068,0.354303,0.356095,0.362745,0.365,-0.029%,-0.016%,-0.004%,-0.001%,0.000%,0.000%,0.000%
37%,34.67%,35.14%,35.28%,35.92%,36.10%,36.77%,37.00%,109.971,35.56%,35.50%,35.37%,35.93%,36.10%,36.77%,37.00%,-0.04%,-0.02%,-0.01%,0.00%,0.00%,0.00%,0.00%,,0.347049,0.3516,0.352853,0.359159,0.360974,0.367714,0.37,-0.031%,-0.017%,-0.005%,-0.001%,0.000%,0.000%,0.000%
37%,35.16%,35.62%,35.76%,36.40%,36.59%,37.27%,37.50%,111.457,36.09%,36.01%,35.85%,36.40%,36.57%,37.26%,37.49%,-0.04%,-0.03%,-0.01%,0.00%,0.00%,0.00%,0.00%,,0.351871,0.356414,0.35764,0.364016,0.365852,0.372683,0.375,-0.032%,-0.019%,-0.006%,-0.001%,0.000%,0.000%,0.000%
38%,35.64%,36.10%,36.24%,36.89%,37.07%,37.77%,38.00%,112.944,36.63%,36.53%,36.34%,36.89%,37.07%,37.75%,37.99%,-0.05%,-0.04%,-0.02%,-0.01%,-0.01%,0.00%,0.00%,,0.3567,0.361234,0.36243,0.368873,0.37073,0.377652,0.38,-0.033%,-0.020%,-0.007%,-0.001%,0.000%,0.000%,0.000%
39%,36.12%,36.58%,36.71%,37.37%,37.56%,38.26%,38.50%,114.43,37.18%,37.06%,36.85%,37.39%,37.57%,38.26%,38.50%,-0.05%,-0.04%,-0.02%,-0.01%,0.00%,0.00%,0.00%,,0.361536,0.366061,0.367223,0.373731,0.375608,0.382621,0.385,-0.034%,-0.022%,-0.008%,-0.001%,0.000%,0.000%,0.000%
39%,36.60%,37.07%,37.19%,37.86%,38.05%,38.76%,39.00%,115.916,37.72%,37.59%,37.35%,37.88%,38.05%,38.76%,39.00%,-0.05%,-0.04%,-0.02%,0.00%,0.00%,0.00%,0.00%,,0.36638,0.370895,0.372019,0.37859,0.380486,0.38759,0.39,-0.035%,-0.024%,-0.008%,-0.002%,0.000%,0.000%,0.000%
40%,37.09%,37.55%,37.67%,38.34%,38.54%,39.26%,39.50%,117.402,38.27%,38.13%,37.85%,38.38%,38.54%,39.26%,39.50%,-0.05%,-0.04%,-0.02%,0.00%,0.00%,0.00%,0.00%,,0.371232,0.375736,0.376819,0.38345,0.385365,0.392559,0.395,-0.037%,-0.026%,-0.009%,-0.002%,0.000%,0.000%,0.000%
40%,37.57%,38.03%,38.15%,38.83%,39.02%,39.75%,40.00%,118.888,38.81%,38.67%,38.35%,38.87%,39.03%,39.76%,40.00%,-0.05%,-0.04%,-0.02%,0.00%,0.00%,0.00%,0.00%,,0.37609,0.380584,0.381623,0.388311,0.390243,0.397529,0.4,-0.038%,-0.028%,-0.011%,-0.002%,0.000%,0.000%,0.000%
40%,38.06%,38.51%,38.63%,39.31%,39.51%,40.25%,40.50%,120.374,39.36%,39.21%,38.87%,39.36%,39.51%,40.25%,40.50%,-0.05%,-0.05%,-0.02%,-0.01%,0.00%,0.00%,0.00%,,0.380956,0.38544,0.386431,0.393173,0.395121,0.402498,0.405,-0.039%,-0.030%,-0.012%,-0.003%,0.000%,0.000%,0.000%
41%,38.54%,39.00%,39.11%,39.80%,40.00%,40.75%,41.00%,121.86,39.91%,39.75%,39.37%,39.85%,40.01%,40.75%,41.00%,-0.05%,-0.05%,-0.03%,-0.01%,0.00%,0.00%,0.00%,,0.38583,0.390305,0.391244,0.398037,0.4,0.407467,0.41,-0.040%,-0.032%,-0.013%,-0.003%,0.000%,0.000%,0.000%
41%,39.03%,39.48%,39.59%,40.29%,40.49%,41.24%,41.50%,123.346,40.47%,40.30%,39.89%,40.35%,40.49%,41.25%,41.50%,-0.06%,-0.06%,-0.03%,-0.01%,0.00%,0.00%,0.00%,,0.390711,0.395177,0.396062,0.402903,0.404879,0.412436,0.415,-0.041%,-0.034%,-0.015%,-0.004%,0.000%,0.000%,0.000%
42%,39.52%,39.97%,40.07%,40.77%,40.98%,41.74%,42.00%,124.832,41.02%,40.86%,40.41%,40.85%,40.98%,41.74%,42.00%,-0.05%,-0.05%,-0.03%,-0.01%,0.00%,0.01%,0.01%,,0.395599,0.400058,0.400885,0.40777,0.409758,0.417405,0.42,-0.042%,-0.036%,-0.016%,-0.004%,0.000%,0.000%,0.000%
42%,40.01%,40.46%,40.55%,41.26%,41.46%,42.24%,42.50%,126.318,41.56%,41.40%,40.92%,41.34%,41.46%,42.22%,42.49%,-0.05%,-0.06%,-0.03%,0.00%,0.00%,0.01%,0.01%,,0.400495,0.404948,0.405714,0.41264,0.414637,0.422374,0.425,-0.043%,-0.038%,-0.018%,-0.005%,0.000%,0.000%,0.000%
43%,40.50%,40.94%,41.04%,41.75%,41.95%,42.73%,43.00%,127.805,42.12%,41.97%,41.45%,41.84%,41.95%,42.72%,42.99%,-0.07%,-0.07%,-0.05%,-0.02%,-0.01%,-0.01%,-0.01%,,0.405398,0.409848,0.41055,0.417512,0.419517,0.427343,0.43,-0.044%,-0.040%,-0.020%,-0.005%,0.000%,0.000%,0.000%
44%,40.99%,41.43%,41.52%,42.23%,42.44%,43.23%,43.50%,129.291,42.69%,42.55%,41.99%,42.35%,42.45%,43.23%,43.50%,-0.06%,-0.08%,-0.05%,-0.02%,-0.01%,-0.01%,-0.01%,,0.410309,0.414757,0.415392,0.422388,0.424397,0.432312,0.435,-0.044%,-0.043%,-0.021%,-0.006%,-0.001%,0.000%,0.000%
44%,41.48%,41.92%,42.00%,42.72%,42.93%,43.73%,44.00%,130.777,43.25%,43.12%,42.53%,42.86%,42.94%,43.73%,44.00%,-0.06%,-0.08%,-0.05%,-0.02%,0.00%,0.00%,0.00%,,0.415227,0.419676,0.420241,0.427266,0.429277,0.437281,0.44,-0.045%,-0.045%,-0.023%,-0.007%,-0.001%,0.000%,0.000%
45%,41.97%,42.41%,42.48%,43.21%,43.42%,44.23%,44.50%,132.263,43.81%,43.71%,43.07%,43.37%,43.43%,44.23%,44.50%,-0.06%,-0.08%,-0.05%,-0.02%,0.00%,0.00%,0.00%,,0.420152,0.424605,0.425098,0.432148,0.434158,0.442251,0.445,-0.046%,-0.048%,-0.025%,-0.008%,-0.001%,0.000%,0.000%
45%,42.46%,42.90%,42.97%,43.69%,43.90%,44.72%,45.00%,133.749,44.38%,44.29%,43.62%,43.89%,43.92%,44.72%,45.00%,-0.06%,-0.08%,-0.06%,-0.03%,0.00%,0.00%,0.00%,,0.425084,0.429544,0.429962,0.437033,0.43904,0.44722,0.45,-0.046%,-0.050%,-0.028%,-0.009%,-0.001%,0.000%,0.000%
45%,42.96%,43.40%,43.45%,44.18%,44.39%,45.22%,45.50%,135.235,44.94%,44.88%,44.17%,44.41%,44.42%,45.22%,45.50%,-0.06%,-0.09%,-0.07%,-0.03%,-0.01%,0.00%,0.00%,,0.430023,0.434494,0.434835,0.441923,0.443922,0.452189,0.455,-0.047%,-0.052%,-0.030%,-0.011%,-0.001%,0.000%,0.000%
46%,43.45%,43.89%,43.94%,44.67%,44.88%,45.72%,46.00%,136.721,45.51%,45.47%,44.73%,44.93%,44.91%,45.72%,46.00%,-0.07%,-0.10%,-0.07%,-0.03%,-0.01%,0.00%,0.00%,,0.434969,0.439455,0.439717,0.446818,0.448806,0.457158,0.46,-0.047%,-0.055%,-0.032%,-0.012%,-0.001%,0.000%,0.000%
46%,43.94%,44.39%,44.43%,45.16%,45.37%,46.21%,46.50%,138.207,46.07%,46.07%,45.30%,45.46%,45.41%,46.21%,46.50%,-0.06%,-0.10%,-0.08%,-0.04%,0.00%,0.00%,0.00%,,0.439922,0.444426,0.444608,0.451717,0.45369,0.462127,0.465,-0.048%,-0.057%,-0.035%,-0.013%,-0.002%,0.000%,0.000%
47%,44.44%,44.88%,44.91%,45.65%,45.86%,46.71%,47.00%,139.693,46.64%,46.67%,45.87%,45.99%,45.90%,46.71%,47.00%,-0.06%,-0.09%,-0.08%,-0.03%,0.00%,0.01%,0.01%,,0.444882,0.449409,0.449509,0.456623,0.458576,0.467096,0.47,-0.048%,-0.059%,-0.037%,-0.015%,-0.002%,0.000%,0.000%
47%,44.94%,45.38%,45.40%,46.14%,46.34%,47.21%,47.50%,141.179,47.19%,47.26%,46.44%,46.50%,46.38%,47.19%,47.49%,-0.06%,-0.10%,-0.08%,-0.04%,0.00%,0.01%,0.01%,,0.449848,0.454404,0.454421,0.461534,0.463463,0.472065,0.475,-0.048%,-0.062%,-0.040%,-0.017%,-0.002%,0.000%,0.000%
48%,45.43%,45.88%,45.89%,46.63%,46.83%,47.70%,48.00%,142.666,47.76%,47.87%,47.02%,47.05%,46.88%,47.69%,47.99%,-0.08%,-0.12%,-0.10%,-0.06%,-0.02%,-0.01%,-0.01%,,0.454821,0.45941,0.459343,0.466452,0.468351,0.477034,0.48,-0.048%,-0.064%,-0.043%,-0.018%,-0.003%,0.000%,0.000%
49%,45.93%,46.38%,46.38%,47.12%,47.32%,48.20%,48.50%,144.152,48.34%,48.51%,47.63%,47.62%,47.40%,48.21%,48.50%,-0.08%,-0.12%,-0.11%,-0.07%,-0.02%,-0.01%,-0.01%,,0.4598,0.464428,0.464276,0.471378,0.473242,0.482004,0.485,-0.048%,-0.067%,-0.046%,-0.021%,-0.004%,0.000%,0.000%
49%,46.43%,46.88%,46.87%,47.61%,47.81%,48.70%,49.00%,145.638,48.91%,49.13%,48.23%,48.17%,47.90%,48.70%,49.00%,-0.06%,-0.12%,-0.11%,-0.06%,-0.02%,0.00%,0.00%,,0.464786,0.469457,0.469221,0.476311,0.478135,0.486973,0.49,-0.048%,-0.069%,-0.049%,-0.023%,-0.004%,0.000%,0.000%
50%,46.93%,47.38%,47.37%,48.10%,48.30%,49.19%,49.50%,147.124,49.47%,49.75%,48.84%,48.73%,48.41%,49.20%,49.50%,-0.07%,-0.12%,-0.12%,-0.07%,-0.02%,0.00%,0.00%,,0.469777,0.474499,0.474178,0.481252,0.48303,0.491942,0.495,-0.048%,-0.071%,-0.052%,-0.025%,-0.005%,0.000%,0.000%
50%,47.43%,47.88%,47.86%,48.59%,48.79%,49.69%,50.00%,148.61,50.04%,50.38%,49.45%,49.30%,48.92%,49.69%,50.00%,-0.07%,-0.13%,-0.12%,-0.08%,-0.02%,0.00%,0.00%,,0.474775,0.479553,0.479148,0.486203,0.487928,0.496912,0.5,-0.047%,-0.073%,-0.055%,-0.027%,-0.005%,0.000%,0.000%
50%,47.93%,48.39%,48.35%,49.09%,49.28%,50.19%,50.50%,150.096,50.61%,51.01%,50.07%,49.88%,49.43%,50.19%,50.50%,-0.07%,-0.13%,-0.14%,-0.09%,-0.03%,0.00%,0.00%,,0.479778,0.484619,0.484131,0.491164,0.49283,0.501881,0.505,-0.047%,-0.076%,-0.058%,-0.030%,-0.006%,0.000%,0.000%
51%,48.43%,48.89%,48.85%,49.58%,49.77%,50.68%,51.00%,151.582,51.18%,51.65%,50.71%,50.47%,49.95%,50.69%,51.00%,-0.07%,-0.14%,-0.14%,-0.10%,-0.03%,0.00%,0.00%,,0.484786,0.489697,0.489127,0.496135,0.497734,0.50685,0.51,-0.046%,-0.078%,-0.061%,-0.033%,-0.007%,0.000%,0.000%
51%,48.93%,49.40%,49.35%,50.08%,50.26%,51.18%,51.50%,153.068,51.75%,52.29%,51.34%,51.07%,50.47%,51.19%,51.50%,-0.07%,-0.14%,-0.14%,-0.11%,-0.03%,0.00%,0.00%,,0.489801,0.494787,0.494137,0.501117,0.502643,0.51182,0.515,-0.046%,-0.080%,-0.065%,-0.036%,-0.009%,0.000%,0.000%
52%,49.44%,49.91%,49.85%,50.57%,50.75%,51.68%,52.00%,154.554,52.32%,52.94%,51.98%,51.67%,50.99%,51.69%,52.00%,-0.06%,-0.14%,-0.14%,-0.11%,-0.03%,0.01%,0.01%,,0.49482,0.49989,0.499162,0.50611,0.507557,0.51679,0.52,-0.045%,-0.082%,-0.068%,-0.039%,-0.010%,0.000%,0.000%
52%,49.94%,50.42%,50.35%,51.07%,51.24%,52.18%,52.50%,156.04,52.87%,53.57%,52.62%,52.27%,51.51%,52.17%,52.49%,-0.05%,-0.14%,-0.16%,-0.12%,-0.04%,0.01%,0.01%,,0.499845,0.505005,0.504201,0.511117,0.512476,0.52176,0.525,-0.044%,-0.084%,-0.071%,-0.042%,-0.011%,0.000%,0.000%
53%,50.44%,50.93%,50.85%,51.57%,51.73%,52.67%,53.00%,157.527,53.43%,54.22%,53.28%,52.90%,52.05%,52.66%,52.99%,-0.07%,-0.16%,-0.18%,-0.15%,-0.06%,-0.01%,-0.01%,,0.504874,0.510133,0.509255,0.516137,0.5174,0.52673,0.53,-0.043%,-0.085%,-0.075%,-0.046%,-0.013%,0.000%,0.000%
54%,50.95%,51.44%,51.35%,52.07%,52.22%,53.17%,53.50%,159.013,54.02%,54.89%,53.97%,53.55%,52.61%,53.18%,53.50%,-0.08%,-0.16%,-0.19%,-0.16%,-0.07%,-0.01%,-0.01%,,0.509908,0.515272,0.514324,0.521171,0.52233,0.531701,0.535,-0.042%,-0.087%,-0.078%,-0.049%,-0.014%,0.000%,0.000%
54%,51.45%,51.95%,51.86%,52.57%,52.71%,53.67%,54.00%,160.499,54.59%,55.55%,54.65%,54.20%,53.16%,53.68%,54.00%,-0.06%,-0.16%,-0.19%,-0.17%,-0.07%,0.00%,0.00%,,0.514947,0.520424,0.519409,0.526219,0.527268,0.536672,0.54,-0.041%,-0.089%,-0.082%,-0.053%,-0.016%,-0.001%,0.000%
55%,51.96%,52.47%,52.37%,53.07%,53.20%,54.16%,54.50%,161.985,55.15%,56.22%,55.33%,54.86%,53.72%,54.18%,54.50%,-0.06%,-0.16%,-0.20%,-0.18%,-0.08%,-0.01%,0.00%,,0.51999,0.525588,0.52451,0.531284,0.532213,0.541644,0.545,-0.039%,-0.090%,-0.085%,-0.057%,-0.018%,-0.001%,0.000%
55%,52.47%,52.99%,52.87%,53.58%,53.70%,54.66%,55.00%,163.471,55.71%,56.87%,56.02%,55.54%,54.29%,54.68%,55.00%,-0.06%,-0.16%,-0.20%,-0.19%,-0.09%,-0.01%,0.00%,,0.525037,0.530764,0.529628,0.536365,0.537166,0.546617,0.55,-0.038%,-0.091%,-0.088%,-0.061%,-0.020%,-0.001%,0.000%
55%,52.97%,53.50%,53.38%,54.08%,54.19%,55.16%,55.50%,164.957,56.28%,57.54%,56.72%,56.23%,54.87%,55.19%,55.50%,-0.06%,-0.16%,-0.21%,-0.21%,-0.10%,-0.01%,0.00%,,0.530088,0.535953,0.534762,0.541463,0.542128,0.55159,0.555,-0.036%,-0.093%,-0.091%,-0.065%,-0.023%,-0.001%,0.000%
56%,53.48%,54.02%,53.90%,54.59%,54.68%,55.66%,56.00%,166.443,56.83%,58.20%,57.43%,56.93%,55.45%,55.70%,56.00%,-0.05%,-0.17%,-0.22%,-0.22%,-0.11%,-0.01%,0.00%,,0.535142,0.541153,0.539912,0.546579,0.547101,0.556564,0.56,-0.034%,-0.094%,-0.095%,-0.070%,-0.025%,-0.001%,0.000%
56%,53.99%,54.54%,54.41%,55.10%,55.18%,56.15%,56.50%,167.929,57.39%,58.87%,58.14%,57.63%,56.06%,56.20%,56.50%,-0.05%,-0.17%,-0.23%,-0.24%,-0.13%,-0.01%,0.00%,,0.5402,0.546364,0.54508,0.551714,0.552084,0.56154,0.565,-0.033%,-0.094%,-0.098%,-0.074%,-0.028%,-0.002%,0.000%
57%,54.50%,55.06%,54.93%,55.61%,55.68%,56.65%,57.00%,169.415,57.94%,59.54%,58.86%,58.37%,56.67%,56.71%,57.00%,-0.05%,-0.16%,-0.22%,-0.25%,-0.13%,-0.01%,0.01%,,0.545262,0.551587,0.550265,0.556868,0.557079,0.566518,0.57,-0.031%,-0.095%,-0.101%,-0.078%,-0.031%,-0.002%,0.000%
57%,55.00%,55.59%,55.44%,56.12%,56.17%,57.15%,57.50%,170.901,58.48%,60.19%,59.57%,59.09%,57.28%,57.20%,57.48%,-0.04%,-0.16%,-0.23%,-0.26%,-0.14%,-0.01%,0.01%,,0.550326,0.556822,0.555467,0.562043,0.562087,0.571497,0.575,-0.029%,-0.096%,-0.104%,-0.083%,-0.034%,-0.003%,0.000%
58%,55.51%,56.11%,55.96%,56.64%,56.67%,57.64%,58.00%,172.388,59.04%,60.86%,60.30%,59.84%,57.91%,57.72%,57.98%,-0.06%,-0.18%,-0.26%,-0.30%,-0.18%,-0.03%,-0.01%,,0.555393,0.562068,0.560686,0.567238,0.567109,0.576479,0.58,-0.027%,-0.096%,-0.107%,-0.088%,-0.038%,-0.003%,0.000%
59%,56.02%,56.64%,56.48%,57.15%,57.17%,58.14%,58.50%,173.874,59.61%,61.55%,61.06%,60.63%,58.59%,58.26%,58.50%,-0.06%,-0.18%,-0.27%,-0.31%,-0.20%,-0.04%,-0.01%,,0.560463,0.567324,0.565924,0.572456,0.572145,0.581464,0.585,-0.024%,-0.096%,-0.110%,-0.092%,-0.041%,-0.004%,0.000%
59%,56.53%,57.16%,57.01%,57.67%,57.67%,58.64%,59.00%,175.36,60.16%,62.23%,61.81%,61.41%,59.26%,58.78%,59.00%,-0.05%,-0.17%,-0.26%,-0.32%,-0.21%,-0.03%,0.00%,,0.565535,0.572592,0.571178,0.577696,0.577198,0.586452,0.59,-0.022%,-0.096%,-0.112%,-0.097%,-0.045%,-0.005%,0.000%
60%,57.04%,57.69%,57.53%,58.19%,58.18%,59.14%,59.50%,176.846,60.71%,62.90%,62.56%,62.21%,59.94%,59.31%,,,,,,,,,,0.57061,0.577869,0.576451,0.582959,0.582267,0.591444,0.595,-0.019%,-0.096%,-0.115%,-0.102%,-0.049%,-0.006%,0.000%
60%,57.55%,58.22%,58.06%,58.72%,58.68%,59.64%,60.00%,178.332,70.82%,82.63%,92.23%,109.95%,128.53%,186.94%,,,,,,,,,,0.575686,0.583157,0.581741,0.588245,0.587355,0.59644,0.6,-0.017%,-0.096%,-0.117%,-0.106%,-0.053%,-0.007%,0.000%
60%,58.22%,59.07%,59.07%,60.03%,60.32%,62.25%,113.80%,179.818,81.08%,102.61%,122.24%,158.15%,197.76%,315.36%,,,,,,,,,,0.582107,0.591175,0.591268,0.60053,0.602809,0.621121,1.138,0.011%,-0.050%,-0.060%,-0.026%,0.039%,0.142%,0.000%
61%,58.89%,59.92%,60.08%,61.33%,61.95%,64.85%,113.80%,181.304,81.73%,103.45%,123.18%,159.04%,198.50%,314.84%,0.00%,0.04%,0.04%,0.13%,0.60%,1.19%,4.40%,,,0.588527,0.599194,0.600793,0.612793,0.618212,0.64562,1.138,0.039%,-0.004%,-0.002%,0.053%,0.130%,0.288%,0.000%
61%,59.56%,60.76%,61.09%,62.63%,63.57%,67.42%,113.80%,182.79,82.35%,104.24%,124.05%,159.78%,199.06%,313.31%,0.00%,0.06%,0.09%,0.21%,0.76%,1.43%,5.63%,0.00%,,0.594945,0.607212,0.610312,0.625027,0.633551,0.669867,1.138,0.067%,0.042%,0.055%,0.131%,0.219%,0.429%,0.000%
62%,60.23%,61.61%,62.09%,63.93%,65.19%,69.94%,113.80%,184.276,82.97%,104.99%,124.86%,160.39%,199.42%,310.78%,0.00%,0.09%,0.16%,0.31%,0.97%,1.72%,6.92%,0.00%,,0.601358,0.615224,0.619821,0.637221,0.648811,0.693796,1.138,0.095%,0.088%,0.112%,0.208%,0.306%,0.564%,0.000%
62%,60.90%,62.46%,63.10%,65.22%,66.79%,72.43%,113.80%,185.762,83.55%,105.67%,125.56%,160.81%,199.50%,307.15%,0.00%,0.12%,0.23%,0.40%,1.16%,2.02%,8.27%,0.00%,,0.607766,0.623228,0.629315,0.649366,0.663979,0.717342,1.138,0.123%,0.134%,0.169%,0.284%,0.392%,0.693%,0.000%
63%,61.57%,63.30%,64.10%,66.50%,68.38%,74.86%,113.80%,187.249,84.11%,106.32%,126.22%,161.10%,199.38%,302.46%,0.00%,0.13%,0.28%,0.46%,1.32%,2.29%,9.59%,0.00%,,0.614168,0.63122,0.63879,0.661453,0.679041,0.740443,1.138,0.151%,0.180%,0.225%,0.358%,0.476%,0.815%,0.000%
64%,62.24%,64.14%,65.10%,67.78%,69.96%,77.23%,113.80%,188.735,84.68%,106.92%,126.84%,161.27%,199.03%,296.71%,0.00%,0.15%,0.34%,0.57%,1.55%,2.63%,10.92%,0.00%,,0.620562,0.639197,0.648238,0.673468,0.693976,0.763015,1.138,0.179%,0.225%,0.280%,0.432%,0.558%,0.928%,0.000%
64%,62.90%,64.99%,66.10%,69.04%,71.51%,79.53%,113.80%,190.221,85.21%,107.46%,127.32%,161.21%,198.36%,289.93%,0.00%,0.19%,0.42%,0.69%,1.79%,3.01%,12.12%,0.00%,,0.626946,0.647154,0.657656,0.685402,0.708769,0.785001,1.138,0.207%,0.270%,0.335%,0.503%,0.637%,1.032%,0.000%
65%,63.57%,65.82%,67.09%,70.30%,73.05%,81.76%,113.80%,191.707,85.71%,107.94%,127.74%,160.99%,197.43%,282.30%,0.00%,0.22%,0.49%,0.78%,2.00%,3.36%,13.14%,0.00%,,0.633318,0.655089,0.667037,0.697244,0.723404,0.806348,1.138,0.235%,0.315%,0.390%,0.573%,0.714%,1.125%,0.000%
65%,64.23%,66.66%,68.08%,71.54%,74.58%,83.91%,113.80%,193.193,86.20%,108.38%,128.09%,160.61%,196.22%,273.92%,0.00%,0.25%,0.55%,0.89%,2.21%,3.71%,14.07%,0.00%,,0.639679,0.662999,0.676379,0.708985,0.737865,0.82701,1.138,0.262%,0.359%,0.443%,0.640%,0.789%,1.207%,0.000%
65%,64.89%,67.49%,69.06%,72.77%,76.07%,85.97%,113.80%,194.679,86.66%,108.76%,128.35%,160.05%,194.74%,264.87%,0.00%,0.27%,0.61%,0.99%,2.43%,4.05%,14.88%,0.00%,,0.646026,0.670881,0.685675,0.720615,0.752137,0.846948,1.138,0.290%,0.403%,0.496%,0.706%,0.860%,1.279%,0.000%
66%,65.55%,68.32%,70.04%,73.98%,77.55%,87.95%,113.80%,196.165,87.11%,109.10%,128.54%,159.34%,193.00%,255.25%,0.00%,0.30%,0.68%,1.09%,2.64%,4.39%,15.54%,0.00%,,0.652359,0.678732,0.694923,0.732125,0.766205,0.866131,1.138,0.317%,0.446%,0.548%,0.770%,0.927%,1.339%,0.000%
66%,66.21%,69.14%,71.01%,75.18%,79.00%,89.84%,113.80%,197.651,87.53%,109.39%,128.65%,158.47%,191.01%,245.19%,0.00%,0.33%,0.73%,1.19%,2.84%,4.72%,16.06%,0.00%,,0.658676,0.686551,0.704117,0.743506,0.780055,0.884532,1.138,0.345%,0.489%,0.600%,0.831%,0.992%,1.387%,0.000%
67%,66.87%,69.96%,71.98%,76.37%,80.42%,91.64%,113.80%,199.137,87.93%,109.65%,128.68%,157.46%,188.78%,234.78%,0.00%,0.37%,0.81%,1.32%,3.07%,5.08%,16.51%,0.00%,,0.664977,0.694333,0.713253,0.754751,0.793674,0.902133,1.138,0.372%,0.531%,0.650%,0.890%,1.053%,1.425%,0.000%
67%,67.52%,70.78%,72.93%,77.53%,81.81%,93.34%,113.80%,200.623,88.29%,109.82%,128.60%,156.24%,186.25%,224.05%,0.00%,0.42%,0.91%,1.47%,3.34%,5.51%,16.95%,0.00%,,0.67126,0.702078,0.722327,0.765851,0.80705,0.918923,1.138,0.399%,0.572%,0.699%,0.947%,1.110%,1.452%,0.000%
68%,68.18%,71.59%,73.88%,78.68%,83.18%,94.96%,113.80%,202.11,88.62%,109.92%,128.40%,154.83%,183.37%,212.99%,0.00%,0.45%,1.02%,1.61%,3.58%,6.00%,17.37%,0.00%,,0.677524,0.709782,0.731335,0.7768,0.820171,0.934897,1.138,0.425%,0.614%,0.747%,1.000%,1.163%,1.469%,0.000%
69%,68.83%,72.40%,74.82%,79.81%,84.51%,96.48%,113.80%,203.596,88.93%,109.94%,128.12%,153.25%,180.12%,201.64%,0.00%,0.50%,1.12%,1.76%,3.84%,6.43%,17.57%,0.00%,,0.683765,0.717437,0.740265,0.787577,0.833,0.95002,1.138,0.452%,0.653%,0.794%,1.052%,1.212%,1.476%,0.000%
69%,69.48%,73.20%,75.75%,80.92%,85.81%,97.90%,113.80%,205.082,89.20%,109.89%,127.71%,151.47%,176.61%,190.27%,0.00%,0.55%,1.20%,1.90%,4.06%,6.73%,17.51%,0.00%,,0.689981,0.725039,0.749113,0.798177,0.84553,0.964301,1.138,0.478%,0.693%,0.840%,1.100%,1.257%,1.472%,0.000%
