PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기)
14%,0.95596,0.964376,0.971861,0.979089,0.986093,0.993078,1,41.6108,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
15%,0.95596,0.964376,0.971861,0.979089,0.986093,0.993078,1,43.0969,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
15%,0.95596,0.964376,0.971861,0.979089,0.986093,0.993078,1,44.583,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
16%,0.95596,0.964376,0.971861,0.979089,0.986093,0.993078,1,46.0691,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
16%,0.95596,0.964376,0.971861,0.979089,0.986093,0.993078,1,47.5552,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
17%,0.955961,0.964376,0.971861,0.979089,0.986093,0.993078,1,49.0413,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
17%,0.955961,0.964376,0.971861,0.979089,0.986093,0.993078,1,50.5274,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
18%,0.955962,0.964376,0.971861,0.979089,0.986093,0.993078,1,52.0135,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
18%,0.955962,0.964376,0.971861,0.979089,0.986093,0.993078,1,53.4996,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
19%,0.955963,0.964376,0.971861,0.979089,0.986093,0.993078,1,54.9857,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
