PX, uold3
0,-2.84495e-16
1.4699,0.00478698
2.9398,0.00957396
4.4097,0.0143609
5.8796,0.0191479
7.3495,0.0239349
8.8194,0.0287219
10.2893,0.0335088
11.7592,0.0382958
13.2291,0.0430828
14.699,0.0478698
16.1689,0.0526568
17.6388,0.0574437
19.1087,0.0622307
20.5786,0.0670177
22.0485,0.0718047
23.5184,0.0765916
24.9883,0.0813786
26.4582,0.0861656
27.9281,0.0909526
29.398,0.0957396
30.8679,0.100527
32.3378,0.105314
33.8077,0.1101
35.2776,0.114887
36.7475,0.119674
38.2174,0.124461
39.6873,0.129248
41.1572,0.134035
42.6271,0.138822
44.097,0.143609
45.5669,0.148396
47.0368,0.153183
48.5067,0.15797
49.9766,0.162757
51.4465,0.167544
52.9164,0.172331
54.3863,0.177118
55.8562,0.181905
57.3261,0.186692
58.796,0.191479
60.2659,0.196266
61.7358,0.201053
63.2057,0.20584
64.6756,0.210627
66.1455,0.215414
67.6154,0.220201
69.0853,0.224988
70.5552,0.229775
72.0251,0.234562
73.495,0.239349
74.9649,0.244136
76.4348,0.248923
77.9047,0.25371
79.3746,0.258497
80.8445,0.263284
82.3144,0.268071
83.7843,0.272858
85.2542,0.277645
86.7241,0.282433
88.194,0.28722
89.6639,0.292007
91.1338,0.296795
92.6037,0.301583
94.0736,0.306371
95.5435,0.311159
97.0134,0.315947
98.4833,0.320736
99.9532,0.325526
101.423,0.330315
102.893,0.335106
104.363,0.339897
105.833,0.344689
107.303,0.349483
108.773,0.354277
110.242,0.359073
111.712,0.363871
113.182,0.36867
114.652,0.373472
116.122,0.378276
117.592,0.383083
119.062,0.387894
120.532,0.392708
122.002,0.397526
123.472,0.402349
124.941,0.407177
126.411,0.41201
127.881,0.41685
129.351,0.421697
130.821,0.426552
132.291,0.431415
133.761,0.436287
135.231,0.441169
136.701,0.446063
138.171,0.450968
139.64,0.455885
141.11,0.460816
142.58,0.465762
144.05,0.470724
145.52,0.475703
146.99,0.480699
148.46,0.485715
149.93,0.49075
151.4,0.495807
152.87,0.500886
154.339,0.505989
155.809,0.511117
157.279,0.51627
158.749,0.521451
160.219,0.526659
161.689,0.531897
163.159,0.537165
164.629,0.542465
166.099,0.547797
167.569,0.553162
169.038,0.558561
170.508,0.563995
171.978,0.569466
173.448,0.574972
174.918,0.580517
176.388,0.586099
177.858,0.597298
179.328,0.608504
180.798,0.619706
182.268,0.630894
183.737,0.642059
185.207,0.65319
186.677,0.664277
188.147,0.675309
189.617,0.686278
191.087,0.697175
192.557,0.707992
194.027,0.718721
195.497,0.729356
196.967,0.739888
198.436,0.750311
199.906,0.760619
201.376,0.770792
202.846,0.780825
204.316,0.790711
205.786,0.800446
207.256,0.810025
208.726,0.819443
210.196,0.828697
211.666,0.837783
213.135,0.846699
214.605,0.855441
216.075,0.863988
217.545,0.872337
219.015,0.880489
220.485,0.888441
221.955,0.896194
223.425,0.903747
224.895,0.911101
226.365,0.918257
227.834,0.925216
229.304,0.93198
230.774,0.938528
232.244,0.944862
233.714,0.950986
235.184,0.956903
236.654,0.962615
238.124,0.968128
239.594,0.973444
241.064,0.978568
242.533,0.983505
244.003,0.988259
245.473,0.992813
246.943,0.997174
248.413,1.00135
249.883,1.00534
251.353,1.00915
252.823,1.01279
254.293,1.01627
255.763,1.01958
257.232,1.02274
258.702,1.02576
260.172,1.02862
261.642,1.03132
263.112,1.03388
264.582,1.0363
266.052,1.03858
267.522,1.04074
268.992,1.04278
270.462,1.0447
271.931,1.04651
273.401,1.04822
274.871,1.04982
276.341,1.05131
277.811,1.05271
279.281,1.05401
280.751,1.05523
282.221,1.05637
283.691,1.05742
285.161,1.05841
286.63,1.05933
288.1,1.06018
289.57,1.06097
291.04,1.0617
292.51,1.06237
293.98,1.06298
295.45,1.06355
296.92,1.06408
298.39,1.06456
299.86,1.065
301.329,1.0654
302.799,1.06578
304.269,1.06612
305.739,1.06642
307.209,1.06671
308.679,1.06696
310.149,1.06719
311.619,1.0674
313.089,1.06759
314.559,1.06776
316.028,1.06792
317.498,1.06806
318.968,1.06819
320.438,1.0683
321.908,1.0684
323.378,1.06849
324.848,1.06857
326.318,1.06865
327.788,1.06871
329.258,1.06877
330.727,1.06882
332.197,1.06887
333.667,1.06891
335.137,1.06895
336.607,1.06898
338.077,1.06901
339.547,1.06903
341.017,1.06905
342.487,1.06907
343.957,1.06909
345.426,1.06911
346.896,1.06912
348.366,1.06913
349.836,1.06914
351.306,1.06915
352.776,1.06916
354.246,1.06917
355.716,1.06917
357.186,1.06918
358.656,1.06918
360.125,1.06919
361.595,1.06919
363.065,1.06919
364.535,1.0692
366.005,1.0692
367.475,1.0692
368.945,1.0692
370.415,1.0692
371.885,1.0692
373.355,1.0692
374.824,1.06921
376.294,1.06921
377.764,1.06921
379.234,1.06921
380.704,1.06921
382.174,1.06921
383.644,1.06921
385.114,1.06921
386.584,1.06921
388.054,1.06921
389.523,1.06921
390.993,1.06921
392.463,1.06921
393.933,1.06921
395.403,1.06921
396.873,1.06921
398.343,1.06921
