PX, vold
527.566,0.00430305
529.052,0.00410197
530.538,0.00390963
532.024,0.00372564
533.51,0.00354959
534.996,0.00338112
536.482,0.00321986
537.968,0.00306546
539.454,0.00291761
540.94,0.00277597
542.427,0.00264025
543.913,0.00251016
545.399,0.00238541
546.885,0.00226575
548.371,0.0021509
549.857,0.00204062
551.343,0.00193468
552.829,0.00183285
554.315,0.0017349
555.801,0.00164063
557.288,0.00154982
558.774,0.0014623
560.26,0.00137785
561.746,0.00129631
563.232,0.0012175
564.718,0.00114125
566.204,0.00106738
567.69,0.000995754
569.176,0.000926206
570.662,0.000858588
572.149,0.000792758
573.635,0.000728574
575.121,0.0006659
576.607,0.000604605
578.093,0.000544558
579.579,0.000485634
581.065,0.000427711
582.551,0.000370669
584.037,0.00031439
585.523,0.000258759
587.01,0.000203665
588.496,0.000148997
589.982,9.46446e-05
591.468,4.05024e-05
592.954,-1.35356e-05
594.44,-6.75736e-05
