tau,s_tmp,cash,delta,pv,r,q,PL,cash,asset,debt,PL,,,,,
438,191.431,-0.69845,0.00716055,0.674477,0.01482,-0.000290146,-0.2177%,-0.6984504,1.370751247,-0.674477,-0.2176%,,,,,
439,187.81,-0.709786,0.00722074,0.648437,0.0148134,-0.000386689,-0.2095%,-0.7097841,1.356127179,-0.648437,-0.2094%,,0,,,origin
440,188.238,-0.708187,0.00721209,0.651523,0.0148068,-0.000483233,-0.2121%,-0.7081883,1.357589397,-0.651523,-0.2122%,0.00363017,0,0.00721209,,0.00721209
441,185.425,-0.713097,0.0072384,0.631176,0.0148003,-0.000579777,-0.2092%,-0.7130964,1.34218032,-0.631176,-0.2092%,0.00359597,0,0.0072384,,0.0072384
442,185.5,-0.71378,0.00724191,0.631702,0.0147937,-0.00067632,-0.2107%,-0.7137795,1.343374305,-0.631702,-0.2107%,0.00359541,0,0.00724191,,0.00724191
443,186.764,-0.713135,0.00723829,0.640838,0.0147871,-0.000772864,-0.2121%,-0.7131357,1.351851994,-0.640838,-0.2122%,0.00361133,0,0.00723829,,0.00723829
444,182.384,-0.716056,0.00725413,0.609062,0.0147805,-0.000869408,-0.2081%,-0.7160560,1.323037246,-0.609062,-0.2081%,0.00356336,0,0.00725413,,0.00725413
445,182.525,-0.716354,0.006147732,0.610055,0.014774,-0.000965951,-0.2083%,-0.5141432,1.122114783,-0.610055,-0.2083%,0.00356273,0.3,0.005372231,,0.00725559
446,182.326,-0.716604,0.00540943,0.608579,0.0147674,-0.0010625,-0.2084%,-0.5817746,0.986279734,-0.608579,-20.4074%,0.00356209,0.5,0.00448576,,0.00725677
447,181.863,-0.716618,0.004659264,0.605186,0.0147608,-0.00115904,-0.2084%,-0.5802087,0.847347729,-0.605186,-33.8047%,0.00354609,0.7,0.003880042,,0.00725667
448,180.023,-0.716345,0.003902659,0.591799,0.0147542,-0.00125558,-0.2083%,-0.5804436,0.702568381,-0.591799,-46.9674%,0.00353018,0.9,0.003567428,,0.00725497
449,175.873,-0.0533693,0.00348515,0.570889,0.0147477,-0.00135213,-1.1314%,-0.6429479,0.612943786,-0.570889,-60.0893%,0.00348515,1,0.00348515,,0.00348515
450,179.328,-0.0611909,0.00352874,0.582971,0.0147411,-0.00144867,-1.1360%,-0.0611908,0.632801887,-0.582971,-1.1360%,,,,,
451,180.783,-0.0638367,0.00354337,0.588078,0.0147345,0.00118377,-1.1334%,-0.0638362,0.640581059,-0.588078,-1.1333%,,,,,
452,176.363,-0.0557211,0.00349735,0.572512,0.0147279,0.0010993,-1.1430%,-0.0557212,0.616803138,-0.572512,-1.1430%,,,,,
453,175.08,-0.0530357,0.00348201,0.568011,0.0147214,0.00101483,-1.1416%,-0.0530359,0.609630311,-0.568011,-1.1417%,,,,,
454,174.072,-0.0504188,0.00346697,0.564482,0.0147148,0.000930365,-1.1398%,-0.0504183,0.603502402,-0.564482,-1.1398%,,,,,
455,173.412,-0.0502784,0.00346616,0.56217,0.0147082,0.000845896,-1.1374%,-0.0502790,0.601073738,-0.56217,-1.1375%,,,,,
456,169.996,-0.0432635,0.00342489,0.550375,0.0147016,0.000761428,-1.1420%,-0.0432635,0.5822176,-0.550375,-1.1421%,,,,,
457,168.223,-0.0410428,0.00341169,0.544292,0.0146951,0.000676959,-1.1411%,-0.0410436,0.573924727,-0.544292,-1.1411%,,,,,
458,169.657,-0.0430992,0.0034238,0.549181,0.0146885,0.000592491,-1.1408%,-0.0430981,0.580871637,-0.549181,-1.1407%,,,,,
459,168.322,-0.0408789,0.00341061,0.544601,0.0146819,0.000508022,-1.1400%,-0.0408800,0.574080696,-0.544601,-1.1400%,,,,,
460,167.73,-0.0407887,0.00341006,0.542567,0.0146753,0.000423554,-1.1386%,-0.0407876,0.571969364,-0.542567,-1.1385%,,,,,
461,164.09,-0.0349164,0.00337427,0.530203,0.0146688,0.000339085,-1.1435%,-0.0349170,0.553683964,-0.530203,-1.1436%,,,,,
462,167.225,-0.0407203,0.00340897,0.540819,0.0146622,0.000254617,-1.1475%,-0.0407201,0.570065008,-0.540819,-1.1474%,,,,,
463,166.188,-0.0386058,0.00339624,0.53728,0.0146556,0.000170148,-1.1472%,-0.0386061,0.564414333,-0.53728,-1.1472%,,,,,
464,165.627,-0.0365759,0.00338397,0.535364,0.014649,8.57E-05,-1.1463%,-0.0365750,0.560476799,-0.535364,-1.1462%,,,,,
465,168.842,-0.0426467,0.00341992,0.546287,0.0146425,1.21E-06,-1.1507%,-0.0426472,0.577426133,-0.546287,-1.1508%,,,,,
466,167.156,-0.0384164,0.0033946,0.540526,0.0146359,-8.33E-05,-1.1515%,-0.0384162,0.567427758,-0.540526,-1.1514%,,,,,
467,166.297,-0.0383268,0.00339405,0.537593,0.0146293,-0.000167726,-1.1499%,-0.0383267,0.564420333,-0.537593,-1.1499%,,,,,
468,167.719,-0.0402715,0.00340564,0.542411,0.0146227,-0.000252194,-1.1492%,-0.0402726,0.571190535,-0.542411,-1.1493%,,,,,
469,168.868,-0.0423024,0.00341765,0.546312,0.0146162,-0.000336663,-1.1483%,-0.0423017,0.57713172,-0.546312,-1.1482%,,,,,
470,173.746,-0.0492089,0.00345739,0.563045,0.0146096,-0.000421131,-1.1547%,-0.0492094,0.600707683,-0.563045,-1.1547%,,,,,
471,174.974,-0.0516032,0.00347105,0.567277,0.014603,-0.0005056,-1.1536%,-0.0516019,0.607343503,-0.567277,-1.1535%,,,,,
472,178.55,-0.0567939,0.00350011,0.579717,0.0145964,-0.000590068,-1.1566%,-0.0567949,0.624944641,-0.579717,-1.1567%,,,,,
473,176.098,-0.0514719,0.00346987,0.57114,0.0145899,-0.000674537,-1.1575%,-0.0514721,0.611037167,-0.57114,-1.1575%,,,,,
474,175.028,-0.0513707,0.00346927,0.567404,0.0145833,-0.000759005,-1.1555%,-0.0513702,0.60721939,-0.567404,-1.1555%,,,,,
475,173.595,-0.0487952,0.00345441,0.562427,0.0145767,-0.000843474,-1.1553%,-0.0487945,0.599668304,-0.562427,-1.1553%,,,,,
476,174.092,-0.0486936,0.00345381,0.564124,0.0145701,-0.000927942,-1.1537%,-0.0486942,0.601280691,-0.564124,-1.1538%,,,,,
477,173.529,-0.048592,0.0034532,0.56216,0.0145636,-0.00101241,-1.1521%,-0.0485914,0.599230343,-0.56216,-1.1521%,,,,,
478,173.744,-0.0484899,0.00345259,0.562881,0.014557,-0.00109688,-1.1503%,-0.0484898,0.599866797,-0.562881,-1.1504%,,,,,
479,169.089,-0.041596,0.0034118,0.546898,0.0145504,-0.00118135,-1.1596%,-0.0415966,0.57689785,-0.546898,-1.1597%,,,,,
480,170.368,-0.0437025,0.00342414,0.551247,0.0145438,-0.00126582,-1.1585%,-0.0437020,0.583363884,-0.551247,-1.1585%,,,,,
481,170.832,-0.0437371,0.00342611,0.553119,0.0145373,0.188875,-1.1567%,-0.0437380,0.585289224,-0.553119,-1.1568%,,,,,
482,167.471,-0.0394932,0.00340254,0.541937,0.0145307,0.18958,-1.1604%,-0.0394935,0.569826776,-0.541937,-1.1604%,,,,,
483,169.65,-0.0416524,0.00341703,0.549648,0.0145241,0.190285,-1.1602%,-0.0416520,0.57969914,-0.549648,-1.1601%,,,,,
484,168.859,-0.0416835,0.00341899,0.547234,0.0145175,0.190989,-1.1590%,-0.0416830,0.577327232,-0.547234,-1.1590%,,,,,
485,168.481,-0.0395865,0.00340833,0.54623,0.014511,0.191694,-1.1578%,-0.0395865,0.574238847,-0.54623,-1.1578%,,,,,
486,166.864,-0.0375812,0.0033981,0.541007,0.0145044,0.192399,-1.1567%,-0.0375812,0.567020558,-0.541007,-1.1568%,,,,,
487,163.558,-0.0338523,0.00337709,0.530083,0.0144978,0.193104,-1.1585%,-0.0338522,0.552350086,-0.530083,-1.1585%,,,,,
488,165.305,-0.0357288,0.00339023,0.536281,0.0144912,0.193809,-1.1587%,-0.0357293,0.56042197,-0.536281,-1.1588%,,,,,
489,163.533,-0.0339055,0.00338088,0.530561,0.0144847,0.194514,-1.1581%,-0.0339056,0.552885449,-0.530561,-1.1581%,,,,,
490,164.717,-0.0357846,0.00339409,0.534856,0.0144781,0.195219,-1.1577%,-0.0357848,0.559064323,-0.534856,-1.1577%,,,,,
491,161.649,-0.0322254,0.00337388,0.524765,0.0144715,0.195923,-1.1606%,-0.0322245,0.545384328,-0.524765,-1.1605%,,,,,
492,163.859,-0.0340176,0.00338663,0.53252,0.0144649,0.196628,-1.1608%,-0.0340180,0.554929805,-0.53252,-1.1608%,,,,,
493,164.473,-0.0359079,0.00339995,0.534891,0.0144584,0.197333,-1.1600%,-0.0359085,0.559199976,-0.534891,-1.1600%,,,,,
494,162.366,-0.0323089,0.00337962,0.528038,0.0144518,0.198038,-1.1612%,-0.0323088,0.548735381,-0.528038,-1.1611%,,,,,
495,162.081,-0.0323248,0.00338155,0.52736,0.0144452,0.198743,-1.1600%,-0.0323247,0.548085006,-0.52736,-1.1600%,,,,,
496,160.831,-0.0306634,0.00337306,0.523424,0.0144386,0.199448,-1.1595%,-0.0306634,0.542492613,-0.523424,-1.1595%,,,,,
497,160.441,-0.0306767,0.00337499,0.522392,0.0144321,0.200152,-1.1583%,-0.0306774,0.541486771,-0.522392,-1.1583%,,,,,
498,160.459,-0.0306904,0.00337692,0.52274,0.0144255,0.200857,-1.1573%,-0.0306895,0.541857206,-0.52274,-1.1572%,,,,,
499,164.618,-0.0361484,0.00341193,0.537143,0.0144189,0.201562,-1.1625%,-0.0361478,0.561665093,-0.537143,-1.1626%,,,,,
500,162.232,-0.0325028,0.00339134,0.529323,0.0144123,0.202267,-1.1641%,-0.0325026,0.550183871,-0.529323,-1.1642%,,,,,
501,162.177,-0.0325206,0.00339333,0.52943,0.0144058,0.202972,-1.1630%,-0.0325209,0.550320079,-0.52943,-1.1631%,,,,,
502,162.685,-0.0325387,0.00339533,0.531452,0.0143992,0.203677,-1.1622%,-0.0325391,0.552369261,-0.531452,-1.1622%,,,,,
503,165.549,-0.0363299,0.00342013,0.541526,0.0143926,0.204382,-1.1657%,-0.0363308,0.566199101,-0.541526,-1.1658%,,,,,
504,166.426,-0.03839,0.00343442,0.544837,0.014386,0.205086,-1.1650%,-0.0383896,0.571576783,-0.544837,-1.1650%,,,,,
505,166.246,-0.038421,0.00343653,0.544527,0.0143795,0.205791,-1.1638%,-0.0384203,0.571309366,-0.544527,-1.1638%,,,,,
506,164.993,-0.0364259,0.00342638,0.540534,0.0143729,0.206496,-1.1632%,-0.0364270,0.565328715,-0.540534,-1.1632%,,,,,
507,168.692,-0.0429549,0.00346702,0.553584,0.0143663,0.207201,-1.1681%,-0.0429548,0.584858538,-0.553584,-1.1680%,,,,,
508,169.274,-0.0429975,0.00346923,0.555915,0.0143597,0.207906,-1.1662%,-0.0429963,0.587250439,-0.555915,-1.1661%,,,,,
509,168.153,-0.0407789,0.00345801,0.55235,0.0143532,0.208611,-1.1654%,-0.0407790,0.581474756,-0.55235,-1.1654%,,,,,
510,171.899,-0.0478716,0.00349928,0.565361,0.0143466,0.00164239,-1.1710%,-0.0478721,0.601522733,-0.565361,-1.1710%,,,,,
511,173.095,-0.0477589,0.00349863,0.569531,0.01434,0.00153283,-1.1694%,-0.0477584,0.60559536,-0.569531,-1.1694%,,,,,
512,174.828,-0.052966,0.00352842,0.575603,0.0143334,0.00142328,-1.1703%,-0.0529665,0.616866612,-0.575603,-1.1703%,,,,,
513,173.128,-0.0475831,0.00349733,0.569613,0.0143268,0.00131372,-1.1710%,-0.0475833,0.605485748,-0.569613,-1.1711%,,,,,
514,168.611,-0.040433,0.00345492,0.553867,0.0143203,0.00120417,-1.1762%,-0.0404322,0.582537516,-0.553867,-1.1762%,,,,,
515,169.627,-0.042595,0.00346767,0.557371,0.0143137,0.00109461,-1.1756%,-0.0425956,0.588210459,-0.557371,-1.1756%,,,,,
516,171.941,-0.0473544,0.00349535,0.565409,0.0143071,0.000985055,-1.1770%,-0.0473544,0.600993974,-0.565409,-1.1769%,,,,,
517,169.203,-0.0424537,0.00346638,0.555871,0.0143005,0.000875499,-1.1802%,-0.0424530,0.586521895,-0.555871,-1.1802%,,,,,
518,169.27,-0.0423447,0.00346574,0.556087,0.014294,0.000765944,-1.1787%,-0.0423458,0.58664581,-0.556087,-1.1787%,,,,,
519,169.147,-0.0422354,0.00346509,0.555646,0.0142874,0.000656388,-1.1773%,-0.0422354,0.586109578,-0.555646,-1.1772%,,,,,
520,170.058,-0.0421253,0.00346444,0.558789,0.0142808,0.000546832,-1.1760%,-0.0421256,0.589155738,-0.558789,-1.1759%,,,,,
521,172.718,-0.0468853,0.00349199,0.568035,0.0142742,0.000437276,-1.1791%,-0.0468846,0.603129529,-0.568035,-1.1790%,,,,,
522,173.378,-0.0493507,0.0035062,0.570326,0.0142677,0.000327721,-1.1778%,-0.0493503,0.607897944,-0.570326,-1.1778%,,,,,
523,174.002,-0.0492317,0.00350551,0.572492,0.0142611,0.000218165,-1.1758%,-0.0492322,0.609965751,-0.572492,-1.1758%,,,,,
524,177.951,-0.0575976,0.00355251,0.586401,0.0142545,0.000108609,-1.1826%,-0.0575971,0.632172707,-0.586401,-1.1825%,,,,,
525,177.757,-0.057473,0.0035518,0.585691,0.0142479,-9.46E-07,-1.1807%,-0.0574736,0.631357313,-0.585691,-1.1807%,,,,,
526,174.321,-0.0490404,0.00350341,0.573553,0.0142414,-0.000110502,-1.1875%,-0.0490400,0.610717935,-0.573553,-1.1875%,,,,,
527,173.735,-0.04892,0.0035027,0.571477,0.0142348,-0.000220058,-1.1855%,-0.0489193,0.608541585,-0.571477,-1.1855%,,,,,
528,175.267,-0.0514916,0.00351736,0.576832,0.0142282,-0.000329613,-1.1846%,-0.0514919,0.616477135,-0.576832,-1.1847%,,,,,
529,175.09,-0.0513682,0.00351664,0.576189,0.0142216,-0.000439169,-1.1829%,-0.0513683,0.615728498,-0.576189,-1.1829%,,,,,
530,176.929,-0.0540516,0.00353179,0.582645,0.0142151,-0.000548725,-1.1821%,-0.0540516,0.624876073,-0.582645,-1.1821%,,,,,
531,175.907,-0.0511345,0.00351519,0.579021,0.0142085,-0.000658281,-1.1809%,-0.0511348,0.618346527,-0.579021,-1.1809%,,,,,
532,175.615,-0.0510095,0.00351446,0.57797,0.0142019,-0.000767836,-1.1788%,-0.0510096,0.617191893,-0.57797,-1.1788%,,,,,
533,172.461,-0.0456938,0.00348362,0.566907,0.0141953,-0.000877392,-1.1813%,-0.0456942,0.600788589,-0.566907,-1.1813%,,,,,
534,174.376,-0.048148,0.00349767,0.573578,0.0141888,-0.000986948,-1.1816%,-0.0481472,0.609909704,-0.573578,-1.1815%,,,,,
535,172.194,-0.0454841,0.00348218,0.565938,0.0141822,-0.0010965,-1.1812%,-0.0454844,0.599610503,-0.565938,-1.1812%,,,,,
536,171.635,-0.0429285,0.00346727,0.563976,0.0141756,-0.00120606,-1.1800%,-0.0429288,0.595104886,-0.563976,-1.1800%,,,,,
537,169.362,-0.0405077,0.00345295,0.556083,0.014169,-0.00131561,-1.1791%,-0.0405070,0.584798518,-0.556083,-1.1792%,,,,,
538,168.067,-0.0382074,0.00343924,0.551602,0.0141625,-0.00142517,-1.1786%,-0.0382073,0.578022749,-0.551602,-1.1787%,,,,,
539,166.705,-0.0360285,0.00342615,0.546908,0.0141559,-0.00153473,-1.1780%,-0.0360291,0.571156336,-0.546908,-1.1781%,,,,,
540,163.367,-0.0321624,0.00340249,0.535498,0.0141493,0.00146979,-1.1806%,-0.0321624,0.555854584,-0.535498,-1.1806%,,,,,
541,158.696,-0.0272814,0.00337174,0.519677,0.0141427,0.00137177,-1.1877%,-0.0272817,0.535081651,-0.519677,-1.1877%,,,,,
542,160.13,-0.0287139,0.00338069,0.524507,0.0141362,0.00127375,-1.1872%,-0.0287137,0.54134989,-0.524507,-1.1871%,,,,,
543,158.578,-0.0271307,0.00337071,0.519264,0.0141296,0.00117572,-1.1875%,-0.0271307,0.53452045,-0.519264,-1.1874%,,,,,
544,159.147,-0.0270481,0.00337019,0.521173,0.014123,0.0010777,-1.1865%,-0.0270474,0.536355628,-0.521173,-1.1865%,,,,,
545,157.216,-0.0255777,0.00336084,0.514668,0.0141164,0.000979679,-1.1867%,-0.0255778,0.528377821,-0.514668,-1.1868%,,,,,
546,155.989,-0.0242115,0.00335209,0.510543,0.0141099,0.000881657,-1.1866%,-0.0242125,0.522889167,-0.510543,-1.1866%,,,,,
547,154.342,-0.0229495,0.00334391,0.505024,0.0141033,0.000783635,-1.1867%,-0.0229488,0.516105757,-0.505024,-1.1867%,,,,,
548,151.001,-0.0207932,0.00332963,0.493877,0.0146978,0.000685613,-1.1893%,-0.0207932,0.50277746,-0.493877,-1.1893%,,,,,
549,148.052,-0.0189781,0.00331737,0.484078,0.0146934,0.000587591,-1.1913%,-0.0189781,0.491143263,-0.484078,-1.1913%,,,,,
550,148.335,-0.0189275,0.00331703,0.485012,0.014689,0.000489569,-1.1908%,-0.0189278,0.492031645,-0.485012,-1.1908%,,,,,
551,148.944,-0.0188769,0.00331669,0.487028,0.0146847,0.000391546,-1.1904%,-0.0188771,0.494001075,-0.487028,-1.1904%,,,,,
552,150.032,-0.0196704,0.00332197,0.490634,0.0146803,0.000293524,-1.1902%,-0.0196694,0.498401803,-0.490634,-1.1902%,,,,,
553,148.475,-0.0187844,0.003316,0.485462,0.0146759,0.000195502,-1.1903%,-0.0187845,0.4923431,-0.485462,-1.1903%,,,,,
554,148.001,-0.0187344,0.00331566,0.483887,0.0146715,9.75E-05,-1.1901%,-0.0187347,0.490720996,-0.483887,-1.1901%,,,,,
555,145.75,-0.0172543,0.0033055,0.476432,0.0146671,-5.42E-07,-1.1910%,-0.0172543,0.481776625,-0.476432,-1.1910%,,,,,
556,142.614,-0.0160446,0.00329701,0.466076,0.0146627,-9.86E-05,-1.1921%,-0.0160443,0.470199784,-0.466076,-1.1921%,,,,,
557,144.186,-0.0165703,0.00330065,0.471258,0.0146584,-0.000196586,-1.1921%,-0.0165703,0.475907521,-0.471258,-1.1921%,,,,,
558,146.792,-0.0178329,0.00330925,0.479865,0.014654,-0.000294608,-1.1927%,-0.0178338,0.485771426,-0.479865,-1.1927%,,,,,
559,145.228,-0.0171191,0.00330432,0.474691,0.0146496,-0.000392631,-1.1930%,-0.0171182,0.479879785,-0.474691,-1.1929%,,,,,
560,146.522,-0.0177485,0.00330861,0.478963,0.0146452,-0.000490653,-1.1927%,-0.0177490,0.484784154,-0.478963,-1.1928%,,,,,
561,144.788,-0.0164405,0.00329956,0.473229,0.0146408,-0.000588675,-1.1932%,-0.0164397,0.477736693,-0.473229,-1.1932%,,,,,
562,147.577,-0.0176826,0.00330797,0.482442,0.0146364,-0.000686697,-1.1945%,-0.0176832,0.488180289,-0.482442,-1.1945%,,,,,
563,145.875,-0.0169801,0.00330314,0.476809,0.0146321,-0.000784719,-1.1943%,-0.0169798,0.481845548,-0.476809,-1.1943%,,,,,
564,147.667,-0.0176006,0.00330733,0.482729,0.0146277,-0.000882741,-1.1946%,-0.0176007,0.488383499,-0.482729,-1.1946%,,,,,
565,147.349,-0.0175555,0.00330701,0.481671,0.0146233,-0.000980763,-1.1942%,-0.0175555,0.487284616,-0.481671,-1.1942%,,,,,
566,145.215,-0.0168671,0.00330226,0.474615,0.0146189,-0.00107879,-1.1944%,-0.0168679,0.479537686,-0.474615,-1.1945%,,,,,
567,144.037,-0.0162464,0.00329793,0.470723,0.0146145,-0.00117681,-1.1945%,-0.0162456,0.475023943,-0.470723,-1.1945%,,,,,
568,144.162,-0.0162095,0.00329766,0.47113,0.0146101,-0.00127483,-1.1942%,-0.0162098,0.475397261,-0.47113,-1.1943%,,,,,
569,143.396,-0.0156533,0.00329376,0.4686,0.0146058,-0.00137285,-1.1941%,-0.0156527,0.472312009,-0.4686,-1.1941%,,,,,
570,141.236,-0.0151624,0.00329053,0.461518,0.0146014,0.0268322,-1.1940%,-0.0151635,0.464741295,-0.461518,-1.1940%,,,,,
571,140.993,-0.0151359,0.00329058,0.460751,0.014597,0.0268335,-1.1938%,-0.0151359,0.463948746,-0.460751,-1.1938%,,,,,
572,143.866,-0.0160872,0.00329743,0.470244,0.0145926,0.0268347,-1.1944%,-0.0160872,0.474388064,-0.470244,-1.1943%,,,,,
573,142.48,-0.0155498,0.00329389,0.465709,0.0145882,0.026836,-1.1945%,-0.0155489,0.469313447,-0.465709,-1.1944%,,,,,
574,141.613,-0.0150682,0.00329073,0.462886,0.0145838,0.0268373,-1.1944%,-0.0150686,0.466010147,-0.462886,-1.1944%,,,,,
575,143.657,-0.0160024,0.00329747,0.46965,0.0145795,0.0268386,-1.1948%,-0.0160023,0.473704648,-0.46965,-1.1948%,,,,,
576,146.498,-0.017151,0.00330555,0.479057,0.0145751,0.0268399,-1.1952%,-0.0171512,0.484256464,-0.479057,-1.1952%,,,,,
577,148.376,-0.0177939,0.00331012,0.485298,0.0145707,0.0268412,-1.1950%,-0.0177937,0.491142365,-0.485298,-1.1949%,,,,,
578,146.435,-0.0170826,0.0033055,0.478913,0.0145663,0.0268425,-1.1954%,-0.0170824,0.484040893,-0.478913,-1.1955%,,,,,
579,147.074,-0.0170442,0.00330548,0.481055,0.0145619,0.0268437,-1.1949%,-0.0170446,0.486150166,-0.481055,-1.1949%,,,,,
580,144.464,-0.0158654,0.00329756,0.47247,0.0145575,0.026845,-1.1957%,-0.0158656,0.476378708,-0.47247,-1.1957%,,,,,
581,145.666,-0.0163788,0.00330132,0.476468,0.0145532,0.0268463,-1.1957%,-0.0163784,0.480890079,-0.476468,-1.1956%,,,,,
582,146.726,-0.0169446,0.00330541,0.480001,0.0145488,0.0268476,-1.1956%,-0.0169439,0.484989588,-0.480001,-1.1955%,,,,,
583,145.059,-0.0163162,0.00330132,0.474529,0.0145444,0.0268489,-1.1959%,-0.0163167,0.478886178,-0.474529,-1.1960%,,,,,
584,143.046,-0.0152779,0.0032943,0.467923,0.01454,0.0268502,-1.1964%,-0.0152779,0.471236438,-0.467923,-1.1964%,,,,,
585,143.241,-0.0152497,0.00329434,0.468598,0.0145356,0.0268515,-1.1962%,-0.0152495,0.471884556,-0.468598,-1.1963%,,,,,
586,145.547,-0.0162318,0.00330133,0.476235,0.0145312,0.0268527,-1.1968%,-0.0162324,0.480498678,-0.476235,-1.1969%,,,,,
587,144.954,-0.0161978,0.00330133,0.47431,0.0145268,0.026854,-1.1967%,-0.0161972,0.478540989,-0.47431,-1.1966%,,,,,
588,142.596,-0.0151854,0.00329447,0.466568,0.0145225,0.0268553,-1.1975%,-0.0151856,0.469778244,-0.466568,-1.1975%,,,,,
589,143.565,-0.0156231,0.00329776,0.469793,0.0145181,0.0268566,-1.1974%,-0.0156235,0.473442914,-0.469793,-1.1974%,,,,,
590,144.324,-0.0155924,0.00329778,0.472328,0.0145137,0.0268579,-1.1971%,-0.0155916,0.475948801,-0.472328,-1.1971%,,,,,
591,142.529,-0.0151055,0.00329461,0.466443,0.0145093,0.0268592,-1.1972%,-0.0151066,0.469577469,-0.466443,-1.1972%,,,,,
592,143.513,-0.0155352,0.00329784,0.469718,0.0145049,0.0268605,-1.1971%,-0.0155349,0.473282912,-0.469718,-1.1970%,,,,,
593,143.54,-0.015505,0.00329787,0.469839,0.0145005,0.0268618,-1.1968%,-0.0155053,0.47337626,-0.469839,-1.1968%,,,,,
594,141.118,-0.014631,0.00329191,0.461892,0.0144962,0.026863,-1.1975%,-0.0146303,0.464547755,-0.461892,-1.1975%,,,,,
595,140.37,-0.0142519,0.00328945,0.459463,0.0144918,0.0268643,-1.1975%,-0.0142523,0.461740097,-0.459463,-1.1975%,,,,,
596,141.163,-0.0145848,0.00329204,0.462104,0.0144874,0.0268656,-1.1974%,-0.0145839,0.464714243,-0.462104,-1.1974%,,,,,
597,138.809,-0.0139051,0.00328739,0.454392,0.014483,0.0268669,-1.1978%,-0.0139063,0.456319319,-0.454392,-1.1979%,,,,,
598,140.623,-0.014546,0.00329218,0.460391,0.0144786,0.0268682,-1.1981%,-0.0145452,0.462956228,-0.460391,-1.1980%,,,,,
599,139.83,-0.0141781,0.00328979,0.457814,0.0144742,0.0268695,-1.1981%,-0.0141785,0.460011336,-0.457814,-1.1981%,,,,,
600,137.959,-0.0138559,0.00328769,0.451693,0.0144699,0.0268708,-1.1982%,-0.0138555,0.453566425,-0.451693,-1.1982%,,,,,
601,139.23,-0.0141369,0.00328972,0.455872,0.0144655,0.00117624,-1.1981%,-0.0141376,0.458027716,-0.455872,-1.1982%,,,,,
602,135.604,-0.0133343,0.0032838,0.443955,0.0144611,0.00109216,-1.1992%,-0.0133333,0.445296415,-0.443955,-1.1992%,,,,,
603,134.815,-0.0133187,0.00328369,0.441364,0.0144567,0.00100808,-1.1992%,-0.0133188,0.442690667,-0.441364,-1.1992%,,,,,
604,133.741,-0.013107,0.00328211,0.437838,0.0144523,0.000923993,-1.1992%,-0.0131068,0.438952674,-0.437838,-1.1992%,,,,,
605,133.272,-0.0130936,0.00328202,0.436299,0.0144479,0.000839912,-1.1992%,-0.0130945,0.437401369,-0.436299,-1.1992%,,,,,
606,135.912,-0.0132759,0.00328336,0.444966,0.0144436,0.00075583,-1.1993%,-0.0132753,0.446248024,-0.444966,-1.1993%,,,,,
607,137.748,-0.0137358,0.0032867,0.450996,0.0144392,0.000671748,-1.1995%,-0.0137357,0.452736352,-0.450996,-1.1995%,,,,,
608,136.476,-0.0134687,0.00328475,0.446817,0.0144348,0.000587666,-1.1996%,-0.0134695,0.448289541,-0.446817,-1.1997%,,,,,
609,135.776,-0.0132357,0.00328303,0.444517,0.0144304,0.000503584,-1.1996%,-0.0132351,0.445756681,-0.444517,-1.1995%,,,,,
610,134.776,-0.0132209,0.00328292,0.441234,0.014426,0.000419503,-1.1996%,-0.0132209,0.442458826,-0.441234,-1.1996%,,,,,
611,135.856,-0.013206,0.00328281,0.444779,0.0144216,0.000335421,-1.1995%,-0.0132061,0.445989435,-0.444779,-1.1996%,,,,,
612,135.982,-0.0134016,0.00328425,0.445192,0.0144173,0.000251339,-1.1995%,-0.0134020,0.446598884,-0.445192,-1.1995%,,,,,
613,135.468,-0.0131774,0.00328259,0.443503,0.0144129,0.000167257,-1.1994%,-0.0131770,0.444685902,-0.443503,-1.1994%,,,,,
614,136.381,-0.0133699,0.003284,0.446499,0.0144085,8.32E-05,-1.1994%,-0.0133701,0.447875204,-0.446499,-1.1994%,,,,,
615,137.973,-0.0135885,0.00328558,0.451727,0.0144041,-9.07E-07,-1.1994%,-0.0135884,0.453321329,-0.451727,-1.1994%,,,,,
616,137.29,-0.013338,0.00328375,0.449482,0.0143997,-8.50E-05,-1.1994%,-0.0133379,0.450826038,-0.449482,-1.1994%,,,,,
617,140.076,-0.0138209,0.00328719,0.458635,0.0143953,-0.00016907,-1.1999%,-0.0138206,0.460456426,-0.458635,-1.1999%,,,,,
618,139.719,-0.0137999,0.00328704,0.457459,0.014391,-0.000253152,-1.1998%,-0.0138008,0.459261942,-0.457459,-1.1998%,,,,,
619,140.751,-0.0140735,0.00328897,0.46085,0.0143866,-0.000337234,-1.1998%,-0.0140725,0.462925816,-0.46085,-1.1997%,,,,,
620,140.582,-0.0140502,0.0032888,0.460292,0.0143822,-0.000421316,-1.1997%,-0.0140507,0.462346082,-0.460292,-1.1997%,,,,,
621,140.393,-0.0137381,0.00328657,0.459669,0.0143778,-0.000505398,-1.1996%,-0.0137383,0.461411422,-0.459669,-1.1996%,,,,,
622,140.642,-0.0140044,0.00328845,0.460485,0.0143734,-0.000589479,-1.1995%,-0.0140038,0.462494185,-0.460485,-1.1995%,,,,,
623,140.639,-0.0139814,0.00328828,0.460472,0.014369,-0.000673561,-1.1993%,-0.0139819,0.462460411,-0.460472,-1.1993%,,,,,
