tau,s_tmp,cash,delta,pv,r,q,PL,cash,asset,debt,PL,,,,,
324,227.234,-0.219226,0.00478864,0.872877,0.0152595,0.0345916,-0.3961%,-0.2192266,1.088141822,-0.872877,-0.3962%,,,,,
325,225.725,-0.240922,0.00488517,0.865861,0.0152507,0.0346509,-0.4078%,-0.2409218,1.102704998,-0.865861,-0.4078%,,,,,
326,228.124,-0.197789,0.00469652,0.877712,0.0152419,0.0347101,-0.4114%,-0.1977905,1.071388928,-0.877712,-0.4114%,,,,,
327,225.224,-0.240997,0.00488877,0.863984,0.0152332,0.0347694,-0.3913%,-0.2409958,1.101068334,-0.863984,-0.3911%,,,,,
328,218.971,-0.344591,0.00536228,0.832189,0.0152244,0.0348286,-0.2595%,-0.3445899,1.174183814,-0.832189,-0.2595%,,,,,
329,223.05,-0.282279,0.00508337,0.853712,0.0152156,0.0348879,-0.2145%,-0.2822802,1.133845679,-0.853712,-0.2146%,,,,,
330,222.561,-0.282687,0.00508564,0.85151,0.0152068,0.0349471,-0.2333%,-0.2826876,1.131865124,-0.85151,-0.2333%,,,,,
331,222.949,-0.283384,0.00508874,0.853692,0.0151981,0.00195837,-0.2547%,-0.2833838,1.134529494,-0.853692,-0.2546%,,,,,
332,218.209,-0.345989,0.00537561,0.829033,0.0151893,0.00181854,-0.2015%,-0.3459879,1.173006482,-0.829033,-0.2014%,,,,,
333,216.882,-0.366936,0.00547215,0.822001,0.0151805,0.0016787,-0.2126%,-0.3669358,1.186810836,-0.822001,-0.2126%,,,,,
334,217.268,-0.367799,0.00547608,0.824277,0.0151718,0.00153887,-0.2299%,-0.3678001,1.189776949,-0.824277,-0.2300%,,,,,
335,211.721,-0.434536,0.00579124,0.793298,0.015163,0.00139903,-0.1707%,-0.4345358,1.226127124,-0.793298,-0.1707%,,,,,
336,211.28,-0.435512,0.00579579,0.790908,0.0151542,0.00125919,-0.1885%,-0.4355111,1.224534511,-0.790908,-0.1885%,,,,,
337,212.88,-0.420731,0.00572629,0.80025,0.0151455,0.00111936,-0.1968%,-0.4207311,1.219012615,-0.80025,-0.1969%,,,,,
338,210.74,-0.437322,0.00580495,0.788067,0.0151367,0.00097952,-0.2053%,-0.4373220,1.223335163,-0.788067,-0.2054%,,,,,
339,206.221,-0.481906,0.00602107,0.761403,0.0151279,0.000839683,-0.1637%,-0.4819059,1.241671076,-0.761403,-0.1638%,,,,,
340,205.786,-0.496579,0.00609229,0.758889,0.0151192,0.000699847,-0.1760%,-0.4965797,1.25370799,-0.758889,-0.1761%,,,,,
341,207.078,-0.483914,0.00603104,0.76681,0.0151104,0.000560011,-0.1829%,-0.4839141,1.248895701,-0.76681,-0.1828%,,,,,
342,204.916,-0.498572,0.00610248,0.753837,0.0151016,0.000420174,-0.1913%,-0.4985718,1.250495792,-0.753837,-0.1913%,,,,,
343,207.829,-0.471526,0.00597225,0.771574,0.0150929,0.000280338,-0.1893%,-0.4715261,1.241206745,-0.771574,-0.1893%,,,,,
344,208.663,-0.472579,0.00597721,0.776674,0.0150841,0.000140501,-0.2032%,-0.4725800,1.24722257,-0.776674,-0.2031%,,,,,
345,207.269,-0.487942,0.00605123,0.768462,0.0150753,6.65E-07,-0.2171%,-0.4879406,1.254232391,-0.768462,-0.2170%,,,,,
346,208.872,-0.459677,0.00591581,0.778184,0.0150666,-0.000139171,-0.2214%,-0.4596772,1.235647066,-0.778184,-0.2214%,,,,,
347,208.394,-0.475616,0.0059922,0.77547,0.0150578,-0.000279008,-0.2347%,-0.4756161,1.248738527,-0.77547,-0.2348%,,,,,
348,209.618,-0.461685,0.00592564,0.782893,0.015049,-0.000418844,-0.2457%,-0.4616849,1.242120806,-0.782893,-0.2457%,,,,,
349,210.389,-0.447218,0.00585678,0.787574,0.0150403,-0.00055868,-0.2590%,-0.4472185,1.232202087,-0.787574,-0.2590%,,,,,
350,211.834,-0.43219,0.00578574,0.796178,0.0150315,-0.000698517,-0.2752%,-0.4321901,1.225616447,-0.796178,-0.2752%,,,,,
351,213.092,-0.433216,0.00579046,0.803614,0.0150227,-0.000838353,-0.2929%,-0.4332164,1.233900702,-0.803614,-0.2930%,,,,,
352,212.488,-0.434243,0.00579519,0.800288,0.015014,-0.000978189,-0.3122%,-0.4342422,1.231408333,-0.800288,-0.3122%,,,,,
353,208.234,-0.481665,0.00602282,0.775294,0.0150052,-0.00111803,-0.2803%,-0.4816649,1.2541559,-0.775294,-0.2803%,,,,,
354,206.286,-0.497202,0.00609802,0.763604,0.0149964,-0.00125786,-0.2869%,-0.4972018,1.257936154,-0.763604,-0.2870%,,,,,
355,206.896,-0.498328,0.00610334,0.767444,0.0149877,-0.0013977,-0.3014%,-0.4983279,1.262756633,-0.767444,-0.3015%,,,,,
356,205.513,-0.513369,0.00617641,0.759091,0.0149789,-0.00153753,-0.3129%,-0.5133706,1.269332548,-0.759091,-0.3129%,,,,,
357,206.103,-0.500548,0.00611407,0.762832,0.0149701,-0.00167737,-0.3252%,-0.5005474,1.260128169,-0.762832,-0.3251%,,,,,
358,208.137,-0.487034,0.00604901,0.775351,0.0149614,-0.00181721,-0.3362%,-0.4870335,1.259022794,-0.775351,-0.3362%,,,,,
359,211.94,-0.440419,0.00582894,0.798118,0.0149526,-0.00195704,-0.3152%,-0.4404192,1.235385544,-0.798118,-0.3152%,,,,,
360,220.368,-0.3428,0.0053859,0.845686,0.0149438,0.00177441,-0.1605%,-0.3427989,1.186880011,-0.845686,-0.1605%,,,,,
361,222.619,-0.298549,0.00518709,0.857781,0.0149351,0.00165608,-0.1585%,-0.2985497,1.154744789,-0.857781,-0.1586%,,,,,
362,223.408,-0.299308,0.00519046,0.86207,0.0149263,0.00153775,-0.1789%,-0.2993092,1.159590288,-0.86207,-0.1789%,,,,,
363,220.779,-0.32263,0.00529605,0.848473,0.0149175,0.00141942,-0.1845%,-0.3226278,1.169256623,-0.848473,-0.1844%,,,,,
364,222.61,-0.300636,0.00519721,0.858347,0.0149088,0.00130109,-0.2031%,-0.3006362,1.156950918,-0.858347,-0.2032%,,,,,
365,220.957,-0.324095,0.00530334,0.849822,0.0153,0.00118276,-0.2106%,-0.3240950,1.171810096,-0.849822,-0.2107%,,,,,
366,220.508,-0.347434,0.00540914,0.847614,0.0152934,0.00106443,-0.2290%,-0.3474349,1.192758643,-0.847614,-0.2290%,,,,,
367,220.779,-0.325711,0.00531069,0.849265,0.0152868,0.000946104,-0.2485%,-0.3257098,1.172488828,-0.849265,-0.2486%,,,,,
368,221.908,-0.326541,0.00531439,0.855471,0.0152803,0.000827775,-0.2707%,-0.3265430,1.179305656,-0.855471,-0.2708%,,,,,
369,220.812,-0.327371,0.00531809,0.849838,0.0152737,0.000709446,-0.2910%,-0.3273694,1.174298089,-0.849838,-0.2909%,,,,,
370,215.257,-0.413805,0.00571958,0.81919,0.0152671,0.000591117,-0.1816%,-0.4138064,1.231179632,-0.81919,-0.1817%,,,,,
371,214.411,-0.432635,0.00580733,0.814487,0.0152605,0.000472787,-0.1967%,-0.4326353,1.245155433,-0.814487,-0.1967%,,,,,
372,211.639,-0.467758,0.0059732,0.798395,0.015254,0.000354458,-0.1990%,-0.4677564,1.264162075,-0.798395,-0.1989%,,,,,
373,206.59,-0.515366,0.00620356,0.767883,0.0152474,0.000236129,-0.1655%,-0.5153668,1.28159346,-0.767883,-0.1656%,,,,,
374,204.572,-0.530861,0.0062792,0.755376,0.0152408,0.0001178,-0.1688%,-0.5308609,1.284548502,-0.755376,-0.1688%,,,,,
375,207.366,-0.502531,0.00614247,0.772935,0.0152342,-5.30E-07,-0.1726%,-0.5025300,1.273739434,-0.772935,-0.1726%,,,,,
376,204.571,-0.532988,0.00629125,0.755602,0.0152277,-0.000118859,-0.1582%,-0.5329884,1.287007304,-0.755602,-0.1583%,,,,,
377,206.239,-0.519775,0.00622708,0.7662,0.0152211,-0.000237188,-0.1709%,-0.5197767,1.284266752,-0.7662,-0.1710%,,,,,
378,204.528,-0.535413,0.00630342,0.755561,0.0152145,-0.000355517,-0.1748%,-0.5354116,1.289225886,-0.755561,-0.1747%,,,,,
379,202.454,-0.563307,0.00644108,0.742444,0.0152079,-0.000473846,-0.1728%,-0.5633068,1.30402241,-0.742444,-0.1728%,,,,,
380,201.264,-0.576182,0.00650492,0.734858,0.0152014,-0.000592176,-0.1833%,-0.5761813,1.309206219,-0.734858,-0.1833%,,,,,
381,198.432,-0.587566,0.00656216,0.716437,0.0151948,-0.000710505,-0.1860%,-0.5875667,1.302142533,-0.716437,-0.1861%,,,,,
