tau,s_tmp,cash,delta,pv,r,q,PL
0,297.22,0.305407,0.00218554,0.954993,,,0
1,294.98,0.260356,0.00233832,0.950106,0.0179022,0,6.02126e-06
2,295.856,0.282542,0.00226337,0.952264,0.0179066,0,-9.00992e-05
3,294.573,0.259796,0.00234063,0.949471,0.0179111,0,-0.000186986
4,295.735,0.281993,0.00226562,0.952297,0.0179155,0,-0.000281335
5,291.233,0.214731,0.00249662,0.941722,0.0179199,0,0.000108087
6,294.476,0.259656,0.0023441,0.949698,0.0179244,0,0.000239553
7,293.163,0.236847,0.00242195,0.946736,0.0179288,0,0.000136316
8,297.255,0.304529,0.0021943,0.956294,0.0179332,0,0.000500165
9,292.396,0.237293,0.00242429,0.945175,0.0179377,0,0.0009719
10,292.806,0.236963,0.00242546,0.94633,0.0179421,0,0.000822745
11,291.625,0.214115,0.00250385,0.943571,0.0179465,0,0.000729341
12,295.366,0.281833,0.00227462,0.952658,0.017951,0,0.00101947
13,293.48,0.23656,0.00242893,0.948387,0.0179554,0,0.0010146
14,294.869,0.258892,0.00235323,0.95181,0.0179598,0,0.000976418
15,292.753,0.236077,0.00243121,0.946945,0.0179643,0,0.000874748
16,293.219,0.235757,0.00243234,0.94821,0.0179687,0,0.000754573
17,294.589,0.258081,0.0023566,0.951614,0.0179731,0,0.000694503
18,297.611,0.303096,0.00220539,0.958601,0.0179776,0,0.000841558
19,300.339,0.34798,0.00205599,0.964538,0.017982,0,0.000936571
20,295.303,0.280795,0.00228356,0.953724,0.0179864,0,0.00141373
21,294.32,0.257996,0.00236107,0.951592,0.0179909,0,0.0013147
22,291.554,0.212747,0.00251632,0.945015,0.0179953,0,0.00137373
23,288.394,0.18333,0.00261835,0.937048,0.0179997,0,0.00139914
24,293.325,0.235279,0.00244128,0.949657,0.0180042,0,0.00171032
25,292.608,0.234948,0.00244245,0.948071,0.0180086,0,0.00155806
26,290.276,0.195106,0.00257975,0.942353,0.018013,0,0.00159115
27,288.736,0.182974,0.0026218,0.938513,0.0180175,0,0.00146866
28,286.501,0.171485,0.0026626,0.93295,0.0180219,0.0933255,0.0013731
29,285.794,0.159856,0.00270405,0.931406,0.0180263,0.0999914,0.00125137
30,285.977,0.160365,0.00270309,0.932265,0.0180307,0.106657,0.00112109
31,277.69,0.100391,0.00291993,0.909412,0.0180352,0.113323,0.00181505
32,277.644,0.100631,0.00292005,0.909679,0.0180396,0.119989,0.00168483
33,276.335,0.0887235,0.00296417,0.906243,0.018044,0.126655,0.00158359
34,276.605,0.0889794,0.00296434,0.907476,0.0180485,0.133321,0.0014551
35,278.535,0.101091,0.00292091,0.913274,0.0180529,0.00388886,0.00139089
36,279.104,0.113295,0.00287722,0.915071,0.0180573,0.00277777,0.00126738
37,279.382,0.113004,0.00287829,0.916023,0.0180618,0.00166668,0.0011247
38,278.727,0.112715,0.00287936,0.914266,0.0180662,0.000555594,0.00100335
39,277.761,0.0998619,0.00292564,0.911596,0.0180706,-0.000555494,0.000896107
40,272.855,0.0712825,0.00303039,0.897038,0.0180751,-0.00166658,0.00110162
41,269.029,0.0518228,0.00310271,0.88542,0.0180795,-0.00277767,0.00112327
42,271.56,0.0642945,0.00305677,0.893344,0.0180839,-0.00388876,0.0010459
43,276.146,0.0869998,0.00297457,0.907367,0.0180884,0.00198468,0.00104832
44,273.294,0.0708237,0.00303379,0.89892,0.0180928,0.00119107,0.00101948
45,275.002,0.0782907,0.00300665,0.904226,0.0180972,0.000397466,0.000898963
46,272.203,0.063178,0.00306218,0.895822,0.0181017,-0.000396141,0.000891022
47,272.97,0.0698514,0.00303773,0.89824,0.0181061,-0.00118975,0.000821488
48,272.979,0.0692996,0.00303975,0.898346,0.0181105,-0.00198335,0.000742304
49,275.902,0.0856112,0.00298062,0.90726,0.018115,-0.00277696,0.000710416
50,277.259,0.096603,0.00294101,0.911394,0.0181194,0.0024998,0.000630521
51,279.136,0.107867,0.00290069,0.917002,0.0181238,0.00194425,0.000552835
52,276.921,0.0839946,0.00298693,0.910581,0.0181283,0.00138871,0.000556799
53,275.579,0.074031,0.00302311,0.906655,0.0181327,0.000833159,0.000480704
54,278.541,0.0944682,0.00294975,0.915549,0.0181371,0.000277612,0.000545327
55,279.091,0.105642,0.00290973,0.917253,0.0181416,-0.000277935,0.000467139
56,276.863,0.0818931,0.00299552,0.910767,0.018146,-0.000833482,0.000474108
57,276.345,0.0812917,0.0029977,0.909308,0.0181504,-0.00138903,0.000382493
58,285.791,0.155146,0.00273927,0.936463,0.0181548,-0.00194458,0.00154274
59,286.581,0.167793,0.00269515,0.938716,0.0181593,-0.00250012,0.00145657
60,284.553,0.140826,0.00278999,0.933283,0.0181637,0.00453701,0.00144152
61,281.407,0.115257,0.0028809,0.924533,0.0181681,0.00423455,0.0014306
62,279.09,0.102685,0.002926,0.91792,0.0181726,0.00393208,0.00138252
63,277.798,0.0904711,0.00297002,0.914207,0.018177,0.00362962,0.001329
64,280.379,0.113446,0.00288812,0.921885,0.0181814,0.00332716,0.00132844
65,280.129,0.100866,0.00293307,0.921259,0.0181859,0.0030247,0.0012442
66,278.906,0.10021,0.00293546,0.917776,0.0181903,0.00272223,0.00115164
67,283.171,0.136409,0.00280766,0.9302,0.0181947,0.00241977,0.00125788
68,280.506,0.111081,0.002898,0.922661,0.0181992,0.00211731,0.00132592
69,280.205,0.110386,0.00290051,0.921881,0.0182036,0.00181484,0.00124318
70,282.563,0.121889,0.00285983,0.928793,0.018208,0.00151238,0.00117895
71,283.299,0.133688,0.00281822,0.930987,0.0182125,0.00120992,0.00109879
72,278.779,0.0969123,0.00295016,0.917969,0.0182169,0.000907454,0.00138677
73,281.511,0.108033,0.00291068,0.926069,0.0182213,0.000604991,0.00135288
74,277.999,0.0842927,0.0029961,0.915831,0.0182258,0.000302528,0.00137497
75,272.449,0.0506236,0.0031197,0.898926,0.0182302,6.44829e-08,0.0016558
76,272.799,0.0565884,0.00309784,0.900088,0.0182346,-0.000302399,0.0015878
77,274.979,0.0627312,0.0030755,0.906911,0.0182391,-0.000604862,0.00151889
78,276.626,0.071037,0.00304548,0.912033,0.0182435,-0.000907325,0.00146382
79,274.645,0.0617223,0.0030794,0.906042,0.0182479,-0.00120979,0.00142264
80,276.339,0.0699611,0.00304959,0.911327,0.0182524,-0.00151225,0.00135385
81,279.072,0.0916967,0.0029717,0.91965,0.0182568,-0.00181471,0.00136383
82,276.734,0.0690102,0.00305368,0.912689,0.0182612,-0.00211718,0.00137712
83,281.098,0.102266,0.00293536,0.925814,0.0182657,-0.00241964,0.00157645
84,277.775,0.0791317,0.00301864,0.916011,0.0182701,-0.0027221,0.00162439
85,280.17,0.101065,0.00294035,0.923252,0.0182745,-0.00302457,0.00160984
86,279.851,0.0890169,0.00298339,0.922391,0.0182789,-0.00332703,0.00153033
87,281.612,0.0997222,0.00294536,0.927666,0.0182834,-0.00362949,0.00150506
88,277.055,0.0663408,0.00306583,0.91413,0.0182878,-0.00393196,0.00161495
89,279.695,0.0874211,0.00299044,0.922172,0.0182922,-0.00423442,0.0016605
90,280.585,0.0979382,0.00295294,0.924897,0.0182967,-0.00453688,0.00159094
91,283.134,0.120622,0.00287286,0.932454,0.0183011,0.00211756,0.00157021
92,284.946,0.132052,0.00283278,0.937758,0.0173885,0.00196633,0.00148219
93,287.475,0.143858,0.00279175,0.944968,0.0173732,0.00181511,0.00144678
94,288.092,0.15599,0.00274967,0.946792,0.0173578,0.00166389,0.00135632
95,290.471,0.168552,0.00270646,0.953378,0.0173425,0.00151266,0.00132209
96,288.753,0.154176,0.00275629,0.948836,0.0173271,0.00136144,0.00122577
97,289.778,0.166615,0.00271339,0.951756,0.0173118,0.00121022,0.00114064
98,291.311,0.183166,0.00265661,0.956001,0.0172964,0.00105899,0.0010656
99,290.803,0.182098,0.00266032,0.954756,0.0172811,0.000907772,0.000971406
100,294.285,0.225618,0.00251247,0.963941,0.0172658,0.000756548,0.00105977
101,293.59,0.224443,0.00251651,0.962301,0.0172504,0.000605325,0.000965406
102,296.739,0.271066,0.00235944,0.970216,0.0172351,0.000454102,0.000986575
103,297.972,0.294957,0.0022793,0.973262,0.0172197,0.000302879,0.000863301
104,299.445,0.293725,0.00228346,0.976773,0.0172044,0.000151655,0.00072384
105,301.043,0.345465,0.00211164,0.980439,0.017189,4.3195e-07,0.000720594
106,299.425,0.291462,0.00229205,0.977035,0.0171737,-0.000150791,0.000723455
107,298.491,0.290154,0.00229647,0.975066,0.0171584,-0.000302015,0.000565446
108,296.947,0.263633,0.00238583,0.971573,0.017143,-0.000453238,0.000525196
109,294.464,0.21485,0.00255154,0.965573,0.0171277,-0.000604461,0.000612089
110,296.177,0.236818,0.00247739,0.96998,0.0171123,-0.000755684,0.000584682
111,296.311,0.235365,0.00248233,0.970445,0.017097,-0.000906908,0.000461144
112,297.568,0.258288,0.00240532,0.97363,0.0170816,-0.00105813,0.000405513
113,297.175,0.256769,0.00241047,0.972839,0.0170663,-0.00120935,0.00026063
114,296.134,0.230918,0.00249779,0.970422,0.017051,-0.00136058,0.000177441
115,301.418,0.334352,0.00215466,0.982873,0.0170356,-0.0015118,0.000932972
116,301.88,0.332919,0.00215945,0.984036,0.0170203,-0.00166302,0.000777258
117,303.719,0.360381,0.00206907,0.988043,0.0170049,-0.00181425,0.000754656
118,302.726,0.359026,0.00207359,0.986164,0.0169896,-0.00196547,0.000592323
119,300.421,0.300763,0.00226757,0.981313,0.0169742,-0.00211669,0.00067683
120,299.083,0.272071,0.00236354,0.97839,0.0169589,-0.00226792,0.000575342
121,300.592,0.300018,0.00227161,0.982304,0.0169436,0.154889,0.000541647
122,298.831,0.273248,0.00236222,0.978719,0.0169282,0.157317,0.000433331
123,299.478,0.301639,0.0022685,0.980683,0.0169129,0.159744,0.000320057
124,300.602,0.302457,0.00226683,0.983716,0.0168975,0.162172,0.000153642
125,297.009,0.248247,0.00245042,0.975742,0.0168822,0.164599,0.000300772
126,297.979,0.275783,0.00235917,0.978579,0.0168668,0.167027,0.000186705
127,297.504,0.24894,0.00245053,0.977926,0.0168515,0.169455,5.74788e-05
128,296.368,0.223277,0.00253832,0.975612,0.0168362,0.171882,-5.94479e-05
129,296.126,0.223384,0.0025392,0.97551,0.0168208,0.17431,-0.000202371
