tau,s_tmp,cash,delta,pv,r,q,PL
0,297.22,0.716174,0.000958964,1.0012,,,5.55E-17
1,294.98,0.666732,0.0011267,0.999089,0.0179022,0,-4.08E-06
2,295.856,0.694805,0.00103192,1.00021,0.0179066,0,-0.000110388
3,294.573,0.670124,0.00111582,0.999043,0.0179111,0,-0.000228395
4,295.735,0.698159,0.00102113,1.00048,0.0179155,0,-0.000332314
5,291.233,0.61637,0.00130209,0.995467,0.0179199,0,0.000113614
6,294.476,0.676147,0.0010992,0.999531,0.0179244,0,0.000302761
7,293.163,0.649904,0.00118883,0.998253,0.0179288,0,0.000170718
8,297.255,0.730893,0.000916476,1.00269,0.0179332,0,0.000632346
9,292.396,0.65467,0.00117729,0.997761,0.0179377,0,0.00114197
10,292.806,0.656413,0.00117144,0.998467,0.0179421,0,0.000951638
11,291.625,0.628517,0.00126721,0.997243,0.0179465,0,0.000823927
12,295.366,0.714399,0.000976548,1.00162,0.017951,0,0.00121798
13,293.48,0.662471,0.00115361,0.999831,0.0179554,0,0.001201
14,294.869,0.692166,0.00105301,1.0015,0.0179598,0,0.00116418
15,292.753,0.666305,0.00114147,0.999441,0.0179643,0,0.00103219
16,293.219,0.66814,0.00113532,1.00015,0.0179687,0,0.00088314
17,294.589,0.697723,0.00103501,1.00181,0.0179731,0,0.000818633
18,297.611,0.749599,0.000860817,1.00479,0.0179776,0,0.00100105
19,300.339,0.794469,0.000711544,1.00706,0.017982,0,0.00110892
20,295.303,0.730039,0.000929858,1.00309,0.0179864,0,0.00154353
21,294.32,0.706339,0.0010105,1.00233,0.0179909,0,0.0014246
22,291.554,0.651791,0.00119772,0.99951,0.0179953,0,0.00148078
23,288.394,0.612582,0.00133379,0.995742,0.0179997,0,0.00149629
24,293.325,0.685735,0.0010845,1.00189,0.0180042,0,0.00195765
25,292.608,0.687663,0.00107802,1.00134,0.0180086,0,0.00176634
26,290.276,0.637412,0.00125126,0.998827,0.018013,0,0.00179405
27,288.736,0.622064,0.00130452,0.997116,0.0180175,0,0.0016104
28,286.501,0.606614,0.00135889,0.994486,0.0180219,0.0933255,0.00145037
29,285.794,0.589931,0.00141774,0.993867,0.0180263,0.0999914,0.001245
30,285.977,0.593426,0.00140604,0.99449,0.0180307,0.106657,0.00102892
31,277.69,0.478872,0.0018191,0.981741,0.0180352,0.113323,0.00227734
32,277.644,0.482207,0.00180777,0.982139,0.0180396,0.119989,0.00198495
33,276.335,0.457957,0.00189624,0.980211,0.018044,0.126655,0.00174432
34,276.605,0.461462,0.00188435,0.981235,0.0180485,0.133321,0.00144647
35,278.535,0.491923,0.00177508,0.98503,0.0180529,0.00388886,0.00131635
36,279.104,0.521181,0.00167036,0.986328,0.0180573,0.00277777,0.00105627
37,279.382,0.523604,0.00166179,0.987119,0.0180618,0.00166668,0.00075771
38,278.727,0.526073,0.00165302,0.986318,0.0180662,0.000555594,0.000496715
39,277.761,0.501596,0.00174124,0.984988,0.0180706,-0.000555494,0.000255217
40,272.855,0.437051,0.00197787,0.976034,0.0180751,-0.00166658,0.00068996
41,269.029,0.385523,0.00216947,0.968461,0.0180795,-0.00277767,0.00071267
42,271.56,0.42501,0.00202411,0.974171,0.0180839,-0.00388876,0.000506907
43,276.146,0.485713,0.00180438,0.983435,0.0180884,0.00198468,0.00054962
44,273.294,0.44956,0.00193676,0.978416,0.0180928,0.00119107,0.000448457
45,275.002,0.472089,0.00185492,0.982041,0.0180972,0.000397466,0.000153582
46,272.203,0.434931,0.00199151,0.976908,0.0181017,-0.000396141,0.000117881
47,272.97,0.455061,0.00191784,0.978639,0.0181061,-0.00118975,-6.57E-05
48,272.979,0.455821,0.00191512,0.978887,0.0181105,-0.00198335,-0.000276637
49,275.902,0.498265,0.00176136,0.984571,0.018115,-0.00277696,-0.000343983
50,277.259,0.525533,0.00166311,0.987169,0.0181194,0.0024998,-0.000524487
51,279.136,0.551975,0.00156848,0.990481,0.0181238,0.00194425,-0.00068639
52,276.921,0.501186,0.00175199,0.987042,0.0181283,0.00138871,-0.000691901
53,275.579,0.479259,0.00183166,0.984903,0.0181327,0.000833159,-0.00087866
54,278.541,0.529851,0.00165011,0.99018,0.0181371,0.000277612,-0.000705523
55,279.091,0.556422,0.001555,0.991279,0.0181416,-0.000277935,-0.000870691
56,276.863,0.505321,0.00173967,0.98784,0.018146,-0.000833482,-0.000870177
57,276.345,0.506186,0.00173662,0.987183,0.0181504,-0.00138903,-0.00109041
58,285.791,0.655211,0.00121525,1.00111,0.0181548,-0.00194458,0.00141031
59,286.581,0.677183,0.00113869,1.00223,0.0181593,-0.00250012,0.00128114
60,284.553,0.635815,0.0012842,0.999992,0.0181637,0.00453701,0.0012451
61,281.407,0.59035,0.00144589,0.996021,0.0181681,0.00423455,0.00121185
