PX, uold, uold- volp,조기상환형 vega(%)
215.484,0.739232,0.732726,-6.51E-03
216.971,0.745447,0.738711,-6.74E-03
218.457,0.751618,0.744657,-6.96E-03
219.943,0.757743,0.750563,-7.18E-03
221.429,0.763822,0.756428,-7.39E-03
222.915,0.769853,0.762251,-7.60E-03
224.401,0.775836,0.768033,-7.80E-03
225.887,0.781769,0.773771,-8.00E-03
227.373,0.787653,0.779465,-8.19E-03
228.859,0.793485,0.785115,-8.37E-03
230.345,0.799267,0.790721,-8.55E-03
231.832,0.804997,0.796281,-8.72E-03
233.318,0.810664,0.801787,-8.88E-03
234.804,0.816269,0.807238,-9.03E-03
236.29,0.82181,0.812635,-9.18E-03
237.776,0.827288,0.817977,-9.31E-03
239.262,0.832703,0.823263,-9.44E-03
240.748,0.838053,0.828494,-9.56E-03
242.234,0.84334,0.833669,-9.67E-03
243.72,0.848562,0.838788,-9.77E-03
245.206,0.85372,0.843851,-9.87E-03
246.693,0.858814,0.848858,-9.96E-03
248.179,0.863844,0.85381,-1.00E-02
249.665,0.86881,0.858705,-1.01E-02
251.151,0.873711,0.863545,-1.02E-02
252.637,0.878549,0.868329,-1.02E-02
254.123,0.883323,0.873058,-1.03E-02
255.609,0.888036,0.877733,-1.03E-02
257.095,0.892685,0.882353,-1.03E-02
258.581,0.897274,0.886919,-1.04E-02
260.067,0.901802,0.891432,-1.04E-02
261.554,0.906269,0.895892,-1.04E-02
263.04,0.91066,0.900285,-1.04E-02
264.526,0.914975,0.904611,-1.04E-02
266.012,0.919216,0.908871,-1.03E-02
267.498,0.923383,0.913067,-1.03E-02
268.984,0.927478,0.9172,-1.03E-02
270.47,0.931503,0.921269,-1.02E-02
271.956,0.935459,0.925278,-1.02E-02
273.442,0.939347,0.929226,-1.01E-02
274.928,0.943169,0.933115,-1.01E-02
276.415,0.946927,0.936946,-9.98E-03
277.901,0.950563,0.94067,-9.89E-03
279.387,0.954081,0.944288,-9.79E-03
280.873,0.957483,0.947805,-9.68E-03
282.359,0.960775,0.951222,-9.55E-03
283.845,0.96396,0.954544,-9.42E-03
285.331,0.967041,0.957771,-9.27E-03
286.817,0.970023,0.960908,-9.11E-03
288.303,0.972909,0.963957,-8.95E-03
289.789,0.975703,0.966922,-8.78E-03
291.276,0.978409,0.969805,-8.60E-03
292.762,0.980956,0.972543,-8.41E-03
294.248,0.983353,0.975144,-8.21E-03
295.734,0.985606,0.977612,-7.99E-03
297.22,0.987724,0.979952,-7.77E-03
298.706,0.989712,0.982171,-7.54E-03
300.192,0.991579,0.984274,-7.31E-03
301.678,0.993329,0.986265,-7.06E-03
303.164,0.99497,0.988149,-6.82E-03
304.65,0.996508,0.989931,-6.58E-03
306.137,0.997948,0.991616,-6.33E-03
307.623,0.999277,0.99319,-6.09E-03
309.109,1.0005,0.994658,-5.84E-03
310.595,1.00163,0.996026,-5.60E-03
312.081,1.00266,0.997296,-5.36E-03
313.567,1.00361,0.998475,-5.13E-03
315.053,1.00447,0.999567,-4.90E-03
316.539,1.00525,1.00057,-4.68E-03
318.025,1.00597,1.0015,-4.47E-03
319.512,1.00661,1.00235,-4.26E-03
320.998,1.00721,1.00315,-4.06E-03
322.484,1.00776,1.0039,-3.86E-03
323.97,1.00827,1.0046,-3.67E-03
325.456,1.00874,1.00525,-3.49E-03
326.942,1.00917,1.00586,-3.31E-03
328.428,1.00957,1.00642,-3.15E-03
329.914,1.00993,1.00695,-2.98E-03
331.4,1.01026,1.00744,-2.82E-03
332.886,1.01057,1.00789,-2.68E-03
334.373,1.01084,1.0083,-2.54E-03
335.859,1.0111,1.00869,-2.41E-03
337.345,1.01134,1.00906,-2.28E-03
338.831,1.01156,1.0094,-2.16E-03
340.317,1.01176,1.00972,-2.04E-03
341.803,1.01194,1.01002,-1.92E-03
343.289,1.01211,1.01029,-1.82E-03
344.775,1.01227,1.01055,-1.72E-03
346.261,1.01242,1.01079,-1.63E-03
347.747,1.01255,1.01102,-1.53E-03
349.234,1.01267,1.01122,-1.45E-03
350.72,1.01278,1.01142,-1.36E-03
352.206,1.01288,1.0116,-1.28E-03
353.692,1.01298,1.01176,-1.22E-03
355.178,1.01306,1.01192,-1.14E-03
356.664,1.01314,1.01206,-1.08E-03
358.15,1.01322,1.0122,-1.02E-03
359.636,1.01328,1.01232,-9.60E-04
361.122,1.01334,1.01244,-9.00E-04
362.608,1.0134,1.01254,-8.60E-04
364.095,1.01345,1.01264,-8.10E-04
365.581,1.01349,1.01273,-7.60E-04
367.067,1.01354,1.01282,-7.20E-04
368.553,1.01358,1.0129,-6.80E-04
370.039,1.01361,1.01297,-6.40E-04
371.525,1.01365,1.01304,-6.10E-04
373.011,1.01368,1.0131,-5.80E-04
374.497,1.01371,1.01316,-5.50E-04
375.983,1.01373,1.01322,-5.10E-04
377.469,1.01376,1.01327,-4.90E-04
378.956,1.01378,1.01332,-4.60E-04
380.442,1.0138,1.01337,-4.30E-04
381.928,1.01382,1.01341,-4.10E-04
383.414,1.01383,1.01345,-3.80E-04
384.9,1.01385,1.01349,-3.60E-04
386.386,1.01387,1.01352,-3.50E-04
387.872,1.01388,1.01355,-3.30E-04
389.358,1.01389,1.01359,-3.00E-04
390.844,1.01391,1.01361,-3.00E-04
392.33,1.01392,1.01364,-2.80E-04
393.817,1.01393,1.01367,-2.60E-04
395.303,1.01394,1.01369,-2.50E-04
396.789,1.01395,1.01372,-2.30E-04
398.275,1.01396,1.01374,-2.20E-04
399.761,1.01396,1.01376,-2.00E-04
401.247,1.01397,1.01378,-1.90E-04
402.733,1.01398,1.01379,-1.90E-04
404.219,1.01398,1.01381,-1.70E-04
405.705,1.01399,1.01383,-1.60E-04
407.191,1.014,1.01384,-1.60E-04
408.678,1.014,1.01385,-1.50E-04
410.164,1.01401,1.01387,-1.40E-04
