tau,s_tmp,cash,delta,pv,r,q,PL
0,297.22,0.728055,0.000919551,1.00136,,,0
1,294.98,0.681665,0.00107694,0.999343,0.0179022,0,-3.58095e-06
2,295.856,0.707924,0.000988292,1.00042,0.0179066,0,-0.00010332
3,294.573,0.684755,0.00106706,0.999297,0.0179111,0,-0.000213795
4,295.735,0.710988,0.000978473,1.00067,0.0179155,0,-0.000311331
5,291.233,0.634396,0.00124159,0.99588,0.0179199,0,0.000106902
6,294.476,0.690267,0.00105196,0.999761,0.0179244,0,0.000283364
7,293.163,0.665651,0.00113604,0.998537,0.0179288,0,0.000159826
8,297.255,0.741561,0.000880783,1.00279,0.0179332,0,0.000591906
9,292.396,0.670023,0.00112557,0.998064,0.0179377,0,0.00107077
10,292.806,0.671609,0.00112026,0.998737,0.0179421,0,0.000892613
11,291.625,0.645464,0.00121003,0.997566,0.0179465,0,0.000773247
12,295.366,0.725896,0.000937824,1.00176,0.017951,0,0.0011417
13,293.48,0.677145,0.00110406,1.00004,0.0179554,0,0.00112602
14,294.869,0.704938,0.00100992,1.00164,0.0179598,0,0.00109129
15,292.753,0.680645,0.00109302,0.999662,0.0179643,0,0.000967695
16,293.219,0.682319,0.00108742,1.00034,0.0179687,0,0.000827953
17,294.589,0.710022,0.000993497,1.00193,0.0179731,0,0.000767258
18,297.611,0.75876,0.000829851,1.00479,0.0179776,0,0.000938365
19,300.339,0.801056,0.000689148,1.00699,0.017982,0,0.00103978
20,295.303,0.740266,0.00089514,1.00315,0.0179864,0,0.00145034
21,294.32,0.71794,0.000971117,1.00242,0.0179909,0,0.00133867
22,291.554,0.666718,0.00114693,0.999717,0.0179953,0,0.00139177
23,288.394,0.629978,0.00127443,0.996111,0.0179997,0,0.00140673
24,293.325,0.698453,0.0010411,1.00199,0.0180042,0,0.00183807
25,292.608,0.700217,0.00103519,1.00146,0.0180086,0,0.00165851
26,290.276,0.653048,0.0011978,0.999056,0.018013,0,0.00168484
27,288.736,0.638638,0.00124782,0.997416,0.0180175,0,0.0015131
28,286.501,0.624151,0.00129882,0.994899,0.0180219,0.0933255,0.0013638
29,285.794,0.608526,0.00135395,0.994305,0.0180263,0.0999914,0.0011722
30,285.977,0.611735,0.00134323,0.994898,0.0180307,0.106657,0.000970477
31,277.69,0.505117,0.0017277,0.982749,0.0180352,0.113323,0.0021341
32,277.644,0.508147,0.00171745,0.983123,0.0180396,0.119989,0.00186298
33,276.335,0.485594,0.00179975,0.981288,0.018044,0.126655,0.00164013
34,276.605,0.488774,0.001789,0.982256,0.0180485,0.133321,0.00136403
35,278.535,0.516969,0.00168788,0.985859,0.0180529,0.00388886,0.00124297
