tau,s_tmp,cash,delta,pv,r_for,q,PL
0,293.98,73.8517,-0.238926,3.61234,,,0
1,295.097,68.3524,-0.220281,3.32699,0.0132822,0,0.0211626
2,294.637,73.1531,-0.236566,3.40298,0.0133058,0,0.0488802
3,295.646,67.6511,-0.217947,3.14899,0.0133293,0,0.06703
4,296.334,62.5104,-0.200591,2.97772,0.0133528,0,0.0907636
5,296.224,62.1703,-0.199435,2.97343,0.0133764,0,0.119327
6,298.113,57.3739,-0.183338,2.57578,0.0133999,0,0.142635
7,301.154,49.0624,-0.155732,2.03172,0.0134235,0,0.131212
8,300.282,52.5503,-0.167342,2.15056,0.013447,0,0.150065
9,300.686,48.4288,-0.153628,2.06374,0.0134706,0,0.171196
10,305.067,35.4888,-0.111206,1.43753,0.0134941,0,0.126127
11,308.513,28.0798,-0.0871862,1.06833,0.0135176,0,0.11346
12,307.494,31.2335,-0.0974389,1.14733,0.0135412,0,0.124317
13,306.336,34.6517,-0.108593,1.24746,0.0135647,0,0.138167
14,305.408,34.3874,-0.107724,1.32981,0.0135883,0,0.157898
15,302.797,42.3339,-0.133963,1.62814,0.0136118,0,0.142065
16,302.607,42.0312,-0.132958,1.63576,0.0136353,0,0.161501
17,303.073,41.7281,-0.131952,1.55576,0.0136589,0,0.181182
18,303.247,41.4248,-0.130947,1.51559,0.0136824,0,0.199917
19,306.169,32.9906,-0.103394,1.16912,0.013706,0,0.165335
20,307.195,29.1952,-0.0910354,1.05447,0.0137295,0,0.175127
21,310.088,22.7655,-0.0702967,0.808368,0.0137531,0,0.158958
22,309.596,22.5604,-0.0696316,0.832385,0.0137766,0,0.170404
23,308.752,25.258,-0.0783657,0.881615,0.0138001,0,0.180775
24,307.314,28.1835,-0.0878822,0.986317,0.0138237,0,0.189706
25,304.505,35.0731,-0.110504,1.24507,0.0138472,0,0.178955
26,309.571,21.6053,-0.0669954,0.783678,0.0138708,0,0.0818145
27,307.358,27.3073,-0.0855444,0.940345,0.0138943,0,0.0742074
28,306.644,27.071,-0.0847704,0.989117,0.0139179,0,0.0875727
29,305.395,30.1629,-0.0948911,1.09003,0.0139414,0,0.0935837
30,306.167,29.9084,-0.0940562,1.00255,0.0139649,0,0.108979
31,305.323,29.6556,-0.0932244,1.06652,0.0139885,0,0.125523
32,302.018,40.5264,-0.129215,1.41346,0.014012,0,0.087872
33,302.394,36.5579,-0.116086,1.34896,0.0140356,0,0.105224
34,304.607,32.3795,-0.102364,1.09001,0.0140591,0,0.10877
35,307.469,25.3245,-0.0794144,0.82288,0.0140826,0,0.0841076
36,309.692,19.4822,-0.0605464,0.655069,0.0141062,0,0.0763886
37,306.802,24.8041,-0.0778902,0.849289,0.0141297,0,0.0579221
38,302.893,34.9408,-0.111353,1.20373,0.0141533,0,0.00893885
39,301.914,38.2039,-0.122157,1.30011,0.0141768,0,0.0228557
40,301.264,37.9149,-0.121193,1.35861,0.0142004,0,0.0453258
41,301.915,37.6296,-0.120243,1.2647,0.0142239,0,0.0617001
42,304.613,30.0542,-0.0953693,0.966667,0.0142474,0,0.0368421
43,308.039,20.4189,-0.0640857,0.680402,0.014271,0,-0.00242135
44,313.084,13.3715,-0.0415738,0.397187,0.0142945,0,-0.041771
45,313.072,13.2112,-0.04106,0.389185,0.0143181,0,-0.0327082
46,313.672,13.0351,-0.040497,0.358156,0.0143416,0,-0.0258084
47,315.623,9.65559,-0.0297879,0.284521,0.0143652,0,-0.0306942
48,316.887,8.19859,-0.0251889,0.242818,0.0143887,0,-0.026238
49,315.135,10.8199,-0.0335059,0.288416,0.0144122,0,-0.0274017
50,314.443,10.6604,-0.0329973,0.304357,0.0144358,0,-0.0197157
51,313.14,12.1323,-0.0376963,0.343796,0.0144593,0,-0.0157411
52,313.107,11.9581,-0.0371386,0.338258,0.0144829,0,-0.00846133
53,314.953,10.1762,-0.0314794,0.270976,0.0145064,0,-0.00927805
54,313.306,11.6012,-0.0360262,0.318404,0.0145299,0,-0.00443846
55,315.788,8.47607,-0.0261285,0.236278,0.0145535,0,-0.0112916
56,310.644,14.9827,-0.0470732,0.410378,0.014577,0,-0.0506375
57,309.38,17.0443,-0.0537346,0.462097,0.0146006,0,-0.0422626
58,310.357,14.5637,-0.0457398,0.406838,0.0146241,0,-0.0388368
59,305.861,21.9211,-0.0697926,0.648705,0.0146477,0,-0.0744737
60,307.701,18.8142,-0.0596928,0.523971,0.0146712,0,-0.0772318
61,308.442,16.0783,-0.0508231,0.473807,0.0146947,0.0181544,-0.0714925
62,309.022,15.8294,-0.0500181,0.435368,0.0147183,0.01874,-0.0626771
63,310.465,13.4272,-0.0422812,0.36243,0.0147418,0.0193257,-0.0621044
64,308.671,15.3172,-0.0484048,0.432593,0.0147654,0.0199113,-0.0565849
65,309.534,12.9697,-0.0408216,0.38516,0.0147889,0.0204969,-0.0511534
66,309.841,12.7441,-0.0400942,0.363247,0.0148125,0.0210825,-0.0419507
67,307.99,14.5581,-0.0459847,0.438301,0.014836,0.0216682,-0.0430329
68,310.535,12.2793,-0.0386473,0.320028,0.0148595,0.0222538,-0.0420407
69,312.135,10.3078,-0.0323317,0.259128,0.0148831,0.0228394,-0.0432327
70,311.257,10.1088,-0.0316934,0.279989,0.0149066,0.023425,-0.0359356
71,309.79,11.6006,-0.0365095,0.324308,0.0149302,0.0240107,-0.0340027
72,313.104,8.24246,-0.0257851,0.212638,0.0149537,0.0245963,-0.043626
73,314.889,6.82423,-0.0212819,0.166851,0.0149772,0.0251819,-0.0440664
74,313.401,7.88578,-0.0246698,0.194469,0.0150008,0.0257675,-0.0402132
75,314.411,6.5033,-0.0202735,0.166706,0.0150243,0.0263532,-0.0376069
76,312.922,7.53793,-0.0235804,0.194542,0.0150479,0.0269388,-0.0354565
77,314.008,6.17675,-0.0192464,0.164698,0.0150714,0.0275244,-0.0314686
78,314.234,6.01089,-0.0187192,0.154409,0.015095,0.02811,-0.02574
79,314.381,5.84624,-0.0181962,0.146042,0.0151185,0.0286957,-0.0203365
80,312.804,6.78555,-0.0211997,0.172297,0.015142,0.0292813,-0.018106
81,312.163,7.86131,-0.0246467,0.180642,0.0151656,0.0298669,-0.0131269
82,312.112,7.65554,-0.0239884,0.175408,0.0151891,0.0304525,-0.00695573
83,313.349,6.23525,-0.0194568,0.143807,0.0152127,0.0310382,-0.00533616
84,312.213,7.24265,-0.0226844,0.160921,0.0152362,0.0316238,-0.000612891
85,309.956,8.39434,-0.026401,0.207739,0.0152598,0.0322094,0.0034458
86,310.754,8.16835,-0.025675,0.180828,0.0152833,0.032795,0.00889464
87,310.972,6.64047,-0.020763,0.169212,0.0153068,0.0333807,0.0145389
88,309.023,9.20277,-0.0290557,0.210702,0.0153304,0.0339663,0.0131899
89,310.735,7.48369,-0.0235249,0.161579,0.0153539,0.0345519,0.0121133
90,310.664,7.26384,-0.0228184,0.156724,0.0153775,0.0351375,0.018238
91,309.318,8.44915,-0.0266517,0.180938,0.015401,0.0357232,0.0243694
92,305.374,11.6769,-0.0372206,0.295047,0.0140272,0.00204237,0.0156323
93,305.581,11.4074,-0.0363373,0.277571,0.0140206,0.00189108,0.0258215
94,305.107,11.1393,-0.0354575,0.286909,0.014014,0.0017398,0.0340851
95,306.029,10.8716,-0.0345815,0.244658,0.0140074,0.00158851,0.0440228
96,305.795,10.6053,-0.0337095,0.243486,0.0140008,0.00143722,0.0536494
97,307.727,8.6027,-0.0272005,0.180258,0.0139942,0.00128594,0.0521404
98,309.661,5.70443,-0.01784,0.131506,0.0139876,0.00113465,0.0485854
99,313.526,3.68505,-0.0113985,0.0711234,0.013981,0.000983363,0.0402138
100,315.04,2.87804,-0.0088364,0.0539333,0.0139745,0.000832077,0.0402852
101,314.593,2.76821,-0.00848695,0.0546637,0.0139679,0.00068079,0.0436107
102,320.707,1.11663,-0.00333683,0.0200906,0.0139613,0.000529503,0.0263905
103,321.505,0.856139,-0.00252649,0.0166663,0.0139547,0.000378217,0.0271948
104,320.32,1.01147,-0.00301131,0.018897,0.0139481,0.00022693,0.0279911
105,321.49,0.771582,-0.00226502,0.0147178,0.0139415,7.56433e-05,0.0286835
106,323.043,0.585123,-0.00168773,0.0106432,0.0139349,-7.56433e-05,0.0292699
107,321.622,0.692294,-0.00202088,0.0126016,0.0139283,-0.00022693,0.0297331
108,324.732,0.415482,-0.00116836,0.00691829,0.0139217,-0.000378217,0.0291595
109,325.535,0.391576,-0.00109488,0.00561781,0.0139152,-0.000529503,0.0295373
110,322.867,0.46343,-0.00131738,0.00826677,0.0139086,-0.00068079,0.0298257
111,323.658,0.436453,-0.00123397,0.00666086,0.013902,-0.000832077,0.030408
112,327.175,0.204874,-0.000526102,0.00330813,0.0138954,-0.000983363,0.0294383
113,326.36,0.241729,-0.000639005,0.00348795,0.0138888,-0.00113465,0.0296954
114,320.999,0.574224,-0.00167478,0.00849629,0.0138822,-0.00128594,0.0281228
115,323.478,0.335159,-0.000935664,0.00498213,0.0138756,-0.00143722,0.0275103
116,323.867,0.31379,-0.00086964,0.0042859,0.013869,-0.00158851,0.0278561
117,324.923,0.23148,-0.000616277,0.003204,0.0138624,-0.0017398,0.0280331
118,326.069,0.17117,-0.000431286,0.00236225,0.0138558,-0.00189108,0.0281784
119,328.843,0.102033,-0.000221022,0.00126562,0.0138493,-0.00204237,0.028086
