tau,s_tmp,cash,delta,pv,r,q,PL
457,168.223,-0.0457808,0.00344337,0.544511,0.0146951,0.000676959,-0.011037
458,169.657,-0.0488914,0.0034617,0.549442,0.0146885,0.000592491,-0.0110315
459,168.322,-0.0452305,0.00343995,0.544807,0.0146819,0.000508022,-0.011019
460,167.73,-0.0449518,0.00343828,0.542747,0.0146753,0.000423554,-0.0109968
461,164.09,-0.0367274,0.00338815,0.530303,0.0146688,0.000339085,-0.0110691
462,167.225,-0.0445685,0.00343503,0.540975,0.0146622,0.000254617,-0.01112
463,166.188,-0.0414531,0.00341628,0.537407,0.0146556,0.000170148,-0.0111163
464,165.627,-0.0386512,0.00339935,0.535477,0.014649,8.56799e-05,-0.0111043
465,168.842,-0.0469889,0.00344872,0.546463,0.0146425,1.21144e-06,-0.0111623
466,167.156,-0.0409049,0.00341231,0.540658,0.0146359,-8.32571e-05,-0.0111741
467,166.297,-0.0406954,0.00341104,0.537703,0.0146293,-0.000167726,-0.0111527
468,167.719,-0.0432072,0.00342601,0.542542,0.0146227,-0.000252194,-0.0111431
469,168.868,-0.0459194,0.00344205,0.546463,0.0146162,-0.000336663,-0.0111294
470,173.746,-0.0564623,0.00350272,0.563343,0.0146096,-0.000421131,-0.0112216
471,174.974,-0.0603829,0.00352511,0.567621,0.014603,-0.0005056,-0.0112021
472,178.55,-0.0701289,0.00357967,0.580275,0.0145964,-0.000590068,-0.0112535
473,176.098,-0.0595628,0.00351965,0.571515,0.0145899,-0.000674537,-0.0112744
474,175.028,-0.0591034,0.003517,0.56771,0.0145833,-0.000759005,-0.0112397
475,173.595,-0.0546142,0.00349112,0.562665,0.0145767,-0.000843474,-0.011238
476,174.092,-0.0542403,0.00348895,0.564369,0.0145701,-0.000927942,-0.0112107
477,173.529,-0.0538765,0.00348683,0.562377,0.0145636,-0.00101241,-0.011187
478,173.744,-0.0535209,0.00348476,0.563096,0.014557,-0.00109688,-0.0111597
479,169.089,-0.043871,0.00342767,0.547003,0.0145504,-0.00118135,-0.0112927
480,170.368,-0.0464958,0.00344305,0.551369,0.0145438,-0.00126582,-0.0112785
481,170.832,-0.046434,0.00344446,0.553246,0.0145373,0.188875,-0.0112548
482,167.471,-0.0410533,0.00341411,0.542015,0.0145307,0.18958,-0.0113028
483,169.65,-0.0436122,0.00343097,0.549751,0.0145241,0.190285,-0.0112994
484,168.859,-0.0435762,0.00343254,0.547323,0.0145175,0.190989,-0.0112844
485,168.481,-0.0409935,0.003419,0.546314,0.014511,0.191694,-0.01127
486,166.864,-0.0386184,0.00340656,0.541072,0.0145044,0.192399,-0.0112579
487,163.558,-0.03441,0.00338263,0.530124,0.0144978,0.193104,-0.0112782
488,165.305,-0.0364627,0.00339683,0.536331,0.0144912,0.193809,-0.0112807
489,163.533,-0.0344276,0.00338619,0.5306,0.0144847,0.194514,-0.0112742
490,164.717,-0.0364732,0.00340041,0.534901,0.0144781,0.195219,-0.0112689
491,161.649,-0.0325723,0.0033781,0.524794,0.0144715,0.195923,-0.0113009
492,163.859,-0.0344949,0.00339164,0.532559,0.0144649,0.196628,-0.0113028
493,164.473,-0.0365397,0.0034059,0.534933,0.0144584,0.197333,-0.0112941
494,162.366,-0.0326235,0.00338362,0.528069,0.0144518,0.198038,-0.0113074
495,162.081,-0.0326285,0.00338549,0.527389,0.0144452,0.198743,-0.0112943
