numMC,PL,,
224,1.64205,1.31364,
225,-1.15031,-0.920248,
226,0.289141,0.2313128,
227,0.110995,0.088796,
228,0.800894,0.6407152,
229,-0.0603917,-0.04831336,
230,1.04122,0.832976,
231,2.26754,1.814032,
232,0.159777,0.1278216,
233,-0.410611,-0.3284888,
234,-0.328194,-0.2625552,
235,0.149684,0.1197472,
236,-0.479017,-0.3832136,
237,0.424113,0.3392904,
238,2.61115,2.08892,
239,1.06423,0.851384,
240,-0.476233,-0.3809864,
241,0.326547,0.2612376,
242,0.98701,0.789608,
243,-0.0385248,-0.03081984,
244,0.698305,0.558644,
245,0.890738,0.7125904,
246,0.661655,0.529324,
247,-0.219189,-0.1753512,
248,1.5741,1.25928,
249,0.731895,0.585516,
250,-0.311149,-0.2489192,
251,0.761956,0.6095648,
252,-0.169276,-0.1354208,
253,0.799561,0.6396488,
254,0.406383,0.3251064,
255,0.0147449,0.01179592,
256,0.3633,0.29064,
257,-0.214633,-0.1717064,
258,0.723449,0.5787592,
259,-0.680177,-0.5441416,
260,-0.124373,-0.0994984,
261,0.479176,0.3833408,
262,1.61279,1.290232,
263,-0.967615,-0.774092,
264,0.251708,0.2013664,
265,1.98133,1.585064,
266,-1.27881,-1.023048,
267,0.0788287,0.06306296,
268,0.498912,0.3991296,
269,-0.465506,-0.3724048,
270,1.17128,0.937024,
271,0.681157,0.5449256,
272,-0.185542,-0.1484336,
273,1.22647,0.981176,
274,-1.82278,-1.458224,
275,0.385705,0.308564,
276,1.40715,1.12572,
277,-0.825734,-0.6605872,
278,-1.06701,-0.853608,
279,0.262611,0.2100888,
280,-0.36682,-0.293456,
281,1.98738,1.589904,
282,2.37898,1.903184,
283,0.812573,0.6500584,
284,-0.15901,-0.127208,
285,-0.640166,-0.5121328,
286,-0.642144,-0.5137152,
287,1.0671,0.85368,
288,1.20398,0.963184,
289,0.539614,0.4316912,
290,0.749957,0.5999656,
291,0.0949538,0.07596304,
292,-1.20546,-0.964368,
293,0.989507,0.7916056,
294,1.24307,0.994456,
295,0.982431,0.7859448,
296,1.77105,1.41684,
297,2.1771,1.74168,
298,0.636117,0.5088936,
299,0.395309,0.3162472,
300,0.69045,0.55236,
301,0.390277,0.3122216,
302,-0.402074,-0.3216592,
303,1.58399,1.267192,
304,-0.280554,-0.2244432,
305,0.967025,0.77362,
306,1.07957,0.863656,
307,0.784877,0.6279016,
308,-2.78616,-2.228928,
309,0.554979,0.4439832,
310,1.10589,0.884712,
311,0.483519,0.3868152,
312,0.456692,0.3653536,
313,-1.08139,-0.865112,
314,-0.297843,-0.2382744,
315,-0.494438,-0.3955504,
316,1.7425,1.394,
317,0.943263,0.7546104,
318,0.702982,0.5623856,
319,-0.161783,-0.1294264,
320,-1.09126,-0.873008,
321,-1.02446,-0.819568,
322,1.50315,1.20252,
323,0.533089,0.4264712,
324,-0.170853,-0.1366824,
325,0.950581,0.7604648,
326,-0.558726,-0.4469808,
327,-3.46859,-2.774872,
328,-0.651481,-0.5211848,
329,0.635054,0.5080432,
330,-0.55742,-0.445936,
331,0.199615,0.159692,
332,0.470566,0.3764528,
333,0.95047,0.760376,
334,-0.537111,-0.4296888,
335,0.858354,0.6866832,
336,-0.390298,-0.3122384,
337,0.987529,0.7900232,
338,0.966492,0.7731936,
339,1.4546,1.16368,
340,0.130809,0.1046472,
341,0.40602,0.324816,
342,-1.09062,-0.872496,
343,-0.224236,-0.1793888,
344,0.913027,0.7304216,
345,-1.04009,-0.832072,
346,-0.348892,-0.2791136,
347,0.501523,0.4012184,
348,-0.177932,-0.1423456,
349,0.826866,0.6614928,
350,1.4409,1.15272,
351,-0.0967944,-0.07743552,
352,1.5046,1.20368,
353,-1.45643,-1.165144,
354,1.1771,0.94168,
355,2.79504,2.236032,
356,-0.890532,-0.7124256,
357,0.152834,0.1222672,
358,-0.948778,-0.7590224,
359,-2.35803,-1.886424,
360,-0.168579,-0.1348632,
361,0.588753,0.4710024,
362,1.08561,0.868488,
363,-0.0461132,-0.03689056,
364,-0.448071,-0.3584568,
365,0.282481,0.2259848,
366,0.713712,0.5709696,
367,-0.415835,-0.332668,
368,-0.111092,-0.0888736,
369,0.539864,0.4318912,
370,2.02765,1.62212,
371,0.277692,0.2221536,
372,1.5169,1.21352,
373,0.750503,0.6004024,
374,0.570996,0.4567968,
375,-0.750315,-0.600252,
376,0.913173,0.7305384,
377,-0.172587,-0.1380696,
378,0.421333,0.3370664,
379,1.17048,0.936384,
380,-0.0727425,-0.058194,
381,1.2209,0.97672,
382,-1.16616,-0.932928,
383,0.856234,0.6849872,
384,-0.92851,-0.742808,
385,1.50806,1.206448,
386,0.0010482,0.00083856,
387,1.82395,1.45916,
388,-1.03633,-0.829064,
389,1.82307,1.458456,
390,0.549706,0.4397648,
391,0.559217,0.4473736,
392,1.1204,0.89632,
393,1.54366,1.234928,
394,-0.111664,-0.0893312,
395,0.921735,0.737388,
396,0.0428713,0.03429704,
397,0.0675599,0.05404792,
