PX, vold
502.706,4.25833e-06
504.176,3.88875e-06
505.646,3.55152e-06
507.115,3.24378e-06
508.585,2.96293e-06
510.055,2.7066e-06
511.525,2.47263e-06
512.995,2.25906e-06
514.465,2.06408e-06
515.935,1.88606e-06
517.405,1.72352e-06
518.875,1.5751e-06
520.345,1.43956e-06
521.814,1.31576e-06
523.284,1.20269e-06
524.754,1.09941e-06
526.224,1.00505e-06
527.694,9.18839e-07
529.164,8.40066e-07
530.634,7.6808e-07
532.104,7.0229e-07
533.574,6.42154e-07
535.044,5.87181e-07
536.513,5.36919e-07
537.983,4.90959e-07
539.453,4.48925e-07
540.923,4.10475e-07
542.393,3.75296e-07
543.863,3.43103e-07
545.333,3.13635e-07
546.803,2.86653e-07
548.273,2.6194e-07
549.743,2.39296e-07
551.213,2.18539e-07
552.682,1.99501e-07
554.152,1.82031e-07
555.622,1.65989e-07
557.092,1.51245e-07
558.562,1.37682e-07
560.032,1.25192e-07
561.502,1.13676e-07
562.972,1.03042e-07
564.442,9.32059e-08
565.912,8.40901e-08
567.381,7.56226e-08
568.851,6.77366e-08
570.321,6.03705e-08
571.791,5.34665e-08
573.261,4.69709e-08
574.731,4.08334e-08
576.201,3.50064e-08
577.671,2.94452e-08
579.141,2.41074e-08
580.611,1.89525e-08
582.08,1.39416e-08
583.55,9.03736e-09
585.02,4.20336e-09
586.49,-5.95809e-10
587.96,-5.39497e-09
