PX, uold, uold-volup,조기상환형 베가
236.29,0.82181,0.812635,-0.92%
237.776,0.827288,0.817977,-0.93%
239.262,0.832703,0.823263,-0.94%
240.748,0.838053,0.828494,-0.96%
242.234,0.84334,0.833669,-0.97%
243.72,0.848562,0.838788,-0.98%
245.206,0.85372,0.843851,-0.99%
246.693,0.858814,0.848858,-1.00%
248.179,0.863844,0.85381,-1.00%
249.665,0.86881,0.858705,-1.01%
251.151,0.873711,0.863545,-1.02%
252.637,0.878549,0.868329,-1.02%
254.123,0.883323,0.873058,-1.03%
255.609,0.888036,0.877733,-1.03%
257.095,0.892685,0.882353,-1.03%
258.581,0.897274,0.886919,-1.04%
260.067,0.901802,0.891432,-1.04%
261.554,0.906269,0.895892,-1.04%
263.04,0.91066,0.900285,-1.04%
264.526,0.914975,0.904611,-1.04%
266.012,0.919216,0.908871,-1.03%
267.498,0.923383,0.913067,-1.03%
268.984,0.927478,0.9172,-1.03%
270.47,0.931503,0.921269,-1.02%
271.956,0.935459,0.925278,-1.02%
273.442,0.939347,0.929226,-1.01%
274.928,0.943169,0.933115,-1.01%
276.415,0.946927,0.936946,-1.00%
277.901,0.950563,0.94067,-0.99%
279.387,0.954081,0.944288,-0.98%
280.873,0.957483,0.947805,-0.97%
282.359,0.960775,0.951222,-0.96%
283.845,0.96396,0.954544,-0.94%
285.331,0.967041,0.957771,-0.93%
286.817,0.970023,0.960908,-0.91%
288.303,0.972909,0.963957,-0.90%
289.789,0.975703,0.966922,-0.88%
291.276,0.978409,0.969805,-0.86%
292.762,0.980956,0.972543,-0.84%
294.248,0.983353,0.975144,-0.82%
295.734,0.985606,0.977612,-0.80%
297.22,0.987724,0.979952,-0.78%
298.706,0.989712,0.982171,-0.75%
300.192,0.991579,0.984274,-0.73%
301.678,0.993329,0.986265,-0.71%
303.164,0.99497,0.988149,-0.68%
304.65,0.996508,0.989931,-0.66%
306.137,0.997948,0.991616,-0.63%
307.623,0.999277,0.99319,-0.61%
309.109,1.0005,0.994658,-0.58%
310.595,1.00163,0.996026,-0.56%
312.081,1.00266,0.997296,-0.54%
313.567,1.00361,0.998475,-0.51%
315.053,1.00447,0.999567,-0.49%
316.539,1.00525,1.00057,-0.47%
318.025,1.00597,1.0015,-0.45%
319.512,1.00661,1.00235,-0.43%
320.998,1.00721,1.00315,-0.41%
322.484,1.00776,1.0039,-0.39%
323.97,1.00827,1.0046,-0.37%
325.456,1.00874,1.00525,-0.35%
326.942,1.00917,1.00586,-0.33%
328.428,1.00957,1.00642,-0.31%
329.914,1.00993,1.00695,-0.30%
331.4,1.01026,1.00744,-0.28%
332.886,1.01057,1.00789,-0.27%
334.373,1.01084,1.0083,-0.25%
335.859,1.0111,1.00869,-0.24%
337.345,1.01134,1.00906,-0.23%
338.831,1.01156,1.0094,-0.22%
340.317,1.01176,1.00972,-0.20%
341.803,1.01194,1.01002,-0.19%
343.289,1.01211,1.01029,-0.18%
344.775,1.01227,1.01055,-0.17%
346.261,1.01242,1.01079,-0.16%
347.747,1.01255,1.01102,-0.15%
349.234,1.01267,1.01122,-0.14%
350.72,1.01278,1.01142,-0.14%
352.206,1.01288,1.0116,-0.13%
