,0.002739726,0.25,0.5,0.75,1,1.5,2,2.5,3,4,5,7,10,15,20
,1D,3M,6M,9M,1Y,1Y6M,2Y,2Y6M,3Y,4Y,5Y,7Y,10Y,15Y,20Y
KRW,1.34685288929507,1.44712052967197,1.41665694871262,1.40491465483229,1.39486109845964,1.37990940965959,1.36236765103659,1.36491944182127,1.36758239456573,1.36758239456573,1.36758239456573,1.36758239456573,1.36758239456573,1.36758239456573,1.36758239456573
