tau,s_tmp,cash,delta,pv,r,q,PL
0,293.98,0.506561,0.00160459,0.978279,,,0
1,292.657,0.483363,0.00168392,0.976288,0.0132822,0,-0.000114111
2,290.783,0.459341,0.00176659,0.973235,0.0133058,0,-0.000198987
3,290.078,0.434375,0.00185272,0.972152,0.0133293,0,-0.000344667
4,288.914,0.435187,0.00184996,0.970185,0.0133528,0,-0.000518593
5,289.315,0.436009,0.00184718,0.971141,0.0133764,0,-0.000716478
6,286.27,0.388623,0.00201276,0.965389,0.0133999,0,-0.000573288
7,289.067,0.43814,0.00184151,0.971065,0.0134235,0,-0.00060505
8,285.764,0.374078,0.00206574,0.964768,0.013447,0,-0.000374629
9,284.755,0.374863,0.00206304,0.962899,0.0134706,0,-0.00057586
10,285.196,0.375661,0.00206029,0.964028,0.0134941,0,-0.000781322
11,281.561,0.341676,0.00218104,0.956478,0.0135176,0,-0.000706123
12,284.205,0.360319,0.00211549,0.962382,0.0135412,0,-0.000831106
13,287.281,0.395516,0.00199302,0.968833,0.0135647,0,-0.000761486
14,290.487,0.471543,0.00173134,0.975014,0.0135883,0,-0.000537845
15,290.561,0.472472,0.00172821,0.975338,0.0136118,0,-0.000716929
16,293.355,0.522577,0.00155747,0.980201,0.0136353,0,-0.000732936
17,294.02,0.52352,0.00155433,0.981442,0.0136589,0,-0.000919424
18,296.124,0.547678,0.00147281,0.984753,0.0136824,0,-0.000939808
19,294.555,0.52556,0.00154797,0.982614,0.013706,0,-0.00109162
20,298.886,0.593628,0.0013203,0.988871,0.0137295,0,-0.000624466
21,297.868,0.594535,0.00131733,0.987697,0.0137531,0,-0.000771614
22,297.248,0.574253,0.00138564,0.98703,0.0137766,0,-0.000899697
23,294.724,0.553232,0.00145703,0.98359,0.0138001,0,-0.00093453
24,296.43,0.576252,0.00137945,0.98624,0.0138237,0,-0.00107832
25,295.105,0.555274,0.00145061,0.984516,0.0138472,0,-0.00116058
26,293.009,0.509671,0.00160632,0.981504,0.0138708,0,-0.001168
27,291.949,0.510704,0.00160285,0.979988,0.0138943,0,-0.00133496
28,292.575,0.511748,0.00159934,0.981199,0.0139179,0,-0.00152272
29,296.321,0.581547,0.00136386,0.986957,0.0139414,0,-0.00127045
30,297.232,0.582498,0.00136073,0.988381,0.0139649,0,-0.00142935
31,298.455,0.604381,0.00128749,0.990163,0.0139885,0,-0.00152548
32,297.602,0.584461,0.0013545,0.98921,0.014012,0,-0.00164678
33,299.699,0.626325,0.00121489,0.992048,0.0140356,0,-0.00162264
34,301.568,0.646385,0.00114845,0.994411,0.0140591,0,-0.00169081
35,302.527,0.668774,0.00107452,0.995638,0.0140826,0,-0.00179105
36,303.271,0.669553,0.00107204,0.996582,0.0141062,0,-0.0019103
37,303.974,0.694197,0.000991053,0.997459,0.0141297,0,-0.00200749
38,301.484,0.64984,0.00113827,0.994948,0.0141533,0,-0.00193676
39,300.288,0.631608,0.00119907,0.993719,0.0141768,0,-0.0020443
40,301.274,0.651378,0.00113353,0.995027,0.0142004,0,-0.00214578
41,300.582,0.633105,0.00119441,0.994381,0.0142239,0,-0.00225841
42,302.754,0.67446,0.00105789,0.996972,0.0142474,0,-0.00223046
43,305.083,0.722396,0.000900857,0.999432,0.014271,0,-0.00220067
44,307.118,0.745434,0.000825935,1.00138,0.0142945,0,-0.00228993
45,309.545,0.787247,0.000690951,1.00339,0.0143181,0,-0.00226153
46,307.552,0.747695,0.000819654,1.00201,0.0143416,0,-0.00222438
47,303.165,0.678809,0.00104697,0.998143,0.0143652,0,-0.00192868
48,303.211,0.679674,0.00104421,0.998332,0.0143887,0,-0.00204246
49,303.438,0.680547,0.00104142,0.998702,0.0144122,0,-0.00214821
50,299.457,0.640948,0.00117375,0.994456,0.0144358,0,-0.00202116
51,295.684,0.580863,0.00137704,0.989801,0.0144593,0,-0.00176928
52,292.135,0.537199,0.00152658,0.984802,0.0144829,0,-0.00163439
53,288.363,0.466456,0.00177198,0.978753,0.0145064,0,-0.00132236
54,288.79,0.466746,0.00177104,0.979666,0.0145299,0,-0.00146021
55,286.937,0.444742,0.00184779,0.97654,0.0145535,0,-0.0015981
56,285.672,0.424977,0.00191704,0.974359,0.014577,0,-0.001736
57,288.069,0.467836,0.00176832,0.978946,0.0146006,0,-0.00171166
58,286.236,0.445689,0.00184576,0.975777,0.0146241,0,-0.00176473
59,286.873,0.445889,0.00184513,0.977137,0.0146477,0,-0.00193093
60,290.748,0.518588,0.00159515,0.983996,0.0146712,0,-0.0016222
61,291.015,0.519231,0.00159309,0.984632,0.0146947,0.0181544,-0.00178834
62,292.088,0.543961,0.00150858,0.986497,0.0147183,0.01874,-0.00189886
63,294.849,0.591157,0.00134866,0.990708,0.0147418,0.0193257,-0.0018994
64,294.558,0.569234,0.00142324,0.990499,0.0147654,0.0199113,-0.00203698
65,291.4,0.522222,0.00158473,0.986037,0.0147889,0.0204969,-0.00202417
66,291.765,0.522884,0.00158263,0.986805,0.0148125,0.0210825,-0.00216502
67,287.66,0.473167,0.00175563,0.980202,0.014836,0.0216682,-0.00201079
68,286.358,0.450496,0.00183497,0.978054,0.0148595,0.0222538,-0.00209903
69,291.321,0.525894,0.00157634,0.986745,0.0148831,0.0228394,-0.00163122
70,286.778,0.452366,0.00183291,0.979264,0.0149066,0.023425,-0.00126116
71,288.152,0.476175,0.00175047,0.981947,0.0149302,0.0240107,-0.00137187
72,286.544,0.4531,0.00183118,0.979278,0.0149537,0.0245963,-0.00146494
73,283.212,0.411844,0.00197704,0.973102,0.0149772,0.0251819,-0.00133611
74,285.705,0.433105,0.00190283,0.978158,0.0150008,0.0257675,-0.00140606
75,282.663,0.391566,0.00204998,0.972449,0.0150243,0.0263532,-0.00142849
76,282.691,0.392,0.00204865,0.97275,0.0150479,0.0269388,-0.00161351
77,281.448,0.370914,0.00212379,0.97044,0.0150714,0.0275244,-0.00179056
78,285.658,0.435825,0.00189677,0.979019,0.015095,0.02811,-0.00136605
79,285.84,0.436418,0.00189491,0.979602,0.0151185,0.0286957,-0.00154292
80,284.486,0.437015,0.00189303,0.977284,0.015142,0.0292813,-0.00172999
81,281.479,0.373393,0.00211927,0.971513,0.0151656,0.0298669,-0.00158905
82,283.542,0.417469,0.00196406,0.975956,0.0151891,0.0304525,-0.00159429
83,285.958,0.460512,0.00181376,0.980812,0.0152127,0.0310382,-0.00163993
84,283.152,0.418974,0.00196069,0.975687,0.0152362,0.0316238,-0.00154078
85,284.384,0.419526,0.00195898,0.978353,0.0152598,0.0322094,-0.00172435
86,282.953,0.398171,0.00203469,0.975808,0.0152833,0.032795,-0.00191549
87,284.167,0.420733,0.00195554,0.978454,0.0153068,0.0333807,-0.00202171
88,282.11,0.399289,0.00203179,0.974645,0.0153304,0.0339663,-0.00216623
89,279.452,0.354962,0.00219067,0.969306,0.0153539,0.0345519,-0.00215679
90,278.293,0.332467,0.00227177,0.967006,0.0153775,0.0351375,-0.00232203
91,282.752,0.401616,0.00202748,0.976734,0.015401,0.0357232,-0.0018437
92,283.356,0.424113,0.00194815,0.97815,0.0140272,0.00204237,-0.00201641
93,286.155,0.468472,0.0017932,0.983657,0.0140206,0.00189108,-0.00205108
94,286.355,0.468786,0.00179218,0.984237,0.014014,0.0017398,-0.00225251
95,285.978,0.469093,0.00179117,0.983762,0.0140074,0.00158851,-0.00243314
96,285.494,0.447297,0.00186759,0.983093,0.0140008,0.00143722,-0.00261081
97,287.282,0.469826,0.00178923,0.986528,0.0139942,0.00128594,-0.00268705
98,288.126,0.496194,0.00169779,0.988217,0.0139876,0.00113465,-0.00284711
99,292.143,0.584038,0.00139717,0.994669,0.013981,0.000983363,-0.00245827
100,289.128,0.527764,0.00159188,0.990295,0.0139745,0.000832077,-0.00227365
101,289.678,0.528296,0.00159012,0.991402,0.0139679,0.00068079,-0.00248408
102,287.506,0.498837,0.00169266,0.988004,0.0139613,0.000529503,-0.00251874
103,286.15,0.472704,0.00178405,0.985819,0.0139547,0.000378217,-0.00260981
104,285.82,0.450032,0.00186343,0.985439,0.0139481,0.00022693,-0.00279941
105,285.701,0.450148,0.00186309,0.985443,0.0139415,7.56433e-05,-0.00300874
