tau,s_tmp,cash,delta,pv,r,q,PL
0,297.22,0.577136,0.00138143,0.987724,,,-5.55112e-17
1,294.98,0.524263,0.00156076,0.984659,0.0179022,0,-1.37892e-06
2,295.856,0.553243,0.0014629,0.986166,0.0179066,0,-0.000114855
3,294.573,0.526743,0.00155295,0.984439,0.0179111,0,-0.000237842
4,295.735,0.555722,0.00145505,0.98638,0.0179155,0,-0.000348978
5,291.233,0.470363,0.00174824,0.979385,0.0179199,0,0.000123486
6,294.476,0.531428,0.00154095,0.984887,0.0179244,0,0.000313303
7,293.163,0.503625,0.00163588,0.983026,0.0179288,0,0.000177086
8,297.255,0.588581,0.00135016,0.989268,0.0179332,0,0.00065457
9,292.396,0.507494,0.00162758,0.982187,0.0179377,0,0.00120343
10,292.806,0.508754,0.00162336,0.983076,0.0179421,0,0.0010067
11,291.625,0.479579,0.00172349,0.981314,0.0179465,0,0.000876781
12,295.366,0.568562,0.0014223,0.987383,0.017951,0,0.00127859
13,293.48,0.513381,0.00161042,0.984744,0.0179554,0,0.00126362
14,294.869,0.543841,0.00150721,0.987047,0.0179598,0,0.00122261
15,292.753,0.516246,0.00160156,0.984021,0.0179643,0,0.00108642
16,293.219,0.517592,0.00159706,0.984948,0.0179687,0,0.00093088
17,294.589,0.548005,0.0014939,0.987231,0.0179731,0,0.000861053
18,297.611,0.603174,0.00130862,0.991582,0.0179776,0,0.0010517
19,300.339,0.652675,0.0011439,0.995067,0.017982,0,0.00116699
20,295.303,0.580767,0.00138752,0.988846,0.0179864,0,0.00165892
21,294.32,0.55485,0.00147567,0.987636,0.0179909,0,0.00153355
22,291.554,0.497356,0.00167296,0.983519,0.0179953,0,0.00159662
23,288.394,0.456973,0.00181307,0.978236,0.0179997,0,0.00161708
24,293.325,0.531386,0.00155947,0.986735,0.0180042,0,0.00208109
25,292.608,0.532819,0.00155466,0.985843,0.0180086,0,0.00188121
26,290.276,0.480317,0.00173562,0.982211,0.018013,0,0.00191367
27,288.736,0.46427,0.00179128,0.979747,0.0180175,0,0.00172916
28,286.501,0.448334,0.00184744,0.976055,0.0180219,0.0933255,0.00157199
29,285.794,0.431365,0.00190739,0.975117,0.0180263,0.0999914,0.00137048
30,285.977,0.434259,0.00189791,0.975859,0.0180307,0.106657,0.00115758
31,277.69,0.324469,0.00229394,0.959106,0.0180352,0.113323,0.00236857
32,277.644,0.327064,0.00228541,0.959497,0.0180396,0.119989,0.00209685
