,0.002739726,0.25,0.5,0.75,1,1.5,2,2.5,3,4,5,7,10,15,20
,1D,3M,6M,9M,1Y,1Y6M,2Y,2Y6M,3Y,4Y,5Y,7Y,10Y,15Y,20Y
KRW,1.79,1.81,1.74,1.69,1.65,1.59,1.55,1.52,1.5,1.5,1.5,1.5,1.5,1.5,1.5
