PX, vold
514.191,1.01407
515.677,1.01407
517.163,1.01407
518.649,1.01407
520.135,1.01407
521.621,1.01407
523.107,1.01407
524.593,1.01407
526.079,1.01407
527.566,1.01407
529.052,1.01407
530.538,1.01407
532.024,1.01407
533.51,1.01407
534.996,1.01407
536.482,1.01407
537.968,1.01407
539.454,1.01407
540.94,1.01407
542.427,1.01407
543.913,1.01407
545.399,1.01407
546.885,1.01407
548.371,1.01407
549.857,1.01407
551.343,1.01407
552.829,1.01407
554.315,1.01407
555.801,1.01407
557.288,1.01407
558.774,1.01407
560.26,1.01407
561.746,1.01407
563.232,1.01407
564.718,1.01407
566.204,1.01407
567.69,1.01407
569.176,1.01407
570.662,1.01407
572.149,1.01407
573.635,1.01407
575.121,1.01407
576.607,1.01407
578.093,1.01407
579.579,1.01407
581.065,1.01407
582.551,1.01407
584.037,1.01407
585.523,1.01407
587.01,1.01407
588.496,1.01407
589.982,1.01407
591.468,1.01407
592.954,1.01407
594.44,1.01407
