PX, vold3
0,3.22659e-16
1.4861,0.00485332
2.9722,0.00970664
4.4583,0.01456
5.9444,0.0194133
7.4305,0.0242666
8.9166,0.0291199
10.4027,0.0339732
11.8888,0.0388266
13.3749,0.0436799
14.861,0.0485332
16.3471,0.0533865
17.8332,0.0582399
19.3193,0.0630932
20.8054,0.0679465
22.2915,0.0727998
23.7776,0.0776531
25.2637,0.0825065
26.7498,0.0873598
28.2359,0.0922131
29.722,0.0970664
31.2081,0.10192
32.6942,0.106773
34.1803,0.111626
35.6664,0.11648
37.1525,0.121333
38.6386,0.126186
40.1247,0.13104
41.6108,0.135893
43.0969,0.140746
44.583,0.1456
46.0691,0.150453
47.5552,0.155306
49.0413,0.16016
50.5274,0.165013
52.0135,0.169866
53.4996,0.17472
54.9857,0.179573
56.4718,0.184426
57.9579,0.18928
59.444,0.194133
60.9301,0.198986
62.4162,0.203839
63.9023,0.208693
65.3884,0.213546
66.8745,0.218399
68.3606,0.223253
69.8467,0.228106
71.3328,0.232959
72.8189,0.237813
74.305,0.242666
75.7911,0.247519
77.2772,0.252373
78.7633,0.257226
80.2494,0.262079
81.7355,0.266933
83.2216,0.271786
84.7077,0.276639
86.1938,0.281493
87.6799,0.286346
89.166,0.2912
90.6521,0.296053
92.1382,0.300907
93.6243,0.305761
95.1104,0.310614
96.5965,0.315468
98.0826,0.320322
99.5687,0.325177
101.055,0.330031
102.541,0.334886
104.027,0.339742
105.513,0.344597
106.999,0.349454
108.485,0.354311
109.971,0.359169
111.457,0.364028
112.944,0.368889
114.43,0.37375
115.916,0.378614
117.402,0.383479
118.888,0.388347
120.374,0.393217
121.86,0.39809
123.346,0.402967
124.832,0.407847
126.318,0.412732
127.805,0.417622
129.291,0.422517
130.777,0.427419
132.263,0.432327
133.749,0.437244
135.235,0.442168
136.721,0.447102
138.207,0.452047
139.693,0.457002
141.179,0.46197
142.666,0.466951
144.152,0.471947
145.638,0.476959
147.124,0.481987
148.61,0.487034
150.096,0.4921
151.582,0.497187
153.068,0.502297
154.554,0.50743
156.04,0.512588
157.527,0.517772
159.013,0.522985
160.499,0.528227
161.985,0.5335
163.471,0.538805
164.957,0.544144
166.443,0.549518
167.929,0.554929
169.415,0.560377
170.901,0.565865
172.388,0.571392
173.874,0.576962
175.36,0.582574
176.846,0.58823
178.332,0.59393
179.818,0.599677
181.304,0.605469
182.79,0.611309
184.276,0.617196
185.762,0.623132
187.249,0.629117
188.735,0.635153
190.221,0.641242
191.707,0.647384
193.193,0.653578
194.679,0.659824
196.165,0.666122
197.651,0.672472
199.137,0.678872
200.623,0.685322
202.11,0.691822
203.596,0.698374
205.082,0.704977
206.568,0.711629
208.054,0.71833
209.54,0.725076
211.026,0.731866
212.512,0.738698
213.998,0.745569
215.484,0.752477
216.971,0.75942
218.457,0.766397
219.943,0.773405
221.429,0.78044
222.915,0.787499
224.401,0.794578
225.887,0.801673
227.373,0.808779
228.859,0.815892
230.345,0.823007
231.832,0.83012
233.318,0.837225
234.804,0.844316
236.29,0.851389
237.776,0.858437
239.262,0.865456
240.748,0.872438
242.234,0.879379
243.72,0.886273
245.206,0.893114
246.693,0.899896
248.179,0.906607
249.665,0.913241
251.151,0.919791
252.637,0.926253
254.123,0.93262
255.609,0.938887
257.095,0.945049
258.581,0.951101
260.067,0.957039
261.554,0.962858
263.04,0.968543
264.526,0.974091
266.012,0.979499
267.498,0.984763
268.984,0.98988
270.47,0.99485
271.956,0.99967
273.442,1.00434
274.928,1.00886
276.415,1.01322
277.901,1.01742
279.387,1.02145
280.873,1.02532
282.359,1.02902
283.845,1.03256
285.331,1.03594
286.817,1.03917
288.303,1.04224
289.789,1.04516
291.276,1.04794
292.762,1.05057
294.248,1.05305
295.734,1.05538
297.22,1.05758
298.706,1.05965
300.192,1.06159
301.678,1.06341
303.164,1.06511
304.65,1.0667
306.137,1.06819
307.623,1.06957
309.109,1.07085
310.595,1.07204
312.081,1.07313
313.567,1.07415
315.053,1.07508
316.539,1.07594
318.025,1.07674
319.512,1.07746
320.998,1.07813
322.484,1.07874
323.97,1.07929
325.456,1.0798
326.942,1.08025
328.428,1.08067
329.914,1.08105
331.4,1.08139
332.886,1.0817
334.373,1.08197
335.859,1.08223
337.345,1.08245
338.831,1.08265
340.317,1.08283
341.803,1.08299
343.289,1.08314
344.775,1.08327
346.261,1.08338
347.747,1.08349
349.234,1.08358
350.72,1.08366
352.206,1.08373
353.692,1.08379
355.178,1.08385
356.664,1.0839
358.15,1.08394
359.636,1.08398
361.122,1.08401
362.608,1.08404
364.095,1.08407
365.581,1.08409
367.067,1.08411
368.553,1.08413
370.039,1.08414
371.525,1.08416
373.011,1.08417
374.497,1.08418
375.983,1.08419
377.469,1.08419
378.956,1.0842
380.442,1.08421
381.928,1.08421
383.414,1.08422
384.9,1.08422
386.386,1.08422
387.872,1.08423
389.358,1.08423
390.844,1.08423
392.33,1.08423
393.817,1.08423
395.303,1.08424
396.789,1.08424
398.275,1.08424
399.761,1.08424
401.247,1.08424
402.733,1.08424
404.219,1.08424
405.705,1.08424
407.191,1.08424
408.678,1.08424
410.164,1.08424
411.65,1.08424
413.136,1.08424
414.622,1.08424
