PX, uold1
0,5.37764e-17
1.4699,0.00467491
2.9398,0.00934981
4.4097,0.0140247
5.8796,0.0186996
7.3495,0.0233745
8.8194,0.0280494
10.2893,0.0327243
11.7592,0.0373992
13.2291,0.0420741
14.699,0.0467491
16.1689,0.051424
17.6388,0.0560989
19.1087,0.0607738
20.5786,0.0654487
22.0485,0.0701236
23.5184,0.0747985
24.9883,0.0794734
26.4582,0.0841483
27.9281,0.0888232
29.398,0.0934981
30.8679,0.098173
32.3378,0.102848
33.8077,0.107523
35.2776,0.112198
36.7475,0.116873
38.2174,0.121548
39.6873,0.126222
41.1572,0.130897
42.6271,0.135572
44.097,0.140247
45.5669,0.144922
47.0368,0.149597
48.5067,0.154272
49.9766,0.158947
51.4465,0.163623
52.9164,0.168298
54.3863,0.172973
55.8562,0.177649
57.3261,0.182324
58.796,0.187
60.2659,0.191676
61.7358,0.196353
63.2057,0.20103
64.6756,0.205707
66.1455,0.210386
67.6154,0.215064
69.0853,0.219744
70.5552,0.224425
72.0251,0.229106
73.495,0.233789
74.9649,0.238474
76.4348,0.24316
77.9047,0.247848
79.3746,0.252539
80.8445,0.257231
82.3144,0.261927
83.7843,0.266625
85.2542,0.271327
86.7241,0.276032
88.194,0.280742
89.6639,0.285456
91.1338,0.290174
92.6037,0.294898
94.0736,0.299627
95.5435,0.304362
97.0134,0.309103
98.4833,0.313852
99.9532,0.318607
101.423,0.323371
102.893,0.328142
104.363,0.332923
105.833,0.337712
107.303,0.342512
108.773,0.347321
110.242,0.352141
111.712,0.356972
113.182,0.361815
114.652,0.36667
116.122,0.371537
117.592,0.376417
119.062,0.381311
120.532,0.386218
122.002,0.39114
123.472,0.396076
124.941,0.401028
126.411,0.405995
127.881,0.410978
129.351,0.415976
130.821,0.420992
132.291,0.426024
133.761,0.431073
135.231,0.436139
136.701,0.441223
138.171,0.446324
139.64,0.451443
141.11,0.45658
142.58,0.461736
144.05,0.466909
145.52,0.472101
146.99,0.477311
148.46,0.48254
149.93,0.487786
151.4,0.493051
152.87,0.498335
154.339,0.503636
155.809,0.508956
157.279,0.514293
158.749,0.519649
160.219,0.525021
161.689,0.530412
163.159,0.535819
164.629,0.541243
166.099,0.546684
167.569,0.55214
169.038,0.557613
170.508,0.563102
171.978,0.568605
173.448,0.574124
174.918,0.579657
176.388,0.585204
177.858,0.592558
179.328,0.599921
180.798,0.607289
182.268,0.614659
183.737,0.62203
185.207,0.629398
186.677,0.636761
188.147,0.644116
189.617,0.651461
191.087,0.658792
