tau,s_tmp,cash,delta,pv,r,q,PL
369,252.163,0.247445,0.00284287,0.969548,0.0132565,0.00110208,-0.00523599
370,247.767,0.175049,0.00313511,0.956438,0.0132547,0.000979693,-0.00461262
371,250.289,0.200254,0.00303444,0.964456,0.013253,0.000857307,-0.00471576
372,253.21,0.249571,0.0028397,0.973169,0.0132512,0.00073492,-0.00455667
373,252.35,0.249849,0.00283864,0.970935,0.0132495,0.000612533,-0.00475414
374,249.252,0.201635,0.00303212,0.961942,0.0132478,0.000490147,-0.0045449
375,244.964,0.126331,0.00333956,0.948334,0.013246,0.00036776,-0.00393105
376,243.257,0.0760899,0.00354612,0.94268,0.0132443,0.000245373,-0.00397223
377,247.281,0.153312,0.00323384,0.9564,0.0132425,0.000122987,-0.00341981
378,246.261,0.153433,0.00323338,0.9533,0.0132408,6e-07,-0.00361281
379,247.839,0.179182,0.0031295,0.958607,0.0132391,-0.000121787,-0.00381219
380,248.705,0.179345,0.00312887,0.961547,0.0132373,-0.000244173,-0.00403602
381,246.224,0.153967,0.00323196,0.953828,0.0132356,-0.00036656,-0.00407454
382,243.422,0.102013,0.00344541,0.944561,0.0132338,-0.000488947,-0.00385834
383,250.071,0.207131,0.00302507,0.966376,0.0132321,-0.000611333,-0.0027623
384,250.37,0.207335,0.00302428,0.967479,0.0132304,-0.00073372,-0.00295563
385,253.6,0.281868,0.0027304,0.976999,0.0132286,-0.000856107,-0.00270134
386,256.653,0.329401,0.00254523,0.985382,0.0132269,-0.000978493,-0.00274002
387,254.437,0.282914,0.00272798,0.979731,0.0132251,-0.00110088,-0.00271922
388,253.918,0.283231,0.00272676,0.978516,0.0132234,-0.00122327,-0.00291147
389,255.811,0.307482,0.00263199,0.983827,0.0132217,-0.00134565,-0.00305397
390,257.027,0.331296,0.00253937,0.987179,0.0132199,-0.00146804,-0.0031965
391,254.091,0.284619,0.00272311,0.979628,0.0132182,-0.00159043,-0.00309243
392,256.37,0.309022,0.00262795,0.985897,0.0132164,-0.00171281,-0.0031482
393,258.235,0.35831,0.00243711,0.990827,0.0132147,-0.0018352,-0.00316889
394,256.369,0.310087,0.00262525,0.986311,0.013213,-0.00195759,-0.00319126
395,256.284,0.310441,0.0026239,0.9863,0.0132112,-0.00207997,-0.00339629
396,255.167,0.310793,0.00262255,0.983576,0.0132095,-0.00220236,-0.00359569
397,260.157,0.387865,0.00232634,0.996274,0.0132077,0.000433897,-0.00319452
398,263.15,0.440841,0.00212508,1.00313,0.013206,0.000325372,-0.00307533
