,0.002739726,0.25,0.5,0.75,1,1.5,2,2.5,3,4,5,7,10,15,20
KP200,1D,3M,6M,9M,1Y,1Y6M,2Y,2Y6M,3Y,4Y,5Y,7Y,10Y,15Y,20Y
43856,1.32704467011699,1.43327829055651,1.40321208344164,1.37561296980609,1.35809078605633,1.34221611084633,1.32040845378077,1.31250133137011,1.30520682673787,1.30520682673787,1.30520682673787,1.30520682673787,1.30520682673787,1.30520682673787,1.30520682673787
