PX, vold4
0,1.31839e-16
1.4861,0.00487802
2.9722,0.00975603
4.4583,0.0146341
5.9444,0.0195121
7.4305,0.0243901
8.9166,0.0292681
10.4027,0.0341461
11.8888,0.0390241
13.3749,0.0439022
14.861,0.0487802
16.3471,0.0536582
17.8332,0.0585362
19.3193,0.0634142
20.8054,0.0682922
22.2915,0.0731703
23.7776,0.0780483
25.2637,0.0829263
26.7498,0.0878043
28.2359,0.0926823
29.722,0.0975603
31.2081,0.102438
32.6942,0.107316
34.1803,0.112194
35.6664,0.117072
37.1525,0.12195
38.6386,0.126828
40.1247,0.131706
41.6108,0.136584
43.0969,0.141462
44.583,0.146341
46.0691,0.151219
47.5552,0.156097
49.0413,0.160975
50.5274,0.165853
52.0135,0.170731
53.4996,0.175609
54.9857,0.180487
56.4718,0.185365
57.9579,0.190243
59.444,0.195121
60.9301,0.199999
62.4162,0.204877
63.9023,0.209755
65.3884,0.214633
66.8745,0.219511
68.3606,0.224389
69.8467,0.229267
71.3328,0.234145
72.8189,0.239023
74.305,0.243901
75.7911,0.248779
77.2772,0.253657
78.7633,0.258535
80.2494,0.263413
81.7355,0.268291
83.2216,0.273169
84.7077,0.278047
86.1938,0.282925
87.6799,0.287803
89.166,0.292681
90.6521,0.297559
92.1382,0.302437
93.6243,0.307315
95.1104,0.312193
96.5965,0.317071
98.0826,0.321949
99.5687,0.326827
101.055,0.331705
102.541,0.336583
104.027,0.341461
105.513,0.346339
106.999,0.351217
108.485,0.356096
109.971,0.360974
111.457,0.365852
112.944,0.37073
114.43,0.375609
115.916,0.380487
117.402,0.385366
118.888,0.390245
120.374,0.395124
121.86,0.400003
123.346,0.404883
124.832,0.409763
126.318,0.414644
127.805,0.419525
129.291,0.424408
130.777,0.429291
132.263,0.434175
133.749,0.439062
135.235,0.443949
136.721,0.448839
138.207,0.453731
139.693,0.458626
141.179,0.463525
142.666,0.468427
144.152,0.473333
145.638,0.478245
147.124,0.483162
148.61,0.488085
150.096,0.493016
151.582,0.497956
153.068,0.502904
154.554,0.507863
156.04,0.512834
157.527,0.517817
159.013,0.522815
160.499,0.527829
161.985,0.53286
163.471,0.53791
164.957,0.542981
166.443,0.548075
167.929,0.553193
169.415,0.558338
170.901,0.563512
172.388,0.568717
173.874,0.573955
175.36,0.57923
176.846,0.584542
178.332,0.589896
179.818,0.595293
181.304,0.600736
182.79,0.606228
184.276,0.611771
185.762,0.617368
187.249,0.623022
188.735,0.628738
190.221,0.63452
191.707,0.640368
193.193,0.646288
194.679,0.652279
196.165,0.658346
197.651,0.664491
199.137,0.670714
200.623,0.677019
202.11,0.683406
203.596,0.689886
205.082,0.69646
206.568,0.703129
208.054,0.709892
209.54,0.716751
211.026,0.723703
212.512,0.73075
213.998,0.737889
215.484,0.745118
216.971,0.752435
218.457,0.759843
219.943,0.767339
221.429,0.774918
222.915,0.782575
224.401,0.790305
225.887,0.798102
227.373,0.805959
228.859,0.81387
230.345,0.821825
231.832,0.829819
233.318,0.837844
234.804,0.845892
236.29,0.853951
237.776,0.862013
239.262,0.870066
240.748,0.8781
242.234,0.886103
243.72,0.894065
245.206,0.901975
246.693,0.909822
248.179,0.917592
249.665,0.925274
251.151,0.932858
252.637,0.940333
254.123,0.94769
255.609,0.954921
257.095,0.962015
258.581,0.968966
260.067,0.975765
261.554,0.982407
263.04,0.98887
264.526,0.995147
266.012,1.00124
267.498,1.00713
268.984,1.01283
270.47,1.01833
271.956,1.02363
273.442,1.02873
274.928,1.03363
276.415,1.03833
277.901,1.04281
279.387,1.04709
280.873,1.05116
282.359,1.05504
283.845,1.05871
285.331,1.06219
286.817,1.06549
288.303,1.0686
289.789,1.07153
291.276,1.0743
292.762,1.07689
294.248,1.07932
295.734,1.08159
297.22,1.08371
298.706,1.08568
300.192,1.08751
301.678,1.08922
303.164,1.0908
304.65,1.09227
306.137,1.09362
307.623,1.09488
309.109,1.09602
310.595,1.09708
312.081,1.09805
313.567,1.09893
315.053,1.09975
316.539,1.10049
318.025,1.10116
319.512,1.10178
320.998,1.10234
322.484,1.10284
323.97,1.1033
325.456,1.10371
326.942,1.10408
328.428,1.10442
329.914,1.10472
331.4,1.10499
332.886,1.10524
334.373,1.10546
335.859,1.10565
337.345,1.10582
338.831,1.10598
340.317,1.10612
341.803,1.10624
343.289,1.10635
344.775,1.10645
346.261,1.10653
347.747,1.10661
349.234,1.10668
350.72,1.10674
352.206,1.10679
353.692,1.10684
355.178,1.10688
356.664,1.10691
358.15,1.10695
359.636,1.10697
361.122,1.107
362.608,1.10702
364.095,1.10704
365.581,1.10705
367.067,1.10707
368.553,1.10708
370.039,1.10709
371.525,1.1071
373.011,1.10711
374.497,1.10711
375.983,1.10712
377.469,1.10713
378.956,1.10713
380.442,1.10713
381.928,1.10714
383.414,1.10714
384.9,1.10714
386.386,1.10714
387.872,1.10715
389.358,1.10715
390.844,1.10715
392.33,1.10715
393.817,1.10715
395.303,1.10715
396.789,1.10715
398.275,1.10715
399.761,1.10715
401.247,1.10716
402.733,1.10716
404.219,1.10716
405.705,1.10716
407.191,1.10716
408.678,1.10716
410.164,1.10716
411.65,1.10716
413.136,1.10716
414.622,1.10716
416.108,1.10716
417.594,1.10716
419.08,1.10716
420.566,1.10716
422.052,1.10716
423.539,1.10716
425.025,1.10716
426.511,1.10716
427.997,1.10716
429.483,1.10716
430.969,1.10716
432.455,1.10716
433.941,1.10716
435.427,1.10716
436.913,1.10716
438.4,1.10716
439.886,1.10716
441.372,1.10716
442.858,1.10716
444.344,1.10716
445.83,1.10716
447.316,1.10716
448.802,1.10716
450.288,1.10716
451.774,1.10716
453.261,1.10716
454.747,1.10716
456.233,1.10716
457.719,1.10716
459.205,1.10716
460.691,1.10716
462.177,1.10716
463.663,1.10716
465.149,1.10716
466.635,1.10716
468.122,1.10716
469.608,1.10716
471.094,1.10716
472.58,1.10716
474.066,1.10716
475.552,1.10716
477.038,1.10716
478.524,1.10716
480.01,1.10716
481.496,1.10716
482.983,1.10716
484.469,1.10716
485.955,1.10716
487.441,1.10716
488.927,1.10716
490.413,1.10716
491.899,1.10716
493.385,1.10716
494.871,1.10716
496.357,1.10716
497.844,1.10716
499.33,1.10716
500.816,1.10716
502.302,1.10716
503.788,1.10716
505.274,1.10716
506.76,1.10716
508.246,1.10716
509.732,1.10716
511.218,1.10716
512.705,1.10716
514.191,1.10716
515.677,1.10716
517.163,1.10716
518.649,1.10716
520.135,1.10716
521.621,1.10716
523.107,1.10716
524.593,1.10716
526.079,1.10716
527.566,1.10716
529.052,1.10716
530.538,1.10716
532.024,1.10716
533.51,1.10716
534.996,1.10716
536.482,1.10716
537.968,1.10716
539.454,1.10716
540.94,1.10716
542.427,1.10716
543.913,1.10716
545.399,1.10716
546.885,1.10716
548.371,1.10716
549.857,1.10716
551.343,1.10716
552.829,1.10716
554.315,1.10716
555.801,1.10716
557.288,1.10716
558.774,1.10716
560.26,1.10716
561.746,1.10716
563.232,1.10716
564.718,1.10716
566.204,1.10716
567.69,1.10716
569.176,1.10716
570.662,1.10716
572.149,1.10716
573.635,1.10716
575.121,1.10716
576.607,1.10716
578.093,1.10716
579.579,1.10716
581.065,1.10716
582.551,1.10716
584.037,1.10716
585.523,1.10716
587.01,1.10716
588.496,1.10716
589.982,1.10716
591.468,1.10716
592.954,1.10716
594.44,1.10716
