tau,s_tmp,cash,delta,pv,r,q,PL
0,297.22,0.575253,0.00138672,0.987415,,,0
1,294.98,0.522632,0.00156521,0.984338,0.0179022,0,-1.2877e-06
2,295.856,0.551444,0.00146791,0.985848,0.0179066,0,-0.000114219
3,294.573,0.525068,0.00155754,0.984114,0.0179111,0,-0.000236531
4,295.735,0.553881,0.0014602,0.98606,0.0179155,0,-0.000347137
5,291.233,0.46899,0.00175178,0.979043,0.0179199,0,0.000122941
6,294.476,0.529683,0.00154575,0.984559,0.0179244,0,0.000311505
7,293.163,0.502021,0.0016402,0.982691,0.0179288,0,0.000176081
8,297.255,0.586522,0.00135601,0.988952,0.0179332,0,0.000650811
9,292.396,0.505839,0.00163205,0.981846,0.0179377,0,0.00119713
10,292.806,0.507077,0.0016279,0.982736,0.0179421,0,0.00100155
11,291.625,0.478062,0.00172748,0.980967,0.0179465,0,0.000872436
12,295.366,0.566533,0.00142803,0.987054,0.017951,0,0.00127175
13,293.48,0.511632,0.0016152,0.984403,0.0179554,0,0.00125694
14,294.869,0.541907,0.00151261,0.986713,0.0179598,0,0.00121609
15,292.753,0.51445,0.00160649,0.983674,0.0179643,0,0.0010807
16,293.219,0.515773,0.00160207,0.984603,0.0179687,0,0.000926033
17,294.589,0.546002,0.00149953,0.986892,0.0179731,0,0.000856528
18,297.611,0.60089,0.0013152,0.991261,0.0179776,0,0.00104611
19,300.339,0.650189,0.00115115,0.994764,0.017982,0,0.00116082
20,295.303,0.578552,0.00139385,0.988509,0.0179864,0,0.0016511
21,294.32,0.552748,0.00148162,0.987292,0.0179909,0,0.0015264
22,291.554,0.495566,0.00167784,0.983158,0.0179953,0,0.00158923
23,288.394,0.45543,0.0018171,0.97786,0.0179997,0,0.00160969
24,293.325,0.529364,0.00156512,0.986382,0.0180042,0,0.00207057
25,292.608,0.530773,0.00156039,0.985484,0.0180086,0,0.00187183
26,290.276,0.478573,0.00174031,0.981839,0.018013,0,0.0019042
27,288.736,0.462618,0.00179565,0.979366,0.0180175,0,0.00172094
28,286.501,0.44678,0.00185147,0.975663,0.0180219,0.0933255,0.00156494
29,285.794,0.429922,0.00191104,0.974721,0.0180263,0.0999914,0.00136494
30,285.977,0.432781,0.00190168,0.975463,0.0180307,0.106657,0.00115361
31,277.69,0.323882,0.00229451,0.958688,0.0180352,0.113323,0.00235514
32,277.644,0.326442,0.0022861,0.959077,0.0180396,0.119989,0.00208585
33,276.335,0.303614,0.00236956,0.956539,0.018044,0.126655,0.00186649
34,276.605,0.306293,0.00236079,0.957707,0.0180485,0.133321,0.00159341
35,278.535,0.333832,0.002262,0.962408,0.0180529,0.00388886,0.00147073
36,279.104,0.360558,0.00216632,0.96396,0.0180573,0.00277777,0.00122731
37,279.382,0.362271,0.00216027,0.964863,0.0180618,0.00166668,0.000947277
38,278.727,0.364022,0.00215405,0.96371,0.0180662,0.000555594,0.000703586
39,277.761,0.340559,0.00223858,0.96187,0.0180706,-0.000555494,0.00047987
40,272.855,0.280713,0.00245797,0.950493,0.0180751,-0.00166658,0.000888379
41,269.029,0.234303,0.00263051,0.941071,0.0180795,-0.00277767,0.000914953
42,271.56,0.268762,0.00250363,0.947918,0.0180839,-0.00388876,0.000729646
43,276.146,0.323449,0.00230566,0.959385,0.0180884,0.00198468,0.000762303
44,273.294,0.289704,0.0024292,0.952914,0.0180928,0.00119107,0.000674904
45,275.002,0.309641,0.00235676,0.957349,0.0180972,0.000397466,0.000404321
46,272.203,0.275514,0.00248218,0.950797,0.0181017,-0.000396141,0.000374388
47,272.97,0.293351,0.00241688,0.952879,0.0181061,-0.00118975,0.000207909
48,272.979,0.293676,0.00241573,0.953103,0.0181105,-0.00198335,1.68429e-05
49,275.902,0.332334,0.00227565,0.960237,0.018115,-0.00277696,-4.69687e-05
50,277.259,0.357413,0.00218527,0.963515,0.0181194,0.0024998,-0.000215728
51,279.136,0.381996,0.00209728,0.967791,0.0181238,0.00194425,-0.000369465
52,276.921,0.333899,0.00227104,0.96317,0.0181283,0.00138871,-0.000372192
