tau,s_tmp,cash,delta,pv,r_for,q,PL,cash,asset,debt,PL,,,
1048,126.301,-0.0122155,0.00336044,0.424428,0.013903,0.0355578,-1.2216%,-0.0122145,0.424426932,-0.424428,-1.2216%,,,
1049,125.126,-0.012216,0.00336077,0.420521,0.0139008,0.0355789,-1.2216%,-0.0122163,0.420519707,-0.420521,-1.2218%,,,
1050,124.962,-0.0122164,0.00336078,0.41997,0.0138986,0.000683264,-1.2216%,-0.0122169,0.41996979,-0.41997,-1.2217%,,,
1051,126.072,-0.0122169,0.00336078,0.423699,0.0138964,0.000637863,-1.2217%,-0.0122161,0.423700256,-0.423699,-1.2215%,,,
1052,124.616,-0.0122174,0.00336079,0.418807,0.0138942,0.000592462,-1.2217%,-0.0122179,0.418808207,-0.418807,-1.2217%,,,
1053,123.826,-0.0122178,0.00336079,0.416153,0.0138921,0.000547061,-1.2218%,-0.0122172,0.416153183,-0.416153,-1.2217%,,,
1054,123.371,-0.0122183,0.0033608,0.414626,0.0138899,0.00050166,-1.2218%,-0.0122189,0.414625257,-0.414626,-1.2220%,,,
1055,122.342,-0.0122188,0.0033608,0.411167,0.0138877,0.000456259,-1.2219%,-0.0122183,0.411166994,-0.411167,-1.2218%,,,
1056,122.119,-0.0122192,0.00336081,0.410419,0.0138855,0.000410858,-1.2219%,-0.0122200,0.410418756,-0.410419,-1.2220%,,,
1057,123.341,-0.0122197,0.00336081,0.414524,0.0138833,0.000365457,-1.2220%,-0.0122192,0.414525666,-0.414524,-1.2218%,,,
1058,123.9,-0.0122202,0.00336081,0.416403,0.0138811,0.000320056,-1.2220%,-0.0122198,0.416404359,-0.416403,-1.2218%,,,
1059,125.478,-0.0122206,0.00336082,0.421708,0.0138789,0.000274655,-1.2221%,-0.0122216,0.421708972,-0.421708,-1.2221%,,,
1060,125.725,-0.0122211,0.00336082,0.422538,0.0138767,0.000229254,-1.2221%,-0.0122208,0.422539095,-0.422538,-1.2220%,,,
1061,124.445,-0.0122215,0.00336082,0.418239,0.0138745,0.000183853,-1.2222%,-0.0122214,0.418237245,-0.418239,-1.2223%,,,
1062,125.478,-0.012222,0.00336082,0.421707,0.0138723,0.000138452,-1.2222%,-0.0122218,0.421708972,-0.421707,-1.2220%,,,
1063,126.312,-0.0122225,0.00336082,0.424513,0.0138701,9.31E-05,-1.2223%,-0.0122224,0.424511896,-0.424513,-1.2223%,,,
1064,125.373,-0.0122229,0.00336082,0.421358,0.0138679,4.77E-05,-1.2223%,-0.0122229,0.421356086,-0.421358,-1.2225%,,,
1065,126.643,-0.0122234,0.00336082,0.425626,0.0138658,2.25E-06,-1.2223%,-0.0122234,0.425624327,-0.425626,-1.2225%,,,
1066,125.74,-0.0122239,0.00336082,0.42259,0.0138636,-4.32E-05,-1.2224%,-0.0122239,0.422589507,-0.42259,-1.2224%,,,
1067,127.595,-0.0122243,0.00336082,0.428825,0.0138614,-8.86E-05,-1.2224%,-0.0122245,0.428823828,-0.428825,-1.2226%,,,
1068,128.542,-0.0122248,0.00336082,0.432007,0.0138592,-0.000133953,-1.2225%,-0.0122249,0.432006524,-0.432007,-1.2225%,,,
1069,127.596,-0.0122253,0.00336082,0.428827,0.013857,-0.000179354,-1.2225%,-0.0122255,0.428827189,-0.428827,-1.2225%,,,
1070,128.539,-0.0122257,0.00336082,0.431995,0.0138548,-0.000224755,-1.2226%,-0.0122260,0.431996442,-0.431995,-1.2225%,,,
1071,128.462,-0.0122262,0.00336081,0.431737,0.0138526,-0.000270156,-1.2226%,-0.0122252,0.431736374,-0.431737,-1.2226%,,,
1072,128.293,-0.0122267,0.00336081,0.43117,0.0138504,-0.000315557,-1.2227%,-0.0122270,0.431168397,-0.43117,-1.2229%,,,
1073,127.977,-0.0122271,0.00336081,0.430105,0.0138482,-0.000360958,-1.2227%,-0.0122276,0.430106381,-0.430105,-1.2226%,,,
1074,127.335,-0.0122276,0.0033608,0.427949,0.013846,-0.000406359,-1.2228%,-0.0122268,0.427947468,-0.427949,-1.2228%,,,
1075,127.89,-0.012228,0.0033608,0.429812,0.0138438,-0.00045176,-1.2228%,-0.0122286,0.429812712,-0.429812,-1.2228%,,,
1076,129.489,-0.0122285,0.00336079,0.435186,0.0138416,-0.000497161,-1.2229%,-0.0122278,0.435185336,-0.435186,-1.2228%,,,
1077,127.961,-0.012229,0.00336079,0.430051,0.0138395,-0.000542562,-1.2229%,-0.0122296,0.430050049,-0.430051,-1.2231%,,,
1078,127.458,-0.0122294,0.00336078,0.428358,0.0138373,-0.000587963,-1.2229%,-0.0122289,0.428358297,-0.428358,-1.2229%,,,
1079,127.998,-0.0122299,0.00336078,0.430174,0.0138351,-0.000633364,-1.2230%,-0.0122306,0.430173118,-0.430174,-1.2231%,,,
1080,127.716,-0.0122304,0.003361,0.429255,0.0138329,0.0238378,-1.2230%,-0.0122304,0.429253476,-0.429255,-1.2232%,,,
1081,129.126,-0.0122308,0.00336122,0.434021,0.0138307,0.0238378,-1.2231%,-0.0122309,0.434020894,-0.434021,-1.2231%,,,
1082,128.31,-0.0122313,0.00336144,0.431307,0.0138285,0.0238378,-1.2231%,-0.0122313,0.431306366,-0.431307,-1.2232%,,,
1083,129.657,-0.0122317,0.00336166,0.435862,0.0138263,0.0238378,-1.2232%,-0.0122318,0.435862751,-0.435862,-1.2231%,,,
1084,129.765,-0.0122322,0.00336188,0.436252,0.0138241,0.0238378,-1.2232%,-0.0122322,0.436254358,-0.436252,-1.2230%,,,
1085,128.05,-0.0122327,0.0033621,0.430516,0.0138219,0.0238378,-1.2233%,-0.0122327,0.430516905,-0.430516,-1.2232%,,,
1086,130.184,-0.0122331,0.00336231,0.43772,0.0138197,0.0238378,-1.2233%,-0.0122319,0.437718965,-0.43772,-1.2233%,,,
1087,129.219,-0.0122336,0.00336253,0.434503,0.0138175,0.0238378,-1.2234%,-0.0122336,0.434502764,-0.434503,-1.2234%,,,
1088,128.657,-0.0122341,0.00336275,0.432643,0.0138153,0.0238378,-1.2234%,-0.0122341,0.432641327,-0.432643,-1.2236%,,,
1089,125.551,-0.0122345,0.00336297,0.422226,0.0138132,0.0238378,-1.2235%,-0.0122346,0.422224246,-0.422226,-1.2236%,,,
1090,126.628,-0.012235,0.00336319,0.425876,0.013811,0.0238378,-1.2235%,-0.0122350,0.425874023,-0.425876,-1.2237%,,,
1091,126.995,-0.0122354,0.00336341,0.427138,0.0138088,0.0238378,-1.2235%,-0.0122355,0.427136253,-0.427138,-1.2237%,,,
1092,127.181,-0.0122359,0.00336363,0.42779,0.0138066,0.0238378,-1.2236%,-0.0122359,0.427789827,-0.42779,-1.2236%,,,
1093,128.983,-0.0122364,0.00336385,0.433879,0.0138044,0.0238378,-1.2236%,-0.0122364,0.433879465,-0.433879,-1.2236%,,,
1094,127.48,-0.0122368,0.00336407,0.428852,0.0138022,0.0238378,-1.2237%,-0.0122369,0.428851644,-0.428852,-1.2237%,,,
1095,126.274,-0.0122373,0.00336429,0.424821,0.015,0.0238378,-1.2237%,-0.0122373,0.424822355,-0.424821,-1.2236%,,,
1096,125.63,-0.0122378,0.00336451,0.422683,0.015,0.0238378,-1.2238%,-0.0122378,0.422683391,-0.422683,-1.2237%,,,
12_6-th Autocalled,125.63,-0.0122378,0.00336451,0.422683,,,-1.2238%,-0.0122378,0.422683391,-0.422683,-1.2237%,,,
