tau,s_tmp,cash,delta,pv,r_for,q,PL,cash,asset,debt,PL,,,
941,120.444,-0.0121655,0.00334637,0.403049,0.0141375,0.0268458,-1.2166%,-0.0121659,0.403050188,-0.403049,-1.2165%,,,
942,120.345,-0.012166,0.00334661,0.402748,0.0141353,0.0268483,-1.2166%,-0.0121652,0.40274778,-0.402748,-1.2165%,,,
943,121.515,-0.0121664,0.00334686,0.406694,0.0141332,0.0268507,-1.2166%,-0.0121669,0.406693693,-0.406694,-1.2167%,,,
944,120.98,-0.0121669,0.0033471,0.404934,0.014131,0.0268532,-1.2167%,-0.0121661,0.404932158,-0.404934,-1.2168%,,,
945,120.527,-0.0121674,0.00334735,0.403445,0.0141288,0.0268556,-1.2167%,-0.0121678,0.403446053,-0.403445,-1.2167%,,,
946,120.436,-0.0121678,0.0033476,0.403173,0.0141266,0.0268581,-1.2168%,-0.0121683,0.403171554,-0.403173,-1.2170%,,,
947,121.991,-0.0121683,0.00334784,0.408407,0.0141244,0.0268605,-1.2168%,-0.0121675,0.408406349,-0.408407,-1.2168%,,,
948,120.634,-0.0121688,0.00334809,0.403894,0.0141222,0.026863,-1.2169%,-0.0121692,0.403893489,-0.403894,-1.2170%,,,
949,122.209,-0.0121692,0.00334834,0.409198,0.01412,0.0268654,-1.2169%,-0.0121697,0.409197283,-0.409198,-1.2170%,,,
950,121.099,-0.0121697,0.00334858,0.405508,0.0141178,0.0268679,-1.2170%,-0.0121689,0.405509689,-0.405508,-1.2167%,,,
951,121.941,-0.0121702,0.00334883,0.408358,0.0141156,0.0268703,-1.2170%,-0.0121706,0.408359679,-0.408358,-1.2169%,,,
952,122.834,-0.0121707,0.00334908,0.41138,0.0141134,0.0268728,-1.2171%,-0.0121711,0.411380893,-0.41138,-1.2170%,,,
953,121.234,-0.0121711,0.00334932,0.406052,0.0141112,0.0268753,-1.2171%,-0.0121704,0.406051461,-0.406052,-1.2171%,,,
954,122.409,-0.0121716,0.00334957,0.410019,0.014109,0.0268777,-1.2172%,-0.0121720,0.410017514,-0.410019,-1.2173%,,,
955,123.444,-0.0121721,0.00334982,0.413514,0.0141068,0.0268802,-1.2172%,-0.0121725,0.41351518,-0.413514,-1.2171%,,,
956,123.258,-0.0121725,0.00335006,0.412921,0.0141047,0.0268826,-1.2173%,-0.0121717,0.412921695,-0.412921,-1.2171%,,,
957,123.014,-0.012173,0.00335031,0.412136,0.0141025,0.0268851,-1.2173%,-0.0121734,0.412135034,-0.412136,-1.2174%,,,
958,124.445,-0.0121735,0.00335056,0.416959,0.0141003,0.0268875,-1.2174%,-0.0121739,0.416960439,-0.416959,-1.2172%,,,
959,123.347,-0.0121739,0.0033508,0.413311,0.0140981,0.02689,-1.2174%,-0.0121731,0.413311128,-0.413311,-1.2173%,,,
960,124.958,-0.0121744,0.00335105,0.41874,0.0140959,0.0268924,-1.2174%,-0.0121748,0.418740506,-0.41874,-1.2174%,,,
961,127.744,-0.0121749,0.00335106,0.428076,0.0140937,0.000724734,-1.2175%,-0.0121753,0.428077809,-0.428076,-1.2173%,,,
962,127.859,-0.0121753,0.00335106,0.428463,0.0140915,0.000672779,-1.2175%,-0.0121746,0.428463181,-0.428463,-1.2174%,,,
963,127.875,-0.0121758,0.00335107,0.428517,0.0140893,0.000620825,-1.2176%,-0.0121763,0.428518076,-0.428517,-1.2175%,,,
964,127.905,-0.0121763,0.00335107,0.42862,0.0140871,0.00056887,-1.2176%,-0.0121756,0.428618608,-0.42862,-1.2177%,,,
965,129.01,-0.0121768,0.00335108,0.432321,0.0140849,0.000516916,-1.2177%,-0.0121774,0.432322831,-0.432321,-1.2176%,,,
966,130.021,-0.0121772,0.00335108,0.43571,0.0140827,0.000464961,-1.2177%,-0.0121767,0.435710773,-0.43571,-1.2176%,,,
967,131.566,-0.0121777,0.00335109,0.440889,0.0140805,0.000413007,-1.2178%,-0.0121785,0.440889507,-0.440889,-1.2178%,,,
968,131.305,-0.0121782,0.00335109,0.440016,0.0140784,0.000361053,-1.2178%,-0.0121777,0.440014872,-0.440016,-1.2179%,,,
969,130.608,-0.0121786,0.00335109,0.437678,0.0140762,0.000309098,-1.2179%,-0.0121783,0.437679163,-0.437678,-1.2177%,,,
970,131.809,-0.0121791,0.00335109,0.441706,0.014074,0.000257144,-1.2179%,-0.0121788,0.441703822,-0.441706,-1.2181%,,,
971,133.17,-0.0121796,0.0033511,0.446267,0.0140718,0.000205189,-1.2180%,-0.0121807,0.446265987,-0.446267,-1.2182%,,,
972,134.034,-0.01218,0.0033511,0.449159,0.0140696,0.000153235,-1.2180%,-0.0121799,0.449161337,-0.449159,-1.2178%,,,
973,133.834,-0.0121805,0.0033511,0.44849,0.0140674,0.00010128,-1.2181%,-0.0121803,0.448491117,-0.44849,-1.2179%,,,
974,132.166,-0.012181,0.0033511,0.442902,0.0140652,4.93E-05,-1.2181%,-0.0121809,0.442901483,-0.442902,-1.2181%,,,
975,131.168,-0.0121815,0.0033511,0.439558,0.014063,-2.63E-06,-1.2182%,-0.0121815,0.439557085,-0.439558,-1.2182%,,,
976,128.928,-0.0121819,0.0033511,0.432051,0.0140608,-5.46E-05,-1.2182%,-0.0121820,0.432050621,-0.432051,-1.2182%,,,
977,129.159,-0.0121824,0.0033511,0.432824,0.0140586,-0.000106538,-1.2182%,-0.0121825,0.432824725,-0.432824,-1.2182%,,,
978,128.654,-0.0121829,0.0033511,0.431131,0.0140564,-0.000158492,-1.2183%,-0.0121831,0.431132419,-0.431131,-1.2182%,,,
979,129.293,-0.0121833,0.00335109,0.433274,0.0140542,-0.000210446,-1.2183%,-0.0121823,0.433272479,-0.433274,-1.2184%,,,
980,129.461,-0.0121838,0.00335109,0.433837,0.0140521,-0.000262401,-1.2184%,-0.0121841,0.433835462,-0.433837,-1.2186%,,,
981,128.647,-0.0121843,0.00335109,0.431106,0.0140499,-0.000314355,-1.2184%,-0.0121846,0.431107675,-0.431106,-1.2183%,,,
982,130.963,-0.0121847,0.00335109,0.438867,0.0140477,-0.00036631,-1.2185%,-0.0121852,0.4388688,-0.438867,-1.2183%,,,
983,131.629,-0.0121852,0.00335108,0.4411,0.0140455,-0.000418264,-1.2185%,-0.0121844,0.441099309,-0.4411,-1.2185%,,,
984,133.641,-0.0121857,0.00335108,0.447841,0.0140433,-0.000470219,-1.2186%,-0.0121862,0.447841682,-0.447841,-1.2186%,,,
985,131.17,-0.0121861,0.00335107,0.439559,0.0140411,-0.000522173,-1.2186%,-0.0121855,0.439559852,-0.439559,-1.2185%,,,
986,131.362,-0.0121866,0.00335107,0.440203,0.0140389,-0.000574128,-1.2187%,-0.0121873,0.440203257,-0.440203,-1.2187%,,,
987,132.186,-0.0121871,0.00335106,0.442964,0.0140367,-0.000626082,-1.2187%,-0.0121865,0.442963217,-0.442964,-1.2187%,,,
988,129.559,-0.0121875,0.00335106,0.43416,0.0140345,-0.000678037,-1.2188%,-0.0121884,0.434159983,-0.43416,-1.2188%,,,
989,128.824,-0.012188,0.00335105,0.431695,0.0140323,-0.000729991,-1.2188%,-0.0121875,0.431695665,-0.431695,-1.2187%,,,
990,129.365,-0.0121885,0.00335104,0.433507,0.0140301,-0.000781946,-1.2189%,-0.0121881,0.43350729,-0.433507,-1.2188%,,,
991,131.456,-0.012189,0.00335105,0.440516,0.0140279,0.000687199,-1.2189%,-0.0121895,0.440515629,-0.440516,-1.2190%,,,
992,131.5,-0.0121894,0.00335105,0.440662,0.0140258,0.000638311,-1.2189%,-0.0121887,0.440663075,-0.440662,-1.2188%,,,
993,132.028,-0.0121899,0.00335106,0.442433,0.0140236,0.000589424,-1.2190%,-0.0121905,0.44243375,-0.442433,-1.2190%,,,
994,131.554,-0.0121904,0.00335106,0.440845,0.0140214,0.000540536,-1.2190%,-0.0121897,0.440845347,-0.440845,-1.2189%,,,
995,132.116,-0.0121908,0.00335107,0.442729,0.0140192,0.000491648,-1.2191%,-0.0121916,0.442729964,-0.442729,-1.2191%,,,
996,133.299,-0.0121913,0.00335107,0.446695,0.014017,0.00044276,-1.2191%,-0.0121907,0.44669428,-0.446695,-1.2191%,,,
997,133.118,-0.0121918,0.00335108,0.446087,0.0140148,0.000393873,-1.2192%,-0.0121926,0.446089067,-0.446087,-1.2191%,,,
998,131.49,-0.0121922,0.00335108,0.440634,0.0140126,0.000344985,-1.2192%,-0.0121919,0.440633509,-0.440634,-1.2192%,,,
999,129.63,-0.0121927,0.00335108,0.4344,0.0140104,0.000296097,-1.2193%,-0.0121923,0.4344005,-0.4344,-1.2192%,,,
1000,129.814,-0.0121932,0.00335108,0.435016,0.0140082,0.000247209,-1.2193%,-0.0121929,0.435017099,-0.435016,-1.2192%,,,
1001,129.175,-0.0121936,0.00335109,0.432876,0.014006,0.000198322,-1.2194%,-0.0121947,0.432877051,-0.432876,-1.2194%,,,
1002,129.818,-0.0121941,0.00335109,0.435032,0.0140038,0.000149434,-1.2194%,-0.0121939,0.435031802,-0.435032,-1.2194%,,,
1003,129.902,-0.0121946,0.00335109,0.435314,0.0140016,0.000100546,-1.2195%,-0.0121944,0.435313293,-0.435314,-1.2195%,,,
1004,131.366,-0.012195,0.00335109,0.440221,0.0139995,5.17E-05,-1.2195%,-0.0121950,0.440219289,-0.440221,-1.2197%,,,
1005,130.339,-0.0121955,0.00335109,0.436778,0.0139973,2.77E-06,-1.2196%,-0.0121955,0.43677772,-0.436778,-1.2196%,,,
1006,130.423,-0.012196,0.00335109,0.437059,0.0139951,-4.61E-05,-1.2196%,-0.0121960,0.437059211,-0.437059,-1.2196%,,,
1007,129.079,-0.0121964,0.00335109,0.432557,0.0139929,-9.50E-05,-1.2196%,-0.0121966,0.432555346,-0.432557,-1.2198%,,,
1008,128.84,-0.0121969,0.00335109,0.431753,0.0139907,-0.000143892,-1.2197%,-0.0121970,0.431754436,-0.431753,-1.2196%,,,
1009,129.764,-0.0121974,0.00335108,0.434852,0.0139885,-0.00019278,-1.2197%,-0.0121963,0.434849545,-0.434852,-1.2199%,,,
1010,130.92,-0.0121978,0.00335108,0.438722,0.0139863,-0.000241668,-1.2198%,-0.0121982,0.438723394,-0.438722,-1.2197%,,,
1011,132.911,-0.0121983,0.00335108,0.445395,0.0139841,-0.000290556,-1.2198%,-0.0121986,0.445395394,-0.445395,-1.2198%,,,
1012,132.409,-0.0121988,0.00335108,0.443713,0.0139819,-0.000339443,-1.2199%,-0.0121992,0.443713152,-0.443713,-1.2199%,,,
1013,133.676,-0.0121992,0.00335107,0.447958,0.0139797,-0.000388331,-1.2199%,-0.0121984,0.447957633,-0.447958,-1.2199%,,,
1014,132.855,-0.0121997,0.00335107,0.445206,0.0139775,-0.000437219,-1.2200%,-0.0122002,0.445206405,-0.445206,-1.2200%,,,
1015,133.84,-0.0122002,0.00335106,0.448508,0.0139753,-0.000486106,-1.2200%,-0.0121994,0.44850587,-0.448508,-1.2202%,,,
1016,132.068,-0.0122006,0.00335106,0.442566,0.0139732,-0.000534994,-1.2201%,-0.0122013,0.442567792,-0.442566,-1.2200%,,,
1017,132.797,-0.0122011,0.00335105,0.44501,0.013971,-0.000583882,-1.2201%,-0.0122005,0.445009387,-0.44501,-1.2201%,,,
1018,132.765,-0.0122016,0.00335105,0.444902,0.0139688,-0.00063277,-1.2202%,-0.0122023,0.444902153,-0.444902,-1.2202%,,,
1019,130.764,-0.012202,0.00335104,0.438197,0.0139666,-0.000681657,-1.2202%,-0.0122016,0.438195395,-0.438197,-1.2203%,,,
1020,130.981,-0.0122025,0.00335136,0.438966,0.0139644,0.0349668,-1.2203%,-0.0122023,0.438964484,-0.438966,-1.2204%,,,
1021,129.04,-0.012203,0.00335168,0.432501,0.0139622,0.0349879,-1.2203%,-0.0122028,0.432500787,-0.432501,-1.2203%,,,
1022,128.619,-0.0122034,0.00335201,0.431133,0.01396,0.035009,-1.2203%,-0.0122046,0.431132174,-0.431133,-1.2205%,,,
1023,130.668,-0.0122039,0.00335233,0.438041,0.0139578,0.0350302,-1.2204%,-0.0122036,0.438042256,-0.438041,-1.2202%,,,
1024,129.502,-0.0122044,0.00335265,0.434175,0.0139556,0.0350513,-1.2204%,-0.0122041,0.43417488,-0.434175,-1.2204%,,,
1025,129.097,-0.0122048,0.00335297,0.432858,0.0139534,0.0350724,-1.2205%,-0.0122046,0.432858368,-0.432858,-1.2204%,,,
1026,128.298,-0.0122053,0.00335329,0.430222,0.0139512,0.0350935,-1.2205%,-0.0122050,0.4302204,-0.430222,-1.2207%,,,
1027,127.379,-0.0122058,0.00335362,0.427179,0.013949,0.0351146,-1.2206%,-0.0122067,0.427180762,-0.427179,-1.2205%,,,
1028,127.418,-0.0122062,0.00335394,0.427354,0.0139468,0.0351357,-1.2206%,-0.0122059,0.427352327,-0.427354,-1.2208%,,,
1029,127.712,-0.0122067,0.00335426,0.42838,0.0139447,0.0351568,-1.2207%,-0.0122063,0.428379253,-0.42838,-1.2207%,,,
1030,127.341,-0.0122072,0.00335459,0.427175,0.0139425,0.0351779,-1.2207%,-0.0122080,0.427176845,-0.427175,-1.2206%,,,
1031,128.17,-0.0122076,0.00335491,0.43,0.0139403,0.035199,-1.2208%,-0.0122072,0.429998815,-0.43,-1.2208%,,,
1032,128.504,-0.0122081,0.00335523,0.431163,0.0139381,0.0352201,-1.2208%,-0.0122076,0.431160476,-0.431163,-1.2210%,,,
1033,127.161,-0.0122086,0.00335556,0.426698,0.0139359,0.0352412,-1.2209%,-0.0122093,0.426696365,-0.426698,-1.2211%,,,
1034,126.327,-0.012209,0.00335588,0.423939,0.0139337,0.0352623,-1.2209%,-0.0122085,0.423938253,-0.423939,-1.2209%,,,
1035,127.474,-0.0122095,0.00335621,0.42783,0.0139315,0.0352834,-1.2210%,-0.0122102,0.427829514,-0.42783,-1.2211%,,,
1036,125.497,-0.0122099,0.00335653,0.421233,0.0139293,0.0353045,-1.2210%,-0.0122094,0.421234445,-0.421233,-1.2208%,,,
1037,125.804,-0.0122104,0.00335686,0.422305,0.0139271,0.0353257,-1.2210%,-0.0122110,0.422306415,-0.422305,-1.2210%,,,
1038,126.292,-0.0122109,0.00335718,0.423986,0.0139249,0.0353468,-1.2211%,-0.0122102,0.423984977,-0.423986,-1.2211%,,,
1039,126.05,-0.0122113,0.00335751,0.423213,0.0139227,0.0353679,-1.2211%,-0.0122120,0.423214136,-0.423213,-1.2211%,,,
1040,124.457,-0.0122118,0.00335783,0.417906,0.0139205,0.035389,-1.2212%,-0.0122111,0.417905448,-0.417906,-1.2212%,,,
1041,127.717,-0.0122123,0.00335816,0.428895,0.0139184,0.0354101,-1.2212%,-0.0122128,0.428894121,-0.428895,-1.2214%,,,
1042,127.763,-0.0122127,0.00335848,0.42909,0.0139162,0.0354312,-1.2213%,-0.0122120,0.42908948,-0.42909,-1.2213%,,,
1043,129.037,-0.0122132,0.00335881,0.433412,0.013914,0.0354523,-1.2213%,-0.0122137,0.433410766,-0.433412,-1.2215%,,,
1044,128.554,-0.0122137,0.00335914,0.43183,0.0139118,0.0354734,-1.2214%,-0.0122141,0.431830884,-0.43183,-1.2213%,,,
1045,128.023,-0.0122141,0.00335946,0.430089,0.0139096,0.0354945,-1.2214%,-0.0122133,0.430088148,-0.430089,-1.2214%,,,
1046,127.448,-0.0122146,0.00335979,0.428199,0.0139074,0.0355156,-1.2215%,-0.0122150,0.428198516,-0.428199,-1.2215%,,,
1047,127.628,-0.012215,0.00336012,0.428843,0.0139052,0.0355367,-1.2215%,-0.0122154,0.428845395,-0.428843,-1.2213%,,,
