numMC,PL
0,-0.000167966
1,0.000244489
2,0.00767388
3,0.00204794
4,-0.000414337
5,-0.00275255
6,-0.0116351
7,0.00135631
8,-0.00100684
9,9.57026e-05
10,-0.0017013
11,0.00136358
12,-0.00447518
13,-0.000311547
14,-0.00983705
15,0.00755383
16,0.00661973
17,-0.00451478
18,-0.00329504
19,0.00929945
20,-0.000826868
21,0.00438992
22,0.00294005
23,-0.00033169
24,0.00100567
25,-0.00682736
26,-0.0143861
27,-0.00144593
28,-0.00220061
29,-0.0118628
30,-0.00107106
31,0.00756784
32,0.00539159
33,-0.00855456
34,0.00447121
35,-0.00445631
36,0.00696904
37,-0.00290701
38,-0.00689482
39,-0.00292494
40,0.00272603
41,0.00262853
42,-0.00150477
43,0.00212123
44,0.0149042
45,0.00652953
46,0.00440021
47,0.00681299
48,0.0014405
49,-0.00363779
50,0.00321187
51,0.00666901
52,-0.0123464
53,-0.0103167
54,0.0142422
55,-0.007386
56,0.0303867
57,-0.000486299
58,0.000628434
59,-0.000956314
60,0.00155304
61,0.000400136
62,-0.0039974
63,0.000827213
64,-0.000620684
65,-0.00145984
66,0.000979955
67,-0.00113017
68,0.00163407
69,0.00638274
70,-0.00197155
71,-0.0117724
72,-0.00173358
73,0.0013502
74,-0.00460904
75,-0.00682856
76,0.00575078
77,0.00237728
78,0.00210222
79,0.0021751
80,0.0250277
81,-0.0147217
82,-0.00359564
83,0.000385447
84,0.00200029
85,-0.00249988
86,-0.00137231
87,0.00160261
88,-0.00190925
89,0.00195713
90,-0.000748439
91,0.00283899
92,0.00158282
93,-0.000771137
94,-0.000459587
95,0.00062317
96,0.00471064
97,-0.00281482
98,-0.00398273
99,-0.00047504
100,0.000285098
101,-0.00656797
102,-0.00268236
103,-0.00406659
104,-0.000231745
105,0.000901583
106,0.000908433
107,0.0174609
108,0.00067425
109,-0.00195042
110,-0.0032122
111,-0.00679013
112,-0.00754136
113,4.87045e-05
114,0.00184058
115,-0.000211544
116,0.00355614
117,-0.000480409
118,-0.0129172
119,-0.00364944
120,-0.00246262
121,-0.00325765
122,0.00227979
123,-3.13011e-05
124,-0.0353714
125,-0.00139589
126,0.01749
127,-0.00293436
128,0.00966979
129,0.0168811
130,0.000140856
131,-0.00050371
132,-0.00025901
133,-0.00067019
134,-0.000292122
135,-0.000497113
136,0.00913783
137,-0.00455338
138,-0.00226092
139,0.00799675
140,0.00224931
141,0.00114191
142,-0.00359895
143,0.00254498
144,0.00409638
145,-0.000214302
146,-0.00208814
147,-4.72082e-05
148,0.00175088
149,-0.000182049
150,0.000995127
151,-0.000114813
152,0.00334354
153,-1.2574e-05
154,0.00154548
155,0.000315492
156,0.00345612
157,-0.00497102
158,0.00248676
159,-0.0184646
160,0.0202653
161,-0.00109145
162,0.000677639
163,0.00524991
164,-0.00140639
165,0.0034722
166,-0.00439844
167,0.000488964
168,0.000961298
169,-0.00363087
170,0.0464665
171,0.00736209
172,-0.00275192
173,-0.000685923
174,0.00059797
175,-0.000299087
176,0.00942055
177,0.000865303
178,-0.00852179
179,-0.000752105
180,0.000511597
181,-1.10611e-05
182,-0.000613276
183,-0.00302757
184,0.00785694
185,-0.00238688
186,-0.00368667
187,-0.000874755
188,0.00145524
189,0.00399004
190,-0.00992168
191,-0.00235449
192,0.00115361
193,0.00943743
194,-0.00655257
195,0.0155228
196,-0.00320908
197,-0.322495
198,0.00682775
199,0.00222793
200,-0.00225403
